,https://roic.ai/company/GDYN,2017,2018,2019,2020,2021
77,Change in Working Capital,-9454000,28450000,-2739000,-410000,-16047000
78,Accounts Receivable,-4077000,-1402000,-885000,-1418000,-18676000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-92000,219000,301000,-49000,957000
81,Other Working Capital,426000,28876000,-454000,-255000,873000
82,Other Non-Cash Items,13184000,-20983360,139000,398000,1024000
83,Cash Provided by Operating Activities,5540000,10584000,12534000,5932000,17973000
84,CAPEX,-1058000,-3079000,-2811000,-2252000,-4716000
85,Acquisitions Net,- -,- -,- -,-16087000,-30650000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1058000,-3079000,-2811000,-18339000,-35366000
90,Debt Repayment,-1917000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,14904000,- -,78311000
92,Common Stock Repurchased,- -,- -,- -,-123865000,- -
93,Dividends Paid,-3034000,- -,-2000000,- -,- -
94,Other Financing Activites,236000,- -,1700000,206832000,-29177000
95,Cash Used/Provided by Financing Activities,-4715000,- -,14604000,82967000,49134000
96,Effect of Forex Changes on Cash,- -,- -,- -,-4000,-122000
97,Net Change In Cash,-233000,7505000,24327000,70556000,31619000
98,Cash at the End of Period,10357000,17862000,42189000,112745000,144364000
99,Cash at the Beginning of Period,10590000,10357000,17862000,42189000,112745000
100,Free Cash Flow,4482000,7505000,9723000,3680000,13257000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1743725/000121390019004549/0001213900-19-004549-index.htm,https://www.sec.gov/Archives/edgar/data/1743725/000121390020005395/0001213900-20-005395-index.htm,https://www.sec.gov/Archives/edgar/data/1743725/000121390021013771/0001213900-21-013771-index.htm,https://www.sec.gov/Archives/edgar/data/1743725/000162828022004939/0001628280-22-004939-index.htm
102,false,,,,,
