,https://roic.ai/company/EYPT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-2251524,-3598381,-5224936,-11486471,-27981806,-127203000,-76153000,-3462000,8776000,-8846000,-25004000,-12017000,-13485000,6443000,-21702000,-18485000,-53171000,-56793000,-45394000,-58417000
21,Income Before Tax Ratio,-4.3607,-48.3972,-19.6997,-18.2463,-19.0947,-56.9141,-21.9082,-0.2847,0.3807,-1.7817,-7.0913,-5.6076,-3.8828,0.2425,-13.3963,-2.4519,-17.9571,-2.7888,-1.3182,-1.5814
22,Income Tax expense (Gain),- -,- -,- -,- -,-7068455,-23529000,-483000,-951000,23000,-218000,-169000,-117000,-130000,96000,-155000,- -,- -,- -,- -,- -
23,Net Income,-2251524,-1857630,-2559459,-11183322,-20913351,-103675000,-75670000,-2511000,8753000,-8628000,-24835000,-11900000,-13355000,6347000,-21547000,-18485000,-53171000,-56793000,-45394000,-58417000
24,Net Income ratio,-4.3607,-24.9846,-9.6500,-17.7647,-14.2712,-46.3870,-21.7693,-0.2065,0.3797,-1.7378,-7.0434,-5.5530,-3.8454,0.2389,-13.3006,-2.4519,-17.9571,-2.7888,-1.3182,-1.5814
25,EPS,-0.55,-0.73,-0.84,-2.13,-2.67,-9.16,-41.70,-1.40,4.80,-4.40,-11.90,-5.20,-4.90,2.20,-6.80,-5.20,-11.50,-5.40,-3.54,-4.55
26,EPS Diluted,-0.55,-0.73,-0.84,-2.13,-2.67,-9.16,-41.70,-1.40,4.60,-4.40,-11.90,-5.20,-4.90,2.10,-6.80,-5.20,-11.50,-5.40,-3.54,-4.55
27,Weighted Average Shares Outstanding,4109220,2536498,3061847,5239857,9992,44798200,1816600,1826300,1840500,1948900,2079100,2304400,2744400,2937800,3162300,3534400,4622600,10430700,12836000,12836000
28,Weighted Average Shares Outstanding Diluted,4109220,2536498,12278062,20764184,9992,44798200,1816600,1826300,1889500,1948900,2079100,2304400,2744400,3058400,3162300,3534400,4622600,10430700,12836000,12836000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314102/000119312508202144/0001193125-08-202144-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312509198276/0001193125-09-198276-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312510217638/0001193125-10-217638-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312511246966/0001193125-11-246966-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312512406956/0001193125-12-406956-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312513382009/0001193125-13-382009-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312514338993/0001193125-14-338993-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312515316983/0001193125-15-316983-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312516708358/0001193125-16-708358-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312517283875/0001193125-17-283875-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312518276414/0001193125-18-276414-index.html,- -,https://www.sec.gov/Archives/edgar/data/1314102/000156459021012894/0001564590-21-012894-index.htm,https://www.sec.gov/Archives/edgar/data/1314102/000156459022009929/0001564590-22-009929-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,792814,21785571,9790231,11469065,2668000,15609000,6899000,15514000,12912000,4625000,6899000,15334000,19121000,15313000,16898000,38776000,22214000,44909000,178593000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2051000,11216000,9946000,3374000,2944000,9414000,13679000,- -,- -,- -,- -,32965000
33,Cash and Short-Term Investments,- -,792814,21785571,9790231,11469065,2668000,15609000,6899000,17565000,24128000,14571000,10273000,18278000,28535000,28992000,16898000,38776000,22214000,44909000,211558000
34,Net Receivables,- -,68793,236601,538732,743603,2508000,1467000,815000,1111000,843000,967000,597000,517000,622000,488000,251000,353000,11368000,9453000,18354000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2138000,5337000,3616000
36,Other Current Assets,- -,18069,27072,245235,469375,512000,614000,413000,358000,395000,421000,1594000,547000,681000,483000,591000,780000,5997000,3419000,4217000
37,Total Current Assets,- -,879676,22049244,10574198,12682043,5688000,17690000,8127000,19034000,25366000,15959000,12464000,19342000,29838000,29963000,17740000,39909000,41717000,63118000,237745000
38,PP&E,- -,271599,465374,2486020,2331115,511000,473000,66000,43000,123000,335000,179000,297000,338000,290000,313000,253000,3435000,3240000,2728000
39,Goodwill,- -,- -,- -,- -,39470728,40498000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,3626241,5513769,49237399,120364526,39420000,36802000,28802000,23877000,21564000,4226000,3430000,2765000,1925000,1102000,364000,31358000,27669000,25209000,22749000
41,Intangible Assets,- -,3626241,5513769,49237399,159835254,79918000,36802000,28802000,23877000,21564000,4226000,3430000,2765000,1925000,1102000,364000,31358000,27669000,25209000,22749000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,42879,22682,- -,- -,1000,819000,109000,60000,60000,77000,176000,267000,266000,264000,260000,150000,150000,150000,150000
45,Total Non-Current Assets,- -,3940719,6001825,51723419,162166369,80430000,38094000,28977000,23980000,21747000,4638000,3785000,3329000,2529000,1656000,937000,31761000,31254000,28599000,25627000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4820395,28051069,62297617,174848412,86118000,55784000,37104000,43014000,47113000,20597000,16249000,22671000,32367000,31619000,18677000,71670000,72971000,91717000,263372000
48,Accounts Payable,- -,362970,807669,1494285,5506390,1316000,2634000,284000,387000,328000,394000,671000,464000,744000,1363000,1016000,2940000,4192000,4811000,7385000
49,Short-Term Debt,- -,- -,- -,- -,8330625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481000,- -,782000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1981416,1700000,10476000,5912000,79000,3212000,2176000,738000,138000,33000,147000,50000,- -,15000,945000,1069000
52,Other Current Liabilities,- -,225408,539127,60738,1973814,15070000,4166000,2523000,2468000,1492000,608000,1894000,1524000,2571000,3583000,4224000,18723000,6832000,9132000,14422000
53,Total Current Liabilities,- -,588378,1346796,1555023,17792245,18086000,17276000,8719000,2934000,5032000,3178000,3303000,2126000,3348000,5093000,5290000,21663000,11520000,14888000,23658000
54,Long-Term Debt,- -,- -,- -,- -,2925518,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17309000,50121000,40307000,38422000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,4622000,6817000,4635000,3783000,5246000,5584000,5596000,5585000,- -,- -,- -,15616000,14560000
56,Deferred Tax Liabilities,- -,- -,- -,- -,24168954,2125000,316000,222000,222000,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1,- -,8114000,- -,- -,- -,- -,- -,37000,55000,60000,51000,21011000,3000000,2365000,2352000
58,Total Non-Current Liabilities,- -,- -,- -,- -,27094473,2125000,8430000,4844000,7039000,4648000,3783000,5246000,5621000,5651000,5645000,51000,38320000,53121000,58288000,55334000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3379000,2330000,2642000
61,Total Liabilities,- -,588378,1346796,1555023,44886718,20211000,25706000,13563000,9973000,9680000,6961000,8549000,7747000,8999000,10738000,5341000,59983000,64641000,73176000,78992000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10481547,34715802,81926984,- -,- -,- -,18000,19000,21000,21000,23000,29000,29000,34000,39000,74000,109000,18000,34000
64,Retained Earnings,- -,-6386973,-9166050,-21200156,-42269295,-151950000,-224537000,-227048000,-218295000,-226923000,-251758000,-263658000,-277013000,-270666000,-292213000,-310820000,-363991000,-465286000,-510680000,-569097000
65,Other Comprehensive Income/Loss,- -,158,54355,15766,1176041,10910000,6969000,2071000,521000,1429000,942000,920000,1044000,945000,852000,833000,838000,840000,841000,841000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,248500000,250796000,262906000,264431000,270415000,290864000,293060000,312208000,323284000,374766000,472667000,528362000,- -
67,Total Stockholders Equity,- -,4094732,25604107,60742594,129961694,65907000,30078000,23541000,33041000,37433000,13636000,7700000,14924000,23368000,20881000,13336000,11687000,8330000,18541000,184380000
68,Total Liabilities And Stockholders Equity,- -,4683110,26950903,62297617,174848412,86118000,55784000,37104000,43014000,47113000,20597000,16249000,22671000,32367000,31619000,18677000,71670000,72971000,91717000,263372000
69,Minority Interest,- -,137285,1100166,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4820395,28051069,62297617,174848412,86118000,55784000,37104000,43014000,47113000,20597000,16249000,22671000,32367000,31619000,18677000,71670000,72971000,91717000,263372000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314102/000119312508202144/0001193125-08-202144-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312509198276/0001193125-09-198276-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312510217638/0001193125-10-217638-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312511246966/0001193125-11-246966-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312512406956/0001193125-12-406956-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312513382009/0001193125-13-382009-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312514338993/0001193125-14-338993-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312515316983/0001193125-15-316983-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312516708358/0001193125-16-708358-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312517283875/0001193125-17-283875-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312518276414/0001193125-18-276414-index.html,- -,https://www.sec.gov/Archives/edgar/data/1314102/000156459021012894/0001564590-21-012894-index.htm,https://www.sec.gov/Archives/edgar/data/1314102/000156459022009929/0001564590-22-009929-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1857630,-2559459,-11183322,-20913351,-103675000,-75670000,-2511000,8753000,-8628000,-24835000,-11900000,-13355000,6347000,-21547000,-18485000,-53171000,-56793000,-45394000,-58417000
74,Depreciation and Amortization,- -,212087,240941,1241846,8699333,8718000,397000,3438000,3326000,3355000,2227000,994000,917000,882000,908000,815000,1148000,2604000,2649000,2771000
75,Deferred Income Tax,- -,- -,- -,- -,-7068455,-23529000,-535000,-94000,- -,-209000,-13000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,872000,1495000,2052000,1411000,1317000,1411000,1961000,2163000,2456000,2704000,4568000,5547000,7447000
77,Change in Working Capital,- -,259155,564364,-339067,2189265,147000,13455000,-10452000,-4015000,1211000,-2715000,692000,389000,1009000,2073000,318000,925000,-12536000,20136000,-1739000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-290000,285000,- -,364000,103000,-124000,116000,219000,7000,-15304000,4846000,-10603000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1859000,-3200000,1347000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-2156000,110000,-64000,64000,277000,-213000,292000,626000,-346000,1747000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-7888000,-3527000,880000,-1895000,35000,-230000,-76000,108000,-106000,-70000,31000,16618000,-959000
82,Other Non-Cash Items,- -,-1673572,-3680983,936431,954456,97124000,57210000,311000,340000,-951000,14924000,152000,-33000,98000,87000,-5594000,26487000,5458000,2627000,-159000
83,Cash Provided by Operating Activities,- -,-3059960,-5435137,-9344112,-16138752,-21215000,-5143000,-8436000,9899000,-3170000,-9001000,-8745000,-10671000,10297000,-16316000,-20490000,-21907000,-56699000,-14435000,-50097000
84,CAPEX,- -,-35576,-366329,-2589720,-1154351,-82000,-272000,-195000,-15000,-133000,-405000,-68000,-248000,-161000,-113000,-147000,-108000,-213000,-362000,-156000
85,Acquisitions Net,- -,-418300,- -,- -,-2994546,1855000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16780000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2054000,-15963000,-15392000,-7758000,-2964000,-10222000,-17517000,-5052000,- -,- -,- -,-32965000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6598000,16403000,14184000,3350000,3650000,13168000,18743000,- -,- -,- -,- -
88,Other Investing Activites,- -,418977,- -,-3527385,19236,- -,13000,- -,- -,- -,- -,- -,-72000,- -,- -,33000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-34899,-366329,-6117105,-4129661,1773000,-259000,-195000,-2069000,-9498000,606000,6358000,66000,-6733000,-4462000,13577000,-16888000,-213000,-362000,-33121000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-13843000,-146000
91,Common Stock Issued,- -,604620,25368448,2784340,8869611,27481000,20622000,- -,- -,10043000,- -,4669000,18057000,- -,16500000,8404000,41515000,22627000,49918000,216825000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-31865,310502,-20824,12782962,-17353000,-2237000,- -,802000,17000,114000,- -,987000,235000,490000,99000,19156000,31237000,1417000,223000
95,Cash Used/Provided by Financing Activities,- -,572755,25678950,2763516,21652573,10128000,18385000,- -,802000,10060000,114000,4669000,19044000,235000,16990000,8503000,60671000,33864000,37492000,216902000
96,Effect of Forex Changes on Cash,- -,-78686,1088011,-1319756,512549,-1117000,-44000,-79000,-17000,6000,-6000,-8000,-4000,-12000,-20000,-5000,2000,1000,- -,- -
97,Net Change In Cash,- -,-2600790,20965496,-14017457,1896710,-10431000,12939000,-8710000,8615000,-2602000,-8287000,2274000,8435000,3787000,-3808000,1585000,21878000,-23047000,22695000,133684000
98,Cash at the End of Period,- -,792814,21785571,9790231,11469065,2668000,15609000,6899000,15514000,12912000,4625000,6899000,15334000,19121000,15313000,16898000,38926000,22364000,45059000,178743000
99,Cash at the Beginning of Period,- -,3393604,820075,23807688,9572355,13099000,2670000,15609000,6899000,15514000,12912000,4625000,6899000,15334000,19121000,15313000,17048000,45411000,22364000,45059000
100,Free Cash Flow,- -,-3095536,-5801466,-11933832,-17293103,-21297000,-5415000,-8631000,9884000,-3303000,-9406000,-8813000,-10919000,10136000,-16429000,-20637000,-22015000,-56912000,-14797000,-50253000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314102/000119312508202144/0001193125-08-202144-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312509198276/0001193125-09-198276-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312510217638/0001193125-10-217638-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312511246966/0001193125-11-246966-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312512406956/0001193125-12-406956-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312513382009/0001193125-13-382009-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312514338993/0001193125-14-338993-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312515316983/0001193125-15-316983-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312516708358/0001193125-16-708358-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312517283875/0001193125-17-283875-index.html,https://www.sec.gov/Archives/edgar/data/1314102/000119312518276414/0001193125-18-276414-index.html,- -,https://www.sec.gov/Archives/edgar/data/1314102/000156459021012894/0001564590-21-012894-index.htm,https://www.sec.gov/Archives/edgar/data/1314102/000156459022009929/0001564590-22-009929-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
