,https://roic.ai/company/CERT,2018,2019,2020,2021
49,Short-Term Debt,3437000,4258000,4955000,8256000
50,Tax Payable,207000,51000,912000,- -
51,Deferred Revenue,37521000,26240000,30662000,45496000
52,Other Current Liabilities,19585000,27587000,33334000,31015000
53,Total Current Liabilities,65451000,63002000,75345000,92225000
54,Long-Term Debt,404795000,397121000,294100000,300002000
55,Deferred Revenue,2763000,1137000,545000,1531000
56,Deferred Tax Liabilities,85667000,82160000,75894000,76098000
57,Other Non-Current Liabilities,48000,1601000,1384000,25000
58,Total Non-Current Liabilities,493273000,482019000,371923000,377656000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,332000,48000,593000,- -
61,Total Liabilities,558724000,545021000,447268000,469881000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1324000,1324000,1529000,- -
64,Retained Earnings,-14432000,-12941000,-62338000,-75604000
65,Other Comprehensive Income/Loss,-1647000,-5497000,-1587000,-3926000
66,Other Total Stockholders Equity,507524000,509162000,884528000,1121379000
67,Total Stockholders Equity,492769000,492048000,822132000,1041849000
68,Total Liabilities And Stockholders Equity,1051493000,1037069000,1269400000,1511730000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1051493000,1037069000,1269400000,1511730000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1827090/000155837021002979/0001558370-21-002979-index.htm,https://www.sec.gov/Archives/edgar/data/1827090/000155837022002608/0001558370-22-002608-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-33258000,-8926000,-49397000,-13266000
74,Depreciation and Amortization,37011000,41560000,42753000,45115000
75,Deferred Income Tax,-3548000,-6703000,-7825000,-1184000
76,Stock Based Compensation,- -,- -,64507000,29483000
77,Change in Working Capital,8318000,21042000,246718000,-88737000
78,Accounts Receivable,-2031000,-1521000,-3932000,-10066000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-6357000,10031000,2381000,1130000
81,Other Working Capital,3479000,24521000,271239000,182502000
82,Other Non-Cash Items,3069000,-8948000,-251946000,88977000
83,Cash Provided by Operating Activities,11592000,38025000,44810000,60388000
84,CAPEX,-4758000,-2107000,-7937000,-1143000
85,Acquisitions Net,-62420000,- -,-675000,-261020000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-6727000,-7410000,-7937000,-8902000
89,Cash Used for Investing Activites,-73905000,-9517000,-8612000,-269922000
90,Debt Repayment,-8981000,-8436000,-124238000,-3973000
91,Common Stock Issued,1110000,650000,316551000,133351000
92,Common Stock Repurchased,- -,- -,-1079000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,65167000,-703000,16980000,-5987000
95,Cash Used/Provided by Financing Activities,57296000,-8489000,208214000,123391000
96,Effect of Forex Changes on Cash,-1337000,-2444000,-883000,-524000
97,Net Change In Cash,-6354000,17575000,243529000,-86667000
98,Cash at the End of Period,12187000,29762000,273291000,186624000
99,Cash at the Beginning of Period,18541000,12187000,29762000,273291000
100,Free Cash Flow,6834000,35918000,36873000,59245000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1827090/000155837021002979/0001558370-21-002979-index.htm,https://www.sec.gov/Archives/edgar/data/1827090/000155837022002608/0001558370-22-002608-index.htm
102,false,,,,
