,https://roic.ai/company/MTDR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,4210217,34408108,93377246,156433000,221079000,407963000,515072000,603715000,605538000,1345839000,1700452000,1883319000,1669928000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,5218000,6251000,9034000,7743000,16009000,12611000,12705000,18223000,24276000,32182000
61,Total Liabilities,13078375,64504614,167953323,252925000,321406000,569750000,651902000,773220000,888144000,1675861000,2100224000,2174255000,2134765000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,414737,437805,439473,568000,670000,734000,856000,995000,1085000,1164000,1166000,1169000,1179000
64,Retained Earnings,22760408,28862518,18278652,-15010000,30084000,140855000,-538930000,-636351000,-510484000,-236277000,-148500000,-741705000,-171318000
65,Other Comprehensive Income/Loss,-122459957,-138014986,-205441724,-349370000,-468995000,-603732000,-1583659000,-1864311000,-2041806000,-2306949000,-2655586000,- -,- -
66,Other Total Stockholders Equity,363606202,390591806,458238792,742916000,1007165000,1328551000,2609736000,3189792000,3707761000,4230942000,4636574000,2027066000,- -
67,Total Stockholders Equity,264321390,281877143,271515193,379104000,568924000,866408000,488003000,690125000,1156556000,1688880000,1833654000,1286530000,1907210000
68,Total Liabilities And Stockholders Equity,277399765,346381757,439468516,632029000,890330000,1436158000,1139905000,1463345000,2044700000,3364741000,3933878000,3460785000,4041975000
69,Minority Interest,- -,- -,- -,- -,- -,133000,956000,1320000,100990000,90777000,135798000,226495000,220178000
70,Total Liabilities & Equity,277399765,346381757,439468516,632029000,890330000,1436291000,1140861000,1464665000,2145690000,3455518000,4069676000,3687280000,4262153000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520006/000119312513111031/0001193125-13-111031-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000614000017/0001520006-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000615000008/mtdr10-k12312014.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000616000245/0001520006-16-000245-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000617000074/0001520006-17-000074-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000618000053/0001520006-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000619000048/0001520006-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000620000037/0001520006-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000621000056/0001520006-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000622000065/0001520006-22-000065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-14425342,6376963,-10309013,-33261000,45094000,110771000,-679785000,-97421000,125867000,274207000,87777000,-593205000,584968000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361831000,- -
75,Deferred Income Tax,-7600811,4931783,-5475828,-1430000,9293000,64242000,-150327000,- -,- -,-7236000,35532000,-45599000,74710000
76,Stock Based Compensation,- -,- -,- -,140000,3897000,5524000,9450000,12362000,16654000,17200000,18505000,13625000,9039000
77,Change in Working Capital,-15716798,-114048692,-50704780,-19995005,140000,9691000,38641000,119500000,-135113000,1099000,-96943000,91973000,-982000
78,Accounts Receivable,408710,-385671,-1523011,-16342000,-2160000,-13318000,3633000,-14259000,-82549000,-4934000,-43261000,53001000,-98456000
79,Inventory,-799844,-8078,22412,50000,243000,-211000,-180000,-700000,-3623000,-12176000,4777000,-655000,-1537000
80,Accounts Payable,- -,- -,- -,19740000,-3638000,607000,1375000,6611000,33559000,68647000,-19004000,-43844000,76891000
81,Other Working Capital,126453477,12404785,-38299995,-58295000,-58155000,-48464000,-9823000,109677000,-25436000,-24337000,-121280000,-29307000,- -
82,Other Non-Cash Items,39533999,130012985,128357927,178774005,121046000,61253000,990556000,99645000,291717000,323253000,507171000,648957000,385620000
83,Cash Provided by Operating Activities,1791048,27273039,61868306,124228000,179470000,251481000,208535000,134086000,299125000,608523000,552042000,477582000,1053355000
84,CAPEX,-54550480,-160659948,-161102104,-308021000,-367169000,-570001000,-497214000,-453912000,-820261000,-1523586000,-925897000,-780455000,-733480000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-24000000,- -,- -,-653000000,-51000000,- -,- -
86,Purchases of Investments,-15500424,-3739000,-4298000,-496000,-61000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,20607012,17065033,5312313,1601000,291000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,28732,- -,- -,- -,- -,-530000,96060000,48272000,-3742000,661333000,72921000,-702857000,-490656000
89,Cash Used for Investing Activites,-49415160,-147333915,-160087791,-306916000,-366939000,-570531000,-425154000,-405640000,-824003000,-1515253000,-903976000,-775666000,-729265000
90,Debt Repayment,- -,- -,-103000000,-123000000,-130000000,-180000000,-476982000,-120000000,- -,-975780000,-35918000,-35000000,-684000000
91,Common Stock Issued,32146050,20479719,591492,146510000,149069000,181875000,188720000,288510000,208720000,226612000,- -,- -,- -
92,Common Stock Repurchased,-32066965,-10292555,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-274853,-274853,-274853,-96000,- -,- -,- -,- -,- -,- -,- -,- -,-14581000
94,Other Financing Activites,1281500,26978375,190127507,151085000,172592000,319295000,513206000,299196000,199779000,1637400000,368996000,359339000,370028000
95,Cash Used/Provided by Financing Activities,1085732,36890686,87444146,174499000,191661000,321170000,224944000,467706000,408499000,888232000,333078000,324339000,-328553000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-46538380,-83170190,-10775339,-8189000,4192000,2120000,8325000,196152000,-116379000,-18498000,-18856000,26255000,-4463000
98,Cash at the End of Period,104229709,21059519,10284180,2095000,6287000,8407000,16732000,212884000,96505000,83984000,65128000,91383000,86920000
99,Cash at the Beginning of Period,150768089,104229709,21059519,10284000,2095000,6287000,8407000,16732000,212884000,102482000,83984000,65128000,91383000
100,Free Cash Flow,-52759432,-133386909,-99233798,-183793000,-187699000,-318520000,-288679000,-319826000,-521136000,-915063000,-373855000,-302873000,319875000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520006/000119312513111031/0001193125-13-111031-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000614000017/0001520006-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000615000008/mtdr10-k12312014.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000616000245/0001520006-16-000245-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000617000074/0001520006-17-000074-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000618000053/0001520006-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000619000048/0001520006-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000620000037/0001520006-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000621000056/0001520006-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000622000065/0001520006-22-000065-index.htm
102,false,,,,,,,,,,,,,
