,https://roic.ai/company/DGICB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800457/000089322005000559/0000893220-05-000559-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322006000518/0000893220-06-000518-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322007000708/0000893220-07-000708-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322008000693/0000893220-08-000693-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322009000521/0000893220-09-000521-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000095012310023520/0000950123-10-023520-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000095012311025153/0000950123-11-025153-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312512108324/0001193125-12-108324-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312513103135/0001193125-13-103135-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312514099506/0001193125-14-099506-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312515089251/0001193125-15-089251-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312516510014/0001193125-16-510014-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312517078661/0001193125-17-078661-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312518077161/0001193125-18-077161-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312519074944/0001193125-19-074944-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312520065229/0001193125-20-065229-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312521071327/0001193125-21-071327-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000114036122008115/0001140361-22-008115-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1747572,2912122,3413315,8227042,3922403,5185797,4075288,1124604,5908521,7350330,3811011,531756,4289365,1830954,12923898,16342212,13245378,19801290,27636416,35578509,28139144,24587214,37833435,52594461,49318930,103094236,57709000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,14498579,21207503,22712787,30521887,15995257,18583856,24074200,29029418,78344125,47368509,30653668,41484874,70252223,71952469,56100415,40775993,40461410,727093306,515752597,486265454,552086862,571533789,600441208,543307064,578982025,576036172,545321000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,16246151,24119625,26126102,38748929,19917660,23769653,28149488,30154022,84252646,54718839,34464679,42016630,74541588,73783423,69024313,57118205,53706788,746894596,543389013,521843963,580226006,596121003,638274643,595901525,628300955,679130408,603030000
34,Net Receivables,- -,- -,- -,2800000,4200000,5300000,6200000,7900000,9100000,43285133,47706926,52851920,68721257,72250731,85090820,92339346,109493754,110026046,147597431,142573692,148624254,129935407,58790988,62438360,97845257,108884635,333089800,369752560,387524328,402483180,432730835,469864625,519365748,532759378,581662227,642387000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-193913692,-200735270,-176100371,604107116,4687079005,2561169589,13380727327,16616231538,14590286577,-136557596,30207779,-720189173,-799870149,-835503950,-898849486,-889221802,-931978232,-1157630723,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000,1581000,938000,794748000,4891556000,2693744000,13512190000,16771195000,14752878000,943426800,943349352,189179118,182839037,193347888,209289782,226045471,229082101,103161912,- -
38,PP&E,- -,- -,- -,1100000,1400000,1400000,1300000,1500000,1600000,2282570,2160806,4938524,5920420,5516688,5016664,4568652,4430394,4151671,5508840,5234423,5146305,5608129,6686684,6592223,7069086,6154383,5953833,6424703,7668340,7027143,6668489,7280415,4690704,4558072,4390377,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5493316,5625354,5625354,5625354,5625354,5625354,5625354,5625354,5625354,5625354,5625354,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,958010,958010,958010,958010,958010,958010,958010,958010,958010,958010,958010,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6451326,6583364,6583364,6583364,6583364,6583364,6583364,6583364,6583364,6583364,6583364,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332299094,421276467,490204591,539304568,582874615,597220769,632135526,666835186,728541814,785308991,806429032,791808307,832941077,900822274,945519655,1005869705,1030798566,1110553363,1221201784,1276846000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5683113,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-423849138,-494420431,-543370991,-551071109,-4660289142,-2452457174,-13250015482,-16338637703,-14260131260,-425503842,-362755224,422282745,440562597,471011641,508896512,563960162,572384231,-1221201784,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1579000,1293000,1168000,36949811,-4057460244,-1813634964,-12576588073,-15596575477,-13462084522,393462387,442061150,1269475526,1354995378,1429783149,1528629996,1606032796,1694079030,16656854,- -
46,Other Assets,36600000,45600000,63500000,74700000,86700000,96700000,111400000,169500000,192000000,235704366,273128543,304104505,385231506,399732657,439100801,456632372,501218164,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2255175000
47,Total Assets,36600000,45600000,63500000,74700000,86700000,96700000,111400000,169500000,192000000,235704366,273128543,304104505,385231506,399732657,439100801,456632372,501218164,1944000,2874000,2106000,831697811,834095756,880109036,935601927,1174619523,1290793478,1336889187,1385410502,1458654644,1537834415,1623131037,1737919778,1832078267,1923161131,119818766,2255175000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3125879,3493731,3234068,3684127,4313809,959652,4854230,6057615,3004231,3235485,4143583,4933178,1820016,3387390,9390299,19140322,1548953,13941337,17948808,7841172,3480406,4369528,4116159,3882193,2116084,3233523,- -
49,Short-Term Debt,- -,- -,- -,2700000,3700000,3700000,4500000,- -,- -,- -,- -,- -,37500000,37000000,40000000,27600000,3800000,- -,- -,- -,- -,- -,- -,- -,35617371,54500000,52000000,58000000,53500000,81000000,69000000,59000000,60000000,35000000,85000000,35000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357547,315808,- -,- -,- -,375736,- -,- -,- -,- -,583977,- -,- -,- -,- -,- -,- -,84831,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3387395822,- -,1817186610,6819482701,- -,- -,349730743,365537475,408646363,426595357,466055228,503456541,503650223,508032520,1766477,- -
53,Total Current Liabilities,- -,- -,- -,2700000,3700000,3700000,4500000,- -,- -,- -,- -,- -,41184127,41313809,40959652,32454230,9857615,- -,- -,- -,3392329000,- -,1820574000,6828873000,54757693,56048953,415672080,441486283,469987535,511075763,539424756,566572700,567532416,545148604,90000000,35000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,8500000,10500000,- -,- -,- -,- -,16000000,25774000,30929000,30929000,30929000,30929000,15465000,15465000,20465000,20465000,20465000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31535000,53000000,65646303,95443807,83043413,61128843,68069755,30084831,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,8500000,10500000,- -,- -,- -,- -,16000000,25774000,30929000,30929000,30929000,30929000,15465000,15465000,20465000,20465000,52000000,58000000,70646303,100443807,88043413,66128843,73069755,35084831,5000000,- -
59,Other Liabilities,16800000,27100000,43300000,47600000,55100000,60800000,70300000,112200000,131000000,168421474,200351172,223007842,243416375,255004236,284395894,303249793,374177699,419160810,523640087,534454402,- -,512334565,- -,- -,760224020,871757933,573183013,605047108,643178769,718813891,733134374,788779817,938745705,962081839,1557746204,1689139000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,16800000,27100000,43300000,50300000,58800000,64500000,74800000,112200000,131000000,163421474,191851172,212507842,284600502,296318045,325355546,335704023,368035314,393386810,492711087,503525402,510895549,481405565,516525171,550096228,794516713,907341886,936855093,988533391,1042520001,1129445847,1184515717,1289223674,1433208366,1472145612,1642746204,1724139000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4326362,4540569,6122431,8325221,8574210,8980977,91192,92938,129323,135727,186043,254834,258172,261440,262192,263058,264022,265911,274360,280386,291510,301326,312137,314686,318532,333010,344000
64,Retained Earnings,200000,1200000,1300000,4800000,8500000,12300000,16400000,21500000,26100000,32939132,39891672,46422454,50610792,54269399,59968558,59979425,68417956,81375829,106730106,134136864,163986701,193806855,207182253,214755495,213435095,199604700,209670214,222888887,223253887,229024370,244942913,236893041,192751208,223267573,258387288,263745000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4911953,5290923,4749965,2532073,5061174,6974411,1713836,15007044,8561086,23533447,26394577,-2312890,5353269,773744,-2254271,-2684275,-14228059,504170,11130612,3284000
66,Other Total Stockholders Equity,19600000,17300000,18900000,19600000,19400000,19900000,20200000,35800000,34900000,35017398,36845130,39051778,41694991,40571003,44795720,60857732,59760003,121853157,131088516,141041206,151499553,151650753,154426336,155480968,157843571,160049423,163703392,176026754,187247101,178298944,195625352,214175201,220032066,226925244,247923210,263663000
67,Total Stockholders Equity,19800000,18500000,20200000,24400000,27900000,32200000,36600000,57300000,61000000,72282892,81277371,91596663,100631004,103414612,113745255,120928349,133182850,208649232,242704314,277896186,320802262,352690191,363583865,385505699,380102810,383451592,400034094,396877111,416134643,408388568,438615320,448696104,398869901,451015519,517774120,531036000
68,Total Liabilities And Stockholders Equity,36600000,45600000,63500000,74700000,86700000,96700000,111400000,169500000,192000000,235704366,273128543,304104505,385231506,399732657,439100801,456632372,501218164,602036042,735415401,781421588,831697811,834095756,880109036,935601927,1174619523,1290793478,1336889187,1385410502,1458654644,1537834415,1623131037,1737919778,1832078267,1923161131,2160520324,2255175000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600092042,-732541401,-779315588,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2040701558,- -
70,Total Liabilities & Equity,36600000,45600000,63500000,74700000,86700000,96700000,111400000,169500000,192000000,235704366,273128543,304104505,385231506,399732657,439100801,456632372,501218164,1944000,2874000,2106000,831697811,834095756,880109036,935601927,1174619523,1290793478,1336889187,1385410502,1458654644,1537834415,1623131037,1737919778,1832078267,1923161131,119818766,2255175000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800457/000089322005000559/0000893220-05-000559-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322006000518/0000893220-06-000518-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322007000708/0000893220-07-000708-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322008000693/0000893220-08-000693-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322009000521/0000893220-09-000521-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000095012310023520/0000950123-10-023520-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000095012311025153/0000950123-11-025153-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312512108324/0001193125-12-108324-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312513103135/0001193125-13-103135-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312514099506/0001193125-14-099506-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312515089251/0001193125-15-089251-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312516510014/0001193125-16-510014-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312517078661/0001193125-17-078661-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312518077161/0001193125-18-077161-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312519074944/0001193125-19-074944-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312520065229/0001193125-20-065229-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312521071327/0001193125-21-071327-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000114036122008115/0001140361-22-008115-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,4000000,4400000,4500000,4900000,6400000,6100000,9857950,8896113,10641186,9017840,6656937,8887357,5818131,12002722,18293976,31614269,36949497,40214722,38279905,25541978,18830078,11467179,452953,23092620,26321992,14539018,20990033,30801137,7116100,-32760340,47151744,52815252,25254000
74,Depreciation and Amortization,- -,- -,- -,100000,200000,200000,200000,200000,300000,400000,200000,400000,500000,936373,838805,1127510,1236592,1532664,2472813,3066227,2714863,2446126,2401345,2552186,3143767,4106561,3950693,3049101,3523692,6740346,6587282,6109869,6609632,5573074,6721621,5837809
75,Deferred Income Tax,- -,- -,- -,- -,-900000,-500000,-600000,-700000,-300000,-500000,- -,- -,200000,-3790122,491799,-1360633,-579654,-352731,-405256,583857,1085320,1029042,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6448,1095306
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000,1216000,-643000,-2598519000,7489137000,-4018386000,5810147000,10087878000,-2018317000,-14225123280,-25891651,-782671486,-47428309,-17840142,-11206050,15795973,25420442,329228415,57242056
78,Accounts Receivable,- -,- -,- -,-1100000,-1400000,-1100000,-1000000,-6000000,-7300000,-5500000,-14000000,-1300000,-1200000,-500287,4954509,-20851936,11522049,-3306576,-18598399,-3231788,-10925834,14674858,-3173057,-5849751,-7478337,-8247378,-18550566,-35053942,-18799109,-14052673,-21422151,-36331320,-41322320,-32683102,-45750765,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-100000,100000,- -,- -,20200000,15300000,16100000,23900000,5100000,2300000,-569880,9862,38015477,10169376,18513337,1166057,10619787,3804061,-27757697,- -,994610,-320278,899017,-6098002,4007471,-10107636,-4360766,889122,-253369,-233966,-1766109,1117439,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000,1581000,938000,-2597581000,4891556000,873170000,6683317000,16771195000,14752878000,527754720,501863069,-280808417,-328236726,-346076868,-357282918,-341486945,-316066503,13161912,70403968
82,Other Non-Cash Items,- -,- -,- -,4400000,4600000,6500000,6100000,12000000,7600000,8020900,10264771,2376222,-3166000,2700015,8655161,16419774,21416510,10954890,-900753,8974957,2588255268,-7504239706,4043416667,-5797431756,-10080484143,2034838797,14223044592,42529027,809123213,86102103,40481845,78980279,74130869,-1785483,-287637336,-12697203
83,Cash Provided by Operating Activities,- -,- -,- -,7200000,8300000,10700000,10600000,17900000,13700000,17778850,19360884,13417408,6551840,6503203,18873122,22004782,34076170,30793799,33997073,48931538,33751173,26652367,52973990,34097508,22004803,21081311,24964625,46008469,44514437,66404173,60030122,81000198,63776134,76359777,101134400,76731968
84,CAPEX,- -,- -,- -,-1100000,-400000,-200000,-100000,-400000,-300000,-334894,-242915,-2758851,-650014,-443498,-275982,-161269,-552005,-371477,-521095,-703600,-848719,-1363622,-1222246,-941020,-651160,-238538,-744082,-1254767,-2127311,-151536,-384207,-1090726,-105525,-149603,-89702,1224806
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5300000,-202243,- -,-18028072,-48810,- -,- -,- -,- -,-33729152,- -,- -,- -,-3352938,- -,-35088228,-7207471,-100000,1139800,- -,1783700,- -,- -,- -,33922773,- -,- -
86,Purchases of Investments,- -,- -,- -,-29900000,-16100000,-26700000,-40100000,-54700000,-39500000,-6072439,-9077146,-11840576,-15824465,-14258861,-28286533,-12440994,-129976401,-226776927,-20631815,-21643113,-111021584,-97582634,-250428017,-197572838,-254390225,-233539398,-272597409,-195643358,-216846788,-227176406,-222003802,-206758152,-182933649,-283436315,-340512874,-25354790
87,Sales/Maturities of Investments,- -,- -,- -,21600000,8200000,16700000,29300000,28100000,34600000,20140324,10032231,6695236,33462261,26797793,30702854,18704946,125021183,137879408,156165543,125239692,100167035,84589371,224030723,192040999,246939569,209876044,268683561,167686850,189789112,151263676,171069663,149405496,145433167,206285966,240927251,8207814
