,https://roic.ai/company/ZLAB,2015,2016,2017,2018,2019,2020
74,Depreciation and Amortization,126507,199005,548127,1649775,3766000,4640000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2701404,4925278,9931106,12229643,20291000,24830000
77,Change in Working Capital,1710499,69630110,139626669,1757393,25526097,18246000
78,Accounts Receivable,- -,- -,- -,-89708,-3701000,-1375000
79,Inventory,- -,- -,- -,-3822,-6001000,-7168000
80,Accounts Payable,1287687,-929716,8444347,28464350,-14772000,39981000
81,Other Working Capital,9288731,78918841,218545510,220302903,245829000,14289000
82,Other Non-Cash Items,2018417,-69400212,-132088907,25900062,-45523097,5134000
83,Cash Provided by Operating Activities,-11464910,-32158031,-32367181,-97538022,-191011000,-216055000
84,CAPEX,-738470,-2229497,-9117020,-10117839,-15242000,-10669000
85,Acquisitions Net,- -,- -,-1900000,-2086058,- -,- -
86,Purchases of Investments,- -,-500000,- -,-200350000,-277640000,-949161000
87,Sales/Maturities of Investments,- -,- -,500000,- -,277990000,405000000
88,Other Investing Activites,- -,-5615,82789,- -,- -,-539000
89,Cash Used for Investing Activites,-738470,-2729497,-10434231,-212553897,-14892000,-554830000
90,Debt Repayment,- -,- -,- -,- -,-4351000,-6527000
91,Common Stock Issued,- -,- -,160424994,141000000,216200000,1137683000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18278572,106200000,27435201,3146800,7453000,1284000
95,Cash Used/Provided by Financing Activities,18278572,106200000,187860195,144146800,219302000,1132440000
96,Effect of Forex Changes on Cash,-66770,-524398,652595,-763422,91000,4862000
97,Net Change In Cash,6008422,70788074,145711378,-166708541,13490000,366417000
98,Cash at the End of Period,13160696,83948770,229660148,62951607,76442000,442859000
99,Cash at the Beginning of Period,7152274,13160696,83948770,229660148,62952000,76442000
100,Free Cash Flow,-12203380,-34387528,-41484201,-107655861,-206253000,-226724000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1704292/000156459019010185/0001564590-19-010185-index.html,https://www.sec.gov/Archives/edgar/data/1704292/000156459020019745/zlab-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1704292/000119312521062279/0001193125-21-062279-index.htm
102,false,,,,,,
