,https://roic.ai/company/HTIA,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,-23322000,- -
37,Total Current Assets,111833000,202903000,25552000,29225000,94177000,77264000,95691000,72357000,2696256000
38,PP&E,- -,- -,- -,- -,- -,- -,14400000,- -,7914000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,241459000,234749000,256678000,256452000,269616000,276015000,288372000
41,Intangible Assets,- -,- -,241459000,234749000,256678000,256452000,269616000,276015000,288372000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,-562733000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,48373000,1654807000,2004981000,1929731000,2021006000,2043730000,1945596000,- -,562733000
45,Total Non-Current Assets,48373000,1654807000,2246440000,2164480000,2277684000,2300182000,2229612000,276015000,296286000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,160206000,1857710000,2271992000,2193705000,2371861000,2377446000,2325303000,348372000,2214400000
48,Accounts Payable,962000,22248000,38449000,27080000,38112000,40298000,43094000,42271000,- -
49,Short-Term Debt,- -,- -,430000000,481500000,534869000,764000,605269000,674551000,584239000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,-605269000,-131853000,- -
53,Total Current Liabilities,962000,22248000,468449000,508580000,572981000,41062000,43094000,584969000,584239000
54,Long-Term Debt,- -,- -,430000000,481500000,534869000,602622000,605269000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,589761000
58,Total Non-Current Liabilities,- -,- -,430000000,481500000,534869000,602622000,605269000,- -,589761000
59,Other Liabilities,1095000,113399000,- -,- -,- -,1705869000,1786144000,740554000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,9133000,9155000,- -
61,Total Liabilities,2057000,135647000,679872000,698249000,1024307000,1144309000,1223969000,1325523000,1174000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,16000,16000,- -
63,Common Stock,75000,837000,861000,894000,910000,919000,923000,938000,993000
64,Retained Earnings,-3878000,-129406000,-316284000,-486574000,-665026000,-804331000,-971190000,- -,- -
65,Other Comprehensive Income/Loss,- -,463000,-6000,- -,2473000,4582000,-7043000,-39673000,-14341000
66,Other Total Stockholders Equity,161952000,1850169000,1907549000,1981136000,2009197000,2031967000,2078628000,995704000,1053748000
67,Total Stockholders Equity,158149000,1722063000,1592120000,1495456000,1347554000,1233137000,1101334000,956985000,1040400000
68,Total Liabilities And Stockholders Equity,160206000,1857710000,2271992000,2193705000,2371861000,2377446000,2325303000,2282508000,2214400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-1934136000,- -
70,Total Liabilities & Equity,160206000,1857710000,2271992000,2193705000,2371861000,2377446000,2325303000,348372000,2214400000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1561032/000156103214000003/0001561032-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103215000008/0001561032-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103216000021/0001561032-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103217000002/0001561032-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103218000003/0001561032-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103219000002/0001561032-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103220000004/0001561032-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103221000004/0001561032-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103222000002/0001561032-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-221000,-37712000,-41741000,-20874000,-42548000,-52762000,-88087000,-75510000,-85440000
74,Depreciation and Amortization,1077000,30151000,122627000,101640000,82471000,83467000,81028000,80973000,79926000
75,Deferred Income Tax,- -,- -,953000,-327000,1455000,- -,- -,4641000,- -
76,Stock Based Compensation,16000,73000,60000,160000,470000,1244000,1319000,1345000,- -
77,Change in Working Capital,- -,69784000,-623552000,-36458000,551000,515006000,16395000,-565209000,2624629000
78,Accounts Receivable,- -,- -,-12535000,-8210000,-6242000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,327000,10877000,5203000,545000,8688000,- -,- -,- -,- -
81,Other Working Capital,110871000,180655000,-442897000,-479355000,-478804000,36202000,52597000,-512612000,2112017000
82,Other Non-Cash Items,-1636000,-66983000,607464000,35269000,21568000,-492804000,36749000,595567000,-2619115000
83,Cash Provided by Operating Activities,-764000,-4687000,65811000,79410000,63967000,54151000,47404000,41807000,- -
84,CAPEX,- -,-807000,-6885000,-7476000,-8278000,-12910000,-16719000,-21892000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-541000,-10413000,-12184000,-33599000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-41083000
88,Other Investing Activites,-46484000,-1529786000,-539536000,568000,-152532000,-115063000,-46249000,-82491000,- -
89,Cash Used for Investing Activites,-46484000,-1531134000,-556834000,-19092000,-194409000,-115063000,-46249000,-82491000,- -
90,Debt Repayment,-7000,-5408000,-13283000,-3040000,-14388000,-143263000,-436097000,-27139000,- -
91,Common Stock Issued,184006000,1853231000,6000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-541000,-10413000,-12184000,-33599000,-14202000,-21113000,-11555000,- -
93,Dividends Paid,-1305000,-35165000,-66214000,-75432000,-76717000,-55329000,-51427000,-33753000,- -
94,Other Financing Activites,-23616000,-205512000,422784000,35089000,324547000,262476000,527723000,91878000,- -
95,Cash Used/Provided by Financing Activities,159078000,1606605000,332880000,-55567000,199843000,49682000,19086000,19431000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,70784000,-158143000,4751000,102588000,-11230000,20241000,-21253000,- -
98,Cash at the End of Period,111833000,182617000,24474000,29225000,102588000,91358000,111599000,90346000,- -
99,Cash at the Beginning of Period,111833000,111833000,182617000,24474000,- -,102588000,91358000,111599000,90346000
100,Free Cash Flow,-764000,-5494000,58926000,71934000,55689000,41241000,30685000,19915000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1561032/000156103214000003/0001561032-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103215000008/0001561032-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103216000021/0001561032-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103217000002/0001561032-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103218000003/0001561032-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103219000002/0001561032-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103220000004/0001561032-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103221000004/0001561032-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103222000002/0001561032-22-000002-index.htm
102,false,,,,,,,,,
