,https://roic.ai/company/CGC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,-21393,-931657,-7737103,- -,-2749000,-15215000,-82281000,-577039000,-1668963000,-1243456000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-6.7534,- -,-0.2165,-0.3814,-1.0556,-2.5494,-4.1853,-2.2747
19,Total Other Income Expenses (Gains),- -,- -,- -,-1268,-1194272,- -,-621000,-1844000,29740000,-80737000,159909000,-440505000
20,Income Before Tax,- -,- -,-21393,-932925,-8931375,- -,-3370000,-17059000,-52541000,-657776000,-1509054000,-1683961000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-7.7958,- -,-0.2654,-0.4276,-0.6741,-2.9061,-3.7843,-3.0805
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,126000,-401000,1593000,12318000,-121614000,-13141000
23,Net Income,-26918,-24068,-21393,-932925,-8931375,- -,-3496000,-16607000,-70353000,-685438000,-1321326000,-1744920000
24,Net Income ratio,-49.0310,-5.3627,-Infinity,-Infinity,-7.7958,- -,-0.2753,-0.4163,-0.9026,-3.0283,-3.3135,-3.1920
25,EPS,-0.09,-0.05,-0.02,-15.77,-0.30,- -,-0.05,-0.14,-0.40,-2.57,-3.80,-4.69
26,EPS Diluted,-0.09,-0.05,-0.02,-15.77,-0.30,- -,-0.05,-0.14,-0.40,-2.57,-3.80,-4.69
27,Weighted Average Shares Outstanding,320241,1000000,1000000,59156,29945250,- -,77023935,118989713,177301767,337510408,348038163,371662296
28,Weighted Average Shares Outstanding Diluted,320241,1000000,1000000,59156,29945250,- -,77023935,118989713,177301767,337510408,348038163,371662296
29,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1737927/000114036120016963/0001140361-20-016963-index.htm,https://www.sec.gov/Archives/edgar/data/1737927/000156459021031214/0001564590-21-031214-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,37987,9576,21925,10247,5773922,- -,15397000,101800000,322560000,2480830000,1303176000,1154653000
32,Short-Term Investments,550000,550000,520000,494680,- -,- -,- -,- -,- -,2034133000,673323000,1144563000
33,Cash and Short-Term Investments,587987,559576,541925,504927,5773922,- -,15397000,101800000,322560000,4514963000,1976499000,2299216000
34,Net Receivables,- -,- -,- -,- -,528713,- -,1486000,5815000,21425000,106974000,90155000,92435000
35,Inventory,- -,- -,- -,- -,1110071,- -,22153000,45981000,101607000,262105000,391086000,367979000
36,Other Current Assets,313,3634,3420,2884,2864217,- -,5810000,24108000,36185000,186098000,106633000,78564000
37,Total Current Assets,588300,563210,545345,507811,10276923,- -,44846000,177704000,481777000,5070140000,2564373000,2838194000
38,PP&E,- -,- -,- -,- -,15627836,- -,44984000,96270000,303682000,1096340000,1524803000,1074537000
39,Goodwill,- -,- -,- -,- -,- -,- -,20867000,241371000,314923000,1544055000,1954471000,1889354000
40,Intangible Assets,- -,- -,- -,- -,57458,- -,31861000,162263000,101526000,519556000,476366000,308167000
41,Intangible Assets,- -,- -,- -,- -,57458,- -,52728000,403634000,416449000,2063611000,2430837000,2197521000
42,Investments,- -,- -,- -,- -,- -,- -,246000,- -,226569000,475812000,315096000,708267000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,557000,- -,8340000,25902000,22636000,4961000
45,Total Non-Current Assets,- -,- -,- -,- -,15685294,- -,98515000,499904000,955040000,3661665000,4293372000,3985286000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,588300,563210,545345,507811,25962217,- -,143361000,677608000,1436817000,8731805000,6857745000,6823480000
48,Accounts Payable,- -,- -,- -,10804,2419523,- -,6107000,15386000,46175000,188920000,123393000,67262000
49,Short-Term Debt,- -,- -,- -,- -,320610,- -,553000,1691000,1557000,103716000,56749000,51888000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,533000,588000,900000,- -,- -,- -
52,Other Current Liabilities,7634,6612,9140,- -,- -,- -,- -,- -,43396000,119027000,240447000,165180000
53,Total Current Liabilities,7634,6612,9140,10804,2740133,- -,7193000,17665000,92028000,411663000,420589000,284330000
54,Long-Term Debt,- -,- -,- -,- -,1554390,- -,3469000,8639000,6865000,842259000,569069000,1667300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,7413000,35798000,33536000,96031000,47113000,21379000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1501000,766000,61150000,140404000,712854000,1363951000
58,Total Non-Current Liabilities,- -,- -,- -,- -,1554390,- -,12383000,45203000,101551000,1078694000,1329036000,3052630000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160403000,136225000
61,Total Liabilities,7634,6612,9140,10804,4294523,- -,19576000,62868000,193579000,1490357000,1749625000,3336960000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,570984,29758693,- -,131080000,621541000,1076838000,6026618000,6373544000,7168557000
64,Retained Earnings,-26918,-50986,-72379,-136987,-9864300,- -,-13775000,-30382000,-91649000,-777087000,-4323236000,-6068156000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,1565816,- -,5804000,23613000,173584000,1702102000,220899000,-34240000
66,Other Total Stockholders Equity,- -,- -,- -,63010,207485,- -,676000,- -,- -,- -,2615155000,2415650000
67,Total Stockholders Equity,580666,556598,536205,497007,21667694,- -,123785000,614772000,1158773000,6951633000,4886362000,3481811000
68,Total Liabilities And Stockholders Equity,588300,563210,545345,507811,25962217,- -,143361000,677640000,1352352000,8441990000,6635987000,6818771000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-32000,84465000,289815000,221758000,4709000
70,Total Liabilities & Equity,588300,563210,545345,507811,25962217,- -,143361000,677608000,1436817000,8731805000,6857745000,6823480000
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1737927/000114036120016963/0001140361-20-016963-index.htm,https://www.sec.gov/Archives/edgar/data/1737927/000156459021031214/0001564590-21-031214-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-26918,-24068,-21393,-932925,-8931375,- -,-3496000,-16607000,-70353000,-685438000,-1321326000,-1744920000
74,Depreciation and Amortization,- -,- -,- -,4186,362901,- -,2256000,6064000,20486000,46918000,125013000,127118000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,126000,-401000,1593000,12318000,-121614000,-13141000
76,Stock Based Compensation,12600,- -,- -,153764,2238593,- -,3678000,10043000,51177000,287782000,320276000,91149000
77,Change in Working Capital,7321,580666,-24068,-39198,7039783,- -,30116210,122386000,229710000,4268728000,-2514693000,410080000
78,Accounts Receivable,- -,- -,- -,- -,-182631,- -,-299000,-2184000,-15738000,-67688000,- -,-11994000
79,Inventory,- -,- -,- -,- -,-1110071,- -,20063000,- -,-24493000,- -,-177091000,17211000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,580666,556598,497007,7536790,- -,37653000,160039000,389749000,4658477000,2143784000,2553864000
82,Other Non-Cash Items,- -,-585009,26810,-567712,-10455082,- -,-45126210,-148578000,-314119000,-4450818000,2739709000,663985000
83,Cash Provided by Operating Activities,-6997,-28411,-18651,-1381885,-9745180,- -,-12446000,-27093000,-81506000,-520510000,-772635000,-465729000
84,CAPEX,- -,- -,- -,-1050861,-11966268,- -,-10715000,-29532000,-178169000,-682746000,-721901000,-174141000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,1054000,11193000,-29932000,-424090000,-503973000,-10022000
86,Purchases of Investments,-550000,- -,- -,-10000,- -,- -,-236000,-300000,-118000,-2029812000,-524780000,-554404000
87,Sales/Maturities of Investments,- -,- -,30000,- -,- -,- -,- -,- -,- -,- -,1427482000,- -
88,Other Investing Activites,- -,- -,- -,-8919,-21278,- -,-2406000,-104000,-17496000,-129627000,-41439000,-155177000
89,Cash Used for Investing Activites,-550000,- -,30000,-1060861,-11966268,- -,-12303000,-18602000,-223583000,-3227985000,-347654000,-884105000
90,Debt Repayment,- -,- -,- -,- -,-40417,- -,-1938000,-959000,-1512000,-4680000,-114953000,-15619000
91,Common Stock Issued,725000,- -,- -,4900300,23941841,- -,14376000,130276000,525546000,5227476000,1172000,1380000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-130016,- -,1000,-367860,1494152,- -,6262000,2781000,1815000,614402000,56620000,1279008000
95,Cash Used/Provided by Financing Activities,594984,- -,1000,4532440,25395576,- -,18700000,132098000,525849000,5837198000,-57161000,1264769000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,69567000,-204000,-63458000
97,Net Change In Cash,594984,-28411,12349,2089694,3684128,- -,-6049000,86403000,220760000,2158270000,-1177654000,-148523000
98,Cash at the End of Period,37987,9576,21925,2089794,5773922,- -,15397000,101800000,322560000,2480830000,1303176000,1154653000
99,Cash at the Beginning of Period,- -,37987,9576,100,2089794,- -,21446000,15397000,101800000,322560000,2480830000,1303176000
100,Free Cash Flow,-6997,-28411,-18651,-2432746,-21711448,- -,-23161000,-56625000,-259675000,-1203256000,-1494536000,-639870000
101,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1737927/000114036120016963/0001140361-20-016963-index.htm,https://www.sec.gov/Archives/edgar/data/1737927/000156459021031214/0001564590-21-031214-index.htm
102,Forex Rate,0.9711,1.0467,0.9967,0.9413,0.8604,undefined,0.7688,0.7509,0.7754,0.7492,0.711,0.7961
