,https://roic.ai/company/ECIA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,186283,101280,70896,40512,10128,74821,1144432,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,15000,- -,- -,- -,606000,- -,350000,- -,- -,- -,186283,165280,70896,40512,10128,74821,1144432,1680189
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,121676,- -,- -,- -,- -,- -,1422703,1229786
61,Total Liabilities,- -,- -,- -,- -,- -,- -,926781,854000,1133188,1085628,1464153,2015750,1709252,1715420,1656874,1672425,1588634,1623027,1458196,1348370,1264394,1048613,1076086,2552907,2856440
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,17267684,18286000,18824935,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24201769,24232477,24265831
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-15261336,-15256000,-15851408,-16189211,-16279288,-16458606,-16298789,-16033931,-16029367,-16560020,-17175693,-18957371,-20340117,-21220317,-21949610,-21614051,-21850147,-22048459,-21463725
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-858144,-887000,-1085130,-1216160,-1413656,-1623432,-1830273,-16034000,-2224371,-2476004,-2767195,-3552079,-3140453,-3389533,-2693302,-2673037,-2811761,-2923482,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,858144,887000,1085130,20137045,20616441,21010763,21389899,21701770,22007732,23772650,24337188,27097159,26748141,27071898,26445433,26490949,2811761,2923482,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,2006348,3030000,2973527,2731674,2923497,2928725,3260837,3643391,3753994,4736626,4394300,4587709,3267571,2462048,1802521,2203861,2351622,2184018,2802106
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,2933129,3884000,4106715,3817302,4387650,4944475,4970089,5358811,5410868,6409051,5982934,6210736,4725767,3810418,3066915,3252474,3427708,4736925,5658546
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,2933129,3884000,4106715,3817302,4387650,4944475,4970089,5358811,5410868,6409051,5982934,6210736,4725767,3810418,3066915,3252474,3427708,4736925,5658546
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930775/000110465908043073/0001104659-08-043073-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930775/000110465912037847/0001104659-12-037847-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465913052128/0001104659-13-052128-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465914048487/0001104659-14-048487-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465915046302/0001104659-15-046302-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997316001021/0001079973-16-001021-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997317000347/0001079973-17-000347-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997318000390/0001079973-18-000390-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997319000356/0001079973-19-000356-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997320000487/0001079973-20-000487-index.htm,https://www.sec.gov/Archives/edgar/data/930775/000107997321000550/0001079973-21-000550-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2903632,-3194732,-2179358,-1966314,-990452,-215577,214342,5000,-595133,-337803,-90077,-179318,159817,264858,4564,-530653,-615673,-1781678,-1382746,-880200,-729293,335559,-236096,-198312,584734
74,Depreciation and Amortization,154673,187586,226862,145604,120808,71128,124232,194000,210612,216838,209653,221932,219183,237974,260510,262746,318327,499066,382058,318692,224877,202895,182066,137810,88955
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173283,125376,106039,67808,60353,64518,62608,74677,69766,65781,37027,30708,33354
77,Change in Working Capital,441439,- -,- -,- -,- -,- -,1596831,996169,-73361,-280556,-66361,311271,-303697,374498,-253144,536138,-319235,887118,-1027244,-675475,-598734,471463,333067,-352357,1365352
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195019,-25824,129567,-274458,448696,123550,-105635,128005,-226431,92142,-51967,95912,-120176
79,Inventory,244125,-58714,118788,-175296,-82478,-94792,-82539,-151000,-125331,-199106,-375379,-491726,-223645,-68165,-36110,57865,-374294,196074,-249927,436907,962335,-279747,-64384,-142358,149767
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366385,-216576,-157188,9252,-319521,47024,63504,112538,-134133,700
81,Other Working Capital,- -,- -,- -,- -,- -,- -,1596831,2593000,2519639,2239083,2172722,2483993,2180296,2554794,2301650,2837788,2518553,3405671,2378427,1702952,1104218,1575681,1908748,1556391,2921743
82,Other Non-Cash Items,23755,-762496,30331,-207756,-592795,-131905,-1493090,-1205169,239454,-18845,-170174,-821098,446251,-536420,78205,-176404,240435,442182,532553,996468,1056272,-656257,-443306,152667,-1852449
83,Cash Provided by Operating Activities,-2283765,-3769642,-1922165,-2028466,-1462439,-276354,442315,-10000,-218428,-420366,-116959,-467213,694837,466286,196174,159635,-315793,111206,-1432771,-165838,22888,419441,-127242,-229484,219946
84,CAPEX,-245008,-232158,-61719,-180124,-27402,-7349,-344495,-237000,-192578,-246428,-410126,-491599,-277636,-596267,-274901,-725449,-335648,-458419,-62153,-98469,-133175,-99965,-60778,-54230,-45186
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,11465000,10969999,8500084,4784748,1832264,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-21026435,-4864408,-7914078,-3498676,-1706,-19147,-20575,- -,-12160,- -,- -,-58336,-28897,-65102,-8171,-23730,-34240,-36564,-32458,-21356,-27818,-43403,-5532,-5906,-15166
89,Cash Used for Investing Activites,-9760571,5924368,586006,1286072,1803156,-26496,-365070,-237000,-204738,-246428,-410126,-549935,-277636,-596267,-274901,-725449,-335648,-458419,-62153,-98469,-133175,-99965,-60778,-54230,-45186
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-415058,- -,- -,- -,- -,- -,- -,- -,- -,-275055,- -,- -,-371000
91,Common Stock Issued,13437102,- -,- -,- -,4225,12423,7319,1062000,538944,95950,61947,45740,- -,- -,- -,1500000,255000,1970500,- -,- -,- -,- -,350000,- -,- -
92,Common Stock Repurchased,- -,-156715,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1404459,- -,- -,- -,- -,- -,- -,-44000,- -,- -,- -,606000,11520,159058,85000,-489523,-42006,-59931,64000,298491,-137436,25000,-3170,370498,1285447
95,Cash Used/Provided by Financing Activities,12032643,-156715,- -,- -,4225,12423,7319,1018000,538944,95950,61947,651740,-403538,159058,85000,1010477,212994,1910569,64000,298491,-137436,-250055,346830,370498,914447
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-11693,1998011,-1336159,-742394,344942,-290427,84564,770000,115778,-570844,-465138,-365408,13663,29077,6273,444663,-438447,1563356,-1430924,34184,-247723,69421,158810,86784,1089207
98,Cash at the End of Period,527015,2525026,1188867,446473,791415,500988,585552,1356000,1472385,901541,436403,70995,84658,113735,120008,564671,126224,1689580,258656,292840,45117,114538,298348,385132,1474339
99,Cash at the Beginning of Period,538708,527015,2525026,1188867,446473,791415,500988,586000,1356607,1472385,901541,436403,70995,84658,113735,120008,564671,126224,1689580,258656,292840,45117,139538,298348,385132
100,Free Cash Flow,-2528773,-4001800,-1983884,-2208590,-1489841,-283703,97820,-247000,-411006,-666794,-527085,-958812,417201,-129981,-78727,-565814,-651441,-347213,-1494924,-264307,-110287,319476,-188020,-283714,174760
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930775/000110465908043073/0001104659-08-043073-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930775/000110465912037847/0001104659-12-037847-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465913052128/0001104659-13-052128-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465914048487/0001104659-14-048487-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465915046302/0001104659-15-046302-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997316001021/0001079973-16-001021-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997317000347/0001079973-17-000347-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997318000390/0001079973-18-000390-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997319000356/0001079973-19-000356-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997320000487/0001079973-20-000487-index.htm,https://www.sec.gov/Archives/edgar/data/930775/000107997321000550/0001079973-21-000550-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
