,https://roic.ai/company/IVDN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,-16727,-268527,-124128,-30396,-410504,-225677,313795,102253,-218949,213309,128648,-20759,-226079,-28494,-14158,195742,-44142,84803,59674,34197
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-34906,-10472,34468,-13524,18728,4750,31427,-2848,12766,65685,394542,12254,-42125
81,Other Working Capital,201302,-289555,-678664,50144,-3733830,-3731602,330499,423345,464758,474741,25853,-38098,1226327,1588793,1136420,719639,524943,10979,222774,- -
82,Other Non-Cash Items,479030,2409901,1825084,-995307,6692254,-246083,-7743671,12894,-42944,122863,431662,17865,-1333236,-350089,553139,641227,325042,1056460,-126672,121777
83,Cash Provided by Operating Activities,-184839,-471250,-372382,-373795,-592409,-184017,-119074,133773,49883,181957,-1511,-186745,-497891,-488476,-510633,-377646,-418948,-266446,-162312,-119003
84,CAPEX,-17756,-24520,-6014,-11294,- -,- -,-2200,- -,- -,- -,-19826,- -,-41843,-8111,-122749,-14900,-4258,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,-19826,- -,-41843,-424748,-319749,-14900,-4258,- -,- -,- -
89,Cash Used for Investing Activites,-17756,-24520,-6014,-11294,- -,- -,-2200,- -,- -,5000,-19826,- -,-41843,-424748,-319749,-14900,-4258,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-348173,-84000,-324434,-117853,-119933,-158488,-182133,-45445,-67000,-17872,-19422,-7456,-2258
91,Common Stock Issued,317875,476850,187420,11960,261059,- -,208765,29000,- -,- -,- -,- -,1571290,1189450,461830,172140,311560,207440,143500,333500
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-22884,144884,388179,355191,124297,-71523,189749,124195,111736,102976,321296,46000,69130,-235130,-500,26850,750,39752,220203
95,Cash Used/Provided by Financing Activities,317875,453966,332304,400139,616250,124297,137242,-129424,40195,-212698,-14877,201363,1458802,1076447,181255,104640,320538,188768,175796,551445
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,317875,-41804,-46092,15050,23841,-59720,15968,4349,90078,-25741,-36214,14618,919068,163223,-649127,-287906,-102668,-77678,13484,432442
98,Cash at the End of Period,115280,73476,27384,42434,66275,6555,22523,26872,116950,91209,54995,69613,988681,1151904,502777,214871,112203,34525,48009,480451
99,Cash at the Beginning of Period,- -,115280,73476,27384,42434,66275,6555,22523,26872,116950,91209,54995,69613,988681,1151904,502777,214871,112203,34525,48009
100,Free Cash Flow,-202595,-495770,-378396,-385089,-592409,-184017,-121274,133773,49883,181957,-21337,-186745,-539734,-496587,-633382,-392546,-423206,-266446,-162312,-119003
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1190370/000114420412007436/0001144204-12-007436-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000114420413004322/0001144204-13-004322-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000114420414006408/0001144204-14-006408-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000114420415008465/0001144204-15-008465-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000161577416004018/0001615774-16-004018-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000161577417000391/0001615774-17-000391-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000161577418000604/0001615774-18-000604-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000173112219000117/0001731122-19-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112220000299/0001731122-20-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112221001288/0001731122-21-001288-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112222000252/0001731122-22-000252-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
