,https://roic.ai/company/MCRB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609809/000156459016014692/0001564590-16-014692-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459017004551/0001564590-17-004551-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459018004830/0001564590-18-004830-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459019006423/0001564590-19-006423-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459020008002/0001564590-20-008002-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459021010057/0001564590-21-010057-index.htm,https://www.sec.gov/Archives/edgar/data/1609809/000095017022002435/0000950170-22-002435-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1654000,114185000,73933000,54539000,36088000,85820000,65126000,116049000,180002000
32,Short-Term Investments,- -,- -,- -,131149000,138704000,113895000,- -,29690000,137567000,110704000
33,Cash and Short-Term Investments,- -,1654000,114185000,205082000,193243000,149983000,85820000,94816000,253616000,290706000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1785000,9387000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,51000,58000,2528000,5126000,5095000,6845000,3588000,5774000,12922000
37,Total Current Assets,- -,1705000,114243000,207610000,198369000,155078000,92665000,100189000,268777000,303628000
38,PP&E,- -,352000,1264000,7751000,36125000,32931000,26294000,30851000,22938000,36146000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,36752000,- -,1400000,1400000,49825000,495000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,68000,1838000,1539000,1400000,1513000,113000,- -,1400000,14590000
45,Total Non-Current Assets,- -,420000,3102000,9290000,74277000,34444000,27807000,32251000,74163000,51231000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2125000,117345000,216900000,272646000,189522000,120472000,132440000,342940000,354859000
48,Accounts Payable,- -,393000,2166000,5397000,7587000,7033000,6415000,4859000,4018000,13735000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,454000,31178000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,12058000,12079000,20419000,25794000,22602000,16819000
52,Other Current Liabilities,- -,663000,2937000,5523000,10812000,12513000,15207000,15340000,19341000,20526000
53,Total Current Liabilities,- -,1056000,5103000,10920000,30457000,31625000,42041000,45993000,46415000,82258000
54,Long-Term Debt,- -,438000,1304000,- -,- -,- -,- -,24648000,24639000,17958000
55,Deferred Revenue,- -,- -,- -,- -,96756000,84847000,116840000,93945000,85572000,86998000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,11747000,137659000,586000,12802000,12351000,9636000,16178000,11564000,36138000
58,Total Non-Current Liabilities,- -,12185000,138963000,586000,109558000,97198000,126476000,134771000,121775000,141094000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,8989000,7250000,20132000,15676000,- -
61,Total Liabilities,- -,13241000,144066000,11506000,140015000,128823000,168517000,180764000,168190000,223352000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7000,7000,39000,40000,40000,41000,70000,91000,92000
64,Retained Earnings,- -,-11123000,-27832000,-82612000,-174191000,-263571000,-389370000,-459649000,-548776000,-614354000
65,Other Comprehensive Income/Loss,- -,-113000,-283000,-1011000,-5180000,-12439000,-20301000,-27742000,-47000,-60000
66,Other Total Stockholders Equity,- -,113000,1387000,288978000,311962000,336669000,361585000,438997000,723482000,745829000
67,Total Stockholders Equity,- -,-11116000,-26721000,205394000,132631000,60699000,-48045000,-48324000,174750000,131507000
68,Total Liabilities And Stockholders Equity,- -,2125000,117345000,216900000,272646000,189522000,120472000,132440000,342940000,354859000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2125000,117345000,216900000,272646000,189522000,120472000,132440000,342940000,354859000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1609809/000156459016014692/0001564590-16-014692-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459017004551/0001564590-17-004551-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459018004830/0001564590-18-004830-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459019006423/0001564590-19-006423-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459020008002/0001564590-20-008002-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459021010057/0001564590-21-010057-index.htm,https://www.sec.gov/Archives/edgar/data/1609809/000095017022002435/0000950170-22-002435-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-3126000,-6102000,-16709000,-54780000,-91579000,-89380000,-98942000,-70279000,-89127000,-65578000
74,Depreciation and Amortization,25000,88000,190000,728000,4205000,7259000,7862000,7603000,6578000,5947000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,28000,209000,2068000,9694000,16857000,17362000,16641000,8344000,8824000,- -
77,Change in Working Capital,148000,649000,108491000,87550000,-28778000,-44459000,-72829000,3572000,168166000,-992000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-1785000,-7602000,9387000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,103000,281000,810000,2682000,3581000,-856000,-353000,-1460000,-1159000,9362000
81,Other Working Capital,- -,649000,109140000,196690000,167912000,123453000,50624000,54196000,222362000,221370000
82,Other Non-Cash Items,- -,-165000,-104398000,-84036000,143216000,33695000,84414000,-25760000,-188051000,67311000
83,Cash Provided by Operating Activities,-2925000,-5321000,-10358000,-40844000,43921000,-75523000,-62854000,-76520000,-93610000,6688000
84,CAPEX,-292000,-174000,-1001000,-4362000,-21492000,-4676000,-1937000,-1002000,-591000,-9566000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-267761000,-290594000,-96534000,-21832000,-46420000,-218284000,-95971000
87,Sales/Maturities of Investments,- -,- -,- -,136390000,246494000,158312000,136087000,16904000,59984000,169625000
88,Other Investing Activites,-27000,-10000,-102000,-1400000,139000,-113000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-319000,-184000,-1103000,-137133000,-65453000,56989000,112318000,-30518000,-158891000,64088000
90,Debt Repayment,- -,- -,-400000,-2600000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,5000,- -,5000,143015000,- -,- -,61000,61215000,268641000,827000
92,Common Stock Repurchased,- -,- -,- -,-24000,- -,-33000,-197000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9430000,944000,124387000,-2666000,2138000,116000,404000,25016000,34783000,351000
95,Cash Used/Provided by Financing Activities,9435000,944000,123992000,137725000,2138000,83000,268000,86231000,303424000,1178000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000
97,Net Change In Cash,6191000,-4561000,112531000,-40252000,-19394000,-18451000,49732000,-20807000,50923000,71953000
98,Cash at the End of Period,6215000,1654000,114185000,73933000,54539000,36088000,85933000,65126000,116049000,188002000
99,Cash at the Beginning of Period,24000,6215000,1654000,114185000,73933000,54539000,36201000,85933000,65126000,116049000
100,Free Cash Flow,-3217000,-5495000,-11359000,-45206000,22429000,-80199000,-64791000,-77522000,-94201000,-2878000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609809/000156459016014692/0001564590-16-014692-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459017004551/0001564590-17-004551-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459018004830/0001564590-18-004830-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459019006423/0001564590-19-006423-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459020008002/0001564590-20-008002-index.html,https://www.sec.gov/Archives/edgar/data/1609809/000156459021010057/0001564590-21-010057-index.htm,https://www.sec.gov/Archives/edgar/data/1609809/000095017022002435/0000950170-22-002435-index.htm
102,false,,,,,,,,,,
