,https://roic.ai/company/GOOG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,559205000,389533000,229673000,579000000,812000000,713000000,785000000,746000000,999000000,1220000000,1312000000,1878000000,2427000000,1865000000,1499000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1203000,- -,- -,- -,58000000,84000000,83000000,101000000,104000000,124000000,109000000,114000000,100000000,135000000,346000000
14,Depreciation and Amortization,- -,- -,28983000,55049000,148473000,293812000,571939000,967658000,1499887000,1524308000,1396000000,1851000000,2962000000,3939000000,4979000000,5063000000,6144000000,6915000000,9035000000,11781000000,13697000000,12441000000
15,EBITDA,-14690000,10068000,213898000,401703000,798707000,2435489000,4582979000,6642841000,7353483000,9905497000,12192000000,14235000000,16381000000,19224000000,22855000000,24818000000,30418000000,24393000000,44062000000,51506000000,61914000000,103521000000
16,EBITDA ratio,-0.7688,0.1165,0.4867,0.2740,0.2504,0.3968,0.4322,0.4003,0.3374,0.4188,0.4158,0.3755,0.3265,0.3213,0.3463,0.3310,0.3370,0.2200,0.3220,0.3182,0.3392,0.4018
17,Operating Income,-14737000,10964000,186466000,342464000,640192000,2017278000,3549996000,5084400000,6631969000,8312186000,10381000000,11742000000,12760000000,13966000000,16496000000,19360000000,23716000000,26146000000,26321000000,34231000000,41224000000,78714000000
18,Operating Income ratio,-0.7712,0.1269,0.4243,0.2336,0.2007,0.3286,0.3348,0.3064,0.3043,0.3515,0.3540,0.3098,0.2543,0.2334,0.2499,0.2582,0.2627,0.2359,0.1924,0.2115,0.2259,0.3055
19,Total Other Income Expenses (Gains),47000,-896000,-1551000,4190000,10042000,124399000,461044000,589580000,-778373000,69003000,415000000,584000000,626000000,530000000,763000000,291000000,434000000,1047000000,8592000000,5394000000,6858000000,12020000000
20,Income Before Tax,-14690000,10068000,184915000,346654000,650234000,2141677000,4011040000,5673980000,5853596000,8381189000,10796000000,12326000000,13386000000,14496000000,17259000000,19651000000,24150000000,27193000000,34913000000,39625000000,48082000000,90734000000
21,Income Before Tax Ratio,-0.7688,0.1165,0.4207,0.2365,0.2039,0.3489,0.3782,0.3419,0.2686,0.3544,0.3682,0.3252,0.2668,0.2423,0.2615,0.2621,0.2675,0.2453,0.2552,0.2448,0.2634,0.3522
22,Income Tax expense (Gain),- -,3083000,85259000,241006000,251115000,676280000,933594000,1470260000,1626738000,1860741000,2291000000,2589000000,2598000000,2282000000,3331000000,3303000000,4672000000,4707000000,4177000000,5282000000,7813000000,14701000000
23,Net Income,-14690000,6985000,99656000,105648000,399119000,1465397000,3077446000,4203720000,4226858000,6520448000,8505000000,9737000000,10737000000,12920000000,14444000000,16348000000,19478000000,12662000000,30736000000,34343000000,40269000000,76033000000
24,Net Income ratio,-0.7688,0.0808,0.2267,0.0721,0.1251,0.2387,0.2902,0.2533,0.1939,0.2757,0.2901,0.2569,0.2140,0.2160,0.2188,0.2180,0.2158,0.1142,0.2246,0.2122,0.2206,0.2951
25,EPS,-0.11,0.04,0.39,0.39,1.04,2.66,5.11,6.77,6.74,10.32,13.36,15.10,16.42,19.43,21.37,23.11,28.32,18.27,44.22,49.59,59.15,114.21
26,EPS Diluted,-0.11,0.02,0.21,0.21,0.73,2.51,4.97,6.65,6.66,10.21,13.17,14.89,16.17,19.08,21.02,22.84,27.85,18.00,43.70,49.16,58.61,112.39
27,Weighted Average Shares Outstanding,133934226,188863003,275127418,275127418,385978011,551153966,602246236,621010279,627310175,631829796,636786992,644931101,653792515,665047610,675935000,684811770,687782486,693048714,695070104,692596000,680816000,665758000
28,Weighted Average Shares Outstanding Diluted,133934226,373190401,512779148,512779148,545033895,583182931,618605037,631807817,634413292,638213610,645876186,653794513,663966657,676962065,687070000,692907180,699389587,703444444,703340961,698556000,687028000,676519000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,57752000,148995000,426873000,3877174000,3544671000,6081593000,8656672000,10197588000,13630000000,9983000000,14778000000,18898000000,18347000000,16549000000,12918000000,10715000000,16701000000,18498000000,26465000000,20945000000
32,Short-Term Investments,- -,- -,88579000,185723000,1705424000,4157073000,7699243000,8137020000,7189099000,14287187000,21345000000,34643000000,33310000000,39819000000,46048000000,56517000000,73415000000,91156000000,92439000000,101177000000,110229000000,118704000000
33,Cash and Short-Term Investments,- -,- -,146331000,334718000,2132297000,8034247000,11243914000,14218613000,15845771000,24484775000,34975000000,44626000000,48088000000,58717000000,64395000000,73066000000,86333000000,101871000000,109140000000,119675000000,136694000000,139649000000
34,Net Receivables,- -,- -,61994000,154690000,382345000,687976000,1322340000,2307774000,2642192000,3201715000,5002000000,6172000000,8585000000,9390000000,11556000000,13909000000,14232000000,18705000000,21193000000,27492000000,31384000000,40270000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000000,426000000,- -,- -,268000000,749000000,1107000000,999000000,728000000,1170000000
36,Other Current Assets,- -,- -,23471000,70826000,178823000,278848000,473593000,762751000,1690219000,1480468000,1585000000,1960000000,3276000000,4353000000,4734000000,3139000000,4575000000,2983000000,4236000000,4412000000,5490000000,7054000000
37,Total Current Assets,- -,- -,231796000,560234000,2693465000,9001071000,13039847000,17289138000,20178182000,29166958000,41562000000,52758000000,60454000000,72886000000,80685000000,90114000000,105408000000,124308000000,135676000000,152578000000,174296000000,188143000000
38,PP&E,- -,- -,53873000,188255000,378916000,961749000,2395239000,4039261000,5233843000,4844610000,7759000000,9603000000,11854000000,16524000000,23883000000,29016000000,34234000000,42383000000,59719000000,84587000000,96960000000,110557000000
39,Goodwill,- -,- -,- -,- -,- -,- -,1545119000,2299368000,4839854000,4902565000,6256000000,7346000000,10537000000,11492000000,15599000000,15869000000,16468000000,16747000000,17888000000,20624000000,21175000000,22956000000
40,Intangible Assets,- -,- -,96000,105556000,193887000,277683000,346841000,446596000,996690000,774938000,1044000000,1578000000,7473000000,6066000000,4607000000,3847000000,3307000000,2692000000,2220000000,1979000000,1445000000,1417000000
41,Intangible Assets,- -,- -,96000,105556000,193887000,277683000,1891960000,2745964000,5836544000,5677503000,7300000000,8924000000,18010000000,17558000000,20206000000,19716000000,19775000000,19439000000,20108000000,22603000000,22620000000,24373000000
42,Investments,- -,- -,- -,- -,- -,14000000,1032000000,1059694000,85160000,128977000,523000000,790000000,1469000000,1976000000,3079000000,5183000000,5878000000,7813000000,13859000000,13078000000,20703000000,29549000000
43,Tax Assets,- -,- -,- -,- -,11590000,- -,- -,33219000,- -,262611000,265000000,- -,- -,- -,- -,189000000,226000000,430000000,1264000000,1701000000,1084000000,1284000000
44,Other Non-Current Assets,- -,- -,1127000,17413000,35493000,17310000,114305000,168530000,433846000,416119000,442000000,499000000,2011000000,1976000000,3280000000,3243000000,1976000000,2922000000,2166000000,1362000000,3953000000,5361000000
45,Total Non-Current Assets,- -,- -,55096000,311224000,619886000,1270742000,5433504000,8046668000,11589393000,11329820000,16289000000,19816000000,33344000000,38034000000,50448000000,57347000000,62089000000,72987000000,97116000000,123331000000,145320000000,171124000000
46,Other Assets,46872000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342249000000
47,Total Assets,46872000,- -,286892000,871458000,3313351000,10271813000,18473351000,25335806000,31767575000,40496778000,57851000000,72574000000,93798000000,110920000000,131133000000,147461000000,167497000000,197295000000,232792000000,275909000000,319616000000,359268000000
48,Accounts Payable,- -,- -,9394000,46175000,32672000,115575000,211169000,282106000,178004000,215867000,483000000,588000000,2012000000,2453000000,1715000000,1931000000,2041000000,3137000000,4378000000,5561000000,5589000000,6037000000
49,Short-Term Debt,- -,- -,4350000,4621000,1902000,- -,- -,- -,- -,- -,3465000000,1218000000,2549000000,3009000000,2009000000,3225000000,- -,- -,- -,1199000000,1694000000,2189000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,81549000,- -,37000000,197000000,240000000,24000000,96000000,302000000,554000000,881000000,69000000,274000000,1485000000,808000000
51,Deferred Revenue,- -,- -,11345000,15346000,36508000,73099000,105136000,178073000,218084000,285080000,394000000,547000000,895000000,1062000000,752000000,788000000,1099000000,1432000000,1784000000,1908000000,2543000000,3288000000
52,Other Current Liabilities,- -,- -,64419000,169310000,269286000,556710000,988282000,1575423000,1906002000,2246520000,5654000000,6560000000,8881000000,9384000000,12329000000,13366000000,13616000000,19614000000,28458000000,36553000000,47008000000,52740000000
53,Total Current Liabilities,- -,- -,89508000,235452000,340368000,745384000,1304587000,2035602000,2302090000,2747467000,9996000000,8913000000,14337000000,15908000000,16805000000,19310000000,16756000000,24183000000,34620000000,45221000000,56834000000,64254000000
54,Long-Term Debt,- -,- -,6512000,- -,- -,- -,- -,- -,- -,- -,- -,2986000000,2988000000,1990000000,2992000000,1995000000,3935000000,3969000000,4012000000,4554000000,25078000000,26206000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,30249000,29818000,41618000,35000000,44000000,100000000,139000000,104000000,151000000,202000000,340000000,396000000,358000000,481000000,535000000
56,Deferred Tax Liabilities,- -,- -,580000,18510000,- -,35419000,40421000,- -,12515000,- -,- -,287000000,1872000000,1947000000,1971000000,189000000,226000000,430000000,1264000000,1701000000,3561000000,5257000000
57,Other Non-Current Liabilities,- -,- -,16339000,28726000,43927000,72053000,88503000,580276000,1184290000,1703469000,1579000000,2199000000,2786000000,3627000000,4761000000,5485000000,7342000000,15871000000,14872000000,22633000000,11118000000,11381000000
58,Total Non-Current Liabilities,- -,- -,23431000,47236000,43927000,107472000,128924000,610525000,1226623000,1745087000,1614000000,5516000000,7746000000,7703000000,9828000000,7820000000,11705000000,20610000000,20544000000,29246000000,40238000000,43379000000
59,Other Liabilities,19638000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,246000000,225000000,- -,26000000,62000000,12009000000,12840000000,15551000000
61,Total Liabilities,19638000,- -,112939000,282688000,384295000,852856000,1433511000,2646127000,3528713000,4492554000,11610000000,14429000000,22083000000,23611000000,26633000000,27130000000,28461000000,44793000000,55164000000,74467000000,97072000000,107633000000
62,Preferred Stock,- -,- -,44346000,44346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,145000,161000,267000,293000,309000,313000,315000,318000,18235000000,20264000000,22835000000,25922000000,28767000000,32982000000,36307000000,40247000000,45049000000,50552000000,58510000000,61774000000
64,Retained Earnings,- -,- -,85704000,191352000,590471000,2055868000,5133314000,9334772000,13561630000,20082078000,27868000000,37605000000,48342000000,61262000000,75706000000,89223000000,105131000000,113247000000,134885000000,152122000000,163401000000,191484000000
65,Other Comprehensive Income/Loss,- -,- -,-39652000,-372308000,-244034000,-114996000,23311000,113373000,226579000,105090000,138000000,276000000,538000000,125000000,27000000,-1874000000,-2402000000,-992000000,-2306000000,-1232000000,633000000,-1623000000
66,Other Total Stockholders Equity,27234000,- -,83410000,725219000,2582352000,7477792000,11882906000,13241221000,14450338000,15816738000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,27234000,- -,173953000,588770000,2929056000,9418957000,17039840000,22689679000,28238862000,36004224000,46241000000,58145000000,71715000000,87309000000,104500000000,120331000000,139036000000,152502000000,177628000000,201442000000,222544000000,251635000000
68,Total Liabilities And Stockholders Equity,46872000,- -,286892000,871458000,3313351000,10271813000,18473351000,25335806000,31767575000,40496778000,57851000000,72574000000,93798000000,110920000000,131133000000,147461000000,167497000000,197295000000,232792000000,275909000000,319616000000,359268000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46872000,- -,286892000,871458000,3313351000,10271813000,18473351000,25335806000,31767575000,40496778000,57851000000,72574000000,93798000000,110920000000,131133000000,147461000000,167497000000,197295000000,232792000000,275909000000,319616000000,359268000000
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,99656000,105648000,399119000,1465397000,3077446000,4203720000,4226858000,6520448000,8505000000,9737000000,10737000000,12920000000,14444000000,16348000000,19478000000,12662000000,30736000000,34343000000,40269000000,76033000000
74,Depreciation and Amortization,- -,- -,28983000,55049000,148473000,293812000,571939000,967658000,1499887000,1524308000,1396000000,1851000000,2962000000,3939000000,4979000000,5063000000,6144000000,6915000000,9035000000,11781000000,13697000000,12441000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-164212000,-224645000,-268060000,9000000,343000000,-266000000,-437000000,-104000000,-179000000,-38000000,258000000,778000000,173000000,1390000000,1808000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,868646000,1119766000,1164054000,1376000000,1974000000,2692000000,3343000000,4279000000,5203000000,6703000000,7679000000,9353000000,10794000000,12991000000,15376000000
77,Change in Working Capital,- -,- -,4991000,182494000,2028315000,5902590000,3479573000,3518276000,2622556000,8543399000,5146509000,12279000000,2272000000,10861000000,6902000000,6924000000,17848000000,11473000000,931000000,6301000000,10105000000,-1523000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-837247000,-334464000,-504039000,-1129000000,-1156000000,-787000000,-1307000000,-1641000000,-2094000000,-2578000000,-3768000000,-2169000000,-4340000000,-6524000000,-9095000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000000,-234000000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,70135000,-211539000,33642000,272000000,101000000,-499000000,605000000,436000000,203000000,110000000,731000000,1067000000,428000000,694000000,283000000
81,Other Working Capital,- -,- -,142288000,324782000,2353097000,8255687000,11735260000,15253536000,17876092000,26419491000,31566000000,43845000000,46117000000,56978000000,63880000000,70804000000,88652000000,100125000000,101056000000,107357000000,117462000000,149000000
82,Other Non-Cash Items,- -,- -,21635000,52254000,-1598863000,-5202377000,-3548450000,-3618678000,-1391565000,-8167951000,-5351509000,-11619000000,-1778000000,-11967000000,-8124000000,-7335000000,-14099000000,-1896000000,-2862000000,-8872000000,-13328000000,-12483000000
83,Cash Provided by Operating Activities,- -,- -,155265000,395445000,977044000,2459422000,3580508000,5775410000,7852857000,9316198000,11081000000,14565000000,16619000000,18659000000,22376000000,26024000000,36036000000,37091000000,47971000000,54520000000,65124000000,91652000000
84,CAPEX,- -,- -,-37198000,-176801000,-318995000,-838217000,-1902798000,-2402840000,-2358461000,-809888000,-4018000000,-3438000000,-3273000000,-7358000000,-10959000000,-9915000000,-10212000000,-13184000000,-25139000000,-23548000000,-22281000000,-24640000000
85,Acquisitions Net,- -,- -,- -,-39958000,-21957000,-101310000,-402446000,-906651000,-3320299000,-108024000,-1067000000,-1900000000,-10568000000,1077000000,-4502000000,-236000000,-986000000,-287000000,-1491000000,-2515000000,-738000000,-2618000000
86,Purchases of Investments,- -,- -,-93061000,-316599000,-4134576000,-12675880000,-27701038000,-16031571000,-15403458000,-29204160000,-45055000000,-62095000000,-34106000000,-46013000000,-58312000000,-76540000000,-85618000000,-93940000000,-52231000000,-102247000000,-143751000000,-138034000000
87,Sales/Maturities of Investments,- -,- -,20443000,219404000,2611078000,10257214000,23107132000,15659473000,15762796000,22102867000,37099000000,48746000000,35225000000,38914000000,51315000000,63330000000,67839000000,74492000000,50259000000,98230000000,133929000000,129228000000
88,Other Investing Activites,- -,- -,99000,- -,-36906000,- -,- -,- -,- -,- -,2361000000,-354000000,-334000000,-299000000,1403000000,-350000000,-2188000000,1518000000,98000000,589000000,68000000,541000000
89,Cash Used for Investing Activites,- -,- -,-109717000,-313954000,-1901356000,-3358193000,-6899150000,-3681589000,-5319422000,-8019205000,-10680000000,-19041000000,-13056000000,-13679000000,-21055000000,-23711000000,-31165000000,-31401000000,-28504000000,-29491000000,-32773000000,-35523000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1783000000,-10179000000,-14781000000,-11325000000,-11643000000,-13728000000,-10064000000,-4377000000,-6827000000,-585000000,-2100000000,-21435000000
91,Common Stock Issued,- -,- -,2262000,15476000,1195025000,4372255000,2384666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000000,950000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-801000000,- -,- -,- -,- -,-1780000000,-3693000000,-4846000000,-9075000000,-18396000000,-31149000000,-50274000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-7735000,-7386000,-407000,-1425000,581732000,403067000,87567000,233412000,5634000000,10986000000,16010000000,10468000000,10204000000,11831000000,5425000000,125000000,1773000000,-4228000000,8841000000,10347000000
95,Cash Used/Provided by Financing Activities,- -,- -,-5473000,8090000,1194618000,4370830000,2966398000,403067000,87567000,233412000,3050000000,807000000,1229000000,-857000000,-1439000000,-3677000000,-8332000000,-8298000000,-13179000000,-23209000000,-24408000000,-61362000000
96,Effect of Forex Changes on Cash,- -,- -,- -,1662000,7572000,-21758000,19741000,40034000,-45923000,10511000,-19000000,22000000,3000000,-3000000,-433000000,-434000000,-170000000,405000000,-302000000,-23000000,24000000,-287000000
97,Net Change In Cash,- -,- -,40075000,91243000,277878000,3450301000,-332503000,2536922000,2575079000,1540916000,3432000000,-3647000000,4795000000,4120000000,-551000000,-1798000000,-3631000000,-2203000000,5986000000,1797000000,7967000000,-5520000000
98,Cash at the End of Period,- -,- -,57752000,148995000,426873000,3877174000,3544671000,6081593000,8656672000,10197588000,13630000000,9983000000,14778000000,18898000000,18347000000,16549000000,12918000000,10715000000,16701000000,18498000000,26465000000,20945000000
99,Cash at the Beginning of Period,- -,- -,17677000,57752000,148995000,426873000,3877174000,3544671000,6081593000,8656672000,10198000000,13630000000,9983000000,14778000000,18898000000,18347000000,16549000000,12918000000,10715000000,16701000000,18498000000,26465000000
100,Free Cash Flow,- -,- -,118067000,218644000,658049000,1621205000,1677710000,3372570000,5494396000,8506310000,7063000000,11127000000,13346000000,11301000000,11417000000,16109000000,25824000000,23907000000,22832000000,30972000000,42843000000,67012000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
