,https://roic.ai/company/BYDDF,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,202970000,461395000,720897000,918668000,1596844000,2129588000,3861644000,4935293000,6141870000,6224987000,5806011000,6530106000,7616464000,9550378000,12550691000,11792313000,13296423000,13953184000,17301155000,20547527000
11,COGS and Expenses,1537420000,3204719000,5441760000,5962453000,11797578000,19093114000,25893943000,36415055000,45315846000,46663776000,47232825000,51275661000,56760350000,76063937000,94951591000,97567795000,122021766000,120877472000,143552535000,208545216000
12,Interest Income ,- -,- -,- -,- -,- -,28483000,90953000,17639000,27431000,54822000,50518000,70124000,104675000,53421000,152701000,95783000,187230000,353761000,214613000,631841
13,Interest Expense (Gain),5420000,-9891000,43063000,145607000,232986000,379048000,487623000,255388000,281383000,742262000,-411311000,1017318000,1396828000,1517003000,1799609000,2342770000,3118751000,3487407000,3123801000,1907642
14,Depreciation and Amortization,- -,53841000,- -,351650000,499709000,898473000,1360411000,1762583000,2249308000,2761280000,3359329000,3627030000,4314847000,5416617000,7027569000,7084038000,9398685000,9795125000,12485170000,14078525000
15,EBITDA,723170000,935514000,1001585000,955937000,1795955000,2929783000,2957606000,6239557000,5277782000,5020575000,3107230000,5253622000,6279282000,10413851000,14967730000,14196991000,16127077000,15209256000,20711862000,17676357642
16,EBITDA ratio,0.3137,0.2274,0.1552,0.1458,0.1369,0.1381,0.1067,0.1518,0.1089,0.1028,0.0662,0.0994,0.1079,0.1302,0.1447,0.1340,0.1240,0.1191,0.1323,0.0818
17,Operating Income,762320000,919539000,966785000,457799000,1083668000,- -,990189000,4168526000,2767500000,1410351000,-304372000,106653000,-179115000,3175965000,5986251000,5410551000,4241760000,2312288000,7085773000,4631992000
18,Operating Income ratio,0.3307,0.2235,0.1499,0.0698,0.0826,- -,0.0357,0.1014,0.0571,0.0289,-0.0065,0.0020,-0.0031,0.0397,0.0579,0.0511,0.0326,0.0181,0.0452,0.0214
19,Total Other Income Expenses (Gains),1050000,565000,323000,675000,-9672000,-375219000,373783000,337924000,374767000,317133000,595097000,725428000,1053067000,619021000,582159000,210090000,143880000,118843000,-203186000,-113989000
20,Income Before Tax,763370000,920104000,967108000,458474000,1073996000,1742880000,1363972000,4506450000,3142267000,1727484000,290725000,832081000,873952000,3794986000,6568410000,5620641000,4385640000,2431131000,6882587000,4518003000
21,Income Before Tax Ratio,0.3312,0.2236,0.1499,0.0699,0.0819,0.0822,0.0492,0.1096,0.0649,0.0354,0.0062,0.0157,0.0150,0.0474,0.0635,0.0531,0.0337,0.0190,0.0440,0.0209
22,Income Tax expense (Gain),59450000,61567000,64426000,90041000,53075000,40551000,88323000,428010000,223677000,132408000,77835000,56215000,134082000,656790000,1088398000,703705000,829447000,312274000,868624000,550737000
23,Net Income,658300000,829997000,894096000,368639000,1010185000,1611711000,1021249000,3793576000,2523414000,1384625000,81377000,553059000,433525000,2823441000,5052154000,4066478000,2780194000,1614450000,4234267000,3045188000
24,Net Income ratio,0.2856,0.2017,0.1386,0.0562,0.0770,0.0760,0.0368,0.0923,0.0521,0.0284,0.0017,0.0105,0.0074,0.0353,0.0488,0.0384,0.0214,0.0126,0.0270,0.0141
25,EPS,0.61,0.77,0.82,0.34,0.93,2.99,2.50,8.85,1.11,0.60,0.03,0.23,0.18,1.12,1.88,1.40,0.93,0.50,1.47,1.06
26,EPS Diluted,0.61,0.77,0.82,0.34,0.93,2.99,2.50,8.85,1.11,0.60,0.03,0.23,0.18,1.12,1.88,1.40,0.93,0.50,1.47,1.06
27,Weighted Average Shares Outstanding,1084393174,1084393174,1084393174,1084393174,1084393174,539500000,408499600,428652655,2273345946,2307708333,2712566667,2404604348,2408472222,2520929464,2687315957,2904627143,2989455914,3228900000,2880453741,2872818868
28,Weighted Average Shares Outstanding Diluted,1084393174,1084393174,1084393174,1084393174,1084393174,2050100000,2042498000,793100000,793100000,2307708333,2712566667,2404604348,2408472222,2484475000,2687315957,2904627143,2989455914,3228900000,2880453741,2872818868
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1240150000,518491000,706410000,730179000,1701077000,5539501000,1704077000,2344542000,1992519000,4048446000,3683966000,5378828000,4453164000,6596426000,7693666000,9902690000,13052095000,12650083000,14445030000,50457097000
32,Short-Term Investments,- -,- -,- -,3726000,1318000,- -,- -,1000000,- -,- -,- -,200000000,139051000,18207000,247360000,1095000,451000,34345000,24000,5606052000
33,Cash and Short-Term Investments,1240150000,518491000,706410000,733905000,1702395000,5539501000,1704077000,2345542000,1992519000,4048446000,3683966000,5578828000,4592215000,6614633000,7941026000,9903785000,13052546000,12684428000,14445054000,56063149000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,439060000,870379000,1494243000,2231556000,3156918000,4548545000,6912844000,4405206000,6537852000,6595797000,7344833000,8220552000,9978317000,15750550000,17378439000,19872804000,26330345000,25571564000,31396358000,43354782000
36,Other Current Assets,817530000,1711611000,2263450000,2123930000,2369500000,6211939000,5874697000,10101742000,9022321000,10780212000,10903317000,14443446000,26162564000,32046483000,52920616000,72907803000,75827684000,68710613000,65763698000,66692258000
37,Total Current Assets,2496740000,3100481000,4464103000,5089391000,7228813000,16299985000,14491618000,16852490000,17552692000,21424455000,21932116000,28242826000,40733096000,54411666000,78240081000,102684392000,115210575000,106966605000,111605110000,166110189000
38,PP&E,696030000,2381715000,4100043000,5263643000,7594986000,10341577000,15512643000,20198581000,28715537000,35031698000,35055789000,35610931000,38750131000,41856097000,46440156000,50980724000,53362403000,60848697000,61642132000,83071906000
39,Goodwill,- -,- -,- -,- -,- -,58603000,58603000,58603000,65914000,65914000,65914000,65914000,65914000,65914000,65914000,65914000,65914000,65914000,65914000,65914000
40,Intangible Assets,7160000,50315000,48567000,289851000,314798000,2034475000,2274932000,2465058000,5698144000,6721454000,8011497000,9658466000,10856145000,11865902000,12055571000,14199119000,16698461000,18398159000,16689882000,19709973000
41,Intangible Assets,7160000,50315000,48567000,289851000,314798000,2093078000,2333535000,2523661000,5764058000,6787368000,8077411000,9724380000,10922059000,11931816000,12121485000,14265033000,16764375000,18464073000,16755796000,19775887000
42,Investments,- -,- -,- -,- -,- -,- -,- -,28860000,- -,- -,- -,892992000,1309502000,4941865000,5222636000,7249276000,5264907000,5994742000,7170540000,5446757000
43,Tax Assets,- -,11518000,14374000,30976000,10414000,165221000,165302000,185927000,371337000,586479000,786123000,899699000,965486000,1080416000,1448262000,1580032000,1388314000,1514934000,1768975000,1913316000
44,Other Non-Current Assets,1790000,- -,- -,- -,- -,388630000,28662000,656562000,559777000,1794392000,2859049000,1022083000,1328581000,1263895000,1598158000,1339973000,2580503000,1852542000,2074768000,19462092000
45,Total Non-Current Assets,704980000,2443548000,4162984000,5584470000,7920198000,12988506000,18040142000,23593591000,35410709000,44199937000,46778372000,48150085000,53275759000,61074089000,66830697000,75415038000,79360502000,88674988000,89412211000,129669958000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3201720000,5544029000,8627087000,10673861000,15149011000,29288491000,32531760000,40446081000,52963401000,65624392000,68710488000,76392911000,94008855000,115485755000,145070778000,178099430000,194571077000,195641593000,201017321000,295780147000
48,Accounts Payable,404220000,1192878000,1636125000,1985715000,3350528000,5715394000,6848022000,11521250000,11033448000,17235934000,18952108000,22292736000,25936501000,31478687000,35243610000,40273599000,46282887000,36168168000,51908304000,80491626000
49,Short-Term Debt,- -,619186000,2459899000,2195024000,4100436000,6828843000,4370850000,547129000,11003490000,11341822000,11287779000,16172161000,19172635000,26412860000,32928441000,45648670000,45271611000,49079813000,27813150000,23187774000
50,Tax Payable,34210000,3220000,7377000,77704000,26943000,178879000,-165693000,172270000,-606352000,-802188000,-874036000,-1221661000,428185000,641187000,1074614000,951253000,1081283000,613762000,1858782000,1779018000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,165120000,226929000,367290000,668669000,1144385000,3039152000,2816950000,6019553000,5727013000,4793178000,5691030000,3257157000,7912988000,8218577000,10145553000,19074667000,25014477000,22780966000,26709242000,67624544000
53,Total Current Liabilities,569340000,2038993000,4463314000,4849408000,8595349000,15583389000,14035822000,18087932000,27763951000,33370934000,35930917000,41722054000,53022124000,66110124000,78317604000,104996936000,116568975000,108028947000,106430696000,171303944000
54,Long-Term Debt,- -,105138000,236854000,1829669000,1513146000,1294843000,4791561000,3106514000,3049000000,7079247000,7341344000,8652259000,10979299000,11229901000,9338520000,10862346000,13924380000,22465167000,24469240000,12205249000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1158565000,1110021000,1546108000,1454710000,- -,- -,- -,2269176000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,8255000,- -,- -,- -,- -,- -,- -,- -,- -,568149000,549903000,610005000,66308000,102864000,393150000,609566000
57,Other Non-Current Liabilities,- -,- -,- -,- -,16738000,- -,367005000,224508000,999374000,1194075000,1293856000,3592000,2974000,2232000,678000,1672656000,3317435000,2443195000,3001147000,7417179000
58,Total Non-Current Liabilities,- -,105138000,236854000,1829669000,1538139000,1294843000,5158566000,3331022000,4048374000,8273322000,8635200000,9814416000,12092294000,13346390000,11343811000,13145007000,17308123000,25011226000,30132713000,20231994000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548680000,843286000,1415291000
61,Total Liabilities,569340000,2144131000,4700168000,6679077000,10133488000,16878232000,19194388000,21418954000,31812325000,41644256000,44566117000,51536470000,65114418000,79456514000,89661415000,118141943000,133877098000,133040173000,136563409000,191535938000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,539500000,539500000,539500000,539500000,539500000,539500000,2050100000,2275100000,2275100000,2354100000,2354100000,2354100000,2476000000,2476000000,2728143000,2728143000,2728143000,2728143000,2728143000,2911143000
64,Retained Earnings,468590000,1052642000,1559374000,1562416000,2494960000,- -,4368825000,7593633000,9048833000,10169160000,10127526000,10511045000,10638814000,13104044000,16238160000,19235924000,20498233000,21056234000,24456556000,26455907000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-3297496000,-4803899000,-6628536000,-9047840000,-11698580000,-14560411000,-17477612000,-20146561000,-23349022000,-28241345000,-33883734000,-40159074000,-46118714000,- -
66,Other Total Stockholders Equity,1563330000,1654227000,1768847000,1828427000,1905886000,10168618000,8164139000,11617523000,13764922000,17649097000,20413938000,23405030000,29728395000,36860921000,55638648000,61281472000,65855647000,73136986000,75808289000,65702621000
67,Total Stockholders Equity,2571420000,3246369000,3867721000,3930343000,4940346000,10708118000,11285568000,16682357000,18460319000,21124517000,21196984000,21709764000,25365597000,32294404000,51255929000,55004194000,55198289000,56762289000,56874274000,95069671000
68,Total Liabilities And Stockholders Equity,3140760000,5390500000,8567889000,10609420000,15073834000,27586350000,30479956000,38101311000,50272644000,62768773000,65763101000,73246234000,90480015000,111750918000,140917344000,173146137000,189075387000,189802462000,193437683000,286605609000
69,Minority Interest,60960000,153529000,59198000,64441000,75177000,1702141000,2051804000,2344770000,2690757000,2855619000,2947387000,3146677000,3528840000,3734837000,4153434000,4953293000,5495690000,5839131000,7579638000,9174538000
70,Total Liabilities & Equity,3201720000,5544029000,8627087000,10673861000,15149011000,29288491000,32531760000,40446081000,52963401000,65624392000,68710488000,76392911000,94008855000,115485755000,145070778000,178099430000,194571077000,195641593000,201017321000,295780147000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,658300000,829997000,894096000,368639000,1010185000,1611711000,1021249000,3793576000,2523414000,1384625000,81377000,553059000,433525000,2823441000,5052154000,4066478000,2780194000,1614450000,4234267000,3967266000
74,Depreciation and Amortization,- -,53841000,- -,351650000,499709000,898473000,1360411000,1762583000,2249308000,2761280000,3359329000,3627030000,4314847000,5416617000,7027569000,7084038000,9398685000,9795125000,12485170000,14078525000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-158790000,- -,396991000,467387000,-1407392000,-1147726000,5893884000,-2077925000,1150425000,1091642000,-2988740000,-6098937000,-5549544000,-16965910000,-8195831000,-4472921000,-1630919000,21362952000,44083278000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-258355000,- -,-780104000,-1014084000,-1424379000,-2409777000,2278601000,-2174293000,-244756000,-966356000,-986092000,-1917519000,-6223543000,-1984925000,-2726616000,-6584924000,283960000,-6701761000,-12892770000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-658300000,-403605000,-894096000,244306000,524486000,658018000,554611000,531376000,444588000,688196000,1022983000,1244820000,1388634000,1151580000,3040616000,3413202000,4816951000,4962351000,7310279000,3337613000
83,Cash Provided by Operating Activities,- -,321443000,- -,1361586000,2501767000,1910810000,1788545000,11981419000,3139385000,5984526000,5555331000,2436169000,38069000,3842094000,-1845571000,6367887000,12522909000,14741007000,45392668000,65466682000
84,CAPEX,-295970000,-570612000,-1881500000,-1757498000,-3013035000,-5596611000,-6418961000,-7307178000,-13212824000,-9412151000,-4350156000,-5763955000,-8578136000,-12290161000,-13053450000,-14776561000,-17842390000,-20627160000,-11774094000,-37343609000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-121278000,-57000000,-36039000,- -,- -,- -,185593000,526182000,9971000,- -,432912000,353133000,97876000,222329000
86,Purchases of Investments,- -,- -,- -,-27269000,- -,- -,-15731000,- -,-210825000,-390538000,-450000000,-197000000,-532450000,-1070592000,-926905000,-1606622000,-829313000,-1088939000,-1836814000,-3526828000
87,Sales/Maturities of Investments,2600000,- -,- -,6938000,- -,- -,18296000,- -,- -,508748000,110289000,- -,4261000,14478000,48988000,54773000,98106000,68401000,245268000,203886000
88,Other Investing Activites,-272640000,-566800000,-2015500000,-1754436000,-2999809000,-1116718000,-5731983000,-7086063000,-12424956000,-9040929000,-4269911000,-5454392000,-7619106000,-10076508000,-12574696000,-14412235000,-13932465000,-20214041000,-12950578000,-4959770000
89,Cash Used for Investing Activites,-270040000,-566800000,-2015500000,-1774767000,-2999809000,-5177316000,-5850696000,-7143063000,-12671820000,-8922719000,-4609622000,-5651392000,-7961702000,-10606440000,-13442642000,-15964084000,-14230760000,-20881446000,-14444248000,-45403992000
90,Debt Repayment,-597000000,-171004000,-694350000,-3319279000,-3410627000,-4593784000,-14113472000,-9941114000,-2328309000,-14455683000,-14069863000,-12822558000,-21022402000,-18760798000,-26691182000,-36249367000,-57557196000,-68598918000,-67123655000,-49878805000
91,Common Stock Issued,- -,- -,- -,- -,- -,5410650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-147060000,-153218000,-276220000,-448730000,-243047000,-215800000,-1235261000,-301923000,-1156289000,-1055771000,-1172615000,-1242020000,-1767447000,-1762667000,-3156943000,-3148083000,-3917688000,-4238260000,-3631253000,-2433372000
94,Other Financing Activites,1850710000,1707000,2666780000,4205219000,5122793000,6587791000,15617071000,5997814000,12662489000,20247481000,14025444000,18572336000,30060798000,29273250000,46118342000,50565274000,65391395000,79447523000,41847490000,68374694000
95,Cash Used/Provided by Financing Activities,1106650000,-322515000,1696210000,437210000,1469119000,7188857000,268338000,-4245223000,9177891000,4736027000,-1217034000,4507758000,7270949000,8749785000,16270217000,11167824000,3916511000,6610345000,-28907418000,16062517000
96,Effect of Forex Changes on Cash,-260000,-684000,3480000,-260000,-179000,-162000,-43470000,18333000,22460000,-39183000,20500000,-68154000,31208000,204626000,97059000,5733000,6443000,53334000,23199000,-43845000
97,Net Change In Cash,10000,-568556000,- -,23769000,970898000,3922189000,-3837283000,611466000,-332084000,1758651000,-250825000,1224381000,-621476000,2190065000,1079063000,1577360000,2215103000,523240000,2064201000,36081362000
98,Cash at the End of Period,- -,671600000,- -,730179000,1701077000,5539501000,1699353000,2310819000,1978735000,3737386000,3486561000,4710942000,4089466000,6279531000,7358594000,8935954000,11151057000,11674297000,13738498000,49819860000
99,Cash at the Beginning of Period,- -,1240156000,- -,706410000,730179000,1617312000,5536636000,1699353000,2310819000,1978735000,3737386000,3486561000,4710942000,4089466000,6279531000,7358594000,8935954000,11151057000,11674297000,13738498000
100,Free Cash Flow,21790000,-249169000,-1465110000,-395912000,-511268000,-3685801000,-4630416000,4674241000,-10073439000,-3427625000,1205175000,-3327786000,-8540067000,-8448067000,-14899021000,-8408674000,-5319481000,-5886153000,33618574000,28123073000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
