,https://roic.ai/company/CPRI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,56174000,136866000,247682000,630014000,1008171000,1256973000,1175100000,689900000,749100000,735000000,-192000000,19000000
18,Operating Income ratio,0.1106,0.1704,0.1902,0.2888,0.3045,0.2875,0.2494,0.1535,0.1588,0.1403,-0.0346,0.0047
19,Total Other Income Expenses (Gains),-1227000,-3647000,1134000,-2887000,-571000,-1150000,-2800000,-1300000,-7300000,-114000000,-23000000,-16000000
20,Income Before Tax,54947000,133219000,248816000,627127000,1007600000,1255823000,1172300000,688600000,741800000,621000000,-215000000,3000000
21,Income Before Tax Ratio,0.1081,0.1658,0.1911,0.2874,0.3043,0.2873,0.2488,0.1532,0.1572,0.1186,-0.0387,0.0007
22,Income Tax expense (Gain),15699000,60713000,101452000,229525000,346162000,374800000,334600000,137100000,149700000,79000000,10000000,66000000
23,Net Income,39248000,72506000,147364000,397602000,661500000,881023000,839100000,552500000,591900000,543000000,-223000000,-62000000
24,Net Income ratio,0.0772,0.0903,0.1132,0.1822,0.1998,0.2015,0.1781,0.1229,0.1254,0.1037,-0.0402,-0.0153
25,EPS,0.22,0.34,0.80,2.02,3.27,4.35,4.50,3.33,3.89,3.62,-1.48,-0.41
26,EPS Diluted,0.22,0.33,0.78,1.97,3.22,4.28,4.44,3.29,3.82,3.58,-1.48,-0.41
27,Weighted Average Shares Outstanding,140554377,183378696,158258126,196615054,202582945,202680572,186293295,165986733,152283586,149765468,150714598,150453568
28,Weighted Average Shares Outstanding Diluted,179177268,188203675,189299197,201540144,205638107,205865769,189054289,168123813,155102885,151614350,150714598,150453568
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530721/000119312514215187/0001193125-14-215187-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000119312515201923/0001193125-15-201923-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072116000090/0001530721-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072117000022/0001530721-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072118000035/0001530721-18-000035-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072119000023/0001530721-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072120000062/cpri-20200328.htm,https://www.sec.gov/Archives/edgar/data/1530721/000153072121000057/0001530721-21-000057-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,21065000,106354000,472511000,971200000,978900000,702000000,227700000,163100000,172000000,592000000,232000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,21065000,106354000,472511000,971200000,978900000,702000000,227700000,163100000,172000000,592000000,232000000
34,Net Receivables,- -,80081000,127226000,206454000,298000000,375700000,316800000,277800000,299900000,392000000,308000000,398000000
35,Inventory,- -,117173000,187413000,266894000,426900000,519900000,546800000,549300000,660700000,953000000,827000000,736000000
36,Other Current Assets,- -,27079000,43070000,43330000,81100000,115200000,104200000,109900000,138400000,212000000,167000000,180000000
37,Total Current Assets,- -,245398000,464063000,989189000,1777200000,1989700000,1669800000,1164700000,1262100000,1729000000,1894000000,1546000000
38,PP&E,- -,119323000,170755000,242113000,350700000,562900000,758200000,591500000,583200000,615000000,2186000000,1989000000
39,Goodwill,- -,14005000,14005000,14005000,14000000,14000000,23200000,119700000,847700000,1659000000,1488000000,1498000000
40,Intangible Assets,- -,15796000,14146000,20980000,48000000,61500000,67400000,418100000,1235700000,2293000000,1986000000,1992000000
41,Intangible Assets,- -,29801000,28151000,34985000,62000000,75500000,90600000,537800000,2083400000,3952000000,3474000000,3490000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,1951000,3952000,4389000,5900000,7000000,3500000,80000000,56200000,438000000,465000000,278000000
44,Other Non-Current Assets,- -,3022000,7504000,18889000,21200000,49500000,44700000,35600000,74100000,-84000000,-73000000,178000000
45,Total Non-Current Assets,- -,154097000,210362000,300376000,439800000,694900000,897000000,1244900000,2796900000,4921000000,6052000000,5935000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,399495000,674425000,1289565000,2217000000,2684600000,2566800000,2409600000,4059000000,6650000000,7946000000,7481000000
48,Accounts Payable,- -,52873000,67326000,82977000,143600000,114100000,131400000,176300000,294100000,371000000,428000000,512000000
49,Short-Term Debt,- -,12765000,22674000,- -,- -,- -,- -,133100000,200000000,630000000,597000000,570000000
50,Tax Payable,- -,18701000,12835000,16709000,47385000,45709000,89800000,89500000,131900000,81000000,80000000,172000000
51,Deferred Revenue,- -,- -,- -,1094000,- -,- -,- -,- -,24400000,31000000,- -,12000000
52,Other Current Liabilities,- -,62087000,75006000,80177000,164800000,212200000,304100000,256400000,441800000,510000000,376000000,527000000
53,Total Current Liabilities,- -,127725000,165006000,164248000,308400000,326300000,435500000,565800000,960300000,1542000000,1401000000,1621000000
54,Long-Term Debt,- -,101650000,- -,- -,- -,- -,2300000,- -,674400000,1936000000,2012000000,2876000000
55,Deferred Revenue,- -,29381000,- -,- -,76785000,88320000,106400000,137800000,- -,132000000,- -,- -
56,Deferred Tax Liabilities,- -,5495000,6300000,13163000,5887000,10490000,3500000,80000000,186300000,438000000,465000000,397000000
57,Other Non-Current Liabilities,- -,9924000,46882000,64908000,19728000,18490000,23400000,33400000,216500000,173000000,1901000000,430000000
58,Total Non-Current Liabilities,- -,146450000,53182000,78071000,102400000,117300000,135600000,251200000,1077200000,2679000000,4378000000,3703000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2188000000,2104000000
61,Total Liabilities,- -,274175000,218188000,242319000,410800000,443600000,571100000,817000000,2037500000,4221000000,5779000000,5324000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,81287000,228651000,626253000,1287700000,2168800000,3007800000,3560300000,4152000000,4707000000,4332000000,4270000000
65,Other Comprehensive Income/Loss,- -,4033000,-735000,-3461000,-6373000,-66804000,-80900000,-80600000,50500000,-66000000,75000000,56000000
66,Other Total Stockholders Equity,- -,121727000,345073000,586333000,524400000,139200000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,125320000,456237000,1047246000,1806131000,2240965000,1995700000,1592600000,2017700000,2429000000,2167000000,2158000000
68,Total Liabilities And Stockholders Equity,- -,399495000,674425000,1289565000,2216931000,2684565000,2566800000,2409600000,4055200000,6650000000,7946000000,7482000000
69,Minority Interest,- -,- -,- -,- -,69000,35000,- -,- -,3800000,- -,- -,-1000000
70,Total Liabilities & Equity,- -,399495000,674425000,1289565000,2217000000,2684600000,2566800000,2409600000,4059000000,6650000000,7946000000,7481000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530721/000119312514215187/0001193125-14-215187-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000119312515201923/0001193125-15-201923-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072116000090/0001530721-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072117000022/0001530721-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072118000035/0001530721-18-000035-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072119000023/0001530721-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072120000062/cpri-20200328.htm,https://www.sec.gov/Archives/edgar/data/1530721/000153072121000057/0001530721-21-000057-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,39248000,72506000,147364000,397602000,661500000,881023000,839100000,552500000,591900000,543000000,-223000000,-62000000
74,Depreciation and Amortization,18843000,25543000,37554000,54291000,79654000,138425000,183200000,219800000,208600000,225000000,249000000,212000000
75,Deferred Income Tax,11024000,- -,-40010000,-141286000,-84598000,-39038000,-23000000,-66900000,1800000,-95000000,-71000000,-66000000
76,Stock Based Compensation,- -,- -,27020000,20932000,29078000,48936000,48400000,33900000,49600000,60000000,70000000,71000000
77,Change in Working Capital,-40231000,114204000,181384000,525884000,643859000,194600000,-429100000,-635400000,-297100000,-114800000,306000000,-568000000
78,Accounts Receivable,-35350000,- -,-48399000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-13390000,-50465000,-71151000,-81108000,-158243000,-112418000,-16300000,20600000,46000000,-125000000,115000000,145000000
80,Accounts Payable,4612000,18043000,14888000,16299000,49034000,5809000,14200000,37500000,-20900000,-48000000,63000000,50000000
81,Other Working Capital,3469000,117673000,299057000,824941000,1468800000,1663400000,1234300000,598900000,301800000,187000000,493000000,-75000000
82,Other Non-Cash Items,-292000,-101945000,-238022000,-501087000,-697714000,-366077000,609800000,924100000,507700000,75800000,528000000,1037000000
83,Cash Provided by Operating Activities,28592000,110308000,115290000,356336000,631779000,857869000,1228400000,1028000000,1062500000,694000000,859000000,624000000
84,CAPEX,-32175000,-57830000,-88187000,-129867000,-213560000,-385433000,-380600000,-170300000,-123600000,-184000000,-223000000,-111000000
85,Acquisitions Net,- -,- -,- -,-3232000,-1960000,-2940000,-500000,-480600000,-1409800000,-1952000000,-13000000,-13000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-32175000,-57830000,-88187000,-135867000,-213560000,-385433000,-380600000,-170300000,-123600000,-173000000,75000000,-111000000
89,Cash Used for Investing Activites,-32175000,-57830000,-88187000,-139099000,-215520000,-388373000,-381100000,-650900000,-1533400000,-2125000000,62000000,-124000000
90,Debt Repayment,-215160000,-232050000,-100855000,-38954000,-21120000,- -,-199800000,-1093800000,-1783200000,-2560000000,-2676000000,-3311000000
91,Common Stock Issued,- -,- -,9550000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2447000,-495277000,-1152400000,-1004800000,-361000000,-207000000,-102000000,-1000000
93,Dividends Paid,-1862000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,222603000,194324000,149944000,189515000,94625000,60583000,223900000,1255000000,2533800000,4218000000,2281000000,2442000000
95,Cash Used/Provided by Financing Activities,5581000,-37726000,58639000,150561000,71058000,-434694000,-1128300000,-843600000,389600000,1451000000,-497000000,-870000000
96,Effect of Forex Changes on Cash,1206000,649000,-453000,-1641000,-4683000,-27074000,4100000,-5900000,15100000,-11000000,-4000000,12000000
97,Net Change In Cash,3204000,15401000,85289000,366157000,482634000,7728000,-276900000,-472400000,-66200000,9000000,420000000,-358000000
98,Cash at the End of Period,5664000,21065000,106354000,472511000,955145000,978922000,702000000,229600000,163400000,172000000,592000000,234000000
99,Cash at the Beginning of Period,2460000,5664000,21065000,106354000,472511000,971194000,978900000,702000000,229600000,163000000,172000000,592000000
100,Free Cash Flow,-3583000,52478000,27103000,226469000,418219000,472436000,847800000,857700000,938900000,510000000,636000000,513000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530721/000119312514215187/0001193125-14-215187-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000119312515201923/0001193125-15-201923-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072116000090/0001530721-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072117000022/0001530721-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072118000035/0001530721-18-000035-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072119000023/0001530721-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1530721/000153072120000062/cpri-20200328.htm,https://www.sec.gov/Archives/edgar/data/1530721/000153072121000057/0001530721-21-000057-index.htm
102,false,,,,,,,,,,,,
