,https://roic.ai/company/SGA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.38,0.12,0.34,0.41,0.58,0.68,0.94,1.22,1.25,1.22,1.98,1.95,2.25,1.53,1.83,1.65,-42.15,-0.46,2.69,2.24,2.37,2.64,2.55,2.29,3.09,9.27,2.30,2.23,-0.32,1.85
27,Weighted Average Shares Outstanding,5819152,6666650,6845221,6249984,6681727,6582014,6623420,6797899,6847482,6824149,6876982,6938982,6917316,6827316,6813982,6696983,1577996,5609319,5639985,5650652,7545314,5681000,5700000,5706000,5761000,5803000,5829000,5834000,5871000,5917000
28,Weighted Average Shares Outstanding Diluted,5819152,6666650,6845221,6617631,6770816,6712873,6765608,6943732,6996649,6962482,7069648,7100315,7055649,6891649,6819316,6704983,1577996,5609319,5641319,5655985,7562647,5745000,5753000,5740000,5771000,5807000,5829000,5834000,5871000,5917000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886136/000155837021003081/0001558370-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/886136/000155837022003757/0001558370-22-003757-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2400000,1600000,2300000,3200000,4300000,2200000,6700000,11300000,8670000,11843000,5874000,11766000,9113000,15168000,10799000,13343000,6992000,12899000,12197000,6991000,15915000,17628000,17907000,21614000,26640000,53030000,44729000,44034000,51353000,0
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1007000,- -,1347000,- -,- -,- -,- -,- -,- -,- -,11321000,- -
33,Cash and Short-Term Investments,2400000,1600000,2300000,3200000,4300000,2200000,6700000,11300000,8670000,11843000,5874000,11766000,9113000,15168000,10799000,13343000,6992000,12899000,13204000,6991000,17262000,17628000,17907000,21614000,26640000,53030000,44729000,44034000,62674000,0
34,Net Receivables,5900000,6800000,9300000,8900000,11600000,12800000,14400000,18100000,19747000,19185000,21355000,22733000,23692000,22998000,23777000,23449000,20091000,19096000,18985000,19415000,21039000,21078000,21878000,22566000,23110000,20627000,21310000,20208000,16627000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1400000,1600000,2000000,2000000,2200000,2500000,2800000,3700000,2945000,4491000,4219000,4363000,4819000,5596000,4363000,4590000,7718000,4899000,4370000,4554000,2133000,3375000,3802000,3715000,4044000,2517000,2556000,2478000,-8333000,- -
37,Total Current Assets,9700000,10000000,13600000,14100000,18100000,17500000,23900000,33100000,31362000,35519000,31448000,38862000,37624000,43762000,38939000,41382000,34801000,36894000,36559000,30960000,40434000,42081000,43587000,47895000,53794000,76174000,68595000,66720000,70968000,- -
38,PP&E,17600000,18400000,28600000,26400000,29700000,34000000,35600000,44500000,47672000,55169000,60161000,62369000,66364000,69669000,73658000,76217000,73383000,69216000,65561000,63186000,58462000,56337000,55187000,58131000,56562000,56235000,59103000,58711000,54885000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49605000,49661000,- -,- -,- -,- -,- -,- -,326000,2874000,7407000,15558000,18839000,18963000,19106000,- -
40,Intangible Assets,25200000,27200000,34000000,24300000,47600000,60100000,70500000,84300000,100872000,112033000,134713000,161112000,176166000,205434000,160439000,170384000,113276000,96241000,97683000,96188000,90837000,88894000,87168000,89909000,97788000,95977000,97997000,96920000,91004000,- -
41,Intangible Assets,25200000,27200000,34000000,24300000,47600000,60100000,70500000,84300000,100872000,112033000,134713000,161112000,176166000,205434000,210044000,220045000,113276000,96241000,97683000,96188000,90837000,88894000,87494000,92783000,105195000,111535000,116836000,115883000,110110000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4017000,5089000,5140000,5518000,5278000,4687000,3736000,10976000,10461000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2400000,2000000,2000000,10100000,1000000,800000,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3580000,823000,636000,244000,191000,138000,207000,104000,64000,- -
45,Total Non-Current Assets,45200000,47600000,64600000,60800000,78300000,94900000,106100000,129400000,148544000,167202000,194874000,223481000,242530000,275103000,283702000,296262000,186659000,165457000,163244000,159374000,156896000,151143000,148457000,156676000,167226000,172595000,179882000,185674000,175520000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247932
47,Total Assets,54900000,57600000,78200000,74900000,96400000,112400000,130000000,162500000,179906000,202721000,226322000,262343000,280154000,318865000,322641000,337644000,221460000,202351000,199803000,190334000,197330000,193224000,192044000,204571000,221020000,248769000,248477000,252394000,246488000,247932
48,Accounts Payable,600000,300000,1000000,900000,1000000,1000000,1900000,1400000,933000,944000,1265000,1817000,2128000,1245000,2090000,3017000,1447000,1345000,1683000,1808000,3635000,3437000,3489000,4145000,3844000,3297000,3920000,3269000,3007000,- -
49,Short-Term Debt,1800000,3800000,4000000,5100000,1400000,8100000,200000,400000,390000,275000,13308000,45000,- -,7000000,- -,- -,1061000,17078000,6121000,3000000,- -,1078000,- -,- -,1078000,- -,5000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24607000,- -
52,Other Current Liabilities,3000000,3300000,4800000,4600000,4700000,6800000,6600000,8600000,9246000,10217000,11358000,11647000,13718000,12899000,15232000,14290000,12916000,10718000,10625000,9830000,9733000,9487000,9544000,10193000,11123000,17608000,14245000,14232000,-13680000,- -
53,Total Current Liabilities,5400000,7400000,9800000,10600000,7100000,15900000,8700000,10400000,10569000,11436000,25931000,13509000,15846000,21144000,17322000,17307000,15424000,29141000,18429000,14638000,13368000,14002000,13033000,14338000,16045000,20905000,23165000,17501000,13934000,- -
54,Long-Term Debt,32400000,24200000,40000000,32100000,52400000,53500000,70700000,85400000,94251000,105226000,91920000,121160000,121161000,141911000,133911000,129911000,134350000,104000000,89957000,66078000,58828000,45000000,36078000,36365000,35287000,25000000,15000000,10000000,10000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2200000,2000000,2100000,2700000,3400000,4300000,5400000,6800000,8569000,9990000,14064000,18414000,23083000,26174000,31367000,36829000,3294000,1907000,7105000,13383000,17646000,20571000,23786000,27688000,30763000,21072000,23732000,25152000,24607000,- -
57,Other Non-Current Liabilities,- -,- -,- -,600000,400000,400000,500000,800000,899000,1007000,1348000,2016000,2839000,3812000,3805000,4521000,3295000,3210000,4234000,3260000,3279000,3950000,3902000,3364000,3943000,2327000,1581000,7389000,7405000,- -
58,Total Non-Current Liabilities,34600000,26200000,42100000,35400000,56200000,58200000,76600000,93000000,103719000,116223000,107332000,141590000,147083000,171897000,169083000,171261000,140939000,109117000,101296000,82721000,79753000,69521000,63766000,67417000,69993000,48399000,40313000,42541000,42012000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,40000000,33600000,51900000,46000000,63300000,74100000,85300000,103400000,114288000,127659000,133263000,155099000,162929000,193041000,186405000,188568000,156363000,138258000,119725000,97359000,93121000,83523000,76799000,81755000,86038000,69304000,63478000,60042000,55946000,0
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,200000,165000,166000,209000,210000,211000,212000,213000,213000,53000,53000,53000,53000,72000,72000,72000,74000,74000,76000,76000,77000,77000,- -
64,Retained Earnings,-11700000,-10900000,-8600000,-6000000,-2100000,2400000,8800000,17300000,25918000,34483000,48393000,62277000,78119000,88685000,101133000,112137000,45645000,43064000,58200000,70831000,81746000,86693000,91178000,98180000,108733000,151608000,156689000,162822000,158990000,- -
65,Other Comprehensive Income/Loss,-20200000,-23000000,-26600000,-30200000,-33300000,-36500000,-40000000,-44500000,-49343000,-55003000,-60813000,-64189000,-67129000,-67539000,-71805000,-77287000,-84446000,-88795000,-93028000,-97244000,-97317000,-102425000,-106415000,-108943000,-103406000,-79621000,-81117000,-83692000,- -,- -
66,Other Total Stockholders Equity,46800000,57900000,61500000,65100000,68500000,72400000,75900000,86100000,88878000,95416000,105270000,108946000,106024000,104466000,106695000,114013000,103845000,109771000,114853000,119335000,119708000,125361000,130410000,133505000,129581000,107402000,109351000,113145000,31475000,- -
67,Total Stockholders Equity,14900000,24000000,26300000,28900000,33100000,38300000,44700000,59100000,65618000,75062000,93059000,107244000,117225000,125824000,136236000,149076000,65097000,64093000,80078000,92975000,104209000,109701000,115245000,122816000,134982000,179465000,184999000,192352000,190542000,196919000
68,Total Liabilities And Stockholders Equity,54900000,57600000,78200000,74900000,96400000,112400000,130000000,162500000,179906000,202721000,226322000,262343000,280154000,318865000,322641000,337644000,221460000,202351000,199803000,190334000,197330000,193224000,192044000,204571000,221020000,248769000,248477000,252394000,246488000,196919000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196671068
70,Total Liabilities & Equity,54900000,57600000,78200000,74900000,96400000,112400000,130000000,162500000,179906000,202721000,226322000,262343000,280154000,318865000,322641000,337644000,221460000,202351000,199803000,190334000,197330000,193224000,192044000,204571000,221020000,248769000,248477000,252394000,246488000,247932
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886136/000155837021003081/0001558370-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/886136/000155837022003757/0001558370-22-003757-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-700000,800000,2300000,2700000,3900000,4500000,6400000,8600000,8650000,8565000,13955000,13884000,15842000,10566000,12448000,11004000,-66492000,-2581000,15136000,12631000,17925000,15273000,14904000,13414000,18186000,54717000,13690000,13279000,-1913000,- -
74,Depreciation and Amortization,4500000,4800000,5800000,6600000,5500000,5900000,6400000,8000000,9478000,10110000,6899000,8446000,8006000,10033000,9045000,9070000,9634000,9335000,8450000,8207000,7472000,7405000,7339000,7461000,7891000,6251000,6786000,6945000,6524000,5749
75,Deferred Income Tax,-300000,-200000,- -,600000,700000,700000,1000000,700000,1742000,2342000,3770000,3594000,4137000,3590000,5183000,5144000,-33879000,-1145000,5080000,6100000,4540000,2792000,3395000,3640000,3160000,-8210000,2660000,1420000,-545000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1433000,1366000,927000,383000,132000,135000,826000,1655000,2101000,2279000,2201000,2129000,2221000,1335
77,Change in Working Capital,-100000,-1700000,1200000,-300000,7500000,-9400000,13600000,7500000,-1907000,3290000,-18566000,19836000,-3575000,840000,-1001000,2458000,-4698000,-11624000,10377000,-1808000,10744000,1013000,2475000,3003000,4192000,17520000,-9839000,3789000,7815000,-56839412
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-742000,160000,-1521000,233000,-885000,-434000,-157000,- -,3016000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1254000,- -
81,Other Working Capital,4300000,2600000,3800000,3500000,11000000,1600000,15200000,22700000,20793000,24083000,5517000,25353000,21778000,22618000,21617000,24075000,19377000,7753000,18130000,16322000,27066000,28079000,30554000,33557000,37749000,55269000,45430000,49219000,57034000,194588
82,Other Non-Cash Items,1600000,900000,-2300000,-100000,-9900000,10000000,-14500000,-8300000,3111000,-3049000,19424000,-18378000,5594000,1588000,3973000,-902000,119293000,29930000,-12431000,1665000,-9858000,94000,-3523000,-638000,-6197000,-67183000,10061000,-2227000,-2014000,56832328
83,Cash Provided by Operating Activities,5000000,4600000,7000000,9500000,7700000,11700000,12900000,16500000,21074000,21258000,25482000,27382000,30004000,26617000,29648000,26774000,25291000,25281000,27539000,27178000,30955000,26712000,25416000,28535000,29333000,5374000,25559000,25335000,12088000,- -
84,CAPEX,-1600000,-2100000,-2100000,-2300000,-2100000,-21400000,-13200000,-26100000,-30546000,-26837000,-7559000,-8118000,-11098000,-10426000,-10504000,-10032000,-18226000,-4196000,-4494000,-5577000,-4809000,-5152000,-6427000,-17385000,-17702000,-32102000,-15211000,-6495000,-2504000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000000,-3000000,-10000000,-11000000,- -,- -,- -,- -,3000000,1000000,-12000000,-13000000,-26000000,-9000000,-1000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-600000,-4500000,-20300000,500000,-21100000,-100000,-4100000,-1700000,507000,-1754000,-24878000,-24502000,-14974000,1507000,-1729000,-248000,11336000,11000,4693000,441000,-115000,342000,719000,12279000,14774000,26414000,9335000,1260000,1900000,- -
89,Cash Used for Investing Activites,-2200000,-6600000,-22400000,-1800000,-23200000,-21500000,-17300000,-27800000,-30039000,-28591000,-32437000,-32620000,-26072000,-40919000,-15233000,-20280000,-17890000,-4030000,-1660000,-4118000,-4924000,-1810000,-4708000,-17106000,-15928000,-31688000,-14876000,-6235000,-604000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-15317000,-25000000,-119100000,-10250000,-12750000,-10000000,-35000000,- -,-10287000,-5000000,-10000000,- -,- -
91,Common Stock Issued,20300000,8800000,- -,- -,100000,400000,400000,1700000,- -,633000,1262000,119000,981000,240000,53000,176000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-7200000,-400000,- -,-100000,- -,- -,-900000,- -,-2574000,-987000,-3000,-2007000,-7522000,-7433000,-3487000,-126000,-19210000,-20000,-78000,-117000,- -,- -,- -,- -,- -,- -,-2000000,-1172000,-449000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7010000,-10326000,-10419000,-6412000,-7633000,-5313000,-11864000,-8623000,-3716000,- -
94,Other Financing Activites,-14900000,-7200000,16000000,-6700000,16500000,7300000,9300000,14200000,8867000,10860000,-273000,13018000,-44000,27550000,-15350000,-4000000,10458000,-7000,-1503000,90951000,187000,-113000,-10000,33690000,-746000,-946000,-120000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-1800000,1200000,16000000,-6800000,16600000,7700000,8800000,15900000,6293000,10506000,986000,11130000,-6585000,20357000,-18784000,-3950000,-13752000,-15344000,-26581000,-28266000,-17073000,-23189000,-20429000,-7722000,-8379000,-16546000,-18984000,-19795000,-4165000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,4600000,-2672000,3173000,-5969000,5892000,-2653000,6055000,-4369000,2544000,-6351000,5907000,-702000,-5206000,8924000,1713000,279000,3707000,5026000,26333000,-8301000,-695000,7319000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,11300000,8670000,11843000,5874000,11766000,9113000,15168000,10799000,13343000,6992000,12899000,12197000,6991000,15915000,17628000,17907000,21614000,26640000,53030000,44729000,44034000,51353000,- -
99,Cash at the Beginning of Period,1400000,2400000,1600000,2300000,3200000,4300000,2200000,6700000,11342000,8670000,11843000,5874000,11766000,9113000,15168000,10799000,13343000,6992000,12899000,12197000,6991000,15915000,17628000,17907000,21614000,26697000,53030000,44729000,44034000,51353000
100,Free Cash Flow,3400000,2500000,4900000,7200000,5600000,-9700000,-300000,-9600000,-9472000,-5579000,17923000,19264000,18906000,16191000,19144000,16742000,7065000,21085000,23045000,21601000,26146000,21560000,18989000,11150000,11631000,-26728000,10348000,18840000,9584000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886136/000155837021003081/0001558370-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/886136/000155837022003757/0001558370-22-003757-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
