,https://roic.ai/company/PERI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338940/000117891310000846/zk1008075.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891311000712/zk1109558.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891312000771/zk1211161.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891313001237/zk1312995.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891314001272/zk1414664.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891315001254/zk1516583.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891316004830/zk1618233.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891317000702/zk1719634.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891318000974/zk1821392.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891319000875/zk1922805.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891320000826/zk2024148.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1658000,2232000,4342000,2428000,8366000,4611000,7835000,24368000,16055000,11260000,21762000,23364000,101183000,17519000,23962000,31567000,39109000,38389000,47656000,104446000
32,Short-Term Investments,- -,- -,- -,1597000,1268000,2458000,17381000,18811000,18790000,5225000,14973000,- -,- -,- -,15000000,42442000,8414000,5913000,4000000,23234000,12700000,217200000
33,Cash and Short-Term Investments,- -,- -,1658000,3829000,5610000,4886000,25747000,23422000,26625000,29593000,31028000,11260000,21762000,23364000,116183000,59961000,32376000,37480000,43109000,61623000,60356000,321646000
34,Net Receivables,- -,- -,- -,560000,1720000,1882000,2439000,4010000,2194000,7139000,7280000,3265000,14231000,21495000,30808000,66662000,71346000,62830000,55557000,49098000,81221000,115361000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,93000,270000,274000,418000,368000,5303000,- -,- -,6447000,11699000,2726000,12164000,17396000,10036000,13955000,5227000,4386000,5782000,9164000
37,Total Current Assets,- -,- -,- -,4482000,7600000,7042000,28604000,27800000,34122000,36732000,38308000,20972000,47692000,47585000,159155000,144019000,113758000,114265000,103893000,115107000,147359000,446171000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27036000,15789000
39,Goodwill,- -,- -,- -,- -,- -,- -,288000,125000,- -,- -,- -,24753000,37435000,37435000,164092000,203693000,190737000,125051000,125051000,125809000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,341000,164000,149000,134000,202000,6606000,35295000,27040000,16890000,66072000,44018000,11309000,6496000,2635000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,629000,289000,149000,134000,202000,31359000,72730000,64475000,180982000,269765000,234755000,136360000,131547000,128444000,176679000,245965000
42,Investments,- -,- -,- -,348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,114000,127000,149000,221000,92000,328000,63000,102000,- -,- -,- -,- -,12344000,4117000,4798000,4414000,6171000,7111000,5228000
44,Other Non-Current Assets,- -,- -,- -,85000,537000,1269000,1970000,3585000,3052000,2965000,2736000,2561000,2737000,2815000,16002000,16170000,15822000,18604000,16592000,34055000,496000,79000
45,Total Non-Current Assets,- -,- -,- -,547000,664000,1418000,2820000,3966000,3529000,3162000,3040000,33920000,75467000,67290000,196984000,298279000,254694000,159762000,152553000,168670000,211322000,267061000
46,Other Assets,- -,- -,2642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2642000,5029000,8264000,8460000,31424000,31766000,37651000,39894000,41348000,54892000,123159000,114875000,356139000,442298000,368452000,274027000,256446000,283777000,358681000,713232000
48,Accounts Payable,- -,- -,- -,95000,102000,114000,464000,1546000,1948000,1039000,1831000,3207000,9560000,13900000,21173000,40388000,38293000,39180000,38208000,47681000,72498000,107730000
49,Short-Term Debt,- -,- -,- -,4000,6000,4000,- -,- -,- -,- -,- -,- -,2300000,2300000,2300000,23756000,17944000,13989000,16059000,8333000,8333000,3615000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,813000,2333000,3703000,3254000,2605000,2270000,2204000,4280000,5132000,9052000,7323000,7731000,5354000,5271000,3794000,4188000,5711000,3852000
52,Other Current Liabilities,- -,- -,- -,476000,441000,1625000,2876000,3244000,4426000,6577000,6206000,13524000,34996000,25193000,34828000,34750000,25119000,22930000,19053000,23106000,33571000,78510000
53,Total Current Liabilities,- -,- -,- -,575000,1362000,4076000,7043000,8044000,8979000,9886000,10241000,21011000,51988000,50445000,65624000,106625000,86710000,81370000,77114000,83308000,120113000,193707000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6550000,4250000,35752000,75291000,59790000,46719000,24393000,8333000,- -,9774000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1743000,1616000,1576000,1120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19456000,8087000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3339000,4050000,4419000,1804000,2951000,1385000,1390000,1379000,946000,9911000,3610000,8766000,41089000,5721000,7606000,6158000,26954000,54446000,42791000
58,Total Non-Current Liabilities,- -,- -,- -,3339000,4050000,4419000,1804000,2951000,3128000,3006000,2955000,2066000,16461000,7860000,44518000,135836000,73598000,54325000,30551000,35287000,54446000,52565000
59,Other Liabilities,- -,- -,3905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24030000,22212000,13389000
61,Total Liabilities,- -,- -,3905000,3914000,5412000,8495000,8847000,10995000,12107000,12892000,13196000,23077000,68449000,58305000,110142000,242461000,160308000,135695000,107665000,118595000,174559000,246272000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,11000,11000,12000,20000,20000,21000,21000,22000,22000,28000,29000,189000,206000,210000,211000,211000,213000,224000,375000
64,Retained Earnings,- -,- -,- -,428000,2124000,-1022000,1455000,-1390000,3035000,5386000,5298000,7081000,10615000,10925000,42826000,-25831000,-25630000,-98384000,-90263000,-77370000,-67145000,-28439000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-609000,-669000,-875000,-1267000,-1985000,-2536000,-3122000,-3700000,-3511000,-4316000,-7750000,-1000000,-10228000,1000000,-15548000,-20163000,112000,-128000
66,Other Total Stockholders Equity,- -,- -,- -,676000,1326000,1644000,21977000,23408000,24473000,24131000,25954000,28412000,47578000,49932000,210732000,226462000,243792000,235505000,254381000,262502000,250931000,495152000
67,Total Stockholders Equity,- -,- -,-1263000,1115000,2852000,-35000,22577000,20771000,25544000,27002000,28152000,31815000,54710000,56570000,245997000,199837000,208144000,138332000,148781000,165182000,184122000,466960000
68,Total Liabilities And Stockholders Equity,- -,- -,2642000,5029000,8264000,8460000,31424000,31766000,37651000,39894000,41348000,54892000,123159000,114875000,356139000,442298000,368452000,274027000,256446000,283777000,358681000,713232000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,2642000,5029000,8264000,8460000,31424000,31766000,37651000,39894000,41348000,54892000,123159000,114875000,356139000,442298000,368452000,274027000,256446000,283777000,358681000,713232000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338940/000117891310000846/zk1008075.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891311000712/zk1109558.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891312000771/zk1211161.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891313001237/zk1312995.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891314001272/zk1414664.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891315001254/zk1516583.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891316004830/zk1618233.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891317000702/zk1719634.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891318000974/zk1821392.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891319000875/zk1922805.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891320000826/zk2024148.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,1311000,2353000,2796000,1149000,2477000,-2762000,4425000,8013000,8389000,5668000,3534000,310000,42826000,-68657000,201000,-72754000,8121000,12893000,10225000,38706000
74,Depreciation and Amortization,- -,- -,200000,111000,42000,69000,245000,216000,1050000,715000,739000,1388000,3572000,10719000,21413000,11972000,25977000,16591000,9719000,9711000,9923000,9897000
75,Deferred Income Tax,- -,- -,- -,- -,-252000,-27000,-290000,211000,-217000,1515000,-385000,-1140000,-172000,-356000,-13851000,-8973000,-3268000,-8877000,335000,-1756000,-3093000,-2755000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1165000,672000,761000,1183000,1056000,1526000,15145000,7429000,6844000,2112000,2718000,2293000,4447000,6985000
77,Change in Working Capital,- -,- -,-210000,-154000,307000,2877000,1986000,-167000,-1980000,-222000,338000,-205000,8099000,2535000,-17506000,-17787000,-3273000,8087000,12806000,20169000,-3870000,18012000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-201000,-126000,-475000,-383000,491000,-8419000,-23568000,3362000,-5333000,8888000,7423000,6416000,-32049000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,4035000,4340000,2228000,-3725000,-1702000,1106000,-1066000,9459000,24742000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-477000,-63000,-37000,-507000,-80000,-42000,-186000,4030000,-887000,-772000,-2365000,-95000,-1478000,394000,1506000,- -
82,Other Non-Cash Items,- -,- -,189000,-87000,33000,183000,770000,6323000,-3519000,-19000,-59000,144000,174000,1162000,24015000,93585000,3974000,90854000,-898000,1431000,4527000,261000
83,Cash Provided by Operating Activities,- -,- -,1490000,2223000,2926000,4251000,5188000,3821000,924000,10674000,9783000,7038000,16263000,15896000,72042000,17569000,30455000,36013000,32801000,44741000,22159000,71106000
84,CAPEX,- -,- -,-40000,-54000,-36000,-266000,-907000,-1355000,-749000,-588000,-246000,-1145000,-1481000,-2298000,-10882000,-6034000,-6095000,-7362000,-3794000,-1209000,-459000,-532000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-456000,- -,- -,- -,- -,-21712000,-7307000,- -,19042000,-87044000,- -,- -,-3333000,-1200000,-19000000,-38438000
86,Purchases of Investments,- -,- -,- -,-1589000,- -,-3236000,-20462000,-60749000,-22438000,-10409000,-20534000,-11915000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-204500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,329000,2115000,5833000,54369000,26209000,24319000,10745000,26704000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,140000,-4000,-1000,3000,-62000,-135000,-114000,94000,-168000,-739000,-92000,-1794000,-15144000,-31373000,30235000,-3245000,3549000,-18742000,10539000,- -
89,Cash Used for Investing Activites,- -,- -,100000,-1647000,292000,-1384000,-16054000,-7870000,3017000,13491000,-10203000,-7978000,-8061000,-2465000,-6984000,-120446000,28731000,-4851000,-1822000,-21151000,-8920000,-243470000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1150000,-2300000,-2300000,-2300000,-63072000,-26290000,-44676000,-24182000,-8333000,-8333000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,16808000,124000,- -,- -,- -,- -,- -,- -,- -,10020000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-882000,-120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1100000,-4295000,- -,- -,- -,-8496000,-8477000,-3885000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,10000,-2000,-8000,-486000,-4000,170000,165000,984000,584000,30000,3450000,-9529000,37476000,11479000,10465000,2450000,21667000,-586000,4286000,237387000
95,Cash Used/Provided by Financing Activities,- -,- -,10000,-2000,-1108000,-4781000,16804000,294000,-717000,-7632000,-7893000,-3855000,2300000,-11829000,35176000,19199000,-52607000,-23840000,-23009000,-24768000,-4047000,229054000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,-136000,283000,78000,-20000,81000,-33000
97,Net Change In Cash,- -,- -,1590000,574000,2110000,-1914000,5938000,-3755000,3224000,16533000,-8313000,-4795000,10502000,1602000,100234000,-83664000,6443000,7605000,8048000,-1198000,9273000,56657000
98,Cash at the End of Period,- -,- -,40699000,2232000,4342000,2428000,8366000,4611000,7835000,24368000,16055000,11260000,21762000,23364000,101183000,17519000,23962000,31567000,40803000,39605000,48878000,105535000
99,Cash at the Beginning of Period,- -,- -,39109000,1658000,2232000,4342000,2428000,8366000,4611000,7835000,24368000,16055000,11260000,21762000,949000,101183000,17519000,23962000,32755000,40803000,39605000,48878000
100,Free Cash Flow,- -,- -,1450000,2169000,2890000,3985000,4281000,2466000,175000,10086000,9537000,5893000,14782000,13598000,61160000,11535000,24360000,28651000,29007000,43532000,21700000,70574000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338940/000117891310000846/zk1008075.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891311000712/zk1109558.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891312000771/zk1211161.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891313001237/zk1312995.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891314001272/zk1414664.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891315001254/zk1516583.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891316004830/zk1618233.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891317000702/zk1719634.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891318000974/zk1821392.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891319000875/zk1922805.htm,https://www.sec.gov/Archives/edgar/data/1338940/000117891320000826/zk2024148.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
