,https://roic.ai/company/ABCM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113700000,- -
50,Tax Payable,1000,410000,327000,562000,248000,382000,1871000,2698000,2891000,4124000,3564000,4316000,5428000,2701000,2595000,3800000,2500000,1900000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,230000,818000,1314000,1863000,784000,2756000,6862000,7568000,8491000,10455000,13169000,13095000,16389000,29052000,25726000,42000000,38300000,36500000,- -
53,Total Current Liabilities,422000,1204000,2149000,3023000,3368000,4748000,8565000,10123000,12025000,14603000,17981000,16832000,21058000,33293000,32598000,49000000,45300000,159600000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120500000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1000,80000,85000,188000,78000,- -,- -,430000,12937000,11284000,8841000,14779000,22938000,21880000,14000000,16500000,28700000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,386000,109000,83000,166000,152000,10000,375000,21000,5000,12141000,99000,100000,100000,- -,- -
58,Total Non-Current Liabilities,- -,1000,80000,85000,574000,187000,83000,166000,582000,12947000,11659000,8862000,14784000,35079000,21979000,14100000,16600000,149200000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127800000,- -
61,Total Liabilities,422000,1205000,2229000,3108000,3942000,4935000,8648000,10289000,12607000,27550000,29640000,25694000,35842000,68372000,54577000,63100000,61900000,308800000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,23000,25000,28000,345000,346000,351000,355000,360000,364000,397000,399000,401000,402000,405000,409000,400000,400000,400000,- -
64,Retained Earnings,-411000,305000,1269000,4068000,7283000,11692000,21396000,36584000,54030000,69706000,90542000,109919000,131083000,151533000,190324000,234400000,260100000,255700000,- -
65,Other Comprehensive Income/Loss,-449000,-588000,-221000,-548000,-1101000,-2196000,-4043000,-5427000,-6711000,-8182000,2407000,48590000,57590000,80196000,96102000,94500000,100100000,110800000,- -
66,Other Total Stockholders Equity,1529000,1910000,2139000,11202000,12359000,14275000,18760000,21705000,26237000,86292000,76929000,21990000,25029000,29056000,20284000,22400000,24200000,135700000,- -
67,Total Stockholders Equity,692000,1652000,3215000,15067000,18887000,24122000,36468000,53222000,73920000,148213000,170277000,180900000,214104000,261190000,307119000,351700000,384800000,502600000,- -
68,Total Liabilities And Stockholders Equity,1114000,2857000,5444000,18175000,22829000,29057000,45116000,63511000,86527000,175763000,199917000,206594000,249946000,329562000,361696000,414800000,446700000,811400000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1114000,2857000,5444000,18175000,22829000,29057000,45116000,63511000,86527000,175763000,199917000,206594000,249946000,329562000,361696000,414800000,446700000,811400000,- -
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,517000,1009000,2281000,3425000,4061000,5890000,12291000,19222000,23805000,25406000,32658000,34045000,37384000,37429000,42357000,62200000,45000000,12500000,16200000
74,Depreciation and Amortization,75000,156000,153000,355000,795000,1401000,1678000,1532000,1590000,2718000,5828000,6713000,8038000,11355000,15326000,12900000,15400000,29900000,35400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,72000,163000,232000,464000,826000,1146000,1556000,1391000,941000,1891000,2243000,3873000,3400000,6500000,9300000,13600000
77,Change in Working Capital,- -,-518000,-512000,-1392000,-1265000,-524000,-111000,-3650000,-1530000,-5745000,1420000,480000,-7468000,-3110000,4733000,-8100000,-4500000,4000000,-300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-372000,-629000,-1171000,-744000,-1405000,-2289000,-2277000,-1388000,-2048000,1288000,252000,-4071000,1261000,-2086000,-5800000,-6100000,-1100000,-6800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-15000,141000,-1310000,-707000,-328000,143000,490000,1792000,472000,529000,-1863000,-881000,367000,-603000,95000,-7100000,7800000,7300000,7000000
83,Cash Provided by Operating Activities,577000,788000,612000,1753000,3426000,7142000,14812000,19722000,25483000,24464000,39434000,41298000,40212000,47314000,66384000,63300000,70200000,63000000,71900000
84,CAPEX,- -,-83000,-847000,-697000,-4164000,-2720000,-2015000,-875000,-1185000,-2831000,-7223000,-7475000,-7479000,-15582000,-19171000,-37400000,-40400000,-35700000,-57200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2448000,-50961000,42000,- -,-17333000,-6258000,-9767000,-1500000,-14600000,-110300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,60000,30000,- -,115000,1187000,- -,294000,1827000,- -,- -,- -,- -
88,Other Investing Activites,- -,-750000,-128000,-9994000,497000,581000,513000,176000,291000,-357000,-3540000,-3416000,-776000,-7605000,-14860000,-19800000,-17600000,-22900000,-14200000
89,Cash Used for Investing Activites,- -,-833000,-975000,-10691000,-3667000,-2139000,-1502000,-639000,-3312000,-53208000,-7058000,-6057000,-24610000,-21543000,-33024000,-37700000,-49900000,-148100000,-45800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-23037000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-107000000
91,Common Stock Issued,- -,247000,570000,9322000,47000,257000,375000,949000,895000,533000,716000,617000,1832000,1483000,1442000,1600000,1400000,111200000,127400000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-4000,- -,- -,- -,- -,-114000,-104000,-100000,-200000,-100000,-100000
93,Dividends Paid,- -,- -,-1317000,-1153000,-968000,-1481000,-2572000,-5316000,-7876000,-10061000,-12506000,-14455000,-15888000,-16740000,-19070000,-22100000,-24900000,-25000000,- -
94,Other Financing Activites,- -,- -,1317000,1153000,- -,-1020000,1020000,- -,- -,20194000,520000,- -,- -,- -,- -,- -,-1000000,118500000,-11400000
95,Cash Used/Provided by Financing Activities,- -,247000,570000,9322000,-921000,-2244000,-1177000,-27404000,-7585000,10666000,-11270000,-13838000,-14056000,-15371000,-17732000,-20600000,-24700000,184600000,8900000
96,Effect of Forex Changes on Cash,- -,- -,- -,-10000,-13000,5000,-105000,5000,161000,183000,245000,-1513000,235000,1460000,205000,400000,1300000,700000,-2400000
97,Net Change In Cash,577000,202000,-1095000,10374000,-1175000,2764000,12028000,-8316000,14747000,-17895000,21351000,19890000,1781000,11860000,15833000,5400000,-3100000,100200000,32600000
98,Cash at the End of Period,166000,1124000,208000,11884000,10709000,13473000,25501000,17185000,31932000,14037000,35388000,55278000,57059000,68919000,84752000,90200000,87100000,187300000,219900000
99,Cash at the Beginning of Period,-411000,922000,1303000,1510000,11884000,10709000,13473000,25501000,17185000,31932000,14037000,35388000,55278000,57059000,68919000,84800000,90200000,87100000,187300000
100,Free Cash Flow,577000,705000,-235000,1056000,-738000,4422000,12797000,18847000,24298000,21633000,32211000,33823000,32733000,31732000,47213000,25900000,29800000,27300000,14700000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.6545,1.8194,1.7914,1.8478,2.0093,1.9929,1.6465,1.4949,1.6047,1.5705,1.521,1.7103,1.5705,1.3306,1.3025,1.3207,1.2693,1.2399,1.3827
