,https://roic.ai/company/TBLT,2016,2017,2018,2019,2020
48,Accounts Payable,371532,2331224,1962901,2536871,6955218
49,Short-Term Debt,1244129,5943087,1304512,4341952,590950
50,Tax Payable,117167,469271,150559,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,429084,2386911,24542592,364309,598473
53,Total Current Liabilities,2044745,10661222,27810005,7243132,8144641
54,Long-Term Debt,3799942,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1490013,1490013,- -,- -,- -
58,Total Non-Current Liabilities,5289955,1490013,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,7334700,12151235,27810005,7243132,8144641
62,Preferred Stock,- -,- -,- -,4816485,- -
63,Common Stock,368,368,987,3300,4392
64,Retained Earnings,-5519532,-11460989,-39112401,-43413370,-60761992
65,Other Comprehensive Income/Loss,-58463,-178090,-298813,-526971,-1153623
66,Other Total Stockholders Equity,1657445,1889287,20450920,42347049,81257276
67,Total Stockholders Equity,-3920182,-9749424,-18959307,3226493,19346053
68,Total Liabilities And Stockholders Equity,3414518,2401811,8850698,10469625,27490694
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3414518,2401811,8850698,10469625,27490694
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1668370/000149315219004250/0001493152-19-004250-index.html,https://www.sec.gov/Archives/edgar/data/1668370/000149315220005045/0001493152-20-005045-index.html,https://www.sec.gov/Archives/edgar/data/1668370/000149315221006939/0001493152-21-006939-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-4732331,-5941457,-27651412,-4300969,-17348622
74,Depreciation and Amortization,29891,119627,120723,225426,626652
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,599499,112215,557042,336637,425264
77,Change in Working Capital,-371913,-9610718,-10570620,21200437,14170476
78,Accounts Receivable,-227441,-404847,-711883,279267,-9095621
79,Inventory,78269,77006,-281243,-1835582,-6699848
80,Accounts Payable,-264203,1959692,-368323,573970,4252603
81,Other Working Capital,961821,-8648897,-19219517,1980920,16151396
82,Other Non-Cash Items,289367,13890865,29300852,-27690868,-22936940
83,Cash Provided by Operating Activities,-4185487,-1429468,-8243415,-10229337,-25063170
84,CAPEX,-353083,-69926,- -,-1031115,-2497947
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,3000000
89,Cash Used for Investing Activites,-353083,-69926,- -,-1031115,502053
90,Debt Repayment,-309081,-165188,-114000,- -,-399300
91,Common Stock Issued,376661,- -,11793644,- -,30150725
92,Common Stock Repurchased,- -,- -,- -,- -,-3140154
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,5804920,375000,1979307,5825631,119633
95,Cash Used/Provided by Financing Activities,5872500,209812,13658951,5825631,26730904
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1289582,5415536,-5434821,2169787
98,Cash at the End of Period,1333930,44348,5459884,25063,2194850
99,Cash at the Beginning of Period,- -,1333930,44348,5459884,25063
100,Free Cash Flow,-4538570,-1499394,-8243415,-11260452,-27561117
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1668370/000149315219004250/0001493152-19-004250-index.html,https://www.sec.gov/Archives/edgar/data/1668370/000149315220005045/0001493152-20-005045-index.html,https://www.sec.gov/Archives/edgar/data/1668370/000149315221006939/0001493152-21-006939-index.htm
102,false,,,,,
