,https://roic.ai/company/GES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,157400000,167900000,174100000,166300000,197900000,267378000,205966000,198680000,197130000,218502000,279059000,326356000,43300000,483700000,569398000,582700000,685600000,767000000,792600000,753500000,741973000,666080000,720277000,761493000,887392000,875037000,679958000,861578000
11,COGS and Expenses,403900000,449500000,444700000,414900000,502700000,728790000,653791000,582486000,613560000,673780000,834282000,992161000,123500000,1440800000,1740160000,1769700000,2082700000,2290800000,2384100000,2347200000,2291761000,2063145000,2165690000,2296399000,2557482000,2537438000,1859385000,2283704
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7546000,6101000,1697000,1553000,3147000,2016000,2015000,1438000,1045000,1890000,4106000,4494000,1729000,2237000,1881
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3442000,4730000,2176000,1217000,2002000,1640000,1923000,2370000,1953000,1897000,2431000,3407000,16129000,22869000,- -
14,Depreciation and Amortization,15700000,17000000,17800000,23500000,26900000,34192000,41022000,37979000,34944000,35442000,34639000,38054000,4600000,50579000,61096000,64374000,67488000,79286000,89698000,88369000,85060000,70684000,69319000,63588000,68357000,72188000,63501000,56799000
15,EBITDA,82500000,99500000,76700000,66800000,114000000,63785000,51764000,21147000,47730000,86155000,132334000,233937000,17500000,364620000,383172000,424949000,485079000,475479000,369166000,318940000,227824000,196952000,122189000,132297000,115405000,206805000,-1197000,67609049
16,EBITDA ratio,0.1695,0.1805,0.1488,0.1416,0.1901,0.0819,0.0764,0.0363,0.0750,0.1181,0.1414,0.1974,0.1287,0.2084,0.1830,0.1996,0.1950,0.1769,0.1389,0.1241,0.0942,0.0902,0.0558,0.0560,0.0442,0.0772,-0.0006,26.0875
17,Operating Income,82800000,101700000,70700000,57000000,97000000,50427000,23829000,-8526000,20600000,55482000,101810000,193023000,12500000,309139000,328787000,358816000,404633000,397235000,274525000,222587000,125912000,121350000,22708000,65173000,52212000,140671000,-60497000,305037000
18,Operating Income ratio,0.1701,0.1845,0.1372,0.1208,0.1617,0.0647,0.0352,-0.0146,0.0324,0.0761,0.1088,0.1629,0.0919,0.1767,0.1571,0.1686,0.1627,0.1478,0.1033,0.0866,0.0521,0.0556,0.0104,0.0276,0.0200,0.0525,-0.0322,117.7008
19,Total Other Income Expenses (Gains),-16000000,-19200000,-15800000,-13700000,-9900000,-20834000,-13087000,-8306000,-7814000,-4769000,-4115000,2974000,200000,2361000,-9978000,3084000,16767000,2065000,6075000,10413000,17096000,5929000,30902000,5098000,-5504000,-16929000,-26582000,-294407000
20,Income Before Tax,66800000,82500000,54900000,43300000,87100000,29593000,10742000,-16832000,12786000,50713000,97695000,195997000,12700000,311500000,318809000,361900000,421400000,399300000,280600000,233000000,143008000,127279000,53610000,70271000,46708000,123742000,-87079000,10630000
21,Income Before Tax Ratio,0.1373,0.1497,0.1065,0.0918,0.1452,0.0380,0.0159,-0.0289,0.0201,0.0695,0.1044,0.1654,0.0934,0.1780,0.1523,0.1700,0.1694,0.1485,0.1055,0.0907,0.0592,0.0583,0.0245,0.0297,0.0179,0.0462,-0.0464,4.1017
22,Income Tax expense (Gain),2900000,15800000,21300000,18200000,35200000,13100000,4500000,-5550000,5500000,21147000,38882000,72715000,4900000,124099000,103784000,115599000,126874000,128691000,99128000,75248000,45824000,42464000,28212000,74172000,29542000,22513000,-6338000,10630000
23,Net Income,63900000,66700000,37600000,25100000,51900000,16493000,6242000,-11282000,7286000,29566000,58813000,123168000,8000000,186500000,213562000,242800000,289500000,265500000,178700000,153400000,94570000,81851000,22761000,-7894000,14099000,95975000,-81229000,180049
24,Net Income ratio,0.1313,0.1210,0.0730,0.0532,0.0865,0.0212,0.0092,-0.0193,0.0114,0.0405,0.0628,0.1039,0.0588,0.1066,0.1020,0.1141,0.1164,0.0988,0.0672,0.0597,0.0391,0.0375,0.0104,-0.0033,0.0054,0.0358,-0.0433,0.0695
25,EPS,0.48,0.59,0.43,0.29,0.60,0.19,0.07,-0.13,0.09,0.34,0.67,5.44,0.09,2.02,2.31,2.63,3.14,2.88,2.06,1.81,1.11,0.97,0.27,-0.11,0.17,1.35,-1.27,0.00
26,EPS Diluted,0.48,0.59,0.43,0.29,0.60,0.19,0.07,-0.13,0.09,0.33,0.66,5.36,0.09,1.99,2.28,2.61,3.11,2.86,2.05,1.80,1.11,0.96,0.27,-0.11,0.16,1.33,-1.27,0.00
27,Weighted Average Shares Outstanding,133125000,102222222,85796000,85808000,86010000,86928000,87312000,86784000,86558000,88020000,88774000,46153500,93100000,92307000,92561000,90893000,91410000,91533000,86262000,84271000,84604000,84264000,83666000,82189000,80146000,70461000,64179000,64373000
28,Weighted Average Shares Outstanding Diluted,133125000,102222222,85804000,85838000,86732000,87638000,87916000,86784000,87116000,89088000,90118000,46847500,93100000,93695000,93570000,91592000,92115000,91948000,86540000,84522000,84837000,84525000,83829000,82189000,81589000,71669000,64179000,65852000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912463/000091205702012635/a2074732z10-k405.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/912463/000110465905011130/a05-4999_110k.htm,https://www.sec.gov/Archives/edgar/data/912463/000110465906016155/a06-2336_110k.htm,https://www.sec.gov/Archives/edgar/data/912463/000110465907015064/a07-5734_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/912463/000104746908003945/0001047469-08-003945-index.html,https://www.sec.gov/Archives/edgar/data/912463/000104746909003514/0001047469-09-003514-index.html,https://www.sec.gov/Archives/edgar/data/912463/000104746910002994/0001047469-10-002994-index.html,https://www.sec.gov/Archives/edgar/data/912463/000104746911002760/a2202901z10-k.htm,https://www.sec.gov/Archives/edgar/data/912463/000104746912003157/0001047469-12-003157-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246313000006/0000912463-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246314000007/ges-201421x10k.htm,https://www.sec.gov/Archives/edgar/data/912463/000091246315000007/ges-2015131x10k.htm,https://www.sec.gov/Archives/edgar/data/912463/000091246316000061/0000912463-16-000061-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246317000008/0000912463-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246318000025/0000912463-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246319000013/0000912463-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246320000020/0000912463-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246321000020/0000912463-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/912463/000091246322000048/0000912463-22-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6400000,8800000,8200000,5900000,6100000,13332000,14870000,31753000,67163000,106003000,171549000,220344000,207600000,275600000,294118000,502100000,427000000,491800000,329000000,502900000,483483000,445480000,396129000,367441000,210460000,284613000,469110000,415565000
32,Short-Term Investments,- -,- -,- -,- -,27100000,898000,18220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15100000,4100000,6900000,5100000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6400000,8800000,8200000,5900000,33200000,14230000,33090000,31753000,67163000,106003000,171549000,220344000,207600000,275600000,294118000,502100000,442100000,495900000,335900000,508000000,483483000,445480000,396129000,367441000,210460000,284613000,469110000,415565000
34,Net Receivables,36900000,46800000,37800000,34100000,39700000,34383000,40500000,35437000,32602000,53915000,81762000,133406000,142700000,254400000,264340000,289600000,358500000,340600000,325000000,276600000,216205000,222359000,225537000,259996000,321995000,327281000,314147000,328856000
35,Inventory,72900000,79500000,92100000,89500000,106600000,144220000,96105000,95683000,83530000,82329000,122037000,165232000,173700000,232200000,239675000,246200000,294700000,328600000,369700000,350900000,319078000,311704000,367381000,428304000,468897000,393129000,389144000,462295000
36,Other Current Assets,5600000,16200000,29500000,26600000,21500000,33259000,19341000,26114000,27349000,28776000,35429000,39910000,39500000,52500000,96056000,85200000,68300000,96400000,76600000,80600000,92593000,56709000,54965000,52964000,87343000,59212000,60123000,- -
37,Total Current Assets,121800000,151300000,167600000,156100000,201000000,226092000,189036000,188987000,210644000,271023000,410777000,558892000,563500000,814700000,894189000,1123100000,1163600000,1261500000,1107200000,1216100000,1111359000,1036252000,1044012000,1108705000,1088695000,1064235000,1232524000,1206716000
38,PP&E,68200000,64300000,98200000,86500000,125700000,168299000,145385000,128097000,114403000,113944000,144007000,164262000,162600000,229900000,221416000,255300000,313900000,348900000,355700000,324600000,259524000,255344000,243005000,294254000,315558000,1140102000,981000000,914564000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28004000,24700000,29400000,27102000,29900000,29600000,29100000,39300000,39000000,34133000,33412000,34100000,38481000,37072000,34777000,36736000,34885000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,21474000,11610000,20623000,18532000,17700000,23700000,16145000,16000000,9200000,10700000,16000000,13100000,9745000,7269000,6504000,5977000,6934000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,21474000,11610000,20623000,46536000,42400000,53100000,43247000,45900000,38800000,39800000,55300000,52100000,43878000,40681000,40604000,44458000,44006000,34777000,36736000,34885000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1300000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16894000,37226000,43084000,- -,- -,49689000,- -,- -,- -,- -,- -,68747000,- -,- -,- -,- -,- -,72417000,165120000
44,Other Non-Current Assets,12600000,23700000,22000000,21200000,42300000,25292000,28042000,32448000,16244000,10833000,20741000,24151000,74800000,88500000,38025000,105900000,169500000,194300000,195300000,171600000,117897000,206471000,206864000,208217000,199546000,188548000,143191000,-200005000
45,Total Non-Current Assets,80800000,88000000,120200000,107700000,168000000,193591000,173427000,160545000,152121000,153281000,222597000,278033000,279800000,371500000,352377000,407100000,522200000,583000000,606300000,548300000,490046000,502496000,490473000,546929000,560510000,1364727000,1233344000,914564000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2263476000
47,Total Assets,202600000,239300000,287800000,263800000,369000000,419683000,362463000,349532000,362765000,424304000,633374000,836925000,843300000,1186200000,1246566000,1530200000,1685800000,1844500000,1713500000,1764400000,1601405000,1538748000,1534485000,1655634000,1649205000,2428962000,2465868000,2555628000
48,Accounts Payable,40700000,39300000,38300000,32800000,61700000,84043000,47933000,44460000,44888000,58158000,87711000,117339000,130500000,210300000,192168000,195100000,233800000,224900000,191100000,191500000,159924000,177505000,209616000,264438000,286657000,232761000,300427000,325797000
49,Short-Term Debt,- -,6100000,200000,- -,7500000,13801000,7609000,80138000,13931000,13430000,34232000,34357000,- -,35254000,24018000,2357000,2177000,2030000,1901000,4160000,1548000,4024000,566000,2845000,4315000,201556000,261510000,195516000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19724000,4344000,19429000,29596000,26843000,57108000,34949000,20874000,25504000,22480000,38576000,37139000,39027000,33171000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12258000,- -,- -,- -,- -,- -,25235000,- -,- -,- -,- -,- -,10731000,- -
52,Other Current Liabilities,23500000,29100000,22500000,22000000,33800000,31959000,38231000,42963000,52056000,61211000,95283000,132200000,149000000,142746000,107440000,144243000,195023000,193070000,191999000,174340000,115259000,145530000,135271000,200562000,252392000,204096000,189871000,296561000
53,Total Current Liabilities,64200000,74500000,61000000,54800000,103000000,129803000,93773000,167561000,110875000,132799000,217226000,283896000,279500000,388300000,335884000,341700000,431000000,420000000,385000000,370000000,301966000,327059000,345453000,467845000,543364000,638413000,762539000,817874000
54,Long-Term Debt,119200000,121200000,141300000,99000000,83400000,103781000,80119000,1480000,54161000,41396000,40054000,18018000,17300000,18700000,- -,14100000,12200000,10200000,8300000,7600000,6165000,2318000,23482000,39196000,35012000,280133000,989825000,643727000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52563000,- -,- -,- -,- -,- -,- -,76968000,80209000,81564000,84893000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57726000,- -,55504000,18121000,21002000,21053000,24400000,- -,83613000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8100000,8700000,10200000,9600000,14200000,10943000,10647000,14211000,14947000,29532000,87801000,99199000,107800000,64574000,72615000,98696000,169579000,217598000,212147000,207900000,203828000,30315000,116119000,150210000,148709000,870702000,147924000,- -
58,Total Non-Current Liabilities,127300000,129900000,151500000,108600000,97600000,114724000,90766000,15691000,69108000,70928000,127855000,117217000,125100000,141000000,125178000,168300000,199900000,248800000,241500000,239900000,209993000,193214000,219810000,270970000,268614000,1150835000,1137749000,643727000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1570873000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18724000,14586000,14137000,12218000,12236000,10121000,- -,- -,4024000,- -,- -,- -,906145000,941344000,- -
61,Total Liabilities,191500000,204400000,212500000,163400000,200600000,244527000,184539000,183252000,179983000,203727000,345081000,401113000,404600000,529300000,461062000,510000000,630900000,668800000,626500000,609900000,511959000,520273000,565263000,738815000,811978000,1789248000,1900288000,1745020000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,146000,147000,150000,155000,160000,167000,921000,900000,900000,923000,900000,900000,900000,900000,900000,853000,838000,841000,813000,814000,658000,642000,627000
64,Retained Earnings,161600000,29900000,67400000,92500000,144400000,160936000,167178000,155896000,163182000,192748000,251561000,374729000,382700000,542900000,722399000,919500000,960500000,1155700000,1163000000,1247200000,1265524000,1269775000,1215079000,1132173000,1077747000,1130409000,1034823000,1158664000
65,Other Comprehensive Income/Loss,-51700000,-57000000,-76900000,-95100000,-104900000,-126211000,-163493000,-2294000,2791000,5983000,3126000,-9483000,-22800000,9529000,-17415000,-2952000,-8578000,-23197000,-2461000,-13801000,-127065000,-158054000,-161389000,-93062000,-126179000,-139910000,-120675000,-135549000
66,Other Total Stockholders Equity,- -,62000000,84800000,103000000,128800000,140285000,174092000,- -,- -,21686000,33439000,64893000,77900000,103645000,70131000,102763000,102054000,42227000,-74447000,-79785000,-65456000,-94084000,-85309000,-123105000,-115155000,-351443000,-371127000,- -
67,Total Stockholders Equity,11100000,34900000,75300000,100400000,168400000,175156000,177924000,166280000,182782000,220577000,288293000,431060000,438700000,656974000,776038000,1020211000,1054876000,1175630000,1086992000,1154514000,1073856000,1018475000,969222000,916819000,837227000,639714000,543663000,653643000
68,Total Liabilities And Stockholders Equity,202600000,239300000,287800000,263800000,369000000,419683000,362463000,349532000,362765000,424304000,633374000,832173000,843300000,1186274000,1237100000,1530211000,1685776000,1844430000,1713492000,1764414000,1585815000,1538748000,1534485000,1655634000,1649205000,2428962000,2443951000,2398663000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4752000,- -,-74000,9466000,-11000,24000,70000,8000,-14000,15590000,- -,- -,- -,- -,- -,21917000,156965000
70,Total Liabilities & Equity,202600000,239300000,287800000,263800000,369000000,419683000,362463000,349532000,362765000,424304000,633374000,836925000,843300000,1186200000,1246566000,1530200000,1685800000,1844500000,1713500000,1764400000,1601405000,1538748000,1534485000,1655634000,1649205000,2428962000,2465868000,2555628000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912463/000091205702012635/a2074732z10-k405.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/912463/000110465905011130/a05-4999_110k.htm,https://www.sec.gov/Archives/edgar/data/912463/000110465906016155/a06-2336_110k.htm,https://www.sec.gov/Archives/edgar/data/912463/000110465907015064/a07-5734_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/912463/000104746908003945/0001047469-08-003945-index.html,https://www.sec.gov/Archives/edgar/data/912463/000104746909003514/0001047469-09-003514-index.html,https://www.sec.gov/Archives/edgar/data/912463/000104746910002994/0001047469-10-002994-index.html,https://www.sec.gov/Archives/edgar/data/912463/000104746911002760/a2202901z10-k.htm,https://www.sec.gov/Archives/edgar/data/912463/000104746912003157/0001047469-12-003157-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246313000006/0000912463-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246314000007/ges-201421x10k.htm,https://www.sec.gov/Archives/edgar/data/912463/000091246315000007/ges-2015131x10k.htm,https://www.sec.gov/Archives/edgar/data/912463/000091246316000061/0000912463-16-000061-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246317000008/0000912463-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246318000025/0000912463-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246319000013/0000912463-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246320000020/0000912463-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/912463/000091246321000020/0000912463-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/912463/000091246322000048/0000912463-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,63900000,66700000,37600000,25100000,51900000,16493000,6242000,-11282000,7286000,29566000,58813000,123168000,8000000,186500000,213562000,242800000,289500000,265500000,178700000,153400000,94570000,81851000,22761000,-7894000,14099000,95975000,-81229000,180049
74,Depreciation and Amortization,15700000,17000000,17800000,23500000,26900000,34192000,41022000,37979000,34944000,35442000,34639000,38054000,4600000,50579000,61096000,64374000,67488000,79286000,89698000,88369000,85060000,70684000,69319000,63588000,68357000,72188000,63501000,56799000
75,Deferred Income Tax,- -,- -,- -,- -,-2200000,-6729000,1480000,-8867000,5013000,-1751000,-25658000,-5441000,-3600000,-12369000,-8805000,-4678000,11848000,-885000,7303000,-17804000,-7976000,723000,408000,23802000,5422000,-5655000,-5413000,-95544000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19519000,22846000,27339000,29312000,28100000,16285000,13949000,15342000,18880000,16908000,18852000,19973000,24290000,18830000,21119000
77,Change in Working Capital,28200000,19200000,29800000,-5300000,-3300000,-1711000,-1026000,-73837000,78343000,38455000,55327000,81445000,9004000,142400000,131905000,223095000,-48800000,108900000,-119300000,123900000,-36707000,-100200000,-10634000,-57699000,-95529000,-119509000,44163000,-81143000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9300000,-89481000,-9940000,-12803000,-76709000,10630000,28930000,38005000,31113000,-5970000,-10805000,-11656000,-41519000,-12458000,34531000,-42235000
79,Inventory,10900000,-6500000,-12600000,2500000,-9200000,-37596000,48115000,422000,12153000,1201000,-25009000,-25177000,-8500000,-53376000,-4798000,-72000,-40693000,-35810000,-30169000,17162000,2264000,-2179000,-57096000,-28120000,-74275000,65428000,17838000,-91048000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101554000
81,Other Working Capital,57600000,76800000,106600000,101300000,98000000,96289000,95263000,21426000,99769000,138224000,193551000,274996000,284000000,426400000,558305000,781400000,732600000,841500000,722200000,846100000,809393000,709193000,698559000,640860000,545331000,425822000,469985000,388842000
82,Other Non-Cash Items,600000,-26100000,-55000000,21900000,14000000,-12073000,24062000,85596000,-63112000,-20120000,21090000,-98973000,-10904000,-211169000,-191979000,-194720000,-2974000,-116407000,96218000,-33872000,3537000,107491000,-27306000,107721000,69357000,130624000,169198000,230230951
83,Cash Provided by Operating Activities,108400000,76800000,30200000,65200000,87300000,30172000,71780000,29589000,62474000,81592000,144211000,138253000,7100000,175460000,228625000,358210000,346374000,364494000,268904000,327942000,153826000,179429000,71456000,148370000,81679000,197913000,209050000,131642000
84,CAPEX,-23800000,-25500000,-48800000,-13700000,-63500000,-79134000,-22866000,-22692000,-18200000,-34779000,-48794000,-50281000,-2800000,-100178000,-89971000,-82286000,-123065000,-124870000,-99591000,-75438000,-71498000,-83844000,-90581000,-84655000,-108117000,-61868000,-18876000,-63521000
85,Acquisitions Net,- -,- -,- -,- -,- -,-82000,-500000,-1347000,- -,- -,-20427000,-11721000,- -,-12129000,-897000,549000,- -,- -,-15980000,-1648000,-887000,-1330000,-2068000,-4850000,-6404000,4473000,2739000,- -
86,Purchases of Investments,- -,- -,- -,-11900000,-19600000,- -,-17000000,- -,-190000,-327000,-3646000,-14481000,- -,-16799000,-10537000,-6880000,-31049000,-20906000,-19407000,- -,- -,- -,- -,-2647000,-10451000,- -,-6205000,-1562000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4900000,22850000,55000,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,14716000,8249000,9256000,9014000,266000,- -,1444000,162000,- -,- -
88,Other Investing Activites,2200000,2300000,4000000,500000,2800000,3133000,3096000,1494000,6000,1020000,2553000,4946000,-2300000,17248000,-812000,-2219000,8011000,-2659000,- -,5761000,5298000,2415000,42390000,1805000,- -,762000,181000,2806000
89,Cash Used for Investing Activites,-21600000,-23200000,-44800000,-25100000,-75400000,-53233000,-37215000,-22470000,-18384000,-34086000,-70314000,-71537000,-5100000,-111858000,-102217000,-90836000,-146103000,-132096000,-120262000,-63076000,-57831000,-73745000,-49993000,-90347000,-123528000,-56471000,-22161000,-62277000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1937000,-12571000,-66457000,-1137000,-1771000,-2296000,-1474000,-4561000,-3738000,-5341000,-2323000,-25007000,-135975000,-264999000,-75892000
91,Common Stock Issued,- -,115300000,- -,- -,3500000,3588000,898000,1914000,4351000,4453000,11464000,11237000,- -,6047000,412000,5778000,11890000,4214000,4367000,3861000,87000,- -,- -,- -,5744000,3584000,415000,-38000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3958000,-3158000,- -,- -,- -,- -,- -,- -,-60531000,-5309000,-49361000,-92082000,-140262000,-22099000,- -,-44053000,-3532000,-50127000,-23620000,-288067000,-38876000,- -
93,Dividends Paid,-53300000,-39600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26295000,-34019000,-42909000,-247098000,-74371000,-172798000,-68218000,-77005000,-76860000,-76503000,-76057000,-73594000,-42135000,-15552000,-36747000
94,Other Financing Activites,-33200000,-127000000,14200000,-42500000,-15100000,26745000,-29854000,-6110000,-13526000,-13266000,-19683000,-30426000,-14200000,22099000,7583000,47134000,8700000,1022000,-7294000,3123000,1792000,-3089000,16626000,-230000,19659000,398428000,309105000,15633000
95,Cash Used/Provided by Financing Activities,-86500000,-51300000,14200000,-42500000,-11600000,30333000,-32914000,-7354000,-9175000,-8813000,-8219000,-19189000,-14200000,-86000,-99126000,-61763000,-277006000,-162988000,-318283000,-84807000,-79687000,-127740000,-68750000,-128737000,-96818000,-64165000,-9907000,-97044000
96,Effect of Forex Changes on Cash,- -,- -,-200000,100000,- -,-79000,-113000,118000,495000,147000,-132000,1268000,-600000,4462000,-8759000,2334000,1709000,-4642000,6857000,-6135000,-35770000,-15947000,-2064000,40746000,-18020000,-3444000,7535000,-26101000
97,Net Change In Cash,-86500000,-51300000,14200000,-42500000,200000,7193000,1538000,-117000,35410000,38840000,65546000,48795000,-12700000,67978000,18523000,207945000,-75026000,64768000,-162784000,173924000,-19462000,-38003000,-49351000,-29968000,-156687000,73833000,184517000,-53780000
98,Cash at the End of Period,- -,- -,- -,- -,6100000,13332000,14870000,31753000,67163000,106003000,171549000,220344000,207600000,275595000,294118000,502063000,427037000,491805000,329021000,502945000,483483000,445480000,396129000,367682000,210995000,284828000,469345000,415565000
99,Cash at the Beginning of Period,6000000,6400000,8800000,8200000,5900000,6139000,13332000,31870000,31753000,67163000,106003000,171549000,220300000,207617000,275595000,294118000,502063000,427037000,491805000,329021000,502945000,483483000,445480000,397650000,367682000,210995000,284828000,469345000
100,Free Cash Flow,84600000,51300000,-18600000,51500000,23800000,-48962000,48914000,6897000,44274000,46813000,95417000,87972000,4300000,75282000,138654000,275924000,223309000,239624000,169313000,252504000,82328000,95585000,-19125000,63715000,-26438000,136045000,190174000,131642000
