,https://roic.ai/company/ATHM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,13446000,29142000,25608000,56666000,107945000,195393000,177786000,202325000,204008000,211206000,- -
77,Change in Working Capital,45862000,-30240000,6324000,76657000,171721000,310491000,194801000,212625000,-81839000,-892566000,-593553000,- -
78,Accounts Receivable,-67598000,-66150000,-123759000,-139901000,-271025000,-340940000,-132771000,-688923000,-904313000,-479538000,-39910000,- -
79,Inventory,- -,- -,- -,- -,- -,-111667000,4418000,94134000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,27479000,14005000,58873000,127512000,247828000,363856000,229578000,404617000,103085000,-286747000,-243047000,- -
82,Other Non-Cash Items,4942000,-417000,863000,341000,205000,2647000,41784000,-20129000,-84067000,114395000,154902000,- -
83,Cash Provided by Operating Activities,156438000,146125000,279515000,593893000,1023743000,1461841000,1625896000,2473018000,3111438000,2889369000,3325631000,- -
84,CAPEX,-18030000,-31693000,-27734000,-46478000,-42826000,-89161000,-88837000,-107522000,-113900000,-204113000,-264465000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-639760000,- -
86,Purchases of Investments,-62000000,-98000000,- -,- -,-2155360000,-3839074000,-4229594000,-19643774000,-55176436000,-42660267000,-40050012000,- -
87,Sales/Maturities of Investments,13500000,117000000,- -,- -,437585000,3519983000,3802986000,14836658000,51988432000,41695492000,37968391000,- -
88,Other Investing Activites,-8087000,-1600000,- -,-1731000,976000,595000,539000,-20289000,561000,621000,-185000,- -
89,Cash Used for Investing Activites,-66530000,-12693000,-27734000,-45943000,-1759517000,-407657000,-514906000,-4913827000,-3301239000,-1168267000,-2985458000,- -
90,Debt Repayment,- -,- -,- -,-230040000,-2358000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,863200000,603980000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-230335000,-227015000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-94069000,-44910000,-220925000,- -,- -,- -,- -,-595779000,- -,-651121000,- -
94,Other Financing Activites,- -,- -,- -,-12602000,272789000,30200000,27920000,61070000,51811000,68676000,104154000,- -
95,Cash Used/Provided by Financing Activities,- -,-94069000,-44910000,169298000,647396000,30200000,27920000,61070000,-543968000,68676000,-546967000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,789000,4181000,13847000,2354000,-2584000,39151000,-13250000,-17556000,- -
97,Net Change In Cash,89908000,39363000,206871000,718037000,-84197000,1098231000,1141264000,-2382323000,-694618000,1776528000,-224350000,- -
98,Cash at the End of Period,174342000,213705000,420576000,1138613000,1054416000,2152647000,3293911000,911588000,216970000,1993498000,1769148000,- -
99,Cash at the Beginning of Period,84434000,174342000,213705000,420576000,1138613000,1054416000,2152647000,3293911000,911588000,216970000,1993498000,- -
100,Free Cash Flow,138408000,114432000,251781000,547415000,980917000,1372680000,1537059000,2365496000,2997538000,2685256000,3061166000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527636/000119312515109453/d856243d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312516507591/0001193125-16-507591-index.html,https://www.sec.gov/Archives/edgar/data/1527636/000119312517136708/d280855d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312518116499/d515616d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312519104786/d665503d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312520098105/d850646d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312521065446/0001193125-21-065446-index.htm,undefined
102,Forex Rate,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
