,https://roic.ai/company/FFHL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),1407286,-9018100,-9590925,-11841535,-3481000,-6477000,-8876000,-5743000,1820000,-4565000,-11392000,-882000,-6927000,-11261000,-7286000,-9407000,-7905000
20,Income Before Tax,13807954,57636717,68360683,49886391,21123000,-23024000,50754000,24993000,-62164000,-68959000,-72084000,-62068000,-49166000,-45195000,-18554000,13688000,13495000
21,Income Before Tax Ratio,0.1697,0.1649,0.1566,0.1156,0.0472,-0.0718,0.1012,0.0465,-0.1667,-0.2261,-0.2534,-0.2494,-0.1936,-0.1555,-0.0556,0.0408,0.0401
22,Income Tax expense (Gain),-289735,-56515,756358,4492624,2966000,-4064000,11059000,3955000,-7727000,-10007000,-740000,7000000,5317000,808000,3618000,2325000,-6115000
23,Net Income,14097689,57693231,67604325,45393767,18157000,-18963000,40783000,21081000,-54427000,-58971000,-71327000,-69065000,-54483000,-46003000,-22172000,11363000,19610000
24,Net Income ratio,0.1733,0.1650,0.1549,0.1052,0.0406,-0.0591,0.0813,0.0392,-0.1460,-0.1934,-0.2507,-0.2775,-0.2146,-0.1582,-0.0665,0.0339,0.0582
25,EPS,73.18,296.52,245.60,14.48,5.56,-5.80,12.48,6.44,-16.68,-18.04,-21.84,-21.16,-16.68,-14.09,-6.79,3.48,6.00
26,EPS Diluted,73.18,296.52,245.24,14.48,5.56,-5.80,12.48,6.44,-16.68,-18.04,-21.84,-21.16,-16.68,-14.09,-6.79,3.48,6.00
27,Weighted Average Shares Outstanding,192750,194567,275257,3265625,3265625,3265625,3265625,3265625,3265625,3265625,3265625,3265625,3265837,3265837,3265837,3265837,3265837
28,Weighted Average Shares Outstanding Diluted,192750,2317000,275622,3265625,3265625,3265625,3265625,3265625,3265625,3265625,3265625,3265625,3265837,3265837,3265837,3265837,3265837
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1381074/000114420407016210/0001144204-07-016210-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420408022089/v110456_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420409017981/0001144204-09-017981-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420410021563/v181536_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420411017029/v215856_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420412021282/v308830_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420413021330/v338187_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420414022119/v371570_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420415022056/v405208_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420416093271/v435081_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420417019460/v461996_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420418021848/tv490220_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420419021958/tv517528_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000110465920052428/tm206797d1_20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5902321,7500282,249730533,30951624,15823000,26804000,171227000,44172000,5006000,11578000,9020000,14355000,13343000,12963000,8908000,60871000,113423000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5902321,7500282,249730533,30951624,15823000,26804000,171227000,44172000,5006000,11578000,9020000,14355000,13343000,12963000,8908000,60871000,113423000
34,Net Receivables,25463589,46584095,91527055,60128113,38579000,28785000,25482000,52457000,47134000,33887000,28115000,29856000,35418000,21003000,23171000,27494000,32962000
35,Inventory,18029811,25132806,23766780,41726617,30589000,45039000,52578000,41774000,34291000,38454000,24034000,29574000,25153000,24578000,24675000,23584000,25436000
36,Other Current Assets,22889085,15049004,6659065,79340474,19114000,18654000,14171000,143501000,37484000,50694000,58915000,50817000,81187000,62211000,45413000,33567000,145259000
37,Total Current Assets,72284806,94266186,371683433,212146828,104105000,119282000,263458000,281904000,123915000,134613000,120084000,124602000,155101000,120755000,102167000,145516000,317080000
38,PP&E,304602807,306607310,317420630,494269018,578643000,555718000,482082000,456505000,571325000,525409000,482900000,432721000,411085000,371424000,331534000,302642000,111308000
39,Goodwill,10273184,10374448,10269308,10292858,10276000,10276000,10276000,10276000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,256623,185691,109165,36525,- -,- -,- -,- -,19523000,18999000,18406000,17882000,17358000,16830000,16296000,15762000,15219000
41,Intangible Assets,10529807,10560138,10378473,10329383,10276000,10276000,10276000,10276000,19523000,18999000,18406000,17882000,17358000,16830000,16296000,15762000,15219000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1605961,1485524,1044865,971576,2452000,5318000,1763000,1622000,10466000,20888000,21573000,15519000,8032000,6901000,3143000,509000,507000
44,Other Non-Current Assets,17980142,31801517,36928960,22317019,44428000,44915000,40573000,39867000,22321000,32138000,29982000,13047000,1861000,1570000,1542000,1542000,1542000
45,Total Non-Current Assets,334718717,350454488,365772928,527886996,635799000,616227000,534694000,508270000,623635000,597434000,552861000,479169000,438336000,396725000,352515000,320455000,128576000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,407003523,444720674,737456360,740033824,739904000,735509000,798152000,790174000,747550000,732047000,672945000,603771000,593437000,517480000,454682000,465971000,445656000
48,Accounts Payable,11655635,10721608,12795698,19636055,23301000,25898000,14296000,19317000,28796000,33454000,29484000,32760000,20581000,17470000,20750000,19532000,25730000
49,Short-Term Debt,321672353,250504558,239476820,188295742,164764000,153179000,142000000,168501000,154581000,195304000,233086000,232512000,295935000,268974000,227642000,225297000,153571000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11876000,11714000,14665000,3392000,2247000,3509000,1976000,1859000,5204000,9297000
52,Other Current Liabilities,59577846,109815747,19673093,18839801,16240000,19589000,60106000,5798000,6831000,6777000,6095000,8682000,5204000,5268000,5072000,5454000,27400000
53,Total Current Liabilities,392905833,371041913,271945610,226771598,204305000,198666000,216402000,205492000,201922000,250200000,272057000,276201000,325229000,293688000,255323000,255487000,215998000
54,Long-Term Debt,- -,- -,- -,- -,5000000,25000000,30000000,10000000,23718000,18563000,6953000,3300000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1811000,3476000,3736000,5816000,5406000,2997000,2763000,2528000,2290000,1854000
57,Other Non-Current Liabilities,- -,- -,- -,-7305,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,-7305,5000000,25000000,30000000,11811000,27194000,22299000,12769000,8706000,2997000,2763000,2528000,2290000,1854000
59,Other Liabilities,- -,- -,- -,-14610,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,20000000,16877000,8562000,302000,- -,- -,- -,- -,- -
61,Total Liabilities,392905833,371041913,271945610,226764293,209305000,223666000,246402000,217303000,229116000,272499000,284826000,284907000,328226000,296451000,257851000,257777000,217852000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8278,- -,13310333,13339076,13323000,13323000,13323000,13323000,13323000,13323000,13323000,13323000,13323000,13323000,13323000,13323000,13323000
64,Retained Earnings,11001661,59978032,138772108,186418337,174970000,156006000,190933000,247209000,155341000,96370000,25043000,-44022000,-98505000,-144508000,-166680000,-155317000,-135707000
65,Other Comprehensive Income/Loss,3096028,13700730,1785628,1146898,1061000,993000,1186000,1230000,38663000,38707000,38640000,38490000,38486000,40307000,38281000,38281000,38281000
66,Other Total Stockholders Equity,-8278,- -,311642683,312365221,341245000,341245000,347102000,311907000,311907000,311907000,311907000,311907000,311907000,311907000,311907000,311907000,311907000
67,Total Stockholders Equity,14097689,73678761,465510750,513269531,530599000,511567000,552544000,573669000,519234000,460307000,388913000,319698000,265211000,221029000,196831000,208194000,227804000
68,Total Liabilities And Stockholders Equity,407003523,444720674,737456360,740033824,739904000,735233000,798946000,790972000,748350000,732806000,673739000,604605000,593437000,517480000,454682000,465971000,445656000
69,Minority Interest,0,- -,- -,0,- -,276000,-794000,-798000,-800000,-759000,-794000,-834000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,407003523,444720674,737456360,740033824,739904000,735509000,798152000,790174000,747550000,732047000,672945000,603771000,593437000,517480000,454682000,465971000,445656000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1381074/000114420407016210/0001144204-07-016210-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420408022089/v110456_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420409017981/0001144204-09-017981-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420410021563/v181536_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420411017029/v215856_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420412021282/v308830_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420413021330/v338187_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420414022119/v371570_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420415022056/v405208_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420416093271/v435081_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420417019460/v461996_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420418021848/tv490220_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420419021958/tv517528_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000110465920052428/tm206797d1_20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,14097689,57693231,67604325,45393767,18157000,-18963000,40783000,21081000,-54427000,-58971000,-71327000,-69065000,-54483000,-46003000,-22172000,11363000,19610000
74,Depreciation and Amortization,2698677,24034810,23470475,22375460,25658000,36353000,37185000,44237000,49233000,48685000,48225000,45039000,43717000,43405000,45043000,41985000,42256000
75,Deferred Income Tax,-289735,-56515,756358,146102,- -,-4064000,5231000,165000,-7727000,-10007000,303000,7000000,5317000,808000,3617000,2325000,-6115000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,43352672,-38639771,-33045805,9255536,31394000,-8339000,16731000,-82637000,48070000,25075000,4524000,1410000,-20019000,12023000,-487000,-1782000,22989000
78,Accounts Receivable,- -,- -,- -,- -,18186000,11609000,3404000,-26620000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,13294709,-6918990,1099448,-18883632,11080000,-18693000,-7538000,7270000,7483000,-4164000,14421000,-4434000,4647000,-766000,-96000,-399000,-2119000
80,Accounts Payable,- -,- -,- -,- -,3691000,-4475000,-11581000,- -,9579000,4658000,-3970000,3277000,-12179000,-3110000,3278000,-1217000,6198000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-162000,2952000,-11273000,-1145000,-459000,-1533000,-117000,3344000,4093000
82,Other Non-Cash Items,1018212,984967,-343090,2410676,4818000,4942000,-1355000,3136000,11302000,-1692000,114000,1626000,2240000,594000,-620000,475000,38796000
83,Cash Provided by Operating Activities,60877515,44016722,58442263,79581542,80027000,9929000,98575000,-14018000,46451000,3090000,-18161000,-13990000,-23228000,10827000,25381000,54366000,117536000
84,CAPEX,-57077844,-36669837,-40141530,-569796,-110248000,-87758000,-2951000,-35943000,-212717000,-13201000,-5559000,-1556000,-11218000,-3282000,-4619000,-12925000,-11257000
85,Acquisitions Net,12144046,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,- -,- -,- -,- -,- -
88,Other Investing Activites,4470201,4884468,-3298343,-236458135,-20657000,80159000,54963000,-83382000,127328000,-18868000,-4979000,4166000,-29350000,17277000,28000,366000,- -
89,Cash Used for Investing Activites,-40463597,-31785370,-43439873,-237027931,-76750000,-7599000,52012000,-119325000,-85389000,-32069000,-10538000,23610000,-40568000,13995000,-4591000,-12559000,-11257000
90,Debt Repayment,- -,- -,- -,- -,-23262000,-11585000,-11179000,-142000000,-168501000,-118123000,-113315000,-21369000,-14985000,-46288000,-56282000,-7000000,-26000000
91,Common Stock Issued,- -,- -,235663843,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-15504975,-26529521,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,993378,15840207,-8358920,-49608798,5000000,20000000,5000000,148501000,168299000,153691000,139487000,17142000,75108000,19327000,14950000,4656000,-45726000
95,Cash Used/Provided by Financing Activities,-14511597,-10689314,227304923,-49608798,-18262000,8415000,-6179000,6501000,-202000,35568000,26172000,-4227000,60123000,-26961000,-41332000,-2344000,-71726000
96,Effect of Forex Changes on Cash,- -,- -,- -,4054319,-104000,236000,16000,-213000,-26000,-17000,-31000,-58000,2661000,1759000,-2014000,- -,-1000
97,Net Change In Cash,-14511597,1542039,242307313,-203008173,-15086000,10981000,144423000,-127055000,-39166000,6572000,-2558000,5335000,-1012000,-380000,-22556000,39463000,34552000
98,Cash at the End of Period,5902321,7500282,249730533,30951624,15823000,26804000,171227000,44172000,5006000,11578000,9020000,14355000,13343000,12963000,46908000,86371000,120923000
99,Cash at the Beginning of Period,- -,5958243,7423220,233959797,30909000,15823000,26804000,171227000,44172000,5006000,11578000,9020000,14355000,13343000,69464000,46908000,86371000
100,Free Cash Flow,3799671,7346885,18300733,79011745,-30221000,-77829000,95624000,-49961000,-166266000,-10111000,-23720000,-15546000,-34446000,7545000,20762000,41441000,106279000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1381074/000114420407016210/0001144204-07-016210-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420408022089/v110456_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420409017981/0001144204-09-017981-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420410021563/v181536_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420411017029/v215856_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420412021282/v308830_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420413021330/v338187_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420414022119/v371570_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420415022056/v405208_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420416093271/v435081_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420417019460/v461996_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420418021848/tv490220_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420419021958/tv517528_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000110465920052428/tm206797d1_20f.htm,- -
102,Forex Rate,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
