,https://roic.ai/company/ETD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,32400000,48800000,45000000,54800000,85200000,119400000,132700000,146099000,126047000,129900000,120583000,127805000,128978000,142672000,111119000,96000000,-72771000,-11735000,31933000,49697000,60437000,69636000,65934000,89179000,57950000,48867000,33947000,14644000,77285000
18,Operating Income ratio,0.0843,0.1116,0.0945,0.1075,0.1490,0.1758,0.1741,0.1706,0.1394,0.1456,0.1329,0.1338,0.1359,0.1338,0.1105,0.0980,-0.1079,-0.0199,0.0470,0.0681,0.0829,0.0933,0.0874,0.1123,0.0759,0.0637,0.0455,0.0248,0.1128
19,Total Other Income Expenses (Gains),-35800000,-10200000,-9100000,-7900000,-4500000,-900000,- -,671000,2056000,2344000,609000,2691000,442000,-4567000,-1393000,-3822000,-8409000,-7052000,-5562000,-8458000,-10263000,-7234000,-9251000,-1223000,-955000,200000,-87000,-455000,-874000
20,Income Before Tax,-3400000,38600000,35900000,46900000,80700000,118500000,132700000,146770000,128103000,132244000,121192000,130496000,129420000,138105000,109726000,92178000,-81180000,-18787000,26371000,41239000,50174000,62402000,56683000,87956000,56995000,49067000,33860000,14189000,76411000
21,Income Before Tax Ratio,-0.0088,0.0883,0.0754,0.0920,0.1411,0.1744,0.1741,0.1714,0.1417,0.1482,0.1336,0.1366,0.1364,0.1295,0.1091,0.0941,-0.1204,-0.0318,0.0388,0.0565,0.0688,0.0836,0.0751,0.1107,0.0747,0.0640,0.0453,0.0241,0.1115
22,Income Tax expense (Gain),-1100000,16000000,13200000,18800000,32000000,46600000,51400000,56200000,48423000,49988000,45811000,50156000,50082000,52423000,40499000,34106000,-28493000,25529000,-2879000,-8455000,17696000,19471000,19541000,31319000,20801000,12696000,8162000,5289000,16406000
23,Net Income,-17400000,22600000,22100000,28100000,48700000,71100000,81300000,90570000,79680000,82256000,75381000,80340000,79338000,85682000,69227000,58072000,-52687000,-44316000,29250000,49694000,32478000,42931000,37142000,56637000,36194000,36371000,25698000,8900000,60005000
24,Net Income ratio,-0.0453,0.0517,0.0464,0.0551,0.0852,0.1047,0.1067,0.1058,0.0881,0.0922,0.0831,0.0841,0.0836,0.0803,0.0689,0.0593,-0.0781,-0.0751,0.0431,0.0681,0.0445,0.0575,0.0492,0.0713,0.0474,0.0474,0.0344,0.0151,0.0876
25,EPS,-0.16,0.17,0.18,0.64,0.56,1.65,1.97,2.25,2.02,2.12,2.00,2.16,2.24,2.58,2.19,1.98,-1.83,-1.53,1.02,1.72,1.13,1.48,1.29,2.02,1.31,1.33,0.96,0.36,2.38
26,EPS Diluted,-0.16,0.17,0.18,0.64,0.56,1.61,1.92,2.20,1.98,2.06,1.95,2.10,2.19,2.51,2.15,1.97,-1.83,-1.53,1.01,1.71,1.11,1.47,1.27,2.00,1.29,1.32,0.96,0.34,2.37
27,Weighted Average Shares Outstanding,38759000,42927000,43052000,43678756,43125999,43004032,41269036,40253333,39390000,38828000,37607000,37179000,35400000,33210000,31566000,29267000,28814000,28982000,28758000,28824000,28864000,28918000,28874000,28072000,27679000,27321000,26695000,25053000,25237000
28,Weighted Average Shares Outstanding Diluted,38759000,42927000,43052000,43678756,43125999,44070248,42343750,41168182,40321000,39942000,38569000,38295000,36193000,34086000,32261000,29470000,28814000,28982000,28966000,29109000,29239000,29276000,29182000,28324000,27958000,27625000,26751000,26069000,25352000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896156/000090256100000410/0000902561-00-000410-index.html,https://www.sec.gov/Archives/edgar/data/896156/000090256101500236/0000902561-01-500236-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/896156/000093244004000346/ea_10k-june3004.htm,https://www.sec.gov/Archives/edgar/data/896156/000093244005000457/ea_10k-63005.htm,https://www.sec.gov/Archives/edgar/data/896156/000093244006000435/ea10k_sept06.htm,https://www.sec.gov/Archives/edgar/data/896156/000093244007000506/0000932440-07-000506-index.html,https://www.sec.gov/Archives/edgar/data/896156/000110465908054499/0001104659-08-054499-index.html,https://www.sec.gov/Archives/edgar/data/896156/000110465909051308/0001104659-09-051308-index.html,https://www.sec.gov/Archives/edgar/data/896156/000110465910045200/0001104659-10-045200-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774911006186/0001437749-11-006186-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774912008602/0001437749-12-008602-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774913011027/0001437749-13-011027-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774914015615/0001437749-14-015615-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774915015540/0001437749-15-015540-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774916036767/0001437749-16-036767-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774917013590/0001437749-17-013590-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774918014320/0001437749-18-014320-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774919016263/eth20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/896156/000143774920018839/0001437749-20-018839-index.htm,https://www.sec.gov/Archives/edgar/data/896156/000143774921020534/0001437749-21-020534-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4800000,6700000,7500000,9100000,21900000,19400000,9000000,14024000,48112000,75688000,81856000,27528000,3448000,173801000,147879000,74376000,52960000,73852000,78519000,79721000,72601000,109176000,76182000,52659000,57701000,22363000,20824000,72276000,104596000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11075000,12909000,9005000,15529000,18153000,2198000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4800000,6700000,7500000,9100000,21900000,19400000,9000000,14024000,48112000,75688000,81856000,27528000,3448000,173801000,147879000,74376000,52960000,84927000,91428000,88726000,88130000,127329000,78380000,52659000,57701000,22363000,20824000,72276000,104596000
34,Net Receivables,39800000,36300000,36800000,35300000,33300000,36300000,34900000,34336000,33055000,32845000,26439000,26967000,28019000,22179000,14602000,12672000,13086000,17105000,15036000,14919000,12277000,12426000,12547000,9467000,12293000,12364000,14247000,8092000,9026000
35,Inventory,82500000,103300000,114100000,107200000,107500000,114400000,144000000,159006000,176036000,174147000,198212000,186895000,186479000,189650000,181884000,186265000,156519000,134040000,141692000,155739000,137256000,146275000,151916000,162323000,149483000,163012000,162389000,126101000,143978000
36,Other Current Assets,21100000,21200000,17800000,16700000,32000000,17800000,21900000,28421000,32874000,36076000,53755000,54192000,46443000,38126000,38064000,36865000,29137000,23620000,20372000,23408000,22907000,19599000,27831000,23755000,23621000,16686000,18830000,23483000,37679000
37,Total Current Assets,148200000,167500000,176200000,168300000,194700000,187900000,209800000,235787000,290077000,318756000,360262000,295582000,264389000,423756000,382429000,310178000,251702000,259692000,268528000,282792000,260570000,305629000,270674000,248204000,243098000,214425000,216290000,229952000,295279000
38,PP&E,171200000,164600000,164300000,163900000,172500000,189300000,215000000,247738000,268659000,293626000,289423000,277021000,275211000,294170000,322185000,350432000,333599000,305747000,294853000,295695000,291672000,288156000,277035000,273615000,270198000,267903000,245246000,346020000,340176000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87899000,- -,- -,- -,- -,25400000,25400000,- -,- -,- -,- -,- -,- -,25388000,25388000,25388000
40,Intangible Assets,59100000,57400000,55700000,54100000,52400000,50800000,51600000,54770000,52863000,69708000,78939000,80038000,82897000,- -,92500000,96823000,45128000,45128000,19728000,19728000,- -,- -,- -,- -,- -,- -,19740000,19740000,19740000
41,Intangible Assets,59100000,57400000,55700000,54100000,52400000,50800000,51600000,54770000,52863000,69708000,78939000,80038000,82897000,87899000,92500000,96823000,45128000,45128000,45128000,45128000,45128000,45128000,45128000,45128000,45128000,45128000,45128000,45128000,45128000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16391000,15416000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2108000,137000,1078000
44,Other Non-Current Assets,17700000,23800000,12100000,9700000,8200000,5100000,4200000,5276000,7519000,6665000,2944000,1790000,5889000,6416000,5484000,4540000,16056000,21210000,3425000,5757000,19915000,15521000,14471000,10462000,9798000,2977000,1579000,1552000,1584000
45,Total Non-Current Assets,248000000,245800000,232100000,227700000,233100000,245200000,270800000,307784000,329041000,369999000,371306000,358849000,363997000,388485000,420169000,451795000,394783000,372085000,359797000,361996000,356715000,348805000,336634000,329205000,325124000,316008000,294061000,392837000,387966000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,396200000,413300000,408300000,396000000,427800000,433100000,480600000,543571000,619118000,688755000,731568000,654431000,628386000,812241000,802598000,761973000,646485000,631777000,628325000,644788000,617285000,654434000,607308000,577409000,568222000,530433000,510351000,622789000,683245000
48,Accounts Payable,25100000,28400000,32400000,36700000,41200000,51100000,59400000,65879000,63788000,38027000,25375000,22222000,19352000,30560000,26650000,26444000,22199000,23952000,26958000,27315000,22995000,24320000,18946000,15437000,16961000,18768000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,1100000,900000,800000,8420000,131000,107000,996000,4712000,240000,39000,40000,41000,42000,3898000,19000,250000,480000,501000,3341000,3001000,2731000,584000,550000,27366000,27395000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52605000,62649000,65465000,59098000,59684000,67970000,60958000,62960000,61248000,56714000,64031000,130635000
52,Other Current Liabilities,32300000,36000000,21100000,22400000,21000000,21600000,26000000,33969000,43935000,90994000,108055000,109755000,114374000,115119000,120749000,109017000,90222000,65287000,64990000,58047000,50366000,51542000,50712000,43951000,43793000,40660000,65562000,47581000,65872000
53,Total Current Liabilities,57400000,64400000,53500000,59100000,63300000,73600000,86200000,108268000,107854000,129128000,134426000,136689000,133966000,145718000,147439000,135502000,112463000,145742000,154616000,151077000,132939000,136047000,140969000,123347000,126445000,121260000,122826000,138978000,223902000
54,Long-Term Debt,150400000,136300000,127000000,82700000,66800000,12500000,9900000,9487000,9356000,9214000,9222000,4509000,12270000,202748000,202868000,202988000,203106000,199369000,165013000,154250000,130809000,130411000,74227000,38837000,11608000,1096000,516000,152111000,98699000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,37200000,37000000,33600000,32800000,31500000,31900000,32600000,33714000,34413000,37158000,47539000,51248000,35637000,34182000,30646000,27327000,- -,9084000,8034000,- -,- -,- -,- -,- -,- -,- -,1069000,1074000,6998000
57,Other Non-Current Liabilities,5300000,4400000,1100000,1100000,800000,800000,1400000,1593000,2712000,2066000,2682000,1205000,12445000,12151000,12003000,20383000,24993000,19123000,18975000,17593000,19180000,20509000,21577000,23023000,29273000,24207000,22011000,2562000,2228000
58,Total Non-Current Liabilities,192900000,177700000,161700000,116600000,99100000,45200000,43900000,44794000,46481000,48438000,59443000,56962000,60352000,249081000,245517000,250698000,228099000,227576000,192022000,171843000,149989000,150920000,95804000,61860000,40881000,25303000,23596000,155747000,107925000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1066000,129477000,126094000
61,Total Liabilities,250300000,242100000,215200000,175700000,162400000,118800000,130100000,153062000,154335000,177566000,193869000,193651000,194318000,394799000,392956000,386200000,340562000,373318000,346638000,322920000,282928000,286967000,236773000,185207000,167326000,146563000,146422000,294725000,331827000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,400000,451000,451000,453000,454000,458000,466000,467000,474000,482000,483000,483000,484000,485000,486000,486000,489000,489000,490000,490000,491000,491000,492000
64,Retained Earnings,-101500000,-79700000,-57500000,-29400000,17900000,85300000,161700000,245841000,319249000,394470000,460456000,414041000,467566000,529496000,573535000,606648000,531747000,479341000,501908000,542918000,553083000,584395000,607079000,646315000,661976000,669013000,647710000,638631000,655346000
65,Other Comprehensive Income/Loss,- -,-57500000,-69100000,-79300000,-90500000,-101500000,-111500000,-123815000,-133888000,-144094000,580000,600000,1051000,935000,1370000,2701000,467000,1244000,2258000,1141000,684000,642000,-2638000,-4846000,-4131000,-6171000,-5651000,-8441000,-5931000
66,Other Total Stockholders Equity,247400000,308400000,319700000,329000000,338000000,330500000,299900000,268032000,278971000,260360000,76209000,45681000,-35015000,-113456000,-165737000,-234058000,-226774000,-222609000,-222963000,-222876000,-220103000,-218308000,-234672000,-249960000,-257629000,-279601000,-278684000,-302616000,-298464000
67,Total Stockholders Equity,145900000,171200000,193100000,220300000,265400000,314300000,350500000,390509000,464783000,511189000,537699000,460780000,434068000,417442000,409642000,375773000,305923000,258459000,281687000,321668000,334150000,367215000,370258000,391998000,400706000,383731000,363866000,328065000,351443000
68,Total Liabilities And Stockholders Equity,396200000,413300000,408300000,396000000,427800000,433100000,480600000,543571000,619118000,688755000,731568000,654431000,628386000,812241000,802598000,761973000,646485000,631777000,628325000,644588000,617078000,654182000,607031000,577205000,568032000,530294000,510288000,622790000,683270000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,207000,252000,277000,204000,190000,139000,63000,-1000,-25000
70,Total Liabilities & Equity,396200000,413300000,408300000,396000000,427800000,433100000,480600000,543571000,619118000,688755000,731568000,654431000,628386000,812241000,802598000,761973000,646485000,631777000,628325000,644788000,617285000,654434000,607308000,577409000,568222000,530433000,510351000,622789000,683245000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896156/000090256100000410/0000902561-00-000410-index.html,https://www.sec.gov/Archives/edgar/data/896156/000090256101500236/0000902561-01-500236-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/896156/000093244004000346/ea_10k-june3004.htm,https://www.sec.gov/Archives/edgar/data/896156/000093244005000457/ea_10k-63005.htm,https://www.sec.gov/Archives/edgar/data/896156/000093244006000435/ea10k_sept06.htm,https://www.sec.gov/Archives/edgar/data/896156/000093244007000506/0000932440-07-000506-index.html,https://www.sec.gov/Archives/edgar/data/896156/000110465908054499/0001104659-08-054499-index.html,https://www.sec.gov/Archives/edgar/data/896156/000110465909051308/0001104659-09-051308-index.html,https://www.sec.gov/Archives/edgar/data/896156/000110465910045200/0001104659-10-045200-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774911006186/0001437749-11-006186-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774912008602/0001437749-12-008602-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774913011027/0001437749-13-011027-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774914015615/0001437749-14-015615-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774915015540/0001437749-15-015540-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774916036767/0001437749-16-036767-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774917013590/0001437749-17-013590-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774918014320/0001437749-18-014320-index.html,https://www.sec.gov/Archives/edgar/data/896156/000143774919016263/eth20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/896156/000143774920018839/0001437749-20-018839-index.htm,https://www.sec.gov/Archives/edgar/data/896156/000143774921020534/0001437749-21-020534-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-17400000,22600000,22100000,28100000,48700000,71100000,81300000,90570000,79680000,82256000,75381000,80340000,79338000,85682000,69227000,58072000,-52687000,-44316000,29250000,49694000,32478000,42931000,37142000,56637000,36194000,36371000,25698000,8900000,60005000
74,Depreciation and Amortization,19500000,17200000,17300000,17500000,16400000,15900000,16300000,16975000,20220000,19314000,21296000,21277000,21338000,21599000,23013000,24670000,25635000,29398000,20816000,18581000,18008000,17930000,19142000,19353000,20115000,19831000,19637000,16859000,16385000
75,Deferred Income Tax,-1400000,2000000,-2300000,600000,600000,700000,- -,-1806000,- -,189000,4750000,659000,3935000,-792000,200000,-2364000,-32158000,33789000,-63000,-19522000,2767000,-3032000,3923000,671000,3507000,-106000,-3511000,2524000,3013000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1719000,2276000,931000,1702000,1401000,1325000,1236000,2356000,1259000,954000,121000,334000,1268000
77,Change in Working Capital,-1500000,12300000,19600000,-13500000,22200000,-17100000,9300000,3919000,54704000,7405000,36208000,-66943000,-28470000,147615000,-43048000,-60314000,-35437000,-25289000,-38000,17803000,-4084000,41951000,-39877000,-4848000,-8204000,-23488000,299000,-2490000,-19597000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-776000,-4197000,187000,-456000,1922000,-149000,-559000,2926000,-2826000,-682000,-565000,6020000,-934000
79,Inventory,1700000,-20800000,-8300000,6900000,2700000,-6800000,-25000000,-9243000,-18964000,16641000,-13970000,13168000,757000,3479000,14531000,-91000,31428000,22863000,-5278000,-12531000,18569000,-9019000,-5036000,-9982000,13507000,-11876000,957000,33341000,-18516000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3835000,-836000,5595000,357000,-4320000,1300000,-5349000,-3509000,1524000,1807000,- -,- -,- -
81,Other Working Capital,90800000,103100000,122700000,109200000,131400000,114300000,123600000,127519000,182223000,189628000,225836000,158893000,130423000,278038000,234990000,174676000,139239000,113950000,113912000,131715000,127631000,169582000,129705000,124857000,116653000,93165000,93464000,90974000,71377000
82,Other Non-Cash Items,31000000,-30100000,-21200000,28200000,-10500000,17000000,-20200000,-4807000,-67017000,16159000,-37155000,90200000,27194000,-122515000,69797000,66073000,114861000,55473000,12266000,-30557000,10731000,-41216000,33540000,-15800000,25762000,8935000,13003000,26569000,68838000
83,Cash Provided by Operating Activities,30200000,24000000,35500000,60900000,77400000,87600000,86700000,104851000,87587000,125323000,100480000,125533000,103335000,131589000,119189000,86137000,21933000,51331000,63162000,37701000,61301000,59889000,55106000,58369000,78633000,42497000,55247000,52696000,129912000
84,CAPEX,-6600000,-11000000,-11200000,-13300000,-23400000,-29700000,-47800000,-42065000,-38516000,-31078000,-27207000,-23035000,-30301000,-41505000,-59073000,-60038000,-22537000,-9922000,-9094000,-22884000,-19005000,-19305000,-19787000,-22967000,-17645000,-18773000,-9120000,-15709000,-12029000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-12631000,-9722000,-42403000,-11332000,-1442000,-4080000,-7791000,-15297000,-7777000,-1366000,-50000,-2957000,-520000,-770000,- -,-1991000,-165000,-676000,- -,-534000,-1350000,- -
86,Purchases of Investments,-3200000,- -,-600000,- -,-18000000,-12300000,- -,- -,- -,- -,- -,- -,-12000000,- -,- -,- -,- -,-28682000,-9466000,-3647000,-18247000,-18268000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,2100000,- -,2600000,- -,- -,30300000,- -,- -,- -,- -,- -,- -,12000000,- -,- -,- -,- -,200000,7319000,7230000,11165000,14883000,15430000,2150000,- -,- -,- -,- -,- -
88,Other Investing Activites,1200000,-100000,3100000,2800000,2200000,2100000,2300000,1917000,9746000,5016000,5302000,5529000,11868000,4481000,5629000,6481000,-16160000,3441000,-4539000,-19220000,-13749000,-8673000,-10011000,-14511000,-15707000,-10912000,-8966000,-3266000,-7116000
89,Cash Used for Investing Activites,-6500000,-11100000,-6100000,-10500000,-39200000,-9600000,-45500000,-52779000,-38492000,-68465000,-33237000,-18948000,-22513000,-44815000,-68741000,-61334000,-17526000,-25091000,-9643000,-16157000,-21601000,-12058000,3428000,-12526000,-16383000,-10912000,-9500000,-4616000,-7116000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000,-42000,-37887000,-12204000,-26104000,-480000,-133710000,-34840000,-28401000,-14456000,-16578000,-50000000,-50585000
91,Common Stock Issued,185800000,32900000,400000,1500000,2100000,1300000,700000,2351000,759000,1753000,2219000,4547000,5641000,2349000,521000,474000,2000,1000,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-31000000,-1100000,-3900000,-7200000,-23300000,-45100000,-49606000,-1069000,-24668000,-50700000,-38348000,-94355000,-84106000,-57152000,-75577000,- -,- -,-5377000,-1350000,- -,- -,-17552000,-19346000,-10246000,-23120000,-46000,-24319000,-75000
93,Dividends Paid,- -,-1300000,- -,- -,-2300000,-3500000,-4400000,-6469000,-6277000,-6201000,-9066000,-125783000,-19625000,-23128000,-24797000,-25495000,-23617000,-5801000,-5754000,-8062000,-22220000,-11297000,-13348000,-16646000,-20031000,-29509000,-46990000,-21469000,-43290000
94,Other Financing Activites,-207800000,-11600000,-27800000,-46500000,-18000000,-55000000,-2800000,6708000,-8420000,-166000,-3528000,-1376000,3284000,188430000,4870000,2053000,-1380000,-199000,-137000,738000,1758000,525000,73647000,1718000,1335000,194000,16276000,99485000,2961000
95,Cash Used/Provided by Financing Activities,-22000000,-11000000,-28500000,-48900000,-25400000,-80500000,-51600000,-47016000,-15007000,-29282000,-61075000,-160960000,-105055000,83545000,-76558000,-98545000,-25036000,-6041000,-49079000,-20878000,-46566000,-11252000,-90963000,-69114000,-57343000,-66891000,-47338000,3697000,-90989000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,153000,34000,188000,239000,-787000,693000,227000,536000,-254000,-4000,-565000,-252000,135000,-32000,52000,-325000,513000
97,Net Change In Cash,-22000000,-11000000,-28500000,-48900000,-25400000,-80500000,-10400000,5056000,34088000,27576000,6168000,-54328000,-24080000,170353000,-25922000,-73503000,-21416000,20892000,4667000,1202000,-7120000,36575000,-32994000,-23523000,5042000,-35338000,-1539000,51452000,32320000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,9000000,14024000,48112000,75688000,81856000,27528000,3448000,173801000,147879000,74376000,52960000,73852000,78519000,79721000,72601000,109176000,76182000,52659000,57701000,22363000,20824000,72276000,104596000
