,https://roic.ai/company/EPR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,51000000,63000000,78000000,79000000,157000000,98000000,95000000,73424000,79559000,98082000,139216000,145116000,176329000,202319000,205205000,260098000,186160000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100388000,106233000,123750000,163297000,167723000,208224000,233518000,295611000,318685000,242899000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,24000,27000,25000,- -,192000,367000,2177000,2820000,153000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72505000,77039000,77049000,75352000,92357000,127149000,130077000,137987000,153889000,140582000
14,Depreciation and Amortization,700000,7300000,10000000,10460000,10449000,13910000,16359000,26664000,30942000,33868000,40327000,43829000,47720000,52099000,47927000,50254000,53946000,66739000,89617000,107573000,132946000,153430000,171763000,170333000,163770000
15,EBITDA,2100000,26500000,33200000,34632000,34029000,45069000,53953000,80377000,100002000,116157000,144991000,173805000,55727000,166973000,163155000,244315000,297035000,327649000,359983000,425465000,525462000,552775000,508958000,209250000,404555000
16,EBITDA ratio,0.8400,0.9298,0.9379,0.9493,0.9314,0.9243,0.8846,0.9178,0.8123,0.7787,0.8196,0.8077,0.2813,0.7008,0.7094,0.7592,0.8658,0.8509,0.8550,0.8626,0.9123,0.7889,0.7806,0.5046,0.7609
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87532000,-75370000,-81321000,-62905000,-99984000,-102400000,-197945000,-204837000,-210948000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133866000,161461000,179980000,194815000,225535000,265367000,269268000,151521000,-114972000,100203000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4160,0.4706,0.4674,0.4627,0.4573,0.4607,0.3843,0.2324,-0.2773,0.1885
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14176000,4228000,482000,553000,2399000,2285000,-3035000,16756000,1597000
23,Net Income,1400000,19200000,23200000,24172000,23580000,31159000,37594000,53713000,69060000,82289000,104664000,129976000,8007000,114874000,115228000,121556000,180226000,179633000,194532000,224982000,262968000,266983000,202243000,-131728000,98606000
24,Net Income ratio,0.5600,0.6737,0.6554,0.6626,0.6454,0.6391,0.6164,0.6133,0.5609,0.5517,0.5916,0.6040,0.0404,0.4821,0.5010,0.3778,0.5253,0.4665,0.4621,0.4561,0.4565,0.3810,0.3102,-0.3177,0.1855
25,EPS,0.10,1.39,1.60,1.63,1.60,1.66,1.81,2.12,2.31,2.69,3.04,3.32,-0.61,1.87,1.81,1.99,3.26,2.87,2.94,3.17,3.29,3.27,2.32,-2.05,1.32
26,EPS Diluted,0.10,1.38,1.59,1.63,1.60,1.64,1.77,2.07,2.26,2.65,2.99,3.28,-0.61,1.86,1.80,1.98,3.24,2.86,2.93,3.17,3.29,3.27,2.32,-2.05,1.32
27,Weighted Average Shares Outstanding,14000000,13802000,14516000,14786000,14715000,16791000,17780000,22721000,25019000,26147000,26690000,30628000,36122000,45206000,46639250,46798000,48028000,54244000,58138000,63381000,71191000,74292000,76746000,75994000,74804000
28,Weighted Average Shares Outstanding Diluted,14000000,13880000,14552000,14810000,14783000,17762000,19051000,23664000,25504000,26627000,27171000,31006000,36122000,45555000,46911500,47049000,48214000,54444000,58328000,63474000,71254000,74337000,76782000,75994000,74911000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1045450/000095012400001906/0000950124-00-001906-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095012401001834/0000950124-01-001834-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013402003111/0000950134-02-003111-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013403004833/0000950134-03-004833-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013704001492/0000950137-04-001492-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013705002690/0000950137-05-002690-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1045450/000095013708002775/c24077e10vk.htm,https://www.sec.gov/Archives/edgar/data/1045450/000095013709001267/0000950137-09-001267-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000119312510043312/0001193125-10-043312-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000119312511051389/d10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545012000018/0001045450-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545013000019/0001045450-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545014000021/epr-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545015000023/epr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545016000117/0001045450-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545017000026/0001045450-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545018000021/0001045450-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545019000027/0001045450-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545020000019/0001045450-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545021000020/0001045450-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545022000038/0001045450-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2300000,22300000,5948000,24590000,10091000,30527000,11255000,6546000,9414000,15170000,50082000,23138000,11776000,14625000,10664000,7958000,3336000,4283000,19335000,41917000,5872000,528763000,1025577000,288822000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2300000,22300000,5948000,24590000,10091000,30527000,11255000,6546000,9414000,15170000,50082000,23138000,11776000,14625000,10664000,7958000,3336000,4283000,19335000,41917000,5872000,528763000,1025577000,288822000
34,Net Receivables,- -,- -,400000,434000,- -,8438000,- -,- -,- -,106136000,61225000,73312000,40493000,44941000,40020000,499394000,533867000,557306000,485109000,717682000,1069525000,621281000,458275000,489121000,455486000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,34010000,93400000,1446363000,2078710000,2498131000,2610374000,-39814000,-35005000,56966000,57843000,68588000,89571000,89154000,92125000,60922000,38133000,23724000,25944000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,45265000,99946000,1561913000,2155105000,2621525000,2674005000,16903000,19640000,567024000,599668000,629230000,578963000,826171000,1203567000,688075000,1025171000,1538422000,770252000
38,PP&E,- -,438300000,466400000,460537000,515972000,679937000,870944000,1144553000,1303758000,1415175000,1673313000,1766452000,1867358000,2217047000,2026394000,- -,- -,- -,- -,- -,- -,- -,211187000,163766000,180808000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693000,693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12400000,6727000,34951000,3792000,3321000,6811000,8506000,8636000,14779000,28869000,42491000,44692000,41632000,37799000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,23630000,10461000,9366000,16528000,12400000,6727000,35644000,4485000,3321000,6811000,8506000,8636000,14779000,28869000,42491000,44692000,41632000,37799000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168582000,173930000,248443000,258672000,246060000,247487000,205070000,197048000,108670000,63505000,55044000,34317000,28208000,36670000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1415175000,-1673313000,-1935034000,-2041288000,405383000,424804000,2130325000,2418310000,2859242000,3432623000,3915402000,4895552000,5345780000,5262144000,4932157000,4775621000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1168183000,1314219000,9366000,16528000,12400000,6727000,2906517000,2714355000,2379706000,2672608000,3072818000,3638307000,4038851000,4987926000,5443315000,5552340000,5165763000,5030898000
46,Other Assets,- -,464400000,516300000,513534000,583351000,730387000,965918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,464400000,516300000,513534000,583351000,730387000,965918000,1213448000,1414165000,1571279000,2171633000,2633925000,2680732000,2923420000,2733995000,2946730000,3272276000,3702048000,4217270000,4865022000,6191493000,6131390000,6577511000,6704185000,5801150000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65481000,72327000,82180000,92178000,119758000,136929000,168463000,122939000,105379000,73462000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61559000
52,Other Current Liabilities,- -,9800000,11200000,8400000,10400000,30600000,36500000,33200000,33100000,43300000,82400000,94100000,66500000,129000000,109600000,41186000,19553000,22233000,24352000,26318000,30185000,32799000,35458000,6070000,24930000
53,Total Current Liabilities,- -,9800000,11200000,8400000,10400000,30600000,36500000,33200000,33100000,43300000,82400000,94100000,66500000,129000000,109600000,106667000,91880000,104413000,116530000,146076000,167114000,201262000,158397000,111449000,159951000
54,Long-Term Debt,- -,206000000,238700000,244547000,314766000,346617000,506555000,592892000,714591000,675305000,1081264000,1262368000,1141423000,1191179000,1154295000,1368832000,1475336000,1645523000,1981920000,2485625000,3028827000,2986054000,3102830000,3896666000,3023160000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6691000,6850000,11333000,17046000,25623000,44952000,47420000,68227000,79051000,74829000,65485000,61559000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-47000,34000,-17000,45000,8000,9000,-5000,36000,32000,-23000,-6670000,-6845000,- -,- -,- -,- -,- -,- -,- -,235650000,- -,-61559000
58,Total Non-Current Liabilities,- -,206000000,238700000,244500000,314800000,346600000,506600000,592900000,714600000,675300000,1081300000,1262400000,1141400000,1191200000,1154300000,1380165000,1492382000,1671146000,2026872000,2533045000,3097054000,3065105000,3413309000,3962151000,3023160000
59,Other Liabilities,- -,- -,- -,489015000,629623000,- -,- -,- -,- -,- -,- -,- -,2287675000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235650000,202223000,218795000
61,Total Liabilities,- -,215800000,249900000,252915000,325223000,361834000,521509000,620059000,742509000,714123000,1145599000,1341274000,1212775000,1292162000,1235892000,1486832000,1584262000,1775559000,2143402000,2679121000,3264168000,3266367000,3571706000,4073600000,3183111000
62,Preferred Stock,- -,- -,- -,- -,- -,23000,23000,23000,55000,109000,132000,167000,167000,167000,135000,139000,139000,139000,139000,139000,148000,148000,148000,148000,148000
63,Common Stock,- -,- -,200000,152000,153000,177000,201000,256000,259000,272000,289000,337000,438000,477000,480000,484000,534000,589000,632000,663000,769000,772000,816000,819000,822000
64,Retained Earnings,- -,-4000000,-5500000,-7474000,-10465000,-15135000,-19957000,-24873000,-30124000,-24814000,-25706000,-28417000,-147927000,-181856000,-228261000,-275643000,-271915000,-302776000,-343642000,-386509000,-443470000,-521748000,-689857000,-966992000,-1004886000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-4801000,-5150000,1617000,6618000,8976000,32469000,-6169000,18961000,38842000,23463000,20622000,17193000,12566000,5622000,7734000,12483000,12085000,7275000,216000,9955000
66,Other Total Stockholders Equity,- -,252600000,271700000,267941000,268440000,372914000,447662000,610317000,689613000,868139000,1000709000,1311516000,1601223000,1745609000,1674232000,1713919000,1941686000,2215594000,2411117000,2563874000,3357395000,3373766000,3687423000,3596394000,3612000000
67,Total Stockholders Equity,- -,248600000,266400000,260619000,258128000,353178000,422779000,587340000,666421000,852682000,1007893000,1277434000,1472862000,1603239000,1470049000,1459521000,1687637000,1926112000,2073868000,2185901000,2927325000,2865023000,3005805000,2630585000,2618039000
68,Total Liabilities And Stockholders Equity,- -,464400000,516300000,513534000,583351000,715012000,944288000,1207399000,1408930000,1566805000,2153492000,2618708000,2685637000,2895401000,2705941000,2946353000,3271899000,3701671000,4217270000,4865022000,6191493000,6131390000,6577511000,6704185000,5801150000
69,Minority Interest,- -,- -,- -,- -,- -,15375000,21630000,6049000,5235000,4474000,18141000,15217000,-4905000,28019000,28054000,377000,377000,377000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,464400000,516300000,513534000,583351000,730387000,965918000,1213448000,1414165000,1571279000,2171633000,2633925000,2680732000,2923420000,2733995000,2946730000,3272276000,3702048000,4217270000,4865022000,6191493000,6131390000,6577511000,6704185000,5801150000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1045450/000095012400001906/0000950124-00-001906-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095012401001834/0000950124-01-001834-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013402003111/0000950134-02-003111-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013403004833/0000950134-03-004833-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013704001492/0000950137-04-001492-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013705002690/0000950137-05-002690-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1045450/000095013708002775/c24077e10vk.htm,https://www.sec.gov/Archives/edgar/data/1045450/000095013709001267/0000950137-09-001267-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000119312510043312/0001193125-10-043312-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000119312511051389/d10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545012000018/0001045450-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545013000019/0001045450-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545014000021/epr-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545015000023/epr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545016000117/0001045450-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545017000026/0001045450-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545018000021/0001045450-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545019000027/0001045450-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545020000019/0001045450-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545021000020/0001045450-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545022000038/0001045450-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1400000,19200000,23200000,24172000,23580000,31159000,37594000,53713000,69060000,82289000,104664000,129976000,8007000,114874000,115228000,121556000,180226000,179633000,194532000,224982000,262968000,266983000,202243000,-131728000,98606000
74,Depreciation and Amortization,700000,7300000,10000000,10460000,10449000,13910000,16359000,26664000,30942000,33868000,40327000,43829000,47720000,52099000,47927000,50254000,53946000,66739000,89617000,107573000,132946000,153430000,171763000,170333000,163770000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14787000,1796000,-1136000,-1065000,812000,573000,-4115000,15246000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3965000,4307000,4710000,5610000,5833000,6516000,8902000,14885000,11164000,14142000,18329000,13760000,15077000,14903000
77,Change in Working Capital,3400000,-9800000,-1400000,2800000,-2000000,-20200000,-5900000,48565000,54781000,1451767000,554092000,454720000,80080000,-2719602000,22137000,550317000,47431000,17029000,-62384000,217662000,356358000,-549640000,379961000,560199000,30088000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583000,-8602000,606000,-6348000,-7163000,-5214000,-11623000,-37627000,8866000,-22300000,-1385000,-47383000,36821000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-9800000,-11200000,-8400000,-10400000,-30600000,-36500000,12065000,66846000,1518613000,2072705000,2527425000,2607505000,-112097000,-89960000,460357000,507788000,524817000,462433000,680095000,1036453000,486813000,866774000,1426973000,2634000
82,Other Non-Cash Items,1900000,2700000,1600000,-6750000,800000,20986000,2949000,-44526000,-60252000,-1462362000,-567493000,-486234000,8703000,2728310000,4897000,-520705000,-39212000,-23804000,42946000,-254114000,-376126000,594653000,-324082000,-563854000,-442000
83,Cash Provided by Operating Activities,7400000,19400000,33400000,30682000,32829000,45855000,51002000,84416000,94531000,105562000,131590000,146256000,148817000,180391000,195799000,207255000,234120000,250295000,278460000,306202000,391100000,484328000,439530000,65273000,306925000
84,CAPEX,-214500000,-249200000,-41200000,-37816000,-22376000,-163674000,-125675000,- -,-183758000,-134829000,-112786000,-177899000,-154784000,-247117000,-53175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-21987000,- -,- -,- -,- -,-117000,-1677000,-16691000,-3970000,-1800000,-1607000,- -,- -,- -,- -,-29473000,-325000,-1690000,-13611000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71002000,- -,- -,-51833000,-2113000,-113823000,-3262000,-98264000,-72698000,-194085000,-135625000,-43968000,-154727000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,15295000,1445000,3065000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4494000,2927000,51817000,4741000,20951000,606000,74243000,- -,- -,- -
88,Other Investing Activites,-214500000,-249200000,-41200000,-37816000,-35712000,-158406000,-121752000,-251790000,-219914000,-161152000,-349646000,-313936000,-35541000,-4677000,148940000,-144654000,-334516000,-329779000,-500582000,-489013000,-567194000,-97614000,251557000,135676000,15473000
89,Cash Used for Investing Activites,-214500000,-249200000,-41200000,-22521000,-34267000,-155341000,-143739000,-251790000,-219914000,-161152000,-420648000,-491952000,-192002000,-320318000,89682000,-255783000,-336458000,-376226000,-568539000,-662147000,-702213000,-96812000,96505000,133986000,1862000
90,Debt Repayment,- -,-400000,-1100000,-14365000,-126150000,-5149000,-100263000,-90923000,-196709000,-392942000,-473989000,-346156000,-267174000,-711880000,-425859000,-658571000,-552468000,-310253000,-503314000,-865266000,-823288000,-949684000,-866735000,-160000000,-1288765000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224214000,284965000,141134000,253000,231000,220785000,264158000,190158000,142628000,99069000,956000,305556000,972000,460000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-777000,-1201000,-2182000,-83100000,-118245000,-3246000,-2892000,-8222000,-4211000,-131754000,-7156000,-9691000,-113381000,-2763000
93,Dividends Paid,- -,-19100000,-24000000,-25891000,-26393000,-33780000,-42595000,-55897000,-71088000,-82007000,-97815000,-124930000,-127116000,-146324000,-157844000,-162775000,-197924000,-207637000,-233073000,-265662000,-311721000,-342315000,-367317000,-172460000,-117531000
94,Other Financing Activites,252300000,206400000,52800000,15778000,172623000,133916000,256031000,294820000,388468000,533529000,866143000,628845000,126184000,847207000,384235000,983780000,633024000,378211000,846473000,1363645000,1501160000,870646000,914964000,742038000,361921000
95,Cash Used/Provided by Financing Activities,252300000,186900000,27700000,-24478000,20080000,94987000,113173000,148000000,120671000,58580000,294339000,381196000,15658000,127955000,-282315000,44420000,100171000,121587000,292022000,371134000,333466000,-427553000,-23223000,297169000,-1046678000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,102000,3000,-122000,475000,-588000,583000,610000,-317000,147000,-539000,-278000,-996000,-137000,229000,-442000,121000,142000,-218000
97,Net Change In Cash,252300000,186900000,20000000,-16317000,18642000,-14499000,20436000,-19272000,-4709000,2868000,5756000,34912000,-26944000,-11362000,2849000,-3961000,-2706000,-4622000,947000,15052000,22582000,-40479000,512933000,496570000,-738109000
98,Cash at the End of Period,- -,- -,22300000,5948000,24590000,10091000,30527000,11255000,6546000,9414000,15170000,50082000,23138000,11776000,14625000,10664000,7958000,3336000,4283000,19335000,41917000,18507000,531440000,1028010000,289901000
99,Cash at the Beginning of Period,- -,45200000,2300000,22265000,5948000,24590000,10091000,30527000,11255000,6546000,9414000,15170000,50082000,23138000,11776000,14625000,10664000,7958000,3336000,4283000,19335000,58986000,18507000,531440000,1028010000
100,Free Cash Flow,-207100000,-229800000,-7800000,-7134000,10453000,-117819000,-74673000,84416000,-89227000,-29267000,18804000,-31643000,-5967000,-66726000,142624000,207255000,234120000,250295000,278460000,306202000,391100000,484328000,439530000,65273000,306925000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1045450/000095012400001906/0000950124-00-001906-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095012401001834/0000950124-01-001834-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013402003111/0000950134-02-003111-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013403004833/0000950134-03-004833-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013704001492/0000950137-04-001492-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000095013705002690/0000950137-05-002690-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1045450/000095013708002775/c24077e10vk.htm,https://www.sec.gov/Archives/edgar/data/1045450/000095013709001267/0000950137-09-001267-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000119312510043312/0001193125-10-043312-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000119312511051389/d10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545012000018/0001045450-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545013000019/0001045450-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545014000021/epr-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545015000023/epr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545016000117/0001045450-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545017000026/0001045450-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545018000021/0001045450-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545019000027/0001045450-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545020000019/0001045450-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1045450/000104545021000020/0001045450-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1045450/000104545022000038/0001045450-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
