,https://roic.ai/company/CSCW,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.1888,-0.2479,0.1794,0.3039,0.1398,0.1237,-0.0429,-0.3168,-0.3419,-0.0751,-0.2945,-0.2169,-0.1618,-0.3296,-Infinity,-1.2144
25,EPS,-0.01,-0.02,6.60,12.36,10.80,11.64,-4.20,-15.87,-11.20,-2.15,-7.25,-4.31,-2.51,-2.46,-0.99,-0.71
26,EPS Diluted,-0.01,-0.02,4.20,10.32,9.48,11.28,-4.20,-15.87,-11.20,-2.15,-7.25,-4.31,-2.51,-2.46,-0.99,-0.71
27,Weighted Average Shares Outstanding,761663,823119,755360,877223,1121340,1472631,1484866,1487089,1486871,1936591,2180799,2266826,2942945,5841614,11640018,11640018
28,Weighted Average Shares Outstanding Diluted,761663,823119,771298,1169368,1376769,1511879,1484866,1487089,1486871,1936591,2180799,2266826,2942945,5841614,11640018,11640018
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1910495,3634805,3300820,1610699,2409914,3949939,15431110,2691915,1006970,224679,1098691,347486,988696,174189
32,Short-Term Investments,- -,- -,61767,71880,- -,12221300,- -,5168000,14716023,5401499,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1972262,3706685,3300820,13831999,2409914,9117939,30147133,8093414,1006970,224679,1098691,347486,988696,174189
34,Net Receivables,- -,- -,9871454,15671387,37489344,87020158,111276085,74926448,53489002,41437356,47381582,47783200,44790747,38599096,1000000,3191711
35,Inventory,- -,- -,237836,1216014,2164769,1474728,2042156,1122380,1562309,1416664,1023471,626738,427193,511160,- -,- -
36,Other Current Assets,- -,- -,4153486,4708518,2879267,6018135,21523891,38306551,51698231,65377212,41307320,28099946,4335043,13047771,1172300,4276727
37,Total Current Assets,- -,- -,16235038,25302604,45834200,108345020,137252046,123473318,136896675,116324646,90719343,76734563,50651674,52505513,3160996,7642627
38,PP&E,2570,- -,16730220,22089717,26488354,29279440,20622505,14357349,12878263,10155848,4709794,3644203,2748409,1659520,3958335,9160214
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12272326
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12272326
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,127741,- -,578413,217380,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,5339824,8927452,13161145,7211914,5757858,7725749,2855937,1684064,- -,- -,- -,- -,- -,52000000
45,Total Non-Current Assets,2570,- -,22070044,31017169,39777240,36491354,26958776,22300478,15734200,11839912,4709794,3644203,2748409,1659520,3958335,73432540
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2570,- -,38305082,56319773,85611440,144836374,164210822,145773796,152630875,128164558,95429137,80378766,53400083,54165033,7119331,81075167
48,Accounts Payable,- -,- -,6293553,10722741,16473080,41320769,57171917,33730871,32501363,23399883,31234091,29081789,10340072,12841076,- -,- -
49,Short-Term Debt,- -,- -,4271222,4512200,- -,15470000,19008000,46215383,72056469,58375134,34615920,31713790,26062665,30038510,- -,- -
50,Tax Payable,- -,- -,- -,3048179,1569914,747165,1064953,107013,192205,12859,95708,103419,178190,80860,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,391550,798096,1732662,1072998,1284579,4272144,614558,903034,635762,- -,3596821
52,Other Current Liabilities,7500,20140,2518439,4801062,5035664,3947361,8228623,3841962,5418537,5404432,4179252,7816707,6392104,10128887,528833,527845
53,Total Current Liabilities,7500,20140,13083214,20036003,21508744,61129680,85206636,85520878,111049367,88464028,74301407,69226844,43697875,53644235,528833,4124666
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,5831452,6241419,2920520,618657,- -,3560819,1177586,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,5831452,6241419,2920520,618657,- -,3560819,1177586,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,6009702,5837342,1489384,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7500,20140,18914666,26277422,24429264,61748337,85206636,89081697,112226953,88464028,74301407,69226844,43697875,53644235,528833,4124666
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10525,10596,17467,17795,17829,1487,1487,2181,2181,2388,5489,7175,25624,110357
64,Retained Earnings,-14070,-30140,3072249,12783892,19912444,35240851,29010766,5412387,-11234705,-15398817,-31204831,-40975658,-49642916,-64031446,-61923732,-70162245
65,Other Comprehensive Income/Loss,-4284,-6854,2813537,2705267,3019983,6600011,8572977,16044920,16403835,16723582,13956796,13462815,13804267,13469187,- -,- -
66,Other Total Stockholders Equity,13424,16854,13494105,14542596,38232282,41229380,41402614,35233305,35233305,38373584,38373584,38662377,45535368,51075882,68488606,- -
67,Total Stockholders Equity,-4930,-20140,19390416,30042351,61182176,83088037,79004186,56692099,40403922,39700530,21127730,11151922,9702208,520798,6590498,76950501
68,Total Liabilities And Stockholders Equity,2570,- -,38305082,56319773,85611440,144836374,164210822,145773796,152630875,128164558,95429137,80378766,53400083,54165033,7119331,81075167
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2570,- -,38305082,56319773,85611440,144836374,164210822,145773796,152630875,128164558,95429137,80378766,53400083,54165033,7119331,81075167
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-10927,-16070,4945770,12068489,13006395,17065244,-6230085,-23598379,-16647092,-4164112,-15806014,-9770827,-7399965,-14388530,-11626597,-8238513
74,Depreciation and Amortization,3427,2570,1233356,2184462,2924616,3898278,4386734,3299480,2399263,2127260,1953087,1178427,1239383,1128832,- -,3717095
75,Deferred Income Tax,- -,- -,- -,- -,2488959,131053,-3871464,-254374,1648292,764487,1744952,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,595888,885674,132641,62706,- -,514809,498604,289000,1388501,4592200,- -,5717900
77,Change in Working Capital,7500,12640,-1680718,-10989711,-19189946,-30402926,-30651792,-21515209,10702393,-9456607,10609862,6651993,5040184,5027708,-1014964,-2675213
78,Accounts Receivable,- -,- -,- -,-13681007,-28605681,-52826499,-45499782,4576318,4807707,-11520175,-31302306,-13544355,-4647399,-6032880,- -,-3191711
79,Inventory,- -,- -,211569,-977200,-938086,780312,-528797,857604,-433778,156413,-60840,374676,218252,-99755,- -,- -
80,Accounts Payable,- -,- -,- -,4403314,5633766,23464257,14769037,-7760545,-1443156,13511852,33108245,11783,-12834912,10418874,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-127194,- -,- -,906428,-671631,202663,3194095,-3556647,971235,-236542,- -,3596821
82,Other Non-Cash Items,- -,- -,612516,97888,-18428,5721976,26393646,25071300,8936271,-2756411,6865407,3352063,2181915,2563648,12641561,-1325249
83,Cash Provided by Operating Activities,- -,-860,5110924,3361128,-192516,-2700701,-9840320,-16934476,7039127,-12970574,5865898,1700656,2450018,-1076142,- -,-2803980
84,CAPEX,- -,- -,-8701026,-1771915,-7177729,-2142699,-398257,-331162,-392006,-43633,-208113,-210962,-138151,-135705,-2000000,-66923243
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5272,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-11880800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,78413,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,753022,13395223,-5421137,-9533591,9434160,5131523,- -,- -,- -,600000,-63503143
89,Cash Used for Investing Activites,- -,- -,-8701026,-1771915,-7099316,-13270477,12996966,-5752299,-9925597,9390527,4923410,-210962,-138151,-135705,-1394728,-65523143
90,Debt Repayment,- -,- -,- -,-8024538,-4699119,-75560,-33622159,-30665250,-86287781,-103690711,-86751265,-53307276,-41242539,-5431960,300000,- -
91,Common Stock Issued,- -,860,6397500,- -,11117094,- -,- -,- -,- -,1167552,- -,- -,600000,950000,- -,62341025
92,Common Stock Repurchased,- -,- -,- -,- -,-75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-472851,-543631,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-2020993,8633961,1137227,14192926,31258976,54843047,100680593,93291587,74444124,51059195,39232727,5004627,4495607,5171591
95,Cash Used/Provided by Financing Activities,- -,860,4376507,136572,6936571,14117366,-2363183,24177797,14392812,-9231572,-12307141,-2248081,-1409812,522667,4795607,67512616
96,Effect of Forex Changes on Cash,- -,- -,-300793,-1475,21276,163691,5752,49003,-25171,72424,-167112,-23904,-28043,-62025,-1943,- -
97,Net Change In Cash,- -,- -,485612,1724310,-333985,-1690121,799215,1540025,11481171,-12739195,-1684945,-782291,874012,-751205,- -,-814507
98,Cash at the End of Period,- -,- -,1910495,3634805,3300820,1610699,2409914,3949939,15431110,2691915,1006970,224679,1098691,347486,- -,174189
99,Cash at the Beginning of Period,- -,- -,1424883,1910495,3634805,3300820,1610699,2409914,3949939,15431110,2691915,1006970,224679,1098691,- -,988696
100,Free Cash Flow,- -,-860,-3590102,1589213,-7370245,-4843400,-10238577,-17265638,6647121,-13014207,5657785,1489694,2311867,-1211847,- -,-69727223
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,
