,https://roic.ai/company/LOV,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,39194817,82997817,71908030,371944171,258279000,209801000
48,Accounts Payable,- -,5855875,13783382,11628918,28982212,11127000,11474000
49,Short-Term Debt,- -,5259,7018259,4289636,11965678,20969000,17593000
50,Tax Payable,- -,2474654,3174413,1389842,2888924,6404000,- -
51,Deferred Revenue,- -,18980060,24418744,18993365,41267139,38304000,36973000
52,Other Current Liabilities,- -,5479366,13493054,3833219,22685725,26497000,27042000
53,Total Current Liabilities,- -,30320559,58713439,38745138,104900753,96897000,93082000
54,Long-Term Debt,- -,6152455,- -,9580188,95390492,19037000,64531000
55,Deferred Revenue,- -,89395,27593,5720,4481,- -,- -
56,Deferred Tax Liabilities,- -,977031,869784,1294898,3421005,- -,1077000
57,Other Non-Current Liabilities,- -,27656598,20395,80073,9028587,- -,18418000
58,Total Non-Current Liabilities,- -,34875479,917772,10960879,107844565,19037000,84026000
59,Other Liabilities,- -,- -,- -,- -,- -,117680000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,6582000,- -
61,Total Liabilities,- -,65196037,59631211,49706017,212745318,195540000,177108000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,26293,1580008,1506520,2981898,3064000,3064000
64,Retained Earnings,- -,-28403307,-39087506,-41358957,-60844386,- -,-200403000
65,Other Comprehensive Income/Loss,- -,- -,57578521,57308396,210305583,3296000,6977000
66,Other Total Stockholders Equity,- -,2375794,3295583,4746054,6755758,88543000,223055000
67,Total Stockholders Equity,- -,-26001220,23366605,22202013,159198853,94903000,32693000
68,Total Liabilities And Stockholders Equity,- -,39194817,82997817,71908030,371944171,290443000,209801000
69,Minority Interest,- -,0,- -,- -,-0,-32164000,- -
70,Total Liabilities & Equity,- -,39194817,82997817,71908030,371944171,258279000,209801000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1705338/000162828019004964/0001628280-19-004964-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1705338/000162828021006260/0001628280-21-006260-index.htm,https://www.sec.gov/Archives/edgar/data/1705338/000162828022006384/0001628280-22-006384-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-600223,726726,-6687142,-3549531,-16997491,-46608000,-68155000
74,Depreciation and Amortization,153062,1344075,3699882,4078014,8620844,9384000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,3530000,- -
76,Stock Based Compensation,655981,1042236,585455,4679707,2615602,4780000,- -
77,Change in Working Capital,1405987,-14719890,-19971130,14276449,-55846838,8232583,-777000
78,Accounts Receivable,- -,- -,- -,- -,- -,855000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,751000,- -,-2781000,- -,- -,- -
81,Other Working Capital,2411825,-12308064,-32279195,-18002745,-73849583,-65617000,-66394000
82,Other Non-Cash Items,-12026,18800492,20957286,-9810652,71279448,39631417,68932000
83,Cash Provided by Operating Activities,1602781,7193639,-1415649,9673988,9671566,18950000,- -
84,CAPEX,-470120,-2094990,-5006358,-4039121,-4441482,-2734000,- -
85,Acquisitions Net,- -,-5915822,7871248,- -,-90787705,-513000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4373,-1940390,-2900881,-3682224,-4348508,-2734000,-1086000
89,Cash Used for Investing Activites,-458094,-8010811,2864890,-4039121,-95229187,-3247000,-1086000
90,Debt Repayment,- -,- -,-5999,-10330588,-20838561,-15311000,- -
91,Common Stock Issued,- -,- -,143964,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6156661,-1199702,7689316,111135630,4634000,-19920000
95,Cash Used/Provided by Financing Activities,- -,6156661,-1061737,-2641272,90297070,-10677000,-19920000
96,Effect of Forex Changes on Cash,- -,- -,-207549,301990,138901,-1366000,- -
97,Net Change In Cash,1144688,5339489,179955,3295585,4878349,3660000,- -
98,Cash at the End of Period,3265694,8480922,9854356,12691604,17306658,21117000,- -
99,Cash at the Beginning of Period,2121007,3141433,9674401,9396019,12428309,17457000,21117000
100,Free Cash Flow,1132661,5098650,-6422007,5634866,5230083,16216000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705338/000162828019004964/0001628280-19-004964-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1705338/000162828021006260/0001628280-21-006260-index.htm,https://www.sec.gov/Archives/edgar/data/1705338/000162828022006384/0001628280-22-006384-index.htm
102,false,,,,,,,
