,https://roic.ai/company/ONEM,2017,2018,2019,2020,2021
84,CAPEX,-14024000,-10767000,-54411000,-63707000,-63616000
85,Acquisitions Net,- -,- -,- -,- -,-23257000
86,Purchases of Investments,-48963000,-218592000,-246116000,-963272000,-215289000
87,Sales/Maturities of Investments,58700000,52600000,324250000,513315000,623966000
88,Other Investing Activites,- -,- -,- -,-810000,-30000000
89,Cash Used for Investing Activites,-4287000,-176759000,23723000,-514474000,291804000
90,Debt Repayment,- -,-3300000,-4416000,-12732000,-51000
91,Common Stock Issued,- -,- -,- -,281750000,- -
92,Common Stock Repurchased,- -,-7533000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,2738000,227435000,3040000,335510000,27862000
95,Cash Used/Provided by Financing Activities,2738000,216602000,-1376000,604528000,27811000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-4267000,21433000,-9327000,85676000,231049000
98,Cash at the End of Period,17223000,38656000,29329000,115005000,346054000
99,Cash at the Beginning of Period,21490000,17223000,38656000,29329000,115005000
100,Free Cash Flow,-16742000,-29177000,-86085000,-67301000,-152182000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1404123/000156459020013666/0001564590-20-013666-index.htm,https://www.sec.gov/Archives/edgar/data/1404123/000156459021013897/0001564590-21-013897-index.htm,https://www.sec.gov/Archives/edgar/data/1404123/000140412322000010/0001404123-22-000010-index.htm
102,false,,,,,
