,https://roic.ai/company/MSGE,2017,2018,2019,2020,2021
40,Intangible Assets,- -,297947000,279812000,214227000,235252000
41,Intangible Assets,- -,463505000,445370000,288536000,312939000
42,Investments,- -,116353000,52693000,52622000,45969000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,129558000,121830000,85103000,128169000
45,Total Non-Current Assets,- -,1934423000,1969015000,2292704000,2854992000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,3287771000,3315759000,3719206000,4267341000
48,Accounts Payable,- -,28285000,23974000,17258000,23933000
49,Short-Term Debt,- -,- -,- -,5429000,74272000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,216338000,186883000,189308000,209501000
52,Other Current Liabilities,- -,239240000,263190000,297974000,345371000
53,Total Current Liabilities,- -,483863000,474047000,509969000,653077000
54,Long-Term Debt,- -,101335000,48556000,28126000,879822000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,23345000,22973000,12450000,11972000
57,Other Non-Current Liabilities,- -,189610000,184345000,314821000,262725000
58,Total Non-Current Liabilities,- -,314290000,255874000,355397000,1154519000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,227607000,293273000
61,Total Liabilities,- -,798153000,729921000,865366000,1807596000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,2525031000,2618971000,240000,241000
64,Retained Earnings,- -,-46918000,-46923000,141936000,-270146000
65,Other Comprehensive Income/Loss,- -,-681575000,-732268000,-52000000,-27120000
66,Other Total Stockholders Equity,- -,681575000,732268000,2751461000,2744866000
67,Total Stockholders Equity,- -,2478113000,2572048000,2841637000,2447841000
68,Total Liabilities And Stockholders Equity,- -,3276266000,3301969000,3707003000,4255437000
69,Minority Interest,- -,11505000,13790000,12203000,11904000
70,Total Liabilities & Equity,- -,3287771000,3315759000,3719206000,4267341000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1795250/000179525020000011/0001795250-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1795250/000179525021000015/0001795250-21-000015-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-108545000,6898000,-17894000,17234000,-412082000
74,Depreciation and Amortization,98069000,112058000,109343000,104899000,114664000
75,Deferred Income Tax,-7811000,-31270000,-371000,-10521000,-480000
76,Stock Based Compensation,22182000,27286000,35401000,42190000,52917000
77,Change in Working Capital,24611000,866449000,3212000,43836000,-157261000
78,Accounts Receivable,-16394000,-4067000,-345000,15392000,-25032000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,2016000,5314000,-4311000,-6316000,-5268000
81,Other Working Capital,3036000,869485000,872697000,916533000,759272000
82,Other Non-Cash Items,67809000,-837036000,-37967000,-101607000,112762000
83,Cash Provided by Operating Activities,96315000,144385000,91724000,96031000,-289480000
84,CAPEX,-41831000,-187362000,-184002000,-241905000,-452154000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-23222000,- -,-112693000,-443154000,- -
87,Sales/Maturities of Investments,- -,- -,- -,208204000,361189000
88,Other Investing Activites,-236833000,-169624000,-115370000,-154707000,-445629000
89,Cash Used for Investing Activites,-260055000,-169624000,-228063000,-389657000,-84440000
90,Debt Repayment,- -,-688000,-110463000,-21250000,-8250000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1771000
94,Other Financing Activites,-38625000,16044000,101842000,144188000,643354000
95,Cash Used/Provided by Financing Activities,-38625000,15356000,-8621000,122938000,633333000
96,Effect of Forex Changes on Cash,- -,331000,4669000,2927000,8027000
97,Net Change In Cash,-202365000,-9552000,-140291000,-167761000,267440000
98,Cash at the End of Period,1241908000,1232356000,1092065000,924304000,1191744000
99,Cash at the Beginning of Period,1444273000,1241908000,1232356000,1092065000,924304000
100,Free Cash Flow,54484000,-42977000,-92278000,-145874000,-741634000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1795250/000179525020000011/0001795250-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1795250/000179525021000015/0001795250-21-000015-index.htm
102,false,,,,,
