,https://roic.ai/company/GEVO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-64000,-1231000,-1316000,-2333000,-40000,10725000,-11291000,-1368000,-4267000,-13243000,-1348000,-5775000,-2309000,-13851000,887000
20,Income Before Tax,-7226000,-14542000,-19885000,- -,- -,-60712000,-66806000,-41145000,-36194000,-37228000,-24630000,-27976000,-28660000,-40186000,-59203000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,- -,-2.4897,-8.1233,-1.4556,-1.2010,-1.3680,-0.8945,-0.8513,-1.1704,-7.5680,-83.2672
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7226000,-14542000,-19885000,-40112000,-48214000,-60712000,-66806000,-41145000,-36194000,-37228000,-24630000,-27976000,-28660000,-40186000,-59203000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-2.4465,-0.7469,-2.4897,-8.1233,-1.4556,-1.2010,-1.3680,-0.8945,-0.8513,-1.1704,-7.5680,-83.2672
25,EPS,-3623.87,-7292.88,-9719.95,-10445.69,-12899.94,-11159.94,-8879.96,-3059.98,-1032.00,-193.60,-30.20,-5.74,-2.35,-0.71,-0.30
26,EPS Diluted,-3623.87,-7292.88,-9719.95,-10445.69,-12899.94,-11159.94,-8879.96,-3059.98,-1032.00,-193.60,-30.20,-5.74,-2.35,-0.71,-0.30
27,Weighted Average Shares Outstanding,1994,1994,1994,4106,3818,5436,7511,13415,35062,192371,814796,4876897,12177906,56881586,195794606
28,Weighted Average Shares Outstanding Diluted,1994,1994,1994,4106,3818,5436,7511,13415,35062,192371,814796,4876897,12177906,56881586,195794606
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1392380/000119312512085423/0001193125-12-085423-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000119312513124921/0001193125-13-124921-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459014001500/0001564590-14-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459015002081/0001564590-15-002081-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459016015604/0001564590-16-015604-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459017005692/0001564590-17-005692-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459018006978/0001564590-18-006978-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774919005839/0001437749-19-005839-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774920005495/0001437749-20-005495-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774921006358/0001437749-21-006358-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774922004346/0001437749-22-004346-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9635000,21240000,15274000,94225000,66744000,24625000,6359000,17031000,27888000,11553000,33734000,16302000,78338000,40833000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,275340000
33,Cash and Short-Term Investments,- -,9635000,21240000,15274000,94225000,66744000,24625000,6359000,17031000,27888000,11553000,33734000,16302000,79838000,316173000
34,Net Receivables,- -,- -,99000,2830000,2938000,698000,1358000,2361000,1391000,1122000,1054000,526000,1135000,527000,978000
35,Inventory,- -,- -,- -,3765000,3814000,6659000,3581000,4292000,3487000,3458000,4362000,3166000,3201000,2256000,2751000
36,Other Current Assets,- -,75000,203000,2025000,1757000,1779000,1163000,732000,731000,850000,712000,1284000,3590000,649000,31889000
37,Total Current Assets,- -,9710000,21542000,23894000,102734000,75880000,30727000,13744000,22640000,33318000,17681000,38710000,24228000,83270000,351791000
38,PP&E,- -,3132000,4632000,23465000,28777000,77093000,83475000,81240000,76777000,75592000,70369000,67036000,66696000,66408000,168852000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8938000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8938000
42,Investments,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,3000000,- -,- -,1500000,1500000,64396000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,252000,209000,4250000,1519000,3138000,2153000,944000,711000,414000,803000,1289000,935000,921000,72499000
45,Total Non-Current Assets,- -,3384000,4841000,27715000,30296000,80231000,85628000,85184000,80488000,79006000,71172000,68325000,69131000,68829000,314685000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,13094000,26383000,51609000,133030000,156111000,116355000,98928000,103128000,112324000,88853000,107035000,93359000,152099000,666476000
48,Accounts Payable,- -,388000,591000,4818000,7070000,1211000,6460000,2639000,2691000,2611000,666000,1944000,1474000,897000,4868000
49,Short-Term Debt,- -,1769000,- -,1785000,3491000,8513000,788000,288000,332000,25916000,5224000,394000,14416000,809000,4343000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000,172000,101000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,1000000,1000000,- -,- -,- -,436000,- -,- -,- -,- -
52,Other Current Liabilities,- -,1256000,2912000,5524000,5556000,6045000,12813000,9098000,15278000,6133000,4860000,2952000,4204000,3226000,23420000
53,Total Current Liabilities,- -,3413000,3503000,12127000,16117000,16769000,21061000,12025000,18301000,34660000,11186000,5290000,20094000,4932000,32631000
54,Long-Term Debt,- -,6409000,7701000,18647000,24752000,40999000,23840000,39624000,36354000,8221000,14006000,12554000,233000,457000,86503000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,114000,96000,876000,24000,512000,479000,315000,147000,179000,130000,404000,528000,331000,87000
58,Total Non-Current Liabilities,- -,6523000,7797000,19523000,24776000,41511000,24319000,39939000,36501000,8400000,14136000,12958000,761000,788000,86590000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23884000
61,Total Liabilities,- -,9936000,11300000,31650000,40893000,58280000,45380000,51964000,54802000,43060000,25322000,18248000,20855000,5720000,119221000
62,Preferred Stock,- -,80000,126000,146000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12000,12000,12000,264000,396000,685000,996000,216000,71000,218000,86000,141000,1282000,2020000
64,Retained Earnings,- -,-23137000,-42437000,-85327000,-134635000,-195347000,-262153000,-303298000,-339492000,-376720000,-401350000,-429326000,-457986000,-498172000,-557375000
65,Other Comprehensive Income/Loss,- -,-950000,-2441000,-5629000,-9990000,-13302000,-16559000,-21342000,-27903000,-34630000,-41271000,-47728000,-53391000,- -,-614000
66,Other Total Stockholders Equity,- -,27153000,59823000,110757000,236498000,306084000,349002000,370608000,415505000,480543000,505934000,565755000,583740000,643269000,- -
67,Total Stockholders Equity,- -,3158000,15083000,19959000,92137000,97831000,70975000,46964000,48326000,69264000,63531000,88787000,72504000,146379000,547255000
68,Total Liabilities And Stockholders Equity,- -,13094000,26383000,51609000,133030000,156111000,116355000,98928000,103128000,112324000,88853000,107035000,93359000,152099000,666476000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,13094000,26383000,51609000,133030000,156111000,116355000,98928000,103128000,112324000,88853000,107035000,93359000,152099000,666476000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1392380/000119312512085423/0001193125-12-085423-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000119312513124921/0001193125-13-124921-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459014001500/0001564590-14-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459015002081/0001564590-15-002081-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459016015604/0001564590-16-015604-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459017005692/0001564590-17-005692-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459018006978/0001564590-18-006978-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774919005839/0001437749-19-005839-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774920005495/0001437749-20-005495-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774921006358/0001437749-21-006358-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774922004346/0001437749-22-004346-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-7226000,-14542000,-19885000,-40112000,-48214000,-60712000,-66806000,-41145000,-36194000,-37228000,-24630000,-27976000,-28660000,-40186000,-59203000
74,Depreciation and Amortization,240000,678000,1511000,3188000,4600000,3313000,3393000,4880000,6573000,6747000,6641000,6520000,6656000,5905000,5128000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,55000,207000,945000,10511000,6826000,7979000,3911000,2860000,2647000,886000,421000,571000,1349000,2125000,9874000
77,Change in Working Capital,755000,6297000,11742000,-6272000,74850000,-27506000,-49445000,-7947000,2620000,-5681000,7837000,26925000,-29286000,74204000,-3920000
78,Accounts Receivable,-33000,33000,-99000,-732000,-108000,2240000,-660000,-1003000,970000,269000,68000,528000,-609000,608000,-257000
79,Inventory,- -,- -,- -,-195000,-49000,-2845000,2148000,-711000,805000,29000,-904000,1196000,-35000,945000,-259000
80,Accounts Payable,1246000,309000,806000,- -,- -,-3343000,- -,- -,- -,- -,- -,-313000,1294000,-1511000,-271000
81,Other Working Capital,- -,6297000,18039000,11767000,86617000,59111000,9666000,1719000,4339000,-1342000,6495000,33420000,4134000,78338000,- -
82,Other Non-Cash Items,307000,-4381000,-10412000,11789000,-71673000,8868000,61899000,2362000,-3806000,14760000,-10896000,-21891000,29102000,-61386000,4585000
83,Cash Provided by Operating Activities,-5869000,-11741000,-16099000,-20896000,-33611000,-68058000,-47048000,-38990000,-28160000,-20516000,-20627000,-15851000,-20839000,-19338000,-43536000
84,CAPEX,-1341000,-2360000,-2982000,-806000,-8015000,-52432000,-9806000,-4894000,-1464000,-5938000,-1906000,-2233000,-5989000,-5905000,-68832000
85,Acquisitions Net,- -,- -,- -,-24936000,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,-422362000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79574000
88,Other Investing Activites,-218000,45000,40000,40000,-18000,-607000,2131000,-2611000,144000,- -,- -,- -,1532000,- -,-9170000
89,Cash Used for Investing Activites,-1559000,-2315000,-2942000,-25702000,-8033000,-53039000,-7675000,-7505000,-1320000,-5938000,-1906000,-2233000,-7457000,-5905000,-411620000
90,Debt Repayment,- -,-521000,-622000,-5250000,-1897000,-10406000,-14529000,-9824000,-318000,-504000,-9791000,- -,-292000,-503000,-4642000
91,Common Stock Issued,- -,6000,- -,16000,114922000,62752000,29023000,18019000,33823000,28661000,11044000,39394000,11589000,76414000,489373000
92,Common Stock Repurchased,- -,-210000,-1346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6486000,24353000,32614000,45866000,7570000,41270000,-1890000,20034000,6647000,9154000,4945000,871000,-433000,11368000,28120000
95,Cash Used/Provided by Financing Activities,6486000,23628000,30646000,40632000,120595000,93616000,12604000,28229000,40152000,37311000,6198000,40265000,10864000,87279000,512851000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-942000,9572000,11605000,-5966000,78951000,-27481000,-42119000,-18266000,10672000,10857000,-16335000,22181000,-17432000,62036000,57695000
98,Cash at the End of Period,63000,9635000,21240000,15274000,94225000,66744000,24625000,6359000,17031000,27888000,11553000,33734000,16302000,78338000,136033000
99,Cash at the Beginning of Period,1005000,63000,9635000,21240000,15274000,94225000,66744000,24625000,6359000,17031000,27888000,11553000,33734000,16302000,78338000
100,Free Cash Flow,-7210000,-14101000,-19081000,-21702000,-41626000,-120490000,-56854000,-43884000,-29624000,-26454000,-22533000,-18084000,-26828000,-25243000,-112368000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1392380/000119312512085423/0001193125-12-085423-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000119312513124921/0001193125-13-124921-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459014001500/0001564590-14-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459015002081/0001564590-15-002081-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459016015604/0001564590-16-015604-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459017005692/0001564590-17-005692-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000156459018006978/0001564590-18-006978-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774919005839/0001437749-19-005839-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774920005495/0001437749-20-005495-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774921006358/0001437749-21-006358-index.htm,https://www.sec.gov/Archives/edgar/data/1392380/000143774922004346/0001437749-22-004346-index.htm
102,false,,,,,,,,,,,,,,,
