,https://roic.ai/company/DADA,2017,2018,2019,2020,2021
64,Retained Earnings,-4091770000,-5970145000,-7639926000,-9345102000,-11816229000
65,Other Comprehensive Income/Loss,103132000,140106000,139660000,-70303000,-109790000
66,Other Total Stockholders Equity,-4370369000,-8745092000,-10283959000,16442721000,15714015000
67,Total Stockholders Equity,-2475026000,-4776888000,-7190962000,7027955000,3788629000
68,Total Liabilities And Stockholders Equity,4412064000,5646857000,4286115000,9547026000,5280580000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4412064000,5646857000,4286115000,9547026000,5280580000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-1449090000,-1878375000,-1669781000,-1705176000,- -
74,Depreciation and Amortization,209061000,212241000,215664000,201272000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,60841000,51185000,51168000,360078000,- -
77,Change in Working Capital,68624000,-203292000,93499000,35124000,- -
78,Accounts Receivable,-6943000,-23714000,-7574000,-365350000,- -
79,Inventory,-3549000,-3634000,4001000,-1937000,- -
80,Accounts Payable,987000,1516000,1262000,3922000,- -
81,Other Working Capital,-14837000,-27539000,-9032000,-5143000,- -
82,Other Non-Cash Items,-101060000,-1114000,11612000,495000,- -
83,Cash Provided by Operating Activities,-1211624000,-1819355000,-1297838000,-1108207000,- -
84,CAPEX,-12128000,-32861000,-31762000,-23890000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-2445084000,-7909057000,-4680033000,-7519080000,- -
87,Sales/Maturities of Investments,2348604000,7525887000,4444043000,7313119000,- -
88,Other Investing Activites,-2000000,649000,292000,94000,- -
89,Cash Used for Investing Activites,-110608000,-415382000,-267460000,-229757000,- -
90,Debt Repayment,- -,-354499000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,5284611000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1338319000,3402611000,- -,606939000,- -
95,Cash Used/Provided by Financing Activities,1338319000,3048112000,- -,5891550000,- -
96,Effect of Forex Changes on Cash,-74393000,11363000,-22575000,-188664000,- -
97,Net Change In Cash,-58306000,824738000,-1587873000,4364922000,- -
98,Cash at the End of Period,1919268000,2744006000,1156133000,5521055000,- -
99,Cash at the Beginning of Period,1977574000,1919268000,2744006000,1156133000,- -
100,Free Cash Flow,-1223752000,-1852216000,-1329600000,-1132097000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
