,https://roic.ai/company/FMS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,237892140,282443068,311813368,363588257,200652598,171809829,171573303,212303438,233897388,249197147,298593106,319027047,378374126,429971699,455873781,469431581,575099374,656105741,737799544,735479000,724847000,1593160000,1785899000,- -
15,EBITDA,81999918,369628110,22777667,739675943,537295291,651030032,603677982,663910525,857102985,953880945,1060431837,1497001165,1507590808,1778663812,1995144973,2166624653,2025987693,2321981979,2631408221,2999451404,2866469000,3666321000,3685454000,3860812000,1675000000
16,EBITDA ratio,0.0277,0.1237,0.0060,0.1654,0.0984,0.1344,0.1375,0.1445,0.1499,0.1481,0.1591,0.1964,0.1920,0.1963,0.2021,0.2076,0.1915,0.1783,0.1719,0.1761,0.1612,0.2216,0.2109,0.2162,0.0951
17,Operating Income,- -,416865474,556735071,661004434,426205778,662282702,601426113,628757860,792737857,998731647,1083758276,1201374803,1225335784,1446508980,1600882923,1677551788,1633892019,1854037758,2128168691,2507862369,2362439000,3037798000,2269558000,2304409000,1852290000
18,Operating Income ratio,- -,0.1395,0.1459,0.1478,0.0780,0.1367,0.1370,0.1369,0.1387,0.1551,0.1626,0.1576,0.1561,0.1596,0.1622,0.1608,0.1544,0.1424,0.1390,0.1473,0.1328,0.1836,0.1299,0.1290,0.1051
19,Total Other Income Expenses (Gains),- -,-285129504,-816400473,-233141859,-252498745,-200682140,-169557960,-135545749,-146227738,-266135582,-254490006,-241895248,-209362175,-210580122,-228790036,-216603864,-295871705,-338094400,-358052804,-385596998,-353890000,-301062000,-429444000,-368019000,-280290000
20,Income Before Tax,- -,131735970,-259665402,427862575,173707034,461600562,431868153,493212110,646510119,732596065,829268270,959479555,1015973609,1235928858,1372092886,1460947924,1338020314,1515943358,1770115888,2122265372,2008549000,2736736000,1840114000,1936390000,1572000000
21,Income Before Tax Ratio,- -,0.0441,-0.0680,0.0956,0.0318,0.0953,0.0984,0.1074,0.1131,0.1138,0.1244,0.1259,0.1294,0.1364,0.1390,0.1400,0.1265,0.1164,0.1156,0.1246,0.1129,0.1654,0.1053,0.1084,0.0892
22,Income Tax expense (Gain),- -,115450164,-12664860,202057839,102502840,174216258,168901297,195791337,260679024,313296480,319376737,351370264,342288657,434857606,463776390,457567535,428723250,479927651,569031023,649555887,454015000,511079000,401614000,500558000,353000000
23,Net Income,81999918,16285806,-247000542,225804736,71204194,276161176,262966855,296545885,384120523,406687077,491857953,587319812,621978678,735746932,826448869,897393757,803760140,859584948,941592164,1182147994,1279788000,1981924000,1199619000,1164377000,969000000
24,Net Income ratio,0.0277,0.0054,-0.0647,0.0505,0.0130,0.0570,0.0599,0.0645,0.0672,0.0632,0.0738,0.0770,0.0792,0.0812,0.0837,0.0860,0.0760,0.0660,0.0615,0.0694,0.0720,0.1198,0.0686,0.0652,0.0550
25,EPS,0.18,0.03,-0.52,0.42,0.12,0.48,0.45,0.51,0.66,0.69,0.83,0.99,1.04,1.22,1.37,1.47,1.32,1.42,1.55,1.93,2.08,3.23,1.98,1.98,1.66
26,EPS Diluted,0.18,0.03,-0.52,0.42,0.12,0.48,0.45,0.51,0.65,0.69,0.83,0.99,1.04,1.22,1.37,1.46,1.32,1.42,1.55,1.93,2.08,3.23,1.98,1.98,1.66
27,Weighted Average Shares Outstanding,420000000,420000000,473417143,536898734,420000000,420000000,420000000,466666666,583271795,588752468,590230453,594057450,588837590,601442652,598025488,610217918,607630244,604678248,608880368,611496762,613126800,613083412,605382794,588111050,585889464
28,Weighted Average Shares Outstanding Diluted,420000000,420000000,473417143,539173729,420000000,420000000,420000000,644106794,588300000,591999265,592669421,595248736,596166848,604135698,598025488,613337984,607630244,604678248,608880368,611496762,613126800,613083412,605382794,588111050,585889464
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019600/000115697303000384/0001156973-03-000384-index.htm,https://www.sec.gov/Archives/edgar/data/1019600/000115697304000240/0001156973-04-000240-index.htm,https://www.sec.gov/Archives/edgar/data/1019600/000115697305000249/0001156973-05-000249-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27199854,34544140,68757715,69201387,61745785,38452491,43498039,71831362,120480287,167825530,159172651,210243001,393145953,352823643,520254566,494453448,521256998,502605670,710499026,978109000,2145632000,1007723000,1081539000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138207466,248743616,251316520,3484000,99592000,133322000,161688000,- -
33,Cash and Short-Term Investments,- -,27199854,34544140,68757715,69201387,61745785,38452491,43498039,71831362,120480287,167825530,159172651,210243001,393145953,352823643,520254566,494453448,659464464,751349286,961815546,981593000,2245224000,1141045000,1243227000,- -
34,Net Receivables,- -,544167612,766043146,857094405,1036041592,910690533,1016325845,1117295292,1269687731,1509351818,1458496382,1689421464,1785936558,2020531245,2244690475,2581624530,2645686624,3320149389,3801401962,4148530133,3696467000,3765569000,3969263000,3619040000,- -
35,Inventory,- -,253581084,299430915,340965949,389310061,354716399,353135314,326732488,363807269,396975764,436373814,507902297,573481626,608360034,746471539,783972757,794500775,917386987,1226331310,1340526561,1290779000,1466803000,1663278000,1895310000,- -
36,Other Current Assets,- -,389324556,431619891,416973479,505027835,408872731,343818166,316817331,372468201,558366765,584400335,669149513,730154103,852198197,1050006253,747362727,618073146,633131675,609427897,503528732,405468000,369290000,391560000,517733000,7967000000
37,Total Current Assets,- -,1214273106,1531638092,1683791548,1999580874,1736025449,1751731816,1804343150,2077794563,2585174634,2647096061,3025645925,3299815288,3874235429,4393991909,4633214580,4552713993,5530132516,6388510455,6954400972,6374307000,7846886000,7165146000,7275310000,7967000000
38,PP&E,- -,538454790,638133429,786833277,942491820,874700668,864814598,871883909,1026476637,1305039194,1408635005,1606264271,1688763077,1900270855,2028945807,2223507552,2239131248,2705712425,3133235515,3587721849,3491771000,3836010000,8515396000,8186752000,4316000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5222121468,4969532127,5251000749,5242680475,6120817889,7087959808,8636547148,8442625862,10758261545,11920535115,12994603515,12103921000,12209606000,14017255000,12958728000,- -
40,Intangible Assets,- -,2970582174,3417401325,3700031125,4138262470,3566940027,3073254208,2985538496,3413178899,501109647,473220122,608071937,599683742,520723834,529786351,536947112,548838642,714968830,759615069,805549746,683058000,681331000,1426330000,1381009000,- -
41,Intangible Assets,- -,2970582174,3417401325,3700031125,4138262470,3566940027,3073254208,2985538496,3413178899,5723231115,5442752249,5859072686,5842364217,6641541723,7617746158,9173494261,8991464503,11473230375,12680150184,13800153261,12786979000,12890937000,15443585000,14339737000,15821000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188255459,533931889,481943220,481178504,556591340,589689534,645850463,647009000,649780000,696872000,761113000,- -
43,Tax Assets,- -,- -,- -,28966252,39552641,34060101,28220620,42876175,30098807,47523832,57349020,66665544,45192212,70053019,68019076,101135993,75435658,115995523,128910351,192866484,315168000,345686000,361196000,351152000,- -
44,Other Non-Current Assets,- -,119287134,129487856,166408215,203520995,249361754,239839938,168427835,192662255,222855571,163127321,159751633,166510223,179119122,427935578,268284521,403049621,545015801,433962266,428876382,409894000,672969000,752540000,774972000,6263000000
45,Total Non-Current Assets,- -,3628324098,4185022609,4682238869,5323827925,4725062550,4206129364,4068726415,4662416598,7298649713,7071863595,7691754133,7742829729,8979240177,10676578508,12248365548,12190259534,15396545463,16965947850,18655468439,17650821000,18395382000,25769589000,24413726000,26400000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4842597204,5716660702,6366030417,7323408799,6461087999,5957861180,5873069565,6740211161,9883824347,9718959656,10717400058,11042645017,12853475606,15070570418,16881580128,16742973527,20926677978,23354458305,25609869411,24025128000,26242268000,32934735000,31689036000,34367000000
48,Accounts Payable,- -,127472670,280818222,299401694,313279797,177203819,243391634,225727129,261107089,418856336,364175022,262924652,252945590,316276960,417734916,563811254,482684799,587095139,714213176,841539991,737842000,795052000,835189000,827394000,- -
49,Short-Term Debt,- -,183151368,570303286,525082919,307248896,146145573,166573201,483249004,250033119,375769536,208916002,818619546,338104387,710046238,1324435015,345230840,485461305,371261823,724975065,1301751305,1652814000,2500713000,3257833000,1696785000,2585000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59240063,81645965,88379830,125264229,186131422,191014786,141056121,144275724,212784680,165804000,68229000,101793000,231984000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275134000,- -,- -,606305000,- -
52,Other Current Liabilities,- -,521231058,908077600,655985249,927346008,911103169,711587453,720539268,821383606,1005422049,1502689730,1177212719,1230426704,1823169525,1546647587,1487914901,1605570064,1901228064,2389436747,2646372183,2634103000,2972517000,2914212000,3029160000,4673000000
53,Total Current Liabilities,- -,831855096,1759199108,1480469862,1547874702,1234452561,1121552288,1429515401,1332523814,1800047921,2075780754,2258756916,1821476681,2849492724,3288817517,2396956995,2573716167,2859585027,3828624988,4789663479,5299893000,6268282000,7007234000,6159644000,7258000000
54,Long-Term Debt,- -,921810726,649716051,700420044,826938137,1037984454,882662805,402456078,597011601,2901453382,2746232396,2842743631,3090511741,3240445384,4239520656,5929584852,5610164526,7467256594,7183270419,6848467888,5794872000,5045515000,10524615000,10683232000,10735000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,162005400,166993490,187912768,160546048,161406435,198861637,208218294,253854466,286775815,259599737,306227624,298398839,381135102,453517090,502077716,538348170,661678257,691787542,639218354,467540000,626521000,739702000,785886000,- -
57,Other Non-Current Liabilities,- -,900238428,1129230658,1122407383,1824325092,1330624387,1168005426,1138245404,1189619281,1148527717,740898036,1026726235,925813230,725173715,869237489,1090982988,1151882881,1691226925,2050503996,2438688759,1634637000,1399992000,1435947000,1728964000,2395000000
58,Total Non-Current Liabilities,- -,1984054554,1945940199,2010740195,2811809277,2530015276,2249529868,1748919776,2040485348,4336756915,3746730170,4175697490,4314723810,4346754201,5562275234,7522645557,7300395576,9820161776,9925561957,9926375001,7897049000,7072028000,12700264000,13198082000,13130000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19851123914,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,6278219,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4705038000,4492287000,4749000000
61,Total Liabilities,- -,2815909650,3705139307,3491210058,4359683979,3764467837,3371082156,3178435177,3373009163,6136804836,5822510924,6434454406,6136200491,7196246925,8851092751,9919602551,9874111743,12679746803,13754186945,14716038481,13196942000,13340310000,19707498000,19357726000,20388000000
62,Preferred Stock,- -,- -,- -,- -,- -,66269534,55277192,51547603,62880832,2555688,- -,3045762,3031240,3338436,3434941,3373897,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,195429672,228068842,244351442,257930602,218700897,182225121,169293134,193764079,229288359,- -,- -,- -,- -,- -,283488228,276934398,316785407,354121595,360924601,308111000,307879000,304437000,292877000,- -
64,Retained Earnings,- -,68298066,-215523237,-59650994,-65694787,147324397,300154456,485324098,823515489,1029243823,1294318994,1761608169,2171723479,2900890352,3586615757,4206906629,4618397843,5842686881,7199271481,8402641540,7137255000,8831930000,9454861000,10254913000,- -
65,Other Comprehensive Income/Loss,- -,-273106998,-394768171,-498672044,-653238970,-365333438,-138801208,-50851971,-120549737,-4103649,69189194,-108673349,-34705363,-145902436,-374793529,-372106324,-398724094,-894516333,-1222255585,-1254169370,-1485578000,-1203750000,-1038545000,-2205340000,- -
66,Other Total Stockholders Equity,- -,2036066814,2393743961,3188791955,3424727976,2608195982,2176723669,2026018203,2395429051,2433088824,- -,- -,- -,- -,- -,2640124057,2190878410,2500846924,2712235810,2767968455,3860314000,3822352000,3237160000,2872630000,- -
67,Total Stockholders Equity,- -,2026687554,2011521395,2874820360,2963724820,2675157372,2575579230,2681331067,3355039713,3690073046,3823874084,4282945652,4760737699,5546960290,6096442446,6761786487,6687486558,7765802879,9043373302,10277365226,9820102000,11758411000,11957913000,11215080000,13979000000
68,Total Liabilities And Stockholders Equity,- -,4842597204,5716660702,6366030417,7323408799,6439625208,5946661386,5859766244,6728048875,9826877882,9646385007,10717400058,10896938190,12743207215,14947535197,16681389038,16561598301,20445549681,22797560246,24993403707,23017044000,25098721000,31665411000,30572806000,34367000000
69,Minority Interest,- -,- -,- -,0,- -,21462790,11199793,13303321,12162286,56946465,72574648,- -,145706828,110268391,123035221,200191090,181375226,481128297,556898058,616465704,1008084000,1143547000,1269324000,1116230000,- -
70,Total Liabilities & Equity,- -,4842597204,5716660702,6366030417,7323408799,6461087999,5957861180,5873069565,6740211161,9883824347,9718959656,10717400058,11042645017,12853475606,15070570418,16881580128,16742973527,20926677978,23354458305,25609869411,24025128000,26242268000,32934735000,31689036000,34367000000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019600/000115697303000384/0001156973-03-000384-index.htm,https://www.sec.gov/Archives/edgar/data/1019600/000115697304000240/0001156973-04-000240-index.htm,https://www.sec.gov/Archives/edgar/data/1019600/000115697305000249/0001156973-05-000249-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,16285806,-247000542,225804736,71204194,276161176,262966855,296545885,384120523,406687077,491857953,587319812,621978678,735746932,826448869,897393757,803760140,859584948,941592164,1182147994,1279788000,1981924000,1199619000,1164377000,969000000
74,Depreciation and Amortization,- -,237892140,282443068,311813368,363588257,200652598,171809829,171573303,212303438,233897388,249197147,298593106,319027047,378374126,429971699,455873781,469431581,575099374,656105741,737799544,735479000,724847000,1593160000,1785899000,- -
75,Deferred Income Tax,- -,20122776,-89366566,81914707,-52150548,55700144,72504467,25288408,-3102839,8261852,807269,- -,- -,- -,- -,53279137,11523876,93576344,-41573126,-5351328,-203046000,89171000,64266000,111104000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22899961,23553358,21038914,22429730,20019563,9843779,6995817,11271355,28692548,46811000,10745000,1992000,- -,- -
77,Change in Working Capital,- -,-141626826,311730060,-206866205,91743649,-21412283,-14221077,104735069,-38068249,-3957415,32150842,-301916147,-97361232,-177934879,-306683410,130669310,98613763,-202150890,-15733067,-141234921,1209853000,460514000,-12447000,1235463000,-354000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-173814575,-29310132,-225776021,-195043211,-52327156,-37836957,-227144878,-302990272,-305917557,-86247000,-170490000,-64111000,71695000,- -
79,Inventory,- -,-33509538,-15656168,-24496473,-33943206,-6212411,-18257132,20098092,-8283525,-32241983,-49948483,-67604414,-62071677,13779319,-117190730,-36505683,-39770517,-70523949,-275320892,-63390601,-62692000,-157092000,-117504000,-355831000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178184391,153179278,193456901,526993250,170563581,518741000,368390000,-164767000,1373617000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-16735008,8101999,-51819934,-15270896,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,95838984,90989425,3929955,2431017,12953721,105653632,12540560,10691498,42964811,48738608,123222607,67103270,71468095,143866299,-15418451,80391946,197628733,241113523,232631564,-877074000,-1205290000,-279639000,-63687000,1874000000
83,Cash Provided by Operating Activities,- -,228512880,348795445,416596561,476816570,524055356,598713707,610683224,565944370,687853713,822751819,730119339,934301121,1028693188,1116033187,1541817097,1473565085,1530734325,1792776589,2034685401,2191811000,2061911000,2566951000,4233156000,2489000000
84,CAPEX,- -,-325375056,-159280686,-242800115,-309328130,-227912305,-231269178,-205615022,-265762614,-353987464,-397558373,-493755309,-400354044,-393716645,-461275025,-510628903,-541641741,-766132780,-871618844,-979357593,-944460000,-1057276000,-1124791000,-1051983000,-1683000000
85,Acquisitions Net,- -,- -,-100696766,-292303072,-243563660,-76080360,-73201626,-77082396,-105667929,-3263584499,-176870098,-156519821,-95025858,-464300506,-1369762805,199096199,13235114,6790227,230183336,200231691,415388000,1682975000,59940000,14608000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1420717495,-358994131,-1463026137,-289773435,-549187118,-565694000,-925267000,-2232671000,-355386000,-129000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42241000,144000000
88,Other Investing Activites,- -,86374458,7085723,22065672,27193002,36006066,11772289,13542329,14713790,404123811,41539717,9946136,8187071,12111605,21082604,7309605,14372800,9599408,15922401,16793736,103225000,54529000,11535000,15578000,- -
89,Cash Used for Investing Activites,- -,-239000598,-252891729,-513037516,-525698787,-267986600,-292698515,-269155089,-356716753,-3213448151,-532888754,-640328994,-487192831,-845905546,-1809955227,-1724940594,-873027957,-2212769282,-915286542,-1311519285,-991541000,-245039000,-3285987000,-1334942000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350747464,-595944770,-1001156354,-1028530930,-2885569370,-748374130,-1791515372,-624710036,-1203412580,-1456717000,-1319740000,-4160866000,-4181723000,- -
91,Common Stock Issued,- -,509720148,- -,593957756,7182909,524134,1270448,2671877,67497519,273307118,32190623,- -,- -,- -,- -,- -,25189877,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-52609122,- -,- -,- -,-358507314,-7071631,- -,- -,- -,-5253764,-487306771,- -,- -,-504408528,- -,-365721039,- -,- -,- -,-57938000,-37221000,-599796000,-365988000,- -
93,Dividends Paid,- -,-41950872,-48103411,-54545565,-73933048,-73133777,-85565467,-90075154,-116081649,-116472107,-129222709,-181305424,-161884842,-174415987,-216534736,-205468191,-214454320,-261430711,-240778757,-263550028,-293973000,-324838000,-354636000,-351170000,- -
94,Other Financing Activites,- -,-404246106,-30722024,-373704575,115636852,178448397,-238854546,-245966855,-136967345,2406194618,-131368110,907256955,368279292,1164506629,2361436020,3445168168,718193204,2714954929,-56066829,910948459,1009998000,1000063000,4648665000,2234854000,- -
95,Cash Used/Provided by Financing Activities,- -,10914048,-78825435,165707616,48886713,-252668560,-330221196,-333370133,-185551476,2563029628,-233653961,-112102704,-389550321,-11065712,611961826,354130608,-585166407,662008846,-921555622,-556014149,-798630000,-681736000,-466633000,-2664027000,- -
96,Effect of Forex Changes on Cash,- -,-5457024,-14203247,-37519308,-3381845,-330681,11210910,-383594,-1630363,18583105,2556237,5714395,-1971737,-5067054,31363508,3470683,-19182080,-20205385,-33090569,20860479,-132413000,32387000,47760000,-160371000,- -
97,Net Change In Cash,- -,-5030694,2875034,31747353,-3377350,3069516,-12995095,7774410,22045778,56018295,58765342,-16597964,55586232,166654876,-50596706,174477793,-3811359,-40231496,-77156144,188012446,269227000,1167523000,-1137909000,73816000,- -
98,Cash at the End of Period,- -,27199854,34544140,68757715,69201387,61745785,38452491,43498039,71831362,120480287,167825530,159172651,210243001,393145953,352823643,520254566,494453448,521256998,502605670,710499026,978109000,2145632000,1007723000,1081539000,- -
99,Cash at the Beginning of Period,- -,32230548,31669106,37010362,72578736,58676269,51447586,35723629,49785583,64461992,109060189,175770615,154656769,226491078,403420349,345776773,498264807,561488494,579761814,522486580,708882000,978109000,2145632000,1007723000,- -
100,Free Cash Flow,- -,-96862176,189514759,173796445,167488440,296143051,367444529,405068202,300181756,333866249,425193447,236364030,533947078,634976542,654758162,1031188193,931923344,764601545,921157745,1055327808,1247351000,1004635000,1442160000,3181173000,806000000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019600/000115697303000384/0001156973-03-000384-index.htm,https://www.sec.gov/Archives/edgar/data/1019600/000115697304000240/0001156973-04-000240-index.htm,https://www.sec.gov/Archives/edgar/data/1019600/000115697305000249/0001156973-05-000249-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
