,https://roic.ai/company/ACUR,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,1370000,1760000,3000000,3400000,4000000,5400000,5800000,7600000,13400000,13300000,10000000,8900000,11300000,9000000,10600000,11197000,11182000,8011000,8607000,11289000,9368000,11561000,10826000,11310000,23455000,17335000,16035000,9932000,9739000,13849000,12522000,11602000,10544000,8063000,4325000,3382000,4328000
11,COGS and Expenses,6970000,8030000,9750000,12170000,15370000,20450000,23690000,33850000,47480000,48720000,29210000,25010000,26170000,22690000,21440000,26990000,26830000,22870000,50420000,22990000,10805000,11560000,10830000,11310000,23460000,17340000,16040000,9930000,9740000,14210000,12950000,12588000,11021000,8191000,4029000,5982000,4328000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,25000,59000,36000,18000,268000,780000,147000,42000,32000,79000,- -,- -,- -,- -,4000,172000,13000,- -
13,Interest Expense (Gain),-10000,-30000,80000,50000,-10000,-100000,-850000,-510000,-370000,-630000,-740000,-1310000,-710000,-1140000,-1950000,-4680000,-5490000,-6640000,-17270000,-30750000,-75390000,-636000,1140000,1207000,780000,150000,40000,30000,80000,190000,1212000,1157000,893000,596000,223000,449000,450000
14,Depreciation and Amortization,- -,- -,180000,210000,300000,500000,730000,1100000,1700000,2400000,2400000,2000000,1900000,1700000,1800000,2739000,3153000,3487000,13430000,25624000,30981000,137000,301000,2830000,143000,130000,135000,131000,131000,134000,274000,332000,345000,294000,280000,273000,125000
15,EBITDA,400000,490000,-160000,640000,2570000,1590000,1690000,3660000,3390000,-11670000,-4110000,-3110000,-13310000,-14450000,-12870000,-22001000,-14377000,-15713000,-63430000,-53586000,-114409000,-11420000,-10710000,-9873000,22683000,-13080000,-12525000,10701000,-9610000,-13576000,-11723000,-3500000,-6150000,-31530000,-3339000,-3052000,-633000
16,EBITDA ratio,0.0541,0.0571,-0.0173,0.0512,0.1454,0.0731,0.0641,0.0977,0.0680,-0.3240,-0.1700,-0.1538,-1.0751,-1.5897,-1.4559,-1.9265,-0.7110,-0.9281,-7.7259,-9.3193,-136.2012,-Infinity,-Infinity,-1.5427,0.5104,-3.4063,-3.7840,0.5228,-Infinity,-113.1333,-15.6099,-0.4076,-1.3777,-10.6305,-8.1439,-1.1487,-0.1773
17,Operating Income,420000,560000,-600000,400000,2300000,1300000,2700000,3700000,2400000,-3700000,-5000000,-4800000,-13800000,-13600000,-12700000,-14179000,-8997000,-5939000,-12937000,-17244000,-9965000,-11561000,-10826000,-4906000,20982000,-13500000,-12724000,10534000,-9739000,-14090000,-12199000,-4001000,-6557000,-5225000,-3915000,-725000,-758000
18,Operating Income ratio,0.0568,0.0653,-0.0649,0.0320,0.1302,0.0598,0.1025,0.0988,0.0481,-0.1027,-0.2068,-0.2374,-1.1147,-1.4961,-1.4367,-1.2416,-0.4450,-0.3508,-1.5758,-2.9990,-11.8631,-Infinity,-Infinity,-0.7666,0.4721,-3.5156,-3.8441,0.5146,-Infinity,-117.4167,-16.2437,-0.4659,-1.4689,-1.7616,-9.5488,-0.2729,-0.2123
19,Total Other Income Expenses (Gains),-10000,-40000,180000,-20000,-20000,-110000,-890000,-600000,-380000,-9630000,-770000,990000,-700000,-1410000,-20000,-5881000,-3043000,-6621000,-46653000,-31216000,-60035000,-519000,4856000,-9004000,778000,140000,24000,-4000,69000,190000,-1010000,-988000,-831000,-592000,73000,-3049000,-450000
20,Income Before Tax,410000,520000,-420000,380000,2280000,1190000,1810000,3100000,2020000,-13330000,-5770000,-3810000,-14500000,-15010000,-12720000,-20060000,-12040000,-12560000,-59590000,-48460000,-70000000,-12080000,-5970000,-13910000,21760000,-13360000,-12700000,10530000,-9670000,-13900000,-13209000,-4989000,-7388000,-5817000,-3842000,-3774000,-1208000
21,Income Before Tax Ratio,0.0555,0.0606,-0.0454,0.0304,0.1290,0.0547,0.0687,0.0828,0.0405,-0.3701,-0.2386,-0.1884,-1.1712,-1.6513,-1.4389,-1.7566,-0.5955,-0.7419,-7.2582,-8.4278,-83.3333,-Infinity,-Infinity,-2.1734,0.4896,-3.4792,-3.8369,0.5144,-Infinity,-115.8333,-17.5885,-0.5810,-1.6550,-1.9612,-9.3707,-1.4204,-0.3384
22,Income Tax expense (Gain),150000,190000,-280000,130000,990000,490000,810000,1340000,1130000,-2540000,- -,300000,- -,- -,- -,- -,-390000,- -,- -,- -,- -,- -,- -,-9600000,7290000,2480000,10000,150000,- -,- -,- -,- -,- -,-26738000,- -,- -,- -
23,Net Income,260000,330000,-140000,250000,1290000,700000,1000000,1730000,930000,-10900000,-5770000,-4100000,-14500000,-15010000,-12720000,-20060000,-11650000,-12560000,-59590000,-48460000,-70000000,-12080000,-5970000,-4310000,14470000,-15840000,-12710000,10390000,-9670000,-13900000,-13209000,-4989000,-7388000,-5682000,-3842000,-3774000,-1208000
24,Net Income ratio,0.0352,0.0385,-0.0151,0.0200,0.0730,0.0322,0.0380,0.0462,0.0186,-0.3026,-0.2386,-0.2028,-1.1712,-1.6513,-1.4389,-1.7566,-0.5762,-0.7419,-7.2582,-8.4278,-83.3333,-Infinity,-Infinity,-0.6734,0.3256,-4.1250,-3.8399,0.5076,-Infinity,-115.8333,-17.5885,-0.5810,-1.6550,-1.9157,-9.3707,-1.4204,-0.3384
25,EPS,4.33,5.50,-1.50,2.50,11.50,5.50,8.00,13.00,6.50,-78.50,-40.00,-23.50,-74.50,-56.00,-46.00,-70.00,-40.00,-42.00,-195.00,-114.00,-160.00,-9.00,-4.00,-0.55,1.60,-1.75,-1.35,1.10,-1.00,-1.45,-1.35,-0.46,-0.62,-0.36,-0.18,-0.14,-0.04
26,EPS Diluted,4.33,5.50,-1.50,2.50,11.50,5.50,8.00,13.00,6.50,-78.50,-40.00,-23.50,-74.50,-56.00,-46.00,-70.00,-40.00,-42.00,-195.00,-114.00,-160.00,-9.00,-4.00,-0.55,1.45,-1.75,-1.35,1.10,-1.00,-1.45,-1.35,-0.46,-0.62,-0.36,-0.18,-0.14,-0.04
27,Weighted Average Shares Outstanding,60000,60000,105500,80000,113043,127273,125000,130769,138462,138854,145000,174468,194482,268680,276260,286520,290060,300420,305240,424540,437220,1331460,6899180,7831400,9135000,9186400,9405800,9499200,9504200,9552800,9778600,10796000,11870000,15903000,21146000,26720000,32320000
28,Weighted Average Shares Outstanding Diluted,60000,60000,105500,80000,113043,127273,125000,130769,138462,138854,145000,174468,194482,268680,276260,286520,290060,300420,305240,424540,5560404,1331460,6899180,7831400,9883200,9186400,9405800,9601400,9504200,9552800,9778600,10796000,11870000,15903000,21146000,26720000,32320000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/786947/000100547797001000/0001005477-97-001000-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/786947/000114420406007151/v035705_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420407012867/v068376_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420408013490/v105388_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420409011488/0001144204-09-011488-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420410010996/0001144204-10-010996-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420411011981/v212664_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420412012928/0001144204-12-012928-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420413012648/0001144204-13-012648-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420414012919/v367838_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420415013292/v400005_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420416085018/0001144204-16-085018-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420417018146/0001144204-17-018146-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420418033269/tv490022_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420419044723/tv528338_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000110465920040632/0001104659-20-040632-index.html,https://www.sec.gov/Archives/edgar/data/786947/000110465921044760/0001104659-21-044760-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,170000,1680000,1100000,540000,470000,830000,240000,170000,30000,30000,350000,120000,30000,1850000,790000,700000,440000,9210000,940000,3100000,260000,230000,31370000,30400000,30170000,24050000,35690000,7480000,12340000,774000,- -,2681000,2220000,91000,862000,413000
32,Short-Term Investments,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5040000,- -,- -,- -,19950000,13730000,- -,- -,- -,11322000,10837000,- -,- -
33,Cash and Short-Term Investments,- -,170000,1680000,1100000,540000,970000,830000,240000,170000,30000,30000,350000,120000,30000,1850000,790000,700000,440000,9210000,940000,3100000,260000,230000,31370000,35440000,30170000,24050000,35690000,27430000,26070000,774000,10837000,2681000,13542000,10928000,862000,413000
34,Net Receivables,- -,1310000,1570000,1870000,2310000,3750000,4180000,6160000,7340000,3260000,2330000,1690000,1230000,60000,1440000,2720000,4130000,370000,610000,470000,- -,- -,- -,2980000,3530000,360000,140000,150000,40000,310000,142000,120000,152000,71000,204000,194000,- -
35,Inventory,- -,2370000,2500000,3640000,4790000,5800000,7560000,10060000,13310000,9220000,6840000,7720000,3760000,2460000,6350000,3500000,2770000,2730000,2290000,310000,- -,- -,- -,- -,- -,- -,- -,- -,220000,250000,- -,- -,304000,276000,309000,- -,- -
36,Other Current Assets,- -,50000,560000,110000,160000,490000,340000,440000,990000,930000,780000,650000,240000,270000,150000,210000,540000,240000,390000,400000,310000,180000,240000,10230000,2920000,230000,250000,290000,300000,820000,12315000,3178000,2773000,-11323000,-10980000,122000,766000
37,Total Current Assets,- -,3900000,6310000,6720000,7800000,11010000,12910000,16900000,21810000,13440000,9980000,10410000,5350000,2820000,9790000,7220000,8140000,3780000,12500000,2120000,3410000,440000,470000,44580000,41890000,30760000,24440000,36130000,27990000,27450000,13231000,14135000,5910000,2566000,461000,1178000,1179000
38,PP&E,- -,500000,700000,1000000,2100000,4500000,6900000,8400000,10400000,10300000,8600000,7400000,6200000,4600000,4800000,3013000,5332000,5998000,5367000,3394000,1555000,1341000,1145000,1046000,1073000,1160000,1052000,1044000,1052000,941000,957000,1013000,867000,679000,606000,540000,484000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1845000,1638000,1431000,1224000,1017000,810000,73000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1845000,1638000,1431000,1224000,1017000,810000,73000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,150000,- -,- -,- -,80000,420000,610000,760000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-10000,- -,70000,20000,-110000,-70000,650000,410000,940000,700000,2950000,430000,250000,1320000,2267000,1738000,1292000,1493000,1106000,5000,9000,5000,4000,-3000,- -,-2000,-4000,8000,239000,- -,175000,- -,135000,68000,34000,- -
45,Total Non-Current Assets,- -,640000,700000,1070000,2120000,4470000,7250000,9660000,11570000,11240000,9300000,10350000,6630000,4850000,6120000,5280000,7070000,7290000,6860000,4500000,1560000,1350000,1150000,1050000,1070000,1160000,1050000,1040000,1060000,1180000,2802000,2826000,2298000,2038000,1691000,1384000,557000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4540000,7010000,7790000,9920000,15480000,20160000,26560000,33380000,24680000,19280000,20760000,11980000,7670000,15910000,12500000,15210000,11070000,19360000,6620000,4970000,1790000,1620000,45630000,42960000,31920000,25490000,37170000,29050000,28630000,16033000,16961000,8208000,4604000,2152000,2562000,1736000
48,Accounts Payable,- -,1230000,1350000,1930000,1780000,2380000,3910000,7500000,8800000,7670000,4410000,2550000,4530000,6090000,1830000,2280000,2670000,2980000,3120000,1900000,- -,- -,- -,- -,380000,- -,- -,50000,990000,270000,217000,110000,77000,3000,605000,237000,31000
49,Short-Term Debt,- -,500000,200000,- -,300000,4300000,5300000,5500000,6200000,5400000,7100000,11200000,7300000,9700000,10900000,4038000,1844000,2568000,33000,45000,29000,2581000,28780000,- -,- -,- -,- -,- -,- -,- -,1758000,2320000,2376000,2694000,- -,- -,6164000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -,28000,21000,17000,30000,20000,23000,26000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,2491000,1555000,466000,- -,- -,287000,353000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,200000,110000,230000,980000,750000,1030000,1550000,3350000,3170000,2920000,4060000,5730000,9740000,3730000,6082000,6186000,6502000,3417000,3945000,961000,339000,330000,12680000,3029000,455000,684000,480000,430000,553000,664000,814000,1034000,1934000,830000,837000,1327000
53,Total Current Liabilities,- -,1930000,1660000,2160000,3060000,7430000,10240000,14550000,18350000,16240000,14430000,17810000,17560000,25530000,16460000,12400000,10700000,12050000,6570000,5890000,990000,2920000,29110000,22280000,5900000,2010000,1150000,530000,1420000,1110000,2992000,3244000,3487000,4631000,1435000,1074000,7522000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,440000,250000,90000,- -,2490000,2600000,1510000,- -,26190000,41100000,56780000,63680000,24600000,52660000,5060000,5030000,10000,- -,- -,- -,- -,- -,- -,9600000,7799000,5430000,2979000,- -,4224000,6000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4632000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,140000,- -,- -,- -,90000,410000,650000,910000,4520000,3000000,-10000,-10000,1990000,2220000,1370000,1080000,780000,460000,140000,- -,- -,10780000,-2000,- -,- -,- -,- -,10000,- -,190000,387000,559000,- -,110000,229000,105000
58,Total Non-Current Liabilities,- -,140000,- -,- -,- -,90000,850000,900000,1000000,4520000,5490000,2590000,1500000,1990000,28410000,42470000,57860000,64460000,25060000,52800000,5060000,5030000,10790000,4630000,- -,- -,- -,- -,- -,9600000,7989000,5817000,3538000,- -,4334000,6229000,105000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,- -,64000,32000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2070000,1660000,2160000,3060000,7520000,11090000,15450000,19350000,20760000,19920000,20400000,19060000,27520000,44870000,54870000,68560000,76510000,31630000,58690000,6050000,7950000,39900000,26910000,5900000,2010000,1150000,530000,1420000,10710000,10981000,9061000,7025000,4631000,5769000,7303000,7627000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,30000,50000,50000,50000,60000,60000,60000,70000,70000,80000,90000,130000,140000,140000,150000,150000,150000,210000,220000,230000,3290000,3310000,430000,430000,440000,440000,450000,460000,480000,98000,118000,118000,208000,210000,213000,216000
64,Retained Earnings,- -,2060000,1920000,2160000,2910000,2130000,3130000,4860000,5790000,-5120000,-10890000,-13090000,-29480000,-44500000,-57220000,-77280000,-88940000,-101500000,-161090000,-209550000,-279540000,-291620000,-317540000,-321860000,-307390000,-323220000,-335930000,-325540000,-335210000,-349110000,-362321000,-367310000,-374698000,-380380000,-384222000,-387996000,- -
65,Other Comprehensive Income/Loss,- -,-1220000,-1400000,-1610000,-1910000,-2400000,-3510000,-4620000,-6110000,-7900000,-9550000,- -,-12660000,-14080000,-14390000,-11000000,-9920000,-8900000,-8220000,-9020000,-4300000,-5724000,-3200000,-1760000,-1310000,-1400000,-1320000,-1440000,-40000,19000,-13000,-65000,- -,-1741000,-1940000,- -,- -
66,Other Total Stockholders Equity,- -,1600000,4830000,5000000,5850000,8210000,9420000,10800000,14250000,16850000,19760000,13400000,34910000,38540000,42470000,45756000,45361000,44814000,156832000,166283000,280345000,287892000,279150000,341910000,345334000,354090000,361151000,363173000,362420000,366534000,367288000,375157000,375763000,381886000,382335000,383042000,-6107000
67,Total Stockholders Equity,- -,2470000,5400000,5600000,6900000,8000000,9100000,11100000,14000000,3900000,-600000,400000,-7100000,-19900000,-29000000,-42374000,-53349000,-65436000,-12268000,-52067000,-1085000,-6162000,-38280000,18720000,37064000,29910000,24341000,36643000,27630000,17923000,5052000,7900000,1183000,-27000,-3617000,-4741000,-5891000
68,Total Liabilities And Stockholders Equity,- -,4540000,7060000,7760000,9960000,15520000,20190000,26550000,33350000,24660000,19320000,20800000,11960000,7620000,15870000,12496000,15211000,11074000,19362000,6623000,4965000,1788000,1620000,45630000,42964000,31920000,25491000,37173000,29050000,28633000,16033000,16961000,8208000,4604000,2152000,2562000,1736000
69,Minority Interest,- -,- -,-50000,30000,-40000,-40000,-30000,10000,30000,20000,-40000,-40000,20000,50000,40000,4000,-1000,-4000,-2000,-3000,5000,2000,- -,- -,-4000,- -,-1000,-3000,- -,-3000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4540000,7010000,7790000,9920000,15480000,20160000,26560000,33380000,24680000,19280000,20760000,11980000,7670000,15910000,12500000,15210000,11070000,19360000,6620000,4970000,1790000,1620000,45630000,42960000,31920000,25490000,37170000,29050000,28630000,16033000,16961000,8208000,4604000,2152000,2562000,1736000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/786947/000100547797001000/0001005477-97-001000-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/786947/000114420406007151/v035705_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420407012867/v068376_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420408013490/v105388_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420409011488/0001144204-09-011488-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420410010996/0001144204-10-010996-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420411011981/v212664_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420412012928/0001144204-12-012928-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420413012648/0001144204-13-012648-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420414012919/v367838_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420415013292/v400005_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420416085018/0001144204-16-085018-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420417018146/0001144204-17-018146-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420418033269/tv490022_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420419044723/tv528338_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000110465920040632/0001104659-20-040632-index.html,https://www.sec.gov/Archives/edgar/data/786947/000110465921044760/0001104659-21-044760-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-140000,250000,1290000,700000,1000000,1730000,930000,-10900000,-5770000,-4100000,-14500000,-15010000,-12720000,-20060000,-11650000,-12560000,-59590000,-48460000,-70000000,-12080000,-5970000,-4310000,14470000,-15840000,-12710000,10390000,-9670000,-13900000,-13209000,-4989000,-7388000,-5682000,-3842000,-3774000,-1208000
74,Depreciation and Amortization,- -,- -,180000,210000,300000,500000,730000,1100000,1700000,2400000,2400000,2000000,1900000,1700000,1800000,2739000,3153000,3487000,13430000,25624000,30981000,137000,301000,2830000,143000,130000,135000,131000,131000,134000,274000,332000,345000,294000,280000,273000,125000
75,Deferred Income Tax,- -,- -,- -,-70000,- -,- -,- -,200000,-200000,-700000,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9600000,7109000,2479000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3850000,9204000,6746000,2458000,1733000,1215000,890000,606000,588000,464000,218000,108000,36000
77,Change in Working Capital,- -,- -,- -,-90000,180000,-1160000,-910000,-320000,1110000,-6260000,-1650000,-2950000,-4810000,-10500000,16040000,1490000,2620000,-5710000,14200000,-9700000,6190000,-4900000,-26160000,50940000,13690000,-7240000,-5460000,12310000,-9030000,-230000,-16101000,652000,-8468000,-4488000,1091000,1078000,-6447000
78,Accounts Receivable,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-194000,118000,-69000,19000,23000,- -,- -,- -
79,Inventory,- -,- -,- -,-1140000,- -,- -,- -,-2100000,-4300000,4100000,2400000,-900000,2900000,1300000,-3900000,2852000,732000,40000,444000,28000,312000,- -,- -,- -,- -,- -,- -,- -,-219000,-282000,-254000,-302000,-59000,103000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-580000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,941000,-720000,-57000,-107000,-33000,-74000,602000,-368000,-206000
81,Other Working Capital,- -,- -,4650000,4560000,4740000,3580000,2670000,2350000,3460000,-2800000,-4450000,-7400000,-12210000,-22710000,-6670000,-5180000,-2560000,-8270000,5930000,-3770000,2420000,-2480000,-28640000,22300000,35990000,28750000,23290000,35600000,26570000,26340000,10239000,10891000,2423000,-2065000,-974000,104000,-6343000
82,Other Non-Cash Items,- -,- -,-40000,-190000,-1770000,-40000,-820000,-510000,-2840000,16660000,4620000,-1750000,13610000,18610000,-29820000,3876000,-851000,12693000,19501000,16451000,23336000,11316000,26446000,-20640000,-35071000,6064000,4809000,-12977000,9798000,-897000,17102000,-289000,9360000,4902000,-1655000,1697000,6775000
83,Cash Provided by Operating Activities,- -,- -,- -,110000,- -,- -,- -,2200000,700000,1200000,-400000,-6500000,-3800000,-5200000,-24700000,-11955000,-6728000,-2090000,-12459000,-16085000,-9493000,-5527000,-5383000,19220000,4191000,-5203000,-6480000,12312000,-7038000,-13678000,-11044000,-3688000,-5563000,-4510000,-3908000,-618000,-719000
