,https://roic.ai/company/NWCN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,Net Income ratio,-Infinity,-861934.0000,-Infinity,Infinity,-7.9459,-2.2940,-1.0059,-0.6999,-12.8692,-29.4880,-1.1793,-1.1716,-0.6594,-4.3680,-3.6343,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
25,EPS,-90.71,-111.19,-60.00,2.74,-16.50,-6.75,-6.75,-21.00,-62.25,-9.00,-0.75,-0.30,-0.15,-0.60,-0.30,-0.11,-0.12,-0.10,-0.10,-0.10,0.56
26,EPS Diluted,-90.71,-111.19,-60.00,2.74,-16.50,-6.75,-6.75,-21.00,-62.25,-9.00,-0.75,-0.30,-0.15,-0.60,-0.30,-0.11,-0.12,-0.10,-0.10,-0.10,0.56
27,Weighted Average Shares Outstanding,7752,7752,7752,13027,274322,289994,699863,914085,954261,4238448,5633962,5798043,6459720,7016953,7669893,8003289,8041995,8041995,8442113,8762339,8774263
28,Weighted Average Shares Outstanding Diluted,7752,7752,7752,13027,274322,290470,699863,914085,954261,4238448,5633962,5798043,6459720,7016953,7669893,8003289,8041995,8041995,8442113,8762339,8774263
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934796/000121465908002323/0001214659-08-002323-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465909000703/0001214659-09-000703-index.html,https://www.sec.gov/Archives/edgar/data/934796/000121465910000911/0001214659-10-000911-index.html,- -,https://www.sec.gov/Archives/edgar/data/934796/000121465912001689/0001214659-12-001689-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465913002634/0001214659-13-002634-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465914002343/0001214659-14-002343-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465915003070/0001214659-15-003070-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465917002543/0001214659-17-002543-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465917002551/0001214659-17-002551-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465918002800/0001214659-18-002800-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465919002395/0001214659-19-002395-index.html,https://www.sec.gov/Archives/edgar/data/934796/000121465920002976/0001214659-20-002976-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465921003568/0001214659-21-003568-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,179,5020,66742,85919,2898523,2233528,7717131,1969549,170621,65623,21008,111889,22645,6790,8512,6124,22684,5510,5967
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123077,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,179,5020,66742,85919,2898523,2233528,7717131,1969549,293698,65623,21008,111889,22645,6790,8512,6124,22684,5510,5967
34,Net Receivables,- -,- -,- -,8000,159502,192619,394762,1093142,217402,90065,398994,146140,719041,759977,11926,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,4250,117254,130334,355661,16737877,1048244,1014146,594608,408085,743381,333360,151571,101157,101829,101047,100254,100000,100000
37,Total Current Assets,- -,- -,179,17270,343498,408872,3648946,20064547,8982777,3073760,1287300,619848,1483430,1205226,186142,107947,110341,107171,122938,105510,105967
38,PP&E,- -,- -,- -,274,46409,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,10,10,663630,429414,6790902,6114550,449307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,10,10,663630,429414,6790902,6114550,449307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1,- -,2869053,2451317,87286,928246,3640582,1581682,687313,363596,256121,83160,38528,16643,896,2577,1316,438,- -
45,Total Non-Current Assets,- -,- -,11,284,3579092,2880731,6878188,7042796,4089889,1581682,687313,363596,256121,83160,38528,16643,896,2577,1316,438,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599
47,Total Assets,- -,- -,190,17554,3922590,3289603,10527134,27107343,13072666,4655442,1974613,983444,1739551,1288386,224670,124590,111237,109748,124254,105948,106566
48,Accounts Payable,- -,- -,138467,5503,138630,649514,1005005,1303941,801627,123649,26538,131526,15200,9088,29580,7982,9831,- -,- -,- -,4261650
49,Short-Term Debt,- -,- -,83326,- -,- -,9359,3120,4740796,- -,- -,- -,4812080,741757,5686096,2093953,7501389,7656852,7822435,7916600,7951765,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479920,117829,10834,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,3714227,639130,3655,2190300,4779232,2168065,1168300,1096256,2292183,3102496,2401889,2356717,3108970,3721400,4033084,4796955,2973211
53,Total Current Liabilities,- -,- -,221793,5503,3852857,1298003,1011780,8235037,5580859,2291714,1194838,6039862,3529060,8915509,4536256,9866088,10775653,11543835,11949684,12748720,7234861
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,12545456,30848024,3854934,4304311,- -,2201797,- -,5000000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,12479,3120,- -,- -,- -,- -,- -,- -,40983,29748,17604,4552,- -,- -,- -,- -,645000
58,Total Non-Current Liabilities,- -,- -,- -,- -,12479,3120,- -,12545456,30848024,3854934,4304311,- -,2242780,29748,5017604,4552,- -,- -,- -,- -,645000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,3120,- -,- -,- -,- -,- -,- -,51311,40984,29748,17604,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,221793,5503,3865336,1301123,1011780,20780493,36428883,6146648,5499149,6039862,5771840,8945257,9553860,9870640,10775653,11543835,11949684,12748720,7879861
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,36805,41755,21668,21847,67301,69152,71642,423122,422522,96504,103604,106419,115784,8042,8042,8042,8731,8773,8773
64,Retained Earnings,- -,- -,-3631581,-3595880,-4002319,-6053774,-10522480,-29829059,-84653932,-122013120,-124924004,-126719052,-127929681,-131823174,-134308106,-135144882,-136083041,-136853001,-137671203,-138564904,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-574852,-48322,-76929,-133141,-3909145,-4177969,-3680690,-4012807,-968098,-152765,-60078,-55098,-13153,-4296,-5557,-6435,1704239
66,Other Total Stockholders Equity,- -,- -,3373173,- -,- -,8069045,19957360,35872024,65135218,124276761,124657636,125578937,124761886,124212649,124923210,125445888,125423736,125415168,125842599,125919794,-9486307
67,Total Stockholders Equity,- -,- -,-221603,12051,57254,1988796,9425252,5978976,-23356217,-1491206,-3524536,-5056418,-4032289,-7656871,-9329190,-9746050,-10664416,-11434087,-11825430,-12642772,-7773295
68,Total Liabilities And Stockholders Equity,- -,- -,190,17554,3922590,3289919,10437032,26759469,13072666,4655442,1974613,983444,1739551,1288386,224670,124590,111237,109748,124254,105948,106566
69,Minority Interest,- -,- -,- -,- -,- -,-316,90102,347874,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,190,17554,3922590,3289603,10527134,27107343,13072666,4655442,1974613,983444,1739551,1288386,224670,124590,111237,109748,124254,105948,106566
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934796/000121465908002323/0001214659-08-002323-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465909000703/0001214659-09-000703-index.html,https://www.sec.gov/Archives/edgar/data/934796/000121465910000911/0001214659-10-000911-index.html,- -,https://www.sec.gov/Archives/edgar/data/934796/000121465912001689/0001214659-12-001689-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465913002634/0001214659-13-002634-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465914002343/0001214659-14-002343-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465915003070/0001214659-15-003070-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465917002543/0001214659-17-002543-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465917002551/0001214659-17-002551-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465918002800/0001214659-18-002800-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465919002395/0001214659-19-002395-index.html,https://www.sec.gov/Archives/edgar/data/934796/000121465920002976/0001214659-20-002976-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465921003568/0001214659-21-003568-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-703149,-861934,-415195,35701,-4516397,-2051455,-4468706,-19306579,-59484833,-37359188,-2603384,-2102548,-1210629,-3893493,-2484932,-836776,-938159,-769960,-818202,-893701,4869156000
74,Depreciation and Amortization,65260,69202,- -,23,49726,256466,289148,5394986,7546010,19450801,786361,828206,1279340,106497,43831,15975,11901,951,1261,878,456
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,3329213,878669,681681,403178,525190,287832,80764,371309,20000,- -,20337,3638,- -
77,Change in Working Capital,13397,- -,- -,-196934,-124644,2620228,3526297,9192344,-8427592,-2619872,-689584,-5512476,3374384,-5664653,3360169,-5408027,-907171,-771352,-390082,-816464,5514316
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-766282,548509,-317274,252854,-572901,-40936,748051,-5,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158943
81,Other Working Capital,- -,- -,- -,- -,- -,-889131,2637166,11829510,3401918,782046,92462,-5420014,-2045630,-7710283,-4350114,-9758141,-10665312,-11436664,-11826746,-12643210,-7128894
82,Other Non-Cash Items,98000,675977,124586,- -,4338093,-1081756,-1665105,-16600967,39092634,14221317,272523,5995362,-4551038,8555393,-2318237,5447702,1673654,1374732,702559,1580589,-4875336465
83,Cash Provided by Operating Activities,-526492,-116755,-290609,-161210,-253222,-256517,-2318366,-21320216,-17944568,-5428273,-1552403,-388278,-582753,-608424,-1318405,-409817,-139775,-165629,-484127,-125060,-665693
84,CAPEX,-35888,- -,- -,- -,-12165,-7028,-6090888,-207371,-3518408,-128489,-56618,-35309,-170314,-1719,-14268,-1535,- -,-2632,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-232050,- -,- -,- -,-807959,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48351,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-80001,-296,-166667,- -,3000000,-315948,-3170849,74125,-211591,53633,3194,412,30126,- -,3846,- -,- -,- -,-617
89,Cash Used for Investing Activites,-35888,- -,-312051,-296,-178832,-7028,-3898847,-523319,-6689257,-54364,-268209,66675,-167120,-1307,15858,-1535,3846,-2632,- -,- -,-617
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,-168124,-548873,-82251,-202354,-12144,-17604,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,4950,- -,- -,9658045,1522500,- -,- -,- -,- -,- -,- -,750000,- -,- -,- -,406706,72750,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,553813,161397,400717,282722,-631708,19596880,33900000,-250000,- -,397868,1262525,807933,663387,407436,155462,165584,94165,35165,666446
95,Cash Used/Provided by Financing Activities,- -,- -,553813,166347,400717,282722,9026337,21119380,28900000,-250000,- -,229744,713652,725682,1211033,395292,137858,165584,500871,107915,666446
96,Effect of Forex Changes on Cash,3612,-1225,11900,- -,- -,- -,3480,59160,1217428,-14945,21684,-13139,-8394,-25070,2270,205,-207,289,-184,-29,321
97,Net Change In Cash,-558768,-117980,-36947,4841,-31337,19177,2812604,-664995,5483603,-5747582,-1798928,-104998,-44615,90881,-89244,-15855,1722,-2388,16560,-17174,457
98,Cash at the End of Period,155106,37126,179,5020,66742,85919,2898523,2233528,7717131,1969549,170621,65623,21008,111889,22645,6790,8512,6124,22684,5510,5967
99,Cash at the Beginning of Period,713874,155106,37126,179,98079,66742,85919,2898523,2233528,7717131,1969549,170621,65623,21008,111889,22645,6790,8512,6124,22684,5510
100,Free Cash Flow,-562380,-116755,-290609,-161210,-265387,-263545,-8409254,-21527587,-21462976,-5556762,-1609021,-423587,-753067,-610143,-1332673,-411352,-139775,-168261,-484127,-125060,-665693
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934796/000121465908002323/0001214659-08-002323-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465909000703/0001214659-09-000703-index.html,https://www.sec.gov/Archives/edgar/data/934796/000121465910000911/0001214659-10-000911-index.html,- -,https://www.sec.gov/Archives/edgar/data/934796/000121465912001689/0001214659-12-001689-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465913002634/0001214659-13-002634-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465914002343/0001214659-14-002343-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465915003070/0001214659-15-003070-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465917002543/0001214659-17-002543-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465917002551/0001214659-17-002551-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465918002800/0001214659-18-002800-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465919002395/0001214659-19-002395-index.html,https://www.sec.gov/Archives/edgar/data/934796/000121465920002976/0001214659-20-002976-index.htm,https://www.sec.gov/Archives/edgar/data/934796/000121465921003568/0001214659-21-003568-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
