,https://roic.ai/company/DEA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,-471000,25302000,-16773000,-1096000,17105000,-2418000,2182000,-70461000,-537672000,1964000
78,Accounts Receivable,- -,- -,- -,-5199000,-4805000,-4952000,-5072000,-8838000,1751000,-8675000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2813000,28115000,11342000,10246000,27351000,24933000,27115000,-43346000,-581018000,557000
82,Other Non-Cash Items,-29576000,-65534000,-8019000,4045000,-15538000,-2118000,-5953000,114541000,578906000,-9304000
83,Cash Provided by Operating Activities,-32690000,-44546000,-22396000,29950000,47377000,49231000,62782000,142315000,145197000,118344000
84,CAPEX,- -,- -,- -,-170641000,-170281000,-395874000,-466743000,-442341000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131568000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-164552000,-170191000,-397747000,-466743000,-442341000,-290175000,-231474000
89,Cash Used for Investing Activites,- -,- -,- -,-164552000,-170191000,-397747000,-466743000,-442341000,-290175000,-363042000
90,Debt Repayment,- -,- -,- -,-2163000,-32357000,-276394000,-131189000,-475141000,-197064000,-535233000
91,Common Stock Issued,1181000,917000,365000,269183000,110032000,126331000,297805000,258556000,162023000,175929000
92,Common Stock Repurchased,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-16000,-23000,-59000,-26929000,-40294000,-49180000,-65956000,-81894000,-91748000,-99994000
94,Other Financing Activites,31173000,46295000,50163000,-128749000,82102000,555596000,298205000,602949000,270887000,709470000
95,Cash Used/Provided by Financing Activities,32338000,47189000,50469000,111341000,119483000,356353000,398865000,304470000,144098000,250172000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-352000,2643000,28073000,-23261000,-3331000,7837000,-5096000,4444000,-880000,5474000
98,Cash at the End of Period,720000,3363000,31436000,8176000,4845000,12682000,11105000,15549000,14669000,20143000
99,Cash at the Beginning of Period,1072000,720000,3363000,31437000,8176000,4845000,16201000,11105000,15549000,14669000
100,Free Cash Flow,-32690000,-44546000,-22396000,29950000,47377000,49231000,62782000,142315000,145197000,118344000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622194/000156459016013875/0001564590-16-013875-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459017003211/0001564590-17-003211-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459018004044/0001564590-18-004044-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459019005484/0001564590-19-005484-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459020006375/0001564590-20-006375-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459021008064/0001564590-21-008064-index.htm,https://www.sec.gov/Archives/edgar/data/1622194/000156459022007604/0001564590-22-007604-index.htm
102,false,,,,,,,,,,
