,https://roic.ai/company/IMCI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),700000,100000,300000,421910,- -,373405,- -,748606,456179,407556,52485,86916,336286,- -,139869,302401,288895,271410,52820,320656,309127,278328,246743,250171,247060,255943,281160,293088,-281786
14,Depreciation and Amortization,-100000,-400000,-700000,1179462,741712,628861,962925,1126116,775924,819307,7892,29874,86404,97487,35075000,35264,31116,34320,31524,31524,21074,26490,178897,91621,142212,24183,29648,98,- -
15,EBITDA,-1200000,-2400000,-3300000,-1696220,-3580710,-186620,367793,-195341,-1809691,-3400850,-1155985,695121,460336,-1497587,-715585131,161465,-641828,-812110,105717,371759,438701,-193182,-385442,16792,314272,317126,358785,969182,-1850599
16,EBITDA ratio,-12.0000,-1.0435,-0.6471,-0.3308,-0.6572,-0.0252,0.0398,-0.0148,-0.2127,-0.5459,-2.3907,0.1212,0.0541,-0.2324,-0.0846,0.0163,-0.0564,-0.0864,0.0115,0.0406,0.0504,-0.0225,-0.0485,0.0023,0.0492,0.0498,0.0506,0.1342,-0.2562
17,Operating Income,-1100000,-2100000,-2500000,-3148285,-1731634,-1245296,-3846981,-1277606,-1303264,-3854229,-1077858,249278,-4059,-1898892,-473933,126201,-672944,-846430,312984,591853,440627,-51672,-455339,-74829,-397939,209693,329137,1291,-1407569
18,Operating Income ratio,-11.0000,-0.9130,-0.4902,-0.6140,-0.3178,-0.1684,-0.4163,-0.0970,-0.1532,-0.6187,-2.2291,0.0435,-0.0005,-0.2946,-0.0001,0.0127,-0.0592,-0.0901,0.0342,0.0646,0.0506,-0.0060,-0.0573,-0.0101,-0.0623,0.0329,0.0464,0.0002,-0.1948
19,Total Other Income Expenses (Gains),- -,200000,- -,-149307,-2590788,-337715,-695601,-792457,-470662,-583278,-52485,-86916,29472,303818,-750326067,-302401,-288895,-271410,-291611,-572274,-332127,-446328,-355743,-250171,322939,-172693,-281160,674705,-161244
20,Income Before Tax,- -,- -,- -,-3297592,-4322422,-1583011,-4542582,-2070063,-1773926,-4437507,-1130343,162362,25413,-1595074,-750800000,-176200,-961839,-1117840,21373,19579,108500,-498000,-811082,-325000,-75000,37000,47977,675996,-1568813
21,Income Before Tax Ratio,- -,- -,- -,-0.6432,-0.7933,-0.2140,-0.4916,-0.1572,-0.2085,-0.7123,-2.3377,0.0283,0.0030,-0.2475,-0.0888,-0.0178,-0.0846,-0.1189,0.0023,0.0021,0.0125,-0.0581,-0.1021,-0.0438,-0.0117,0.0058,0.0068,0.0936,-0.2172
22,Income Tax expense (Gain),- -,- -,- -,2384,- -,-1067000,-34942,24184,14533,3097,424,350,3500,7300,-1000000,615,4000,1230,1794,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1800000,-2100000,-2900000,-3299976,-4322422,-121886,-560190,-2094247,-3056327,-4630810,-1216786,577981,34146,-1602374,-749800000,-176815,-965839,-1119070,19579,19579,108500,-498000,-811082,-325000,-75000,37000,47977,675996,-1568813
24,Net Income ratio,-18.0000,-0.9130,-0.5686,-0.6436,-0.7933,-0.0165,-0.0606,-0.1591,-0.3592,-0.7433,-2.5164,0.1008,0.0040,-0.2486,-0.0887,-0.0178,-0.0849,-0.1191,0.0021,0.0021,0.0125,-0.0581,-0.1021,-0.0438,-0.0117,0.0058,0.0068,0.0936,-0.2172
25,EPS,-2.80,-2.15,-2.65,-2.50,-2.10,-0.05,-0.25,-0.72,-0.74,-0.77,-0.15,0.04,0.00,-0.08,-0.03,-0.01,-0.04,-0.04,0.00,0.01,0.00,-0.02,-0.03,-0.01,-0.00,0.00,0.00,0.02,-0.05
26,EPS Diluted,-2.80,-2.15,-2.65,-2.50,-2.10,-0.05,-0.25,-0.72,-0.74,-0.77,-0.15,0.04,0.00,-0.08,-0.03,-0.01,-0.04,-0.04,0.00,0.01,0.00,-0.02,-0.03,-0.01,-0.00,0.00,0.00,0.02,-0.05
27,Weighted Average Shares Outstanding,642857,976744,1094340,1322104,2076152,2643750,2276823,2911217,4132724,5993573,8146747,15121985,19074607,21254194,23223568,24500164,25465756,25986267,26357773,25961883,25961883,26012842,26561883,28358331,29061883,29061883,29061883,29061883,29238323
28,Weighted Average Shares Outstanding Diluted,642857,976744,1094340,1322104,2076152,2666667,2390284,2911217,4132724,5993573,8146747,16069623,20828747,21254194,23223568,24500164,25465756,25986267,29090273,47562782,46360387,26012842,26561883,28358331,29061883,29061883,29811883,43450086,29238323
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884650/000114420408018574/0001144204-08-018574-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884650/000114420412013112/0001144204-12-013112-index.html,https://www.sec.gov/Archives/edgar/data/884650/000114420413018513/0001144204-13-018513-index.html,https://www.sec.gov/Archives/edgar/data/884650/000114420414019206/0001144204-14-019206-index.htm,- -,https://www.sec.gov/Archives/edgar/data/884650/000165495416000251/0001654954-16-000251-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495417002807/0001654954-17-002807-index.html,https://www.sec.gov/Archives/edgar/data/884650/000165495419007941/0001654954-19-007941-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495419007945/0001654954-19-007945-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495420003505/0001654954-20-003505-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495421003538/0001654954-21-003538-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495422003151/0001654954-22-003151-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,36459,16515,97297,109090,73786,28281000,153336,196711,33155,36894,56158,16947,7768,13510,42436,73734,29716,6398,32313,99432
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,36459,16515,97297,109090,73786,28281000,153336,196711,33155,36894,56158,16947,7768,13510,42436,73734,29716,6398,32313,99432
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,923043,165830,1324970,880284,492208,- -,1004114,1118580,709302,1023326,585322,592045,359599,117010,243477,479294,286187,432289,953826,727297
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,127792,- -,- -,24664,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1011568,3817001,277455,49516,38600,728988000,47379,56622,15392,21204,22127,22512,43654,34948,16076,4325,2906,65285,96483,218821
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2098862,3999346,1699722,1063554,604594,757269000,1204829,1371913,757849,1081424,663607,631504,411021,165468,301989,557353,318809,503972,1082622,1045550
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,3042587,99435,239907,190520,80612,70723000,69750,58777,68210,46704,38062,46120,60039,39273,26079,18349,8627,5915,48199,82628
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,60225,62918,50526,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,60225,62918,50526,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247000,109000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,73897,73897,1940857,302490,19523,- -,15515,21544,18424,15924,4318,2318,36956,172637,113985,6667,6667,387054,- -,424587
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3176709,236250,2231290,493010,100135,70723000,85265,80321,86634,62628,42380,295438,205995,211910,140064,25016,15294,392969,48199,507215
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5275571,4235596,3931012,1556564,704729,827992000,1290094,1452234,844483,1144052,705987,926942,617016,377378,442053,582369,334103,896941,1130821,1552765
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317136,613712,504327,412100,224051,299519000,328654,686457,651976,566980,281017,316873,341977,501588,346701,864931,367536,217777,343073,536863
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2551295,2360840,2172572,42778,229017,174409,77426,481243,204000,259360,201867,193186,181560,191776,368279,1110160,1154850,1927808,1247203,426171
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,497734
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2603717,2267028,995663,518803,2262697,2873922591,3015194,3803687,3806625,1482671,1045761,1057529,919269,1372531,2035364,1249427,1389521,1655171,1543973,2646812
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6472148,5241580,3672562,973681,2715765,3173616000,3421274,4971387,4662601,2309011,1528645,1567588,1442806,2065895,2750344,3224518,2911907,3800756,3134249,4107580
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,919976,1164257,1310724,1146124,86197000,1238890,835353,1125793,501324,501324,501324,2173846,821349,534326,658635,677955,122605,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2159152,2190214,2177287,2405612,706196,- -,1337231,735012,1291119,- -,- -,- -,- -,- -,- -,- -,- -,- -,1584961,1543074
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2159152,3110190,3341544,3716336,1852320,86197000,2576121,1570365,2416912,501324,501324,501324,2173846,821349,534326,658635,677955,122605,1584961,1543074
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1615946000,- -,- -,- -,2561756,2547241,2526054,- -,2889697,2218877,2055050,2100245,1126100,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32360,- -,- -,- -,- -,- -,- -,- -,196978,122605,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8631300,8351770,7014106,4690017,4568085,4703365000,5997395,6541752,7079513,4369443,3574562,3592318,3616652,4134243,4434895,4620933,4334197,4804251,4719210,5650654
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,6314,85624,17562,19857,22415,- -,24969,25661,26461,25961,25961,25961,26561,26561,29061,29061,29061,29061,29061,32700
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28081158,-29297944,-28719963,-28685817,-30288191,- -,-31214806,-32180645,-33299715,-33330136,-33058939,-32950439,-33448439,-34259521,-34584521,-34659521,-34622521,-34574544,- -,-35467361
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3098705,-2930364,-2755891,-2990827,-2578639,-2227689,-3217259,-2805040,-2961147,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,27817820,28026510,28375198,28523334,28981059,2223833150,29699795,29870506,29999371,30078784,30164403,30259102,- -,30476095,30562618,30591896,30593366,30638173,-3134831,31336772
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3355729,-4116174,-3083094,-3133453,-3863356,-3855850,-4707301,-5089518,-6235030,-3225391,-2868575,-2665376,-2999636,-3756865,-3992842,-4038564,-4000094,-3907310,-3105770,-4097889
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5275571,4235596,3931012,1556564,704729,4699509150,1290094,1452234,844483,1144052,705987,926942,617016,377378,442053,582369,334103,896941,1613440,1552765
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3871517150,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-482619,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5275571,4235596,3931012,1556564,704729,827992000,1290094,1452234,844483,1144052,705987,926942,617016,377378,442053,582369,334103,896941,1130821,1552765
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884650/000114420408018574/0001144204-08-018574-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884650/000114420412013112/0001144204-12-013112-index.html,https://www.sec.gov/Archives/edgar/data/884650/000114420413018513/0001144204-13-018513-index.html,https://www.sec.gov/Archives/edgar/data/884650/000114420414019206/0001144204-14-019206-index.htm,- -,https://www.sec.gov/Archives/edgar/data/884650/000165495416000251/0001654954-16-000251-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495417002807/0001654954-17-002807-index.html,https://www.sec.gov/Archives/edgar/data/884650/000165495419007941/0001654954-19-007941-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495419007945/0001654954-19-007945-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495420003505/0001654954-20-003505-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495421003538/0001654954-21-003538-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495422003151/0001654954-22-003151-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1800000,-2100000,-2900000,-3299976,-4322422,-121886,-560190,-2094247,-3056327,-4630810,-1216786,577981,34146,-1602374,-749800000,-176815,-965839,-1119070,19579,19579,108500,-498000,-811082,-325000,-75000,37000,47977,675996,-1568813
74,Depreciation and Amortization,-100000,-400000,-700000,1179462,741712,628861,962925,1126116,775924,819307,7892,29874,86404,97487,35075000,35264,31116,34320,31524,31524,21074,26490,178897,91621,142212,24183,29648,98,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1067000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2648000,57000,- -,286000,53000,-1158000,-328000,-55000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338856000,249829,137927,89665,103913,103913,94699,110340,53853,36803,29278,1470,44807,126,- -
77,Change in Working Capital,-100000,- -,- -,- -,-350000,350000,- -,-681751,100728,-3792263,3131052,-730606,2062713,-2201044,-2414235829,2414130555,-1383029,-305278,2677165,362549,-71046,-95701,-868642,-547928,-218810,74067,-703686,1245157,-1010403
78,Accounts Receivable,- -,-200000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182367000,-334507,-114466,409278,-314024,314024,-120890,232446,132589,-126467,-195817,201107,-146102,-529,- -
79,Inventory,- -,- -,-100000,142255,39318,28580,502447,87141,23510,2032,- -,- -,-24664,-2013,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29135,357803,-34481,-84996,-285963,35856,25104,159612,-154887,518230,-497395,-149759,125296,- -
81,Other Working Capital,- -,- -,- -,- -,-350000,- -,- -,-681751,-581023,-4373286,-1242234,-1972840,89873,-2111171,-2416347000,-2216445,-3599474,-3904752,-1227587,-865038,-936084,-1031785,-1900427,-2448355,-2667165,-2593098,-3296784,-2051627,-3062030
82,Other Non-Cash Items,700000,500000,1700000,1442592,2498009,-428556,-3571636,1452414,1319587,7767471,-2269749,27554,-2039711,3446006,2784262829,-2414126732,2261013,1141409,-2837470,2125146,-34605,379168,1166831,313273,1154355,61158,665826,-1921790,2579216
83,Cash Provided by Operating Activities,-1300000,-2000000,-1900000,-677922,-1432701,-638581,-3168901,-197468,-860088,163705,-347591,-95197,143552,-259925,-5842000,112101,81188,-158954,-5289,-5289,175622,-77703,5857,-378231,-125965,-130122,29572,-414,- -
84,CAPEX,-500000,-700000,-900000,-816593,-947811,-939781,-1563071,-825173,-765048,-190898,-75180,-118856,-196462,-14655,-25685000,-23304,-10677,-5078,-10018,-10018,-29132,-38966,-100000,- -,-5608,-546,-1945,-48,- -
85,Acquisitions Net,- -,- -,- -,-1654000,-200000,705000,3146302,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-3500000,-3700000,- -,- -,- -,- -,-11793,-56282,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000,-75000,-155833,-30000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,6500000,800000,- -,- -,- -,- -,247080,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-200000,-100000,-153934,-658706,-146494,-32190,92701,-363747,1626727,-142411,-3827,2169421,78217,4968,- -,- -,- -,75000,75000,- -,- -,-100000,- -,- -,- -,-194215,-255,- -
89,Cash Used for Investing Activites,-4000000,1900000,-200000,-2470593,-1806517,-271664,1571807,-504912,-756131,1435829,-205521,-122683,1972959,63562,-20717,-23304,-10677,-5078,-10018,-10515,-184965,-68966,-103812,-8383,-5608,-546,-196160,-304,- -
90,Debt Repayment,-300000,-200000,-900000,-381075,-194794,-270062,-1641607,-850192,-524274,-1932632,-518956,-420022,- -,- -,- -,-180409,-280037,-89524,- -,- -,-7000,-62510,-68896,-30192,-3350,-3350,-56730,- -,- -
91,Common Stock Issued,- -,- -,- -,259472,1670000,- -,- -,447943,1476535,256132,165000,243500,80000,25420,500000,16667,1750,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000,-75000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5800000,- -,2900000,4393207,1157874,1649390,2556059,962436,236832,-16817,887124,475184,-2184718,135639,-518946,200000,251151,90000,94046,-6190,-10022868,200000,172593,445732,166221,90000,200000,743,- -
95,Cash Used/Provided by Financing Activities,5500000,- -,2000000,4271604,2633080,1379328,914452,560187,1189093,-1693317,533168,298662,-2104718,161059,-18946,36258,-27136,476,19046,-81190,-29868,137490,103697,415540,162871,86650,143270,743,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5500000,- -,2000000,1123089,-606138,469083,-682642,-142193,-55659,-93783,-19944,80782,11793,-35304,-45505000,125055,43375,-163556,- -,- -,- -,-9179,- -,- -,- -,- -,- -,26,- -
98,Cash at the End of Period,- -,- -,- -,1147791,541653,1010736,328094,185901,130242,36459,16515,97297,109090,73786,28281000,153336,196711,33155,36894,56158,16947,7768,13510,42436,73734,29716,6398,32,- -
99,Cash at the Beginning of Period,- -,300000,200000,24702,1147791,541653,1010736,328094,185901,130242,36459,16515,97297,109090,73786000,28281,153336,196711,36894,56158,16947,16947,13510,42436,73734,29716,6398,6,32
100,Free Cash Flow,-1800000,-2700000,-2800000,-1494515,-2380512,-1578362,-4731972,-1022641,-1625136,-27193,-422771,-214053,-52910,-274580,-31527000,88797,70511,-164032,-15307,-15307,146490,-116669,-94143,-378231,-131573,-130668,27627,-462,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884650/000114420408018574/0001144204-08-018574-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884650/000114420412013112/0001144204-12-013112-index.html,https://www.sec.gov/Archives/edgar/data/884650/000114420413018513/0001144204-13-018513-index.html,https://www.sec.gov/Archives/edgar/data/884650/000114420414019206/0001144204-14-019206-index.htm,- -,https://www.sec.gov/Archives/edgar/data/884650/000165495416000251/0001654954-16-000251-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495417002807/0001654954-17-002807-index.html,https://www.sec.gov/Archives/edgar/data/884650/000165495419007941/0001654954-19-007941-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495419007945/0001654954-19-007945-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495420003505/0001654954-20-003505-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495421003538/0001654954-21-003538-index.htm,https://www.sec.gov/Archives/edgar/data/884650/000165495422003151/0001654954-22-003151-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
