,https://roic.ai/company/SGRP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0563,0.0559,-0.1318,-0.0255,0.0415,0.0633,0.0741,0.1457,0.0203,-0.1950,0.0454,0.0080,-0.0267,0.0226,0.0335,0.0595,0.0523,0.0465,0.0348,0.0347,0.0321,0.0212,0.0249,0.0133,0.0400,0.0525,0.0161
17,Operating Income,5900000,5300000,-13300000,-4700000,4225000,2580000,7946000,8633000,25000,-12036000,1055000,-724000,-1986000,1470000,322000,2831000,2885000,4007000,2904000,3289000,3265000,2202000,4090000,3729000,10191000,9722000,4183000
18,Operating Income ratio,0.0563,0.0442,-0.1037,-0.0386,0.0363,0.0236,0.1121,0.1240,0.0004,-0.2343,0.0205,-0.0126,-0.0327,0.0211,0.0056,0.0448,0.0392,0.0390,0.0259,0.0270,0.0274,0.0164,0.0225,0.0163,0.0403,0.0422,0.0164
19,Total Other Income Expenses (Gains),-600000,900000,-4600000,500000,-1572000,-1336000,-668000,-337000,-506000,534000,233000,101000,-354000,-999000,404000,-289000,-186000,-6000,128000,134000,29000,-5000,64000,-689000,-780000,-448000,-75000
20,Income Before Tax,5300000,6200000,-17900000,-4200000,2653000,1244000,7278000,8296000,-481000,-11502000,1288000,-623000,-2340000,471000,726000,2542000,2699000,4001000,3032000,3423000,3294000,2197000,4154000,3040000,9411000,9274000,4108000
21,Income Before Tax Ratio,0.0506,0.0517,-0.1396,-0.0345,0.0228,0.0114,0.1027,0.1192,-0.0074,-0.2239,0.0250,-0.0109,-0.0385,0.0068,0.0126,0.0403,0.0367,0.0389,0.0271,0.0281,0.0276,0.0164,0.0229,0.0133,0.0372,0.0402,0.0161
22,Income Tax expense (Gain),1800000,2400000,-2800000,100000,3148000,-78000,3123000,2998000,58000,853000,242000,99000,157000,532000,169000,263000,362000,550000,-1118000,-948000,819000,441000,2977000,1402000,3578000,312000,2108000
23,Net Income,3500000,3800000,-15100000,-4300000,-495000,1322000,-1714000,5298000,-539000,-12268000,878000,-621000,-2544000,102000,502000,2167000,2214000,2930000,3350000,3268000,892000,173000,-923000,-1551000,2419000,8962000,-1779000
24,Net Income ratio,0.0334,0.0317,-0.1178,-0.0353,-0.0042,0.0121,-0.0242,0.0761,-0.0083,-0.2388,0.0170,-0.0108,-0.0419,0.0015,0.0087,0.0343,0.0301,0.0285,0.0299,0.0268,0.0075,0.0013,-0.0051,-0.0068,0.0096,0.0389,-0.0070
25,EPS,1.13,0.63,-2.72,-0.78,0.08,0.07,-0.09,0.28,-0.03,-0.65,0.05,-0.03,-0.13,0.01,0.03,0.11,0.11,0.14,0.16,0.16,0.04,0.01,-0.04,-0.07,0.12,0.16,-0.08
26,EPS Diluted,0.89,0.63,-2.72,-0.78,0.08,0.07,-0.09,0.28,-0.03,-0.65,0.05,-0.03,-0.13,0.01,0.03,0.11,0.10,0.14,0.15,0.15,0.04,0.01,-0.04,-0.07,0.12,0.16,-0.08
27,Weighted Average Shares Outstanding,3636364,5990000,5551000,5439000,15361000,18185000,18389000,18761000,18855000,18859000,18904000,18934000,19011000,19130000,19139000,19209000,19958000,20240000,20490000,20578000,20559000,20595000,20617000,20684000,20916000,21110000,21110000
28,Weighted Average Shares Outstanding Diluted,3636364,5990000,5551000,5439000,15367000,18303000,18467000,19148000,18855000,18859000,19360000,18934000,19011000,19315000,19434000,20602000,21327000,21606000,21734000,21830000,21573000,21309000,20617000,20684000,21157000,21155000,21110000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004989/000143774920007674/sgrp20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1004989/000143774921007784/0001437749-21-007784-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,887000,1914000,1148000,1246000,1685000,1659000,923000,1705000,1792000,2814000,4382000,5718000,7324000,8827000,7111000,10458000,15972000,13473000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,887000,1914000,1148000,1246000,1685000,1659000,923000,1705000,1792000,2814000,4382000,5718000,7324000,8827000,7111000,10458000,15972000,13473000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,17415000,13942000,11307000,10656000,12982000,13748000,13110000,10231000,13999000,15461000,21414000,21734000,26245000,23203000,33669000,35964000,46142000,49299000,46914000,54171000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,1686000,1720000,657000,702000,553000,975000,1446000,1182000,1283000,801000,790000,1098000,1332000,1190000,1770000,2031000,1879000,2404000,3631000,4382000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,19101000,15662000,12851000,13272000,14683000,15969000,16241000,13072000,16205000,17967000,23996000,25646000,31959000,30111000,42763000,46822000,55132000,62161000,66517000,72026000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,1972000,2099000,1536000,1131000,901000,1528000,1803000,1550000,1452000,1523000,1777000,2032000,2175000,2443000,2536000,2712000,2950000,7796000,2795000,4710000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,798000,798000,798000,798000,848000,1148000,1792000,1800000,1800000,1800000,1847000,1836000,3788000,3784000,3760000,4166000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,7858000,8749000,798000,798000,- -,- -,- -,- -,362000,705000,1468000,2259000,3149000,2551000,2340000,1634000,3332000,2796000,2255000,2295000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,7858000,8749000,798000,798000,798000,798000,798000,798000,1210000,1853000,3260000,4059000,4949000,4351000,4187000,3470000,7120000,6580000,6015000,6461000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,705000,434000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,5134000,5890000,6612000,3055000,2568000,1883000,- -,4468000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,121000,926000,636000,216000,1695000,1648000,1806000,1931000,226000,178000,237000,641000,353000,611000,1142000,1929000,1325000,1115000,- -,1351000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,10656000,12208000,2970000,2145000,3394000,3974000,4407000,4279000,2888000,3554000,5274000,8632000,12611000,13295000,14477000,11166000,13963000,17374000,8810000,16990000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,29757000,27870000,15821000,15417000,18077000,19943000,20648000,17351000,19093000,21521000,29270000,34278000,44570000,43406000,57240000,57988000,69095000,79535000,75327000,89016000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,422000,1445000,2158000,1597000,2551000,3631000,4491000,3819000,1804000,1819000,4177000,4267000,4011000,2984000,5567000,7341000,8668000,9186000,7859000,8943000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8932000,1398000,1019000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183000,263000,673000,659000,503000,1305000,1539000,620000,594000,4201000,3901000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,12360000,10132000,9731000,8555000,10494000,12787000,12385000,9001000,10042000,8772000,9827000,10725000,10834000,9790000,25282000,23446000,33227000,26042000,29447000,36343000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,12782000,11577000,11889000,10152000,13045000,16418000,16876000,12820000,11846000,10774000,14267000,15665000,15504000,13277000,32154000,32326000,42515000,44754000,42905000,50206000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,148000,- -,12000,- -,- -,- -,- -,- -,- -,334000,268000,57000,5855000,5731000,4000,107000,1806000,1300000,1000000,12504000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,235000,270000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2120000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,383000,270000,12000,10000,- -,- -,- -,- -,- -,334000,268000,57000,5855000,5731000,4000,107000,1806000,3420000,1000000,12504000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3502000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,109000,- -,- -,- -,- -,- -,4948000,2900000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,13165000,11847000,11901000,10162000,13045000,16418000,16876000,12820000,11846000,11108000,14535000,15722000,21359000,19008000,32158000,32433000,44321000,48174000,45407000,51668000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,6000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,188000,189000,189000,189000,189000,191000,191000,191000,193000,201000,205000,207000,207000,207000,207000,207000,208000,211000,- -,213000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,5515000,4976000,-7292000,-6414000,-7035000,-9579000,-9477000,-8975000,-6808000,-4626000,-1696000,1654000,4770000,5662000,5835000,4977000,3432000,5851000,9218000,7439000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-6128000,-5504000,-6175000,-6437000,-7161000,-7960000,-8698000,-9808000,-10750000,-11397000,-12453000,-13231000,-14337000,-15558000,-13726000,-15075000,-18041000,-4000000,-3913000,-5028000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,17017000,16362000,16992000,17512000,18535000,19898000,21157000,22686000,24156000,25165000,26783000,27183000,28117000,28391000,25773000,29541000,30699000,16893000,33317000,17127000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,16592000,16023000,3714000,4850000,4528000,2550000,3179000,4100000,6797000,9343000,12839000,15813000,18757000,18702000,18089000,19650000,16298000,18955000,22159000,19751000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,29757000,27870000,15615000,15012000,17573000,18968000,20055000,16920000,18643000,20451000,27374000,31535000,40116000,37710000,50247000,52083000,60619000,67129000,67566000,71419000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000,405000,504000,975000,593000,431000,450000,1070000,1896000,2743000,4454000,5696000,6993000,5905000,8476000,12406000,7761000,17597000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,29757000,27870000,15821000,15417000,18077000,19943000,20648000,17351000,19093000,21521000,29270000,34278000,44570000,43406000,57240000,57988000,69095000,79535000,75327000,89016000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004989/000143774920007674/sgrp20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1004989/000143774921007784/0001437749-21-007784-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3500000,3800000,-15100000,-4300000,-495000,1322000,-1714000,5298000,-539000,-12268000,878000,-621000,-2544000,102000,502000,2167000,2214000,2930000,3350000,3268000,892000,173000,-923000,-1551000,2419000,8962000,-1779000
74,Depreciation and Amortization,600000,500000,1000000,1100000,2182000,3564000,3847000,1844000,1529000,1399000,1031000,746000,768000,939000,1081000,1018000,1069000,1167000,1496000,1753000,1905000,2100000,2126000,2109000,3083000,2130000,3203000
75,Deferred Income Tax,-200000,-200000,400000,- -,- -,- -,- -,2022000,-131000,710000,- -,- -,- -,- -,- -,- -,- -,-194000,-2162000,-1702000,-207000,-429000,1639000,-85000,792000,-654000,-520000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,517000,538000,655000,434000,329000,225000,186000,235000,136000,711000
77,Change in Working Capital,-4700000,- -,- -,- -,- -,- -,- -,6319000,-2234000,-3123000,2158000,-1482000,-2087000,-186000,887000,4107000,2834000,2536000,252000,6474000,379000,-6225000,3887000,-1879000,4790000,6205000,-1792000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2997000,-3790000,-1493000,-6030000,-488000,-4789000,2792000,-6902000,-2423000,-9296000,-3160000,2135000,-7305000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,2358000,90000,-256000,-1105000,1850000,1810000,-144000,530000,-1316000,1095000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,6319000,4085000,962000,3120000,1638000,-449000,-635000,252000,4359000,7193000,9729000,9981000,16455000,16834000,10609000,14496000,12617000,17407000,23612000,21820000
82,Other Non-Cash Items,500000,-5800000,10900000,-200000,-6660000,1447000,-2376000,-2771000,4733000,14666000,-642000,-1113000,3875000,1394000,-1059000,-7032000,-2582000,-3511000,-596000,-8351000,1487000,5395000,-182000,3270000,-5172000,-7978000,2806000
83,Cash Provided by Operating Activities,-300000,-1700000,-2800000,-3400000,-4973000,6333000,-243000,12712000,3358000,1384000,3425000,-2470000,12000,2249000,1411000,260000,3535000,3445000,2878000,2097000,4890000,1343000,6772000,2050000,6147000,8801000,2629000
84,CAPEX,-700000,-300000,-800000,-500000,-2105000,-1941000,-1744000,-1172000,-1456000,-1260000,-628000,-516000,-814000,-1214000,-831000,-1439000,-810000,-998000,-1299000,-1326000,-1575000,-1555000,-1448000,-1622000,-1378000,-1600000,-3444000
85,Acquisitions Net,- -,- -,- -,- -,- -,-62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2200000,- -,-200000,7109000,1500000,- -,- -,-1441000,-49000,- -,- -,- -,- -,- -,- -,-442000,-760000,-1236000,-375000,- -,-401000,- -,767000,- -,- -,- -
89,Cash Used for Investing Activites,-700000,-2500000,-800000,-700000,5004000,-503000,-1744000,-1172000,-2897000,-1309000,-628000,-516000,-814000,-1214000,-831000,-1439000,-1252000,-1758000,-2535000,-1701000,-1575000,-1956000,-1448000,-855000,-1378000,-1600000,-1722000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-743000,- -,-1765000,-251000,-416000,-133000,-24000,-24000,-755000,-405000,-9931000,-333000,-300000
91,Common Stock Issued,- -,26900000,100000,100000,3504000,32000,408000,390000,485000,- -,85000,1000,201000,541000,- -,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-3000000,- -,-3062000,-182000,-482000,-30000,-924000,-40000,- -,- -,- -,- -,- -,- -,- -,-35000,-392000,-169000,-109000,-12000,-121000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-3400000,- -,2000000,691000,-7754000,2061000,-11900000,-15000,907000,-1958000,2345000,633000,-820000,- -,350000,280000,-1087000,2033000,1827000,-526000,3445000,-4258000,606000,7960000,464000,1626000
95,Cash Used/Provided by Financing Activities,-200000,23500000,-2900000,2100000,1133000,-7904000,1987000,-11540000,-454000,867000,-1873000,2346000,834000,-279000,-743000,376000,-1485000,-1373000,1225000,1525000,-659000,3409000,-5134000,201000,-1971000,131000,1326000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-7000,-79000,103000,-126000,66000,-317000,137000,67000,-16000,-227000,-546000,-353000,-1320000,-1190000,1313000,-3112000,549000,-1818000,-4732000
97,Net Change In Cash,-200000,23500000,-2900000,2100000,1164000,-7904000,1987000,- -,- -,863000,1027000,-766000,98000,439000,-26000,-736000,782000,87000,1022000,1568000,1336000,1606000,1503000,-1716000,3347000,5514000,-2499000
98,Cash at the End of Period,- -,- -,- -,- -,2074000,- -,- -,- -,- -,887000,1914000,1148000,1246000,1685000,1659000,923000,1705000,1792000,2814000,4382000,5718000,7324000,8827000,7111000,10458000,15972000,13473000
99,Cash at the Beginning of Period,1400000,200000,19500000,13000000,910000,2074000,- -,- -,- -,24000,887000,1914000,1148000,1246000,1685000,1659000,923000,1705000,1792000,2814000,4382000,5718000,7324000,8827000,7111000,10458000,15972000
100,Free Cash Flow,-1000000,-2000000,-3600000,-3900000,-7078000,4392000,-1987000,11540000,1902000,124000,2797000,-2986000,-802000,1035000,580000,-1179000,2725000,2447000,1579000,771000,3315000,-212000,5324000,428000,4769000,7201000,-815000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004989/000143774920007674/sgrp20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1004989/000143774921007784/0001437749-21-007784-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
