,https://roic.ai/company/GSMG,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1738758/000121390019003920/0001213900-19-003920-index.htm,https://www.sec.gov/Archives/edgar/data/1738758/000121390020008220/0001213900-20-008220-index.htm,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,5186000,406990,34530,17731000,77302000
32,Short-Term Investments,- -,- -,- -,1732000,- -
33,Cash and Short-Term Investments,5186000,406990,34530,19463000,77302000
34,Net Receivables,6924000,- -,- -,81110000,63135000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,13435000,119900,47290,2544000,13103000
37,Total Current Assets,25545000,526890,81820,103117000,153540000
38,PP&E,730000,- -,- -,1940000,1540000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,15632000,16718000
41,Intangible Assets,- -,- -,- -,15632000,16718000
42,Investments,- -,251886110,257516070,- -,- -
43,Tax Assets,815000,- -,- -,760000,56000
44,Other Non-Current Assets,4640000,-10,- -,21947000,23319000
45,Total Non-Current Assets,6185000,251886100,257516070,40279000,41633000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,31730000,252412990,257597890,143396000,195173000
48,Accounts Payable,25000,- -,- -,7887000,12878000
49,Short-Term Debt,1989000,13637000,3186000,8171000,5289000
50,Tax Payable,128000,1195000,1890000,7894000,13104000
51,Deferred Revenue,996000,- -,- -,609000,536000
52,Other Current Liabilities,16983000,-13613210,-2355590,18689000,15855000
53,Total Current Liabilities,19993000,23790,830410,35356000,34558000
54,Long-Term Debt,- -,- -,1100000,1374000,1127000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1386000,24000
58,Total Non-Current Liabilities,- -,- -,1100000,2760000,1151000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,2031000,1771000,1418000
61,Total Liabilities,19993000,23790,1930410,38116000,35709000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,20000,247389880,250668190,6000,7000
64,Retained Earnings,10677000,1609140,4887420,78606000,123982000
65,Other Comprehensive Income/Loss,789000,-195000,-1145000,5540000,9293000
66,Other Total Stockholders Equity,251000,-225146020,-192629610,20657000,25629000
67,Total Stockholders Equity,11737000,23658000,61781000,104809000,158911000
68,Total Liabilities And Stockholders Equity,31730000,23681790,63711410,142925000,194620000
69,Minority Interest,- -,228731200,193886480,471000,553000
70,Total Liabilities & Equity,31730000,252412990,257597890,143396000,195173000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1738758/000121390019003920/0001213900-19-003920-index.htm,https://www.sec.gov/Archives/edgar/data/1738758/000121390020008220/0001213900-20-008220-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,11018000,1609140,3278280,29276000,35287000
74,Depreciation and Amortization,156000,- -,- -,3357000,2516000
75,Deferred Income Tax,-789000,- -,- -,-181000,713000
76,Stock Based Compensation,- -,- -,- -,7160000,185000
77,Change in Working Capital,-22326000,-25580000,-1742000,-29797000,8688000
78,Accounts Receivable,-10879000,- -,- -,-24043000,19904000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-327000,811000,3925000,2827000,4750000
81,Other Working Capital,918000,-730000,372000,-39000,-87000
82,Other Non-Cash Items,649000,23597790,-3258750,-1074000,-934000
83,Cash Provided by Operating Activities,-11292000,-373070,-1722470,8741000,46455000
84,CAPEX,-862000,- -,- -,-2781000,-2790000
85,Acquisitions Net,- -,- -,- -,- -,-12000
86,Purchases of Investments,- -,- -,- -,-1637000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1751000
88,Other Investing Activites,- -,- -,- -,-2722000,-2718000
89,Cash Used for Investing Activites,-862000,-153000,- -,-4418000,-1051000
90,Debt Repayment,-1066000,- -,- -,-724000,-6818000
91,Common Stock Issued,- -,- -,- -,- -,15290000
92,Common Stock Repurchased,- -,25000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,18143000,7668000,1350000,6105000,4814000
95,Cash Used/Provided by Financing Activities,17077000,7693000,1350000,5381000,13286000
96,Effect of Forex Changes on Cash,199000,-162000,-68000,1108000,881000
97,Net Change In Cash,5122000,406990,-372470,10812000,59571000
98,Cash at the End of Period,5645000,406990,34520,17731000,77302000
99,Cash at the Beginning of Period,523000,- -,406990,6919000,17731000
100,Free Cash Flow,-12154000,-373070,-1722470,5960000,43665000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1738758/000121390019003920/0001213900-19-003920-index.htm,https://www.sec.gov/Archives/edgar/data/1738758/000121390020008220/0001213900-20-008220-index.htm,- -,- -
102,false,,,,,
