,https://roic.ai/company/BOXL,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.11,-0.38,-0.22,-1.34,-0.72,-0.88,-0.31,-0.23
26,EPS Diluted,-0.11,-0.38,-0.22,-1.34,-0.72,-0.88,-0.31,-0.23
27,Weighted Average Shares Outstanding,9465410,9465410,9465410,5455161,9922042,10689408,53343518,58849000
28,Weighted Average Shares Outstanding Diluted,9465410,9465410,9465410,5455161,9922042,10689408,53343518,58849000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1624512/000149315217011447/0001493152-17-011447-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315218004493/0001493152-18-004493-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315219004118/0001493152-19-004118-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315220008414/0001493152-20-008414-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315221007447/0001493152-21-007447-index.htm,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,378,994103,456502,2010325,901459,1172994,13460451,17938000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,378,994103,456502,2010325,901459,1172994,13460451,17938000
34,Net Receivables,- -,1131648,2947525,3089932,3634726,3665057,20869033,28531000
35,Inventory,- -,3549778,4164116,4626569,4214316,3318857,20912741,51591000
36,Other Current Assets,- -,327447,443465,388006,1214157,1765741,6160396,10486000
37,Total Current Assets,378,6002976,8011608,10114832,9964658,9922649,61402621,108546000
38,PP&E,- -,- -,60040,29752,226409,207397,561744,1073000
39,Goodwill,- -,- -,4181991,4181991,4723549,4723549,23189974,26037000
40,Intangible Assets,- -,224653,6833477,6126558,6352273,5559097,55156594,65532000
41,Intangible Assets,- -,224653,11015468,10308549,11075822,10282646,78346568,91569000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10507,33262,292,298,56193,90667,248000
45,Total Non-Current Assets,- -,235160,11108770,10338593,11302529,10546236,78998979,92890000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,378,6238136,19120378,20453425,21267187,20468885,140401600,201436000
48,Accounts Payable,383519,4554233,4453893,- -,7892738,9752784,16125971,33638000
49,Short-Term Debt,275076,1015072,3718132,856449,2683560,4904610,16817000,9804000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,495603,1127423,938050,1972565,5671314,8264000
52,Other Current Liabilities,41678,627524,4005587,7386631,1048483,577914,1780147,3490000
53,Total Current Liabilities,700273,6196829,12673215,9370503,12562831,17207873,40394432,55196000
54,Long-Term Debt,- -,- -,4060785,- -,328000,1309367,7830736,42137000
55,Deferred Revenue,- -,- -,272123,175294,134964,2582602,10482152,13265000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,7954870,8690000
57,Other Non-Current Liabilities,- -,- -,- -,- -,273333,16696,2240,340000
58,Total Non-Current Liabilities,- -,- -,4332908,175294,736297,3908665,26269998,64432000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,700273,6196829,17006123,9545797,13299128,21116538,66664430,119628000
62,Preferred Stock,- -,- -,127,25,25,17,28876000,28509000
63,Common Stock,395,418,461,956,1018,1170,5334,6000
64,Retained Earnings,-674895,-3426839,-5488822,-12785931,-19206271,-31346431,-47500969,-61301000
65,Other Comprehensive Income/Loss,- -,-1422396,-12918,-47848,-106419,-38024,5192000,3728000
66,Other Total Stockholders Equity,-25395,4890124,7615407,23740426,27279706,30735615,86770635,110866000
67,Total Stockholders Equity,-699895,41307,2114255,10907628,7968059,-647653,73343000,81808000
68,Total Liabilities And Stockholders Equity,378,6238136,19120378,20453425,21267187,20468885,140007430,201436000
69,Minority Interest,- -,- -,- -,- -,- -,- -,394170,- -
70,Total Liabilities & Equity,378,6238136,19120378,20453425,21267187,20468885,140401600,201436000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1624512/000149315217011447/0001493152-17-011447-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315218004493/0001493152-18-004493-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315219004118/0001493152-19-004118-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315220008414/0001493152-20-008414-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315221007447/0001493152-21-007447-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-1086893,-2259114,-2061983,-7297109,-7177883,-9402078,-16152546,- -
74,Depreciation and Amortization,- -,- -,353386,747208,885699,908985,1626000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1477000,- -
76,Stock Based Compensation,- -,65,464321,4240670,1984587,1137575,1628000,- -
77,Change in Working Capital,676029,506042,-4467754,5405936,-3342502,-4687051,28293413,- -
78,Accounts Receivable,-41288,1515324,-909466,-464657,-72882,142300,-212000,- -
79,Inventory,- -,283872,2654058,-596653,836385,1295366,155000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-699895,-193853,-4661607,744329,-2598173,-7285224,21008189,- -
82,Other Non-Cash Items,5335,1968576,8082413,-4440087,3875281,7779116,-18581867,- -
83,Cash Provided by Operating Activities,-405529,215569,2370383,-1343382,-3774818,-4263453,-4664000,- -
84,CAPEX,- -,- -,- -,-10001,- -,-3612,- -,- -
85,Acquisitions Net,- -,- -,357573,- -,900196,10261,-45053000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,8373,9033,-10001,- -,- -,-265000,- -
89,Cash Used for Investing Activites,- -,8373,366606,-10001,900196,6649,-45318000,- -
90,Debt Repayment,- -,-12397,-10640414,-12965573,-22499666,-23328268,-8608000,- -
91,Common Stock Issued,- -,- -,1218907,5678638,420000,- -,42718000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-338000,- -
94,Other Financing Activites,344004,750167,6127715,10214673,23861551,27788212,31806000,- -
95,Cash Used/Provided by Financing Activities,344004,737770,-3293792,2927738,1781885,4459944,65578000,- -
96,Effect of Forex Changes on Cash,- -,- -,19202,-20532,-16129,68395,-3309000,- -
97,Net Change In Cash,-61525,961712,-537601,1553823,-1108866,271535,12287000,- -
98,Cash at the End of Period,32391,994103,456502,2010325,901459,1172994,13460000,- -
99,Cash at the Beginning of Period,93916,32391,994103,456502,2010325,901459,1173000,- -
100,Free Cash Flow,-405529,215569,2370383,-1353383,-3774818,-4267065,-4664000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1624512/000149315217011447/0001493152-17-011447-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315218004493/0001493152-18-004493-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315219004118/0001493152-19-004118-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315220008414/0001493152-20-008414-index.htm,https://www.sec.gov/Archives/edgar/data/1624512/000149315221007447/0001493152-21-007447-index.htm,undefined
102,false,,,,,,,,
