,https://roic.ai/company/SKVI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,241777,300324,355300,272796,127152,173780,588098,755488,915214,1268509,1555159,1013162,1004756,1193947,1213043
14,Depreciation and Amortization,8858,- -,76278,78798,65581,61815,111339,275710,261187,18176,17536,25755,41936,56313,51842,37198,40421,58008,57648,54424,38972,39616,664174000,17939
15,EBITDA,-1256582,-2900000,-1805262,-1479894,-790075,-1248405,-693633,-755441,-1836417,-1346969,-1323017,-1366641,-758305,-1177020,-1226799,-718147,-1130424,-1016989,-724690,-217225,1210476,-657759,663920335,158229
16,EBITDA ratio,-102.4193,-14.5000,-47.9753,-26.5214,-4.3011,-6.4355,-1.3340,-0.8885,-2.6559,-1.7320,-1.7236,-4.7574,-3.3088,-6.5323,-4.5387,-10.7675,-20.5820,-5.8235,-6.6552,-0.3453,17.4553,-15.2379,2409.3844,0.2385
17,Operating Income,-1257172,-2800000,-1881540,-1558692,-855656,-1398224,-804972,-1033258,-2097805,-1365145,-1343553,-1397984,-800241,-1228228,-1323979,-759527,-1166235,-1080547,-841704,-364159,-597935,-539777,-253665,188080
18,Operating Income ratio,-102.4674,-14.0000,-50.0024,-27.9335,-4.6582,-7.2078,-1.5481,-1.2152,-3.0339,-1.7554,-1.7503,-4.8665,-3.4918,-6.8165,-4.8982,-11.3879,-21.2340,-6.1875,-7.7299,-0.5789,-8.6224,-12.5047,-0.9206,0.2835
19,Total Other Income Expenses (Gains),-16536,- -,- -,- -,- -,88004,- -,2107,192,- -,- -,-349712,- -,-132257,-128442,-583916,-760098,-909664,-1209143,-1462649,756277,-1162354,-1193947,-1260833
20,Income Before Tax,-1273708,- -,- -,-1558692,-855656,-1310220,-804972,- -,- -,- -,-1343553,-1747696,- -,-1360485,-1452421,-1343443,-1926333,-1990211,-2050847,-1826808,158342,-1702131,-1447612,-1072753
21,Income Before Tax Ratio,-103.8151,- -,- -,-27.9335,-4.6582,-6.7541,-1.5481,- -,- -,- -,-1.7503,-6.0838,- -,-7.5505,-5.3734,-20.1428,-35.0733,-11.3964,-18.8341,-2.9042,2.2833,-39.4322,-5.2534,-1.6170
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1265440,-2900000,-1881540,-1558692,-855656,-1310220,-804972,-1031151,-2097604,-1606922,-1640877,-1747696,-1073037,-1360485,-1452421,-1343443,-1926333,-1990211,-2050847,-1826808,158342,-1702131,-1447612,-1072753
24,Net Income ratio,-103.1413,-14.5000,-50.0024,-27.9335,-4.6582,-6.7541,-1.5481,-1.2127,-3.0336,-2.0663,-2.1377,-6.0838,-4.6822,-7.5505,-5.3734,-20.1428,-35.0733,-11.3964,-18.8341,-2.9042,2.2833,-39.4322,-5.2534,-1.6170
25,EPS,-8.00,-14.00,-7.50,-4.50,-1.50,-1.50,-0.50,-1.00,-1.50,-1.00,-1.00,-1.00,-0.50,-0.50,-0.50,-0.50,-1.00,-1.00,-1.00,-0.50,0.06,-0.57,-0.32,-0.24
26,EPS Diluted,-8.00,-14.00,-7.50,-4.50,-1.50,-1.50,-0.50,-1.00,-1.50,-1.00,-1.00,-1.00,-0.50,-0.50,-0.50,-0.50,-1.00,-1.00,-1.00,-0.50,0.06,-0.57,-0.32,-0.24
27,Weighted Average Shares Outstanding,157826,205918,251259,339840,513170,864375,1112504,1145270,1238503,1323008,1553506,1780699,1797587,2027409,2174078,2210169,2227992,2279186,2369422,2602228,2871544,3008885,4492398,4492398
28,Weighted Average Shares Outstanding Diluted,157826,205918,251259,339840,513170,864375,1112504,1145270,1238503,1323008,1553506,1780699,1797587,2027409,2174078,2210169,2227992,2279186,2369422,2602228,2871544,3008885,4492398,4492398
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529408000368/mainbody.htm,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529410000293/0001255294-10-000293-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529412000825/0001255294-12-000825-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529413000265/0001255294-13-000265-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529414000299/0001255294-14-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529415000200/0001255294-15-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357716000117/0001663577-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357717000119/0001663577-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357718000138/0001663577-18-000138-index.html,https://www.sec.gov/Archives/edgar/data/1085277/000166357719000163/0001663577-19-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357720000147/skvi10k.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357721000186/0001663577-21-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357722000171/0001663577-22-000171-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,4622,- -,92434,30729,50070,63168,6062,25868,2481,1218,450507,513420,196602,- -,3019,23318,2482,1298,35896,66037
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,4622,- -,92434,30729,50070,63168,6062,25868,2481,1218,450507,513420,196602,- -,3019,23318,2482,1298,35896,66037
34,Net Receivables,- -,- -,- -,- -,44773,28177,19940,127989,28812,43284,10539,4674,1145,2250,28444,12736,10602,6145,11119,256534,9604,10204,7718,82
35,Inventory,- -,- -,- -,- -,123706,76688,112642,73794,22902,20455,17796,17629,16595,14953,18769,22437,83155,90972,79694,26023,17417,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,53088,- -,23047,11109,4580,298621,239744,4212,14003,8613,515,515,- -,- -,- -,10000,12000,4875,6500,8125
37,Total Current Assets,- -,- -,- -,- -,226189,104865,248063,243621,106364,425528,274141,52383,34224,27034,498235,549108,290359,97117,93832,315875,41503,16377,50114,74244
38,PP&E,- -,- -,- -,- -,191475,78685,47894,26480,29652,22440,16593,9516,7349,5717,4459,3555,3275,1695,683,359,118,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,230071,77946,111613,101394,91175,84873,73333,182508,231441,264166,251553,321388,352420,301718,245082,205987,178767,165385,- -,- -
41,Intangible Assets,- -,- -,- -,- -,230071,77946,111613,101394,91175,84873,73333,182508,231441,264166,251553,321388,352420,301718,245082,205987,178767,165385,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109968,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1000225,1200000,1140000,900000,660000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153055
45,Total Non-Current Assets,- -,- -,- -,- -,1421771,1356631,1299507,1027874,780827,287313,89926,192024,238790,269883,256012,324943,355695,303413,245765,316314,178885,165385,- -,153055
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1647960,1461496,1547570,1271495,887191,712841,364067,244407,273014,296917,754247,874051,646054,400530,339597,632189,220388,181762,50114,227299
48,Accounts Payable,- -,- -,- -,- -,463187,674690,346317,206717,299300,256695,469151,741716,638717,623972,636313,479622,420762,529245,808014,612783,954870,606565,865497,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,133303,122763,285362,358348,634346,1090377,2091097,4227852,4558133,4854073,5069799,2815640,2090763,1787439,40000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,623000,978000,825000,450000,50000,49792,302815,229792,19792,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,149124,43625,- -,- -,25728,229807,23209,17099,5150,- -,626151,1040718,348111,539247,785717,1709229,1169293,491601,66049,3021293
53,Total Current Liabilities,- -,- -,- -,- -,612311,718315,969317,1184717,1150028,1069805,665123,1093969,1305030,1488110,2372633,3611437,4996725,5626625,6447804,7391811,4939803,3188929,2718985,3061293
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,436000,- -,- -,- -,- -,-1638840,159433
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2422291
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,436000,- -,- -,- -,- -,-1638840,2581724
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297198,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,612311,718315,969317,1184717,1150028,1069805,665123,1093969,1305030,1488110,2372633,3611437,4996725,6062625,6447804,7391811,4939803,3188929,4655023,5643017
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,38790,48715,55625,58225,64444,70739,84098,94945,97520,106594,109507,110910,111814,115702,123835,136865,2897,4472,4540,4540
64,Retained Earnings,- -,- -,- -,- -,-8445979,-9756199,-10561171,-11592322,-13689926,-15296848,-16937725,-18685421,-19758458,-21118943,-22571364,-23914808,-25841141,-27831352,-29882199,-31709007,-31550665,-33252796,- -,-35773161
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-216046,-228452,-273295,-298787,-309850,-317657,-322734,-346202,-328369,-330001,-318519,-322813,-324275,-325855,-326867,-327191,-327432,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,9658884,10679117,11357094,11919662,13672495,15186802,16875305,18087116,18957291,20151157,21161990,21389325,21702931,22379410,23977024,25139711,27155785,30241157,-4459319,30352905
67,Total Stockholders Equity,- -,- -,- -,- -,1035649,743181,578253,86778,-262837,-356964,-301056,-849562,-1032016,-1191193,-1618386,-2737386,-4350671,-5662095,-6108207,-6759622,-4719415,-3007167,-4454779,-5415716
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1647960,1461496,1547570,1271495,887191,712841,364067,244407,273014,296917,754247,874051,646054,400530,339597,632189,220388,181762,200244,227301
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150130,-2
70,Total Liabilities & Equity,- -,- -,- -,- -,1647960,1461496,1547570,1271495,887191,712841,364067,244407,273014,296917,754247,874051,646054,400530,339597,632189,220388,181762,50114,227299
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529408000368/mainbody.htm,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529410000293/0001255294-10-000293-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529412000825/0001255294-12-000825-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529413000265/0001255294-13-000265-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529414000299/0001255294-14-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529415000200/0001255294-15-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357716000117/0001663577-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357717000119/0001663577-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357718000138/0001663577-18-000138-index.html,https://www.sec.gov/Archives/edgar/data/1085277/000166357719000163/0001663577-19-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357720000147/skvi10k.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357721000186/0001663577-21-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357722000171/0001663577-22-000171-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1265440,-2900000,-1881540,-1558692,-855656,-1310220,-804972,-1031151,-2097604,-1606922,-1640877,-1747696,-1073037,-1360485,-1452421,-1343443,-1926333,-1990211,-2050847,-1826808,158342,-1702131,-1447612,-1072753
74,Depreciation and Amortization,8858,- -,76278,78798,65581,61815,111339,275710,261187,18176,17536,25755,41936,56313,51842,37198,40421,58008,57648,54424,38972,39616,664174000,17939
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625686,126220,155100,- -,21200,54540,13800,145746,223090,- -,- -,- -,- -
77,Change in Working Capital,21778,- -,- -,- -,-386122,-227328,-107804,-219842,-102568,399387,253295,-650604,-229220,-190270,-413322,-1187931,-1644037,-823142,-824464,-721964,2177636,1725748,503681,-318178
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9085,468,- -,-26194,15708,2134,4457,-4974,69,1446,-1745,2486000,7636
79,Inventory,-47530,- -,7796,17026,622,47018,-35954,38848,50892,2447,2658,167,1034,1642,-3816,-3668,-60718,-7817,11278,53671,8606,7152,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376713,354707,266548000,- -
81,Other Working Capital,- -,- -,- -,- -,-386122,-613450,-721254,-941096,-1043664,-644277,-390982,-1041586,-1270806,-1461076,-1874398,-3062329,-4706366,-5529508,-6353972,-7075936,-4898300,-3172552,-2668871,-2987049
82,Other Non-Cash Items,-200000,-1100000,69007,293605,390131,993288,340192,770782,1076910,445487,422691,1396352,1151431,1146882,1274997,1721322,2307686,1888810,2427535,2257383,-2409275,-191445,-617465069,1747597
83,Cash Provided by Operating Activities,-1434804,-4000000,-1736255,-1186289,-786066,-482445,-461245,-204501,-862075,-743872,-947355,-350507,17330,-192460,-538904,-751654,-1167723,-852735,-244382,-13875,-34325,-128212,45765000,374605
84,CAPEX,-124020,-300000,-36268,-8935,-4368,- -,-54215,-4077,-13847,-4662,-2076,-129536,-138702,-87404,-37971,-106129,-71173,-5726,- -,-15005,-11511,-26116,-16767000,-20864
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-17532,-12539,41084,- -,- -,- -,- -,- -,- -,- -,- -,6000,- -,- -,- -,- -,-32286,-11511,48884,- -,- -
89,Cash Used for Investing Activites,-124020,-300000,-36268,-26467,-16907,41084,-54215,-4077,-13847,-4662,-2076,-129536,-138702,-87404,-31971,-106129,-71173,-5726,- -,-47291,-11511,48884,-16767000,-20864
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215000,-18000,-18000,-94500,-73100,-100525,-5000,-39000,- -,- -
91,Common Stock Issued,944600,5100000,1380700,1206600,899128,405000,607894,146873,870500,198000,122500,26000,25000,223001,- -,- -,- -,80000,75000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,725000,- -,-497762,-382,-93868,31739,- -,- -,25728,563632,769824,473849,72985,55600,1235164,938696,940078,676359,245501,181990,30000,117144,5600000,-323600
95,Cash Used/Provided by Financing Activities,1669600,5100000,882938,1206218,805260,436739,607894,146873,896228,761632,892324,499849,97985,278601,1020164,920696,922078,661859,247401,81465,25000,78144,5600000,-323600
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-965,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1669600,800000,-889585,-6538,2287,- -,- -,-61705,19341,13098,-57107,19806,-23387,-1263,449289,62913,-316818,- -,- -,20299,-20836,-1184,34598000,-35829963
98,Cash at the End of Period,110776,900000,8873,2335,4622,- -,92434,30729,50070,63168,6061,25868,2481,1218,450507,513420,196602,- -,3019,23318,2482,1298,35896000,66037
99,Cash at the Beginning of Period,- -,100000,898458,8873,2335,4622,- -,92434,30729,50070,63168,6062,25868,2481,1218,450507,513420,196602,- -,3019,23318,2482,1298000,35896000
100,Free Cash Flow,-1558824,-4300000,-1772523,-1195224,-790434,-482445,-515460,-208578,-875922,-748534,-949431,-480043,-121372,-279864,-576875,-857783,-1238896,-858461,-244382,-28880,-45836,-154328,28998000,353741
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529408000368/mainbody.htm,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529410000293/0001255294-10-000293-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1085277/000125529412000825/0001255294-12-000825-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529413000265/0001255294-13-000265-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529414000299/0001255294-14-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000125529415000200/0001255294-15-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357716000117/0001663577-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357717000119/0001663577-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357718000138/0001663577-18-000138-index.html,https://www.sec.gov/Archives/edgar/data/1085277/000166357719000163/0001663577-19-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357720000147/skvi10k.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357721000186/0001663577-21-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1085277/000166357722000171/0001663577-22-000171-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
