,https://roic.ai/company/JOAN,2018,2019,2020,2021,2022
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1834585/000156459021017323/0001564590-21-017323-index.htm,https://www.sec.gov/Archives/edgar/data/1834585/000095017022004136/0000950170-22-004136-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,51500000,24400000,27400000,22500000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,51500000,24400000,27400000,22500000
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,615800000,649700000,555900000,658600000
36,Other Current Assets,- -,42700000,45700000,71500000,39200000
37,Total Current Assets,- -,710000000,719800000,654800000,720300000
38,PP&E,- -,298400000,1016100000,1117500000,1074800000
39,Goodwill,- -,643800000,162000000,162000000,162000000
40,Intangible Assets,- -,403400000,384200000,377200000,370300000
41,Intangible Assets,- -,1047200000,546200000,539200000,532300000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15200000,19200000,25800000,34800000
45,Total Non-Current Assets,- -,1360800000,1581500000,1682500000,1641900000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,2070800000,2301300000,2337300000,2362200000
48,Accounts Payable,- -,224900000,227100000,250100000,253800000
49,Short-Term Debt,- -,26000000,167600000,192800000,180600000
50,Tax Payable,- -,36300000,24500000,23400000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,144000000,103500000,165700000,142400000
53,Total Current Liabilities,- -,394900000,498200000,608600000,576800000
54,Long-Term Debt,- -,1106300000,1210200000,1559900000,1511600000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,82900000,91000000,98000000,87700000
57,Other Non-Current Liabilities,- -,113500000,673900000,28400000,36300000
58,Total Non-Current Liabilities,- -,1302700000,1975100000,1686300000,1635600000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,500000,806300000,966400000,906800000
61,Total Liabilities,- -,1697600000,2473300000,2294900000,2212400000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,300000,300000,300000,400000
64,Retained Earnings,- -,265300000,-281300000,-69000000,-24900000
65,Other Comprehensive Income/Loss,- -,-1300000,-900000,-300000,1800000
66,Other Total Stockholders Equity,- -,108900000,109900000,111400000,- -
67,Total Stockholders Equity,- -,373200000,-172000000,42400000,149800000
68,Total Liabilities And Stockholders Equity,- -,2070800000,2301300000,2337300000,2362200000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2070800000,2301300000,2337300000,2362200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1834585/000156459021017323/0001564590-21-017323-index.htm,https://www.sec.gov/Archives/edgar/data/1834585/000095017022004136/0000950170-22-004136-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,96500000,35300000,-546600000,212300000,56700000
74,Depreciation and Amortization,78800000,76000000,77500000,80000000,80000
75,Deferred Income Tax,-57400000,-16200000,7900000,-3900000,- -
76,Stock Based Compensation,1000000,600000,1200000,1500000,- -
77,Change in Working Capital,-28200000,316400000,-93500000,-175400000,-46056000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,-16600000,-39100000,-33900000,93800000,- -
80,Accounts Payable,36200000,47600000,2200000,23000000,- -
81,Other Working Capital,-1300000,315100000,221600000,46200000,144000
82,Other Non-Cash Items,7000000,-313100000,519600000,212600000,-10724000
83,Cash Provided by Operating Activities,97700000,99000000,-33900000,327100000,- -
84,CAPEX,-44000000,-48400000,-78600000,-36000000,- -
85,Acquisitions Net,-6800000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-44000000,-49700000,-79500000,-35700000,- -
89,Cash Used for Investing Activites,-50800000,-49700000,-79500000,-35700000,- -
90,Debt Repayment,-541200000,-797200000,-439900000,-868900000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-700000,- -,-500000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,499600000,772100000,526700000,580500000,- -
95,Cash Used/Provided by Financing Activities,-42300000,-25100000,86300000,-288400000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,4600000,24200000,-27100000,3000000,- -
98,Cash at the End of Period,27300000,51500000,24400000,27400000,- -
99,Cash at the Beginning of Period,22700000,27300000,51500000,24400000,27400000
100,Free Cash Flow,53700000,50600000,-112500000,291100000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1834585/000156459021017323/0001564590-21-017323-index.htm,https://www.sec.gov/Archives/edgar/data/1834585/000095017022004136/0000950170-22-004136-index.htm
102,false,,,,,
