,https://roic.ai/company/MJNE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,150000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-895143,-153974,-300000,- -,-150000,- -
89,Cash Used for Investing Activites,-2202,-5256,-1494,- -,-2993439,-897143,-3974,-317535,-2734672,-1516643,-35477
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-900994,- -,-72089
91,Common Stock Issued,- -,- -,1250,- -,1615000,- -,- -,2243372,3121001,6164993,124535
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-25000,- -,- -,- -
94,Other Financing Activites,16200,20150,17994,22910,1781048,914366,- -,735479,3850000,-59919,264000
95,Cash Used/Provided by Financing Activities,16200,20150,19244,22910,3396048,914366,- -,2953851,6070007,6105074,316446
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4363,-122,9,179,175314,127576,160405,- -,-2457207,-33724,94604
98,Cash at the End of Period,412,290,299,478,175792,303368,463773,2513863,56656,22932,117536
99,Cash at the Beginning of Period,4775,412,290,299,478,175792,303368,- -,2513863,56656,22932
100,Free Cash Flow,-20562,-20272,-19235,-22731,-227295,108353,164379,-439988,-8527214,-857362,-221842
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456857/000149315220023268/0001493152-20-023268-index.htm,https://www.sec.gov/Archives/edgar/data/1456857/000149315221008836/0001493152-21-008836-index.htm
102,false,,,,,,,,,,,
