,https://roic.ai/company/RSKIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),1100000,1364000,1319000,1132000,1328000,1485000,1392000,1484000,1562000,1272000,419000,690000,582000,1206000,160000,1447000,1533000,1231000,1127000,1000000,1064000,561000,3624000
23,Net Income,2200000,2187000,2225000,1856000,2285000,2411000,2515000,2732000,2981000,2265000,516000,1542000,2026000,2648000,3788000,3122000,3152000,3086000,2401000,2546000,3284000,2104000,10822000
24,Net Income ratio,0.1679,0.1622,0.1599,0.1342,0.1772,0.1886,0.1918,0.1917,0.2221,0.1979,0.0585,0.1972,0.2287,0.2575,0.3604,0.2832,0.2648,0.2746,0.2202,0.2134,0.2325,0.1421,0.5848
25,EPS,0.36,0.36,0.38,0.33,0.42,0.44,0.47,0.51,0.56,0.43,0.10,0.30,0.40,0.52,0.75,0.62,0.63,0.61,0.48,0.51,0.66,0.42,2.19
26,EPS Diluted,0.36,0.36,0.38,0.33,0.42,0.44,0.47,0.51,0.56,0.43,0.10,0.30,0.40,0.52,0.75,0.62,0.62,0.61,0.48,0.51,0.66,0.42,2.18
27,Weighted Average Shares Outstanding,6111111,6043111,5892881,5588686,5402528,5402528,5399982,5360740,5340769,5307829,5167806,5080387,5057337,5045103,5035525,5032117,5029343,5024428,4984013,4958769,4962547,4952277,4948710
28,Weighted Average Shares Outstanding Diluted,6111111,6043111,5892881,5588686,5402528,5402528,5399982,5360740,5340769,5307829,5167806,5080387,5057337,5045103,5035525,5032117,5083871,5024428,5004513,4977584,4983047,4972777,4969210
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84112/000138713116006450/0001387131-16-006450-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315217009263/0001493152-17-009263-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315218011555/0001493152-18-011555-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315220009782/0001493152-20-009782-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315220015508/0001493152-20-015508-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315221019424/0001493152-21-019424-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,2699000,4280000,5451000,5495000,4611000,4072000,4617000,3641000,5254000,5773000,4859000,5872000,5691000,5918000,6456000,4294000,4873000,6458000,7326000
32,Short-Term Investments,- -,- -,- -,- -,9681000,10766000,11750000,13811000,16738000,17533000,15691000,19607000,19512000,20280000,22208000,23904000,25266000,24530000,26382000,26346000,27291000,25322000,33337000
33,Cash and Short-Term Investments,- -,- -,- -,- -,12380000,15046000,17201000,19306000,21349000,21605000,20308000,23248000,24766000,26053000,27067000,29776000,30957000,30448000,32838000,30640000,32164000,31780000,40663000
34,Net Receivables,- -,- -,- -,- -,1626000,1869000,2243000,2138000,1928000,1513000,1276000,1306000,1579000,1673000,2268000,2037000,2545000,2111000,2104000,2547000,2702000,2982000,3828000
35,Inventory,- -,- -,- -,- -,2430000,2379000,2054000,2270000,3060000,3100000,2741000,1968000,1854000,2351000,2074000,2233000,2275000,2964000,2304000,3267000,4583000,5103000,5622000
36,Other Current Assets,- -,- -,- -,- -,253000,159000,221000,699000,377000,824000,1399000,624000,318000,261000,695000,132000,108000,68000,193000,1350000,541000,572000,405000
37,Total Current Assets,- -,- -,- -,- -,16689000,19453000,21719000,24413000,26714000,27042000,25724000,27146000,28517000,30338000,32104000,34178000,35885000,35591000,37439000,37804000,39990000,40437000,50518000
38,PP&E,- -,- -,- -,- -,887000,835000,786000,926000,828000,831000,628000,733000,639000,815000,746000,666000,661000,756000,739000,1076000,1101000,1486000,1704000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1517000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1763000,1640000,1517000,1394000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,218000,228000,238000,238000,253000,253000,273000,293000,293000,320000,320000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,280000,246000,246000,231000,353000,341000,291000,119000,214000,6000,3000,1000,57000,68000,13000,6000,3000,2000,200000
45,Total Non-Current Assets,- -,- -,- -,- -,1167000,1081000,1032000,1157000,1181000,1172000,1119000,1052000,1071000,1049000,987000,905000,971000,1077000,1025000,3138000,3037000,3325000,3618000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,17856000,20534000,22751000,25570000,27895000,28214000,26843000,28198000,29588000,31387000,33091000,35083000,36856000,36668000,38464000,40942000,43027000,43762000,54136000
48,Accounts Payable,- -,- -,- -,- -,129000,92000,138000,141000,127000,67000,35000,57000,128000,96000,68000,109000,110000,31000,69000,336000,206000,187000,477000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,950000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699000,- -
52,Other Current Liabilities,- -,- -,- -,- -,449000,317000,498000,445000,498000,560000,623000,593000,731000,1047000,1076000,2075000,2262000,1662000,1724000,1921000,2070000,1643000,2520000
53,Total Current Liabilities,- -,- -,- -,- -,578000,409000,636000,586000,625000,627000,658000,650000,859000,1143000,1144000,2184000,2372000,1693000,1793000,2257000,2276000,3479000,2997000
54,Long-Term Debt,- -,- -,- -,- -,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,27000,61000,73000,74000,79000,86000,75000,53000,124000,133000,100000,115000,191000,906000,955000,1198000,699000,2735000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,45000,25000,- -,- -,5000,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,75000,27000,61000,118000,99000,79000,86000,80000,58000,129000,133000,100000,115000,191000,906000,955000,1198000,699000,2735000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,653000,436000,697000,704000,724000,706000,744000,730000,917000,1272000,1277000,2284000,2487000,1884000,2699000,3212000,3474000,4178000,5732000
62,Preferred Stock,- -,- -,- -,- -,107000,107000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
63,Common Stock,- -,- -,- -,- -,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000
64,Retained Earnings,- -,- -,- -,- -,17668000,20079000,22054000,24250000,26430000,27788000,27424000,28102000,29115000,30603000,31873000,32417000,33960000,35337000,35981000,36746000,38145000,41006000,49749000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1946000,-2069000,-2273000,-2456000,-2622000,-2769000,-2941000,-3090000,-3240000,-3397000,-3552000,-3386000,-3363000,-3545000,1000000,2000000,-4100000,-4333000,108000
66,Other Total Stockholders Equity,- -,- -,- -,- -,524000,1131000,1324000,2123000,2414000,1540000,667000,1507000,1847000,1960000,2544000,2819000,2823000,2043000,-2165000,-1965000,4559000,1962000,-2402000
67,Total Stockholders Equity,- -,- -,- -,- -,17203000,20098000,22054000,24866000,27171000,27508000,26099000,27468000,28671000,30115000,31814000,32799000,34369000,34784000,35765000,37730000,39553000,39584000,48404000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,17856000,20534000,22751000,25570000,27895000,28214000,26843000,28198000,29588000,31387000,33091000,35083000,36856000,36668000,38464000,40942000,43027000,43762000,54136000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,17856000,20534000,22751000,25570000,27895000,28214000,26843000,28198000,29588000,31387000,33091000,35083000,36856000,36668000,38464000,40942000,43027000,43762000,54136000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84112/000138713116006450/0001387131-16-006450-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315217009263/0001493152-17-009263-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315218011555/0001493152-18-011555-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315220009782/0001493152-20-009782-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315220015508/0001493152-20-015508-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315221019424/0001493152-21-019424-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2200000,2187000,2225000,1856000,2285000,2411000,2515000,2732000,2981000,2265000,516000,1542000,2026000,2648000,3788000,3122000,3152000,3086000,2401000,2546000,3284000,2104000,10822000
74,Depreciation and Amortization,200000,208000,265000,261000,263000,235000,206000,184000,180000,170000,173000,167000,153000,160000,174000,156000,149000,182000,187000,257000,354000,373000,401000
75,Deferred Income Tax,- -,- -,17000,- -,- -,46000,- -,-136000,198000,37000,-242000,165000,-114000,119000,-840000,-40000,59000,-21000,-13000,28000,40000,-496000,1988000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1800000,-100000,- -,- -,16111000,2933000,2039000,2744000,2262000,326000,-1349000,1430000,1162000,1537000,1765000,1034000,1519000,385000,1748000,-99000,2167000,-756000,10563000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000,-5000,-287000,-95000,-244000,-118000,31000,98000,62000,-701000,-155000,-266000,-850000
79,Inventory,-500000,-406000,-159000,331000,-2000,50000,326000,-215000,-825000,-41000,336000,732000,81000,-535000,277000,-177000,74000,-695000,660000,-980000,-1316000,-567000,-557000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000,22000,71000,-32000,-28000,41000,1000,-79000,38000,268000,-130000,-19000,291000
81,Other Working Capital,100000,- -,- -,- -,16111000,19044000,21083000,23827000,26089000,26415000,25066000,26496000,27658000,29195000,30960000,31994000,33513000,33898000,35646000,35547000,37714000,36958000,47521000
82,Other Non-Cash Items,100000,-1342000,-788000,-2798000,-16716000,-3175000,-1866000,-2901000,-3007000,-211000,3650000,-1150000,-1170000,-2004000,-2689000,-1281000,-2399000,-738000,-1139000,-2362000,-3110000,2095000,-19982000
83,Cash Provided by Operating Activities,700000,953000,1719000,-681000,1943000,2450000,2894000,2623000,2614000,2587000,2748000,2154000,2057000,2460000,2198000,2991000,2480000,2894000,3184000,370000,2735000,3320000,3792000
84,CAPEX,-300000,-653000,-149000,-184000,-84000,-191000,-158000,-335000,-82000,-176000,-143000,-98000,-60000,-298000,-103000,-85000,-201000,-276000,-115000,-2157000,-154000,-731000,-517000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-700000,- -,-1567000,-5380000,-4323000,-10922000,-6868000,-1296000,-2748000,-886000,-901000,-770000,-620000,-1001000,-864000,-967000,-787000,-942000,-858000,-506000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1003000,4290000,2751000,8387000,5510000,260000,747000,1592000,168000,89000,5000,33000,64000,587000,2033000,766000,776000,21000
88,Other Investing Activites,-100000,-520000,5000,10000,-250000,46000,15000,-210000,-141000,-763000,-168000,-305000,-166000,145000,-34000,96000,4000,-11000,- -,-1618000,5000,5000,4000
89,Cash Used for Investing Activites,-400000,-1173000,-144000,-874000,-334000,-709000,-1233000,-2117000,-2758000,-2297000,-1347000,-2404000,480000,-886000,-818000,-604000,-1165000,-1087000,-495000,-905000,-325000,-808000,-998000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000,-27000,-555000,-10000,-79000,-74000,-35000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-490000,-495000,-732000,-829000,-802000,-785000,-924000,-1055000,-2290000,-1374000,-1463000,-1553000,-1596000,-1617000,-1752000,-1803000,-1891000
94,Other Financing Activites,100000,-33000,-31000,147000,-4000,-160000,- -,33000,-8000,- -,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,950000,- -
95,Cash Used/Provided by Financing Activities,- -,18000,-31000,147000,-4000,-160000,-490000,-462000,-740000,-829000,-802000,-780000,-924000,-1055000,-2294000,-1374000,-1496000,-1580000,-2151000,-1627000,-1831000,-927000,-1926000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,300000,-202000,1544000,-1408000,1605000,1581000,1171000,44000,-884000,-539000,599000,-1030000,1613000,519000,-914000,1013000,-181000,227000,538000,-2162000,579000,1585000,868000
98,Cash at the End of Period,1200000,958000,2502000,1094000,2699000,4280000,5451000,5495000,4611000,4072000,4671000,3641000,5254000,5773000,4859000,5872000,5691000,5918000,6456000,4294000,4873000,6458000,7326000
99,Cash at the Beginning of Period,900000,1160000,958000,2502000,1094000,2699000,4280000,5451000,5495000,4611000,4072000,4671000,3641000,5254000,5773000,4859000,5872000,5691000,5918000,6456000,4294000,4873000,6458000
100,Free Cash Flow,400000,300000,1570000,-865000,1859000,2259000,2736000,2288000,2532000,2411000,2605000,2056000,1997000,2162000,2095000,2906000,2279000,2618000,3069000,-1787000,2581000,2589000,3275000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84112/000138713116006450/0001387131-16-006450-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315217009263/0001493152-17-009263-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315218011555/0001493152-18-011555-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315220009782/0001493152-20-009782-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315220015508/0001493152-20-015508-index.htm,https://www.sec.gov/Archives/edgar/data/84112/000149315221019424/0001493152-21-019424-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
