,https://roic.ai/company/BR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1383312/000119312507188068/0001193125-07-188068-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312508178063/0001193125-08-178063-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312509171581/0001193125-09-171581-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312510187056/0001193125-10-187056-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312511220708/0001193125-11-220708-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312512346911/0001193125-12-346911-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312513326099/0001193125-13-326099-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312514300856/0001193125-14-300856-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331215000051/0001383312-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331216000108/br-20160630x10xk.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331217000053/0001383312-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331218000041/0001383312-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331219000042/br-20190630xform10xk.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331220000055/0001383312-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331221000047/0001383312-21-000047-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50100000,88600000,198300000,280900000,412600000,241500000,320500000,266000000,347600000,324100000,727700000,271100000,201800000,195300000,476600000,274500000
32,Short-Term Investments,- -,66400000,33700000,246500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,50100000,155000000,232000000,527400000,412600000,241500000,320500000,266000000,347600000,324100000,727700000,271100000,201800000,195300000,476600000,274500000
34,Net Receivables,404200000,1743900000,1785300000,1392300000,354300000,406600000,370700000,442400000,424800000,444500000,453400000,589500000,615000000,664000000,711300000,820300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,951600000,61100000,61900000,83900000,225500000,103300000,86200000,98600000,108200000,92800000,108000000,129000000,174300000,183000000,140100000,166500000
37,Total Current Assets,1405900000,1960000000,2079200000,2003600000,992400000,751400000,777400000,807000000,880600000,861400000,1289100000,989600000,991100000,1042300000,1328000000,1261300000
38,PP&E,80700000,77400000,82600000,75400000,87400000,83100000,79000000,80900000,88300000,97300000,112300000,198100000,204000000,188900000,454200000,439200000
39,Goodwill,480400000,480200000,484300000,511100000,509500000,735600000,780000000,778400000,856100000,970500000,999300000,1159300000,1254900000,1500000000,1674500000,3720100000
40,Intangible Assets,56400000,31400000,30100000,41300000,46100000,147200000,143300000,120600000,130000000,195700000,210200000,486200000,494100000,556200000,583600000,1424900000
41,Intangible Assets,536800000,511600000,514400000,552400000,555600000,882800000,923300000,899000000,986100000,1166200000,1209500000,1645500000,1749000000,2056200000,2258100000,5145000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,20900000,25300000,33300000,48500000,63400000,80300000,100400000,141600000,194000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,111300000,129200000,157400000,143300000,159000000,186700000,207900000,210400000,211800000,209900000,220400000,253100000,280200000,492600000,707600000,1080100000
45,Total Non-Current Assets,728800000,718200000,754400000,771100000,802000000,1152600000,1210200000,1211200000,1311500000,1506700000,1590700000,2160100000,2313500000,2838100000,3561500000,6858300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2134700000,2678200000,2833600000,2774700000,1794400000,1904000000,1987600000,2018200000,2192100000,2368100000,2879800000,3149700000,3304600000,3880400000,4889500000,8119600000
48,Accounts Payable,78400000,91500000,89900000,75300000,91300000,119000000,102200000,143100000,116300000,115900000,133200000,167200000,191800000,133700000,151800000,248900000
49,Short-Term Debt,- -,109200000,- -,- -,- -,400000000,- -,- -,- -,- -,124900000,- -,- -,- -,435200000,40200000
50,Tax Payable,- -,- -,- -,- -,- -,23700000,42900000,51800000,35000000,28500000,49900000,80200000,25300000,68900000,38500000,42600000
51,Deferred Revenue,9500000,24600000,25500000,34600000,34800000,33400000,47500000,49200000,61500000,72600000,82700000,121900000,145500000,125700000,155700000,240800000
52,Other Current Liabilities,902400000,1203300000,1410000000,1310800000,360300000,230300000,260600000,277200000,306600000,320400000,352100000,455900000,440100000,543200000,598600000,758100000
53,Total Current Liabilities,990300000,1428600000,1525400000,1420700000,486400000,782700000,410300000,469500000,484400000,508900000,692900000,745000000,777400000,802600000,1341300000,1288000000
54,Long-Term Debt,- -,617700000,447900000,324100000,324100000,124300000,524400000,524500000,524100000,689400000,897600000,1102100000,1053400000,1470400000,1675900000,4150700000
55,Deferred Revenue,41800000,39800000,60900000,50900000,47800000,47300000,38300000,40200000,59000000,75200000,70300000,74300000,75200000,160700000,175400000,197200000
56,Deferred Tax Liabilities,- -,- -,- -,- -,56200000,71300000,63200000,71200000,62400000,61700000,61600000,82000000,57900000,86700000,126800000,400700000
57,Other Non-Current Liabilities,59400000,61000000,53600000,70000000,72800000,81100000,100900000,96800000,100500000,105100000,111900000,142500000,246400000,232700000,223800000,274000000
58,Total Non-Current Liabilities,101200000,718500000,562400000,445000000,500900000,324000000,726800000,732700000,746000000,931400000,1141400000,1400900000,1432900000,1950500000,2201900000,5022600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323600000,303300000
61,Total Liabilities,1091500000,2147100000,2087800000,1865700000,987300000,1106700000,1137100000,1202200000,1230400000,1440300000,1834300000,2145900000,2210300000,2753100000,3543200000,6310600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1400000,1400000,1400000,1500000,1500000,1500000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000
64,Retained Earnings,- -,90300000,248200000,432300000,546900000,642200000,686100000,811300000,973900000,1132000000,1297800000,1469400000,1727000000,2087700000,2302600000,2583800000
65,Other Comprehensive Income/Loss,45200000,26600000,28700000,6900000,-1400000,16100000,3500000,4200000,10300000,-20900000,-38200000,-55800000,-51900000,-71200000,-100400000,9200000
66,Other Total Stockholders Equity,998200000,412800000,467500000,468400000,260100000,137500000,159400000,-1100000,-24100000,-184900000,-215700000,-411300000,-582300000,-890500000,-857200000,-785400000
67,Total Stockholders Equity,1043200000,531100000,745800000,909000000,807100000,797300000,850500000,816000000,961700000,927800000,1045500000,1003900000,1094400000,1127600000,1346600000,1809200000
68,Total Liabilities And Stockholders Equity,2134700000,2678200000,2833600000,2774700000,1794400000,1904000000,1987600000,2018200000,2192100000,2368100000,2879800000,3149800000,3304700000,3880700000,4889800000,8119800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-300000,-300000,-200000
70,Total Liabilities & Equity,2134700000,2678200000,2833600000,2774700000,1794400000,1904000000,1987600000,2018200000,2192100000,2368100000,2879800000,3149700000,3304600000,3880400000,4889500000,8119600000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1383312/000119312507188068/0001193125-07-188068-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312508178063/0001193125-08-178063-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312509171581/0001193125-09-171581-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312510187056/0001193125-10-187056-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312511220708/0001193125-11-220708-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312512346911/0001193125-12-346911-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312513326099/0001193125-13-326099-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312514300856/0001193125-14-300856-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331215000051/0001383312-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331216000108/br-20160630x10xk.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331217000053/0001383312-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331218000041/0001383312-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331219000042/br-20190630xform10xk.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331220000055/0001383312-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331221000047/0001383312-21-000047-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,166700000,197100000,192200000,223300000,190000000,169600000,123600000,212100000,263000000,287100000,307500000,326800000,427900000,482100000,462500000,547500000
74,Depreciation and Amortization,48200000,62500000,51500000,56300000,57000000,57400000,73200000,69400000,69400000,74600000,84400000,141200000,163500000,172600000,196700000,221100000
75,Deferred Income Tax,- -,6100000,-15000000,7700000,3400000,12800000,-8400000,14100000,-11600000,600000,-5900000,-14700000,-9300000,-3500000,29000000,52000000
76,Stock Based Compensation,24600000,24300000,34700000,29700000,27300000,30000000,28300000,27100000,34600000,38600000,43100000,46100000,55100000,58400000,60800000,58600000
77,Change in Working Capital,136000000,115800000,22400000,29100000,-76900000,-537300000,398400000,-29600000,58700000,-43700000,243700000,-351600000,-30900000,26000000,-253000000,-13400000
78,Accounts Receivable,- -,-99200000,87000000,31700000,27800000,-39800000,34700000,-73200000,19100000,-4200000,-5300000,-44400000,-18600000,-34900000,-33500000,-42400000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,13200000,-2200000,-14000000,9900000,8500000,-12400000,41300000,-26800000,1900000,6200000,16200000,43000000,- -,- -,- -
81,Other Working Capital,415600000,531400000,553800000,582900000,506000000,-31300000,367100000,337500000,396200000,352500000,596200000,244600000,213700000,239700000,-13300000,-26700000
82,Other Non-Cash Items,50600000,-245300000,196200000,12700000,292800000,481800000,-330900000,-22200000,-26400000,74200000,-235100000,368100000,87300000,-118700000,102200000,-225700000
83,Cash Provided by Operating Activities,426100000,160500000,482000000,358800000,493600000,214300000,284200000,270900000,387700000,431400000,437700000,515900000,693600000,616900000,598200000,640100000
84,CAPEX,-40700000,-37900000,-46500000,-29900000,-53100000,-47300000,-46700000,-50900000,-53400000,-66000000,-75500000,-203700000,-137900000,-72600000,-98700000,-100700000
85,Acquisitions Net,7500000,- -,- -,-60800000,-35200000,-293500000,-72400000,- -,-96900000,-210400000,-57900000,-454700000,-108300000,-354700000,-339100000,-2603600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,- -,- -,66700000
88,Other Investing Activites,-28300000,-37900000,-52600000,-29900000,-53100000,-47300000,-40200000,-52000000,-53400000,-66000000,-79000000,-204600000,-141000000,-78800000,-102600000,-116800000
89,Cash Used for Investing Activites,-20800000,-37900000,-52600000,-90700000,-88300000,-340800000,-110500000,-52000000,-150300000,-276400000,-136900000,-659300000,-249300000,-433500000,-441700000,-2653700000
90,Debt Repayment,- -,-151000000,-306600000,-122600000,- -,-40000000,-490000000,- -,-400000000,-156900000,-475000000,-416800000,-390000000,-387400000,-1292800000,-2230700000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1900000,-35500000,-268900000,-222100000,-51600000,-238500000,-129700000,-301700000,-119800000,-342800000,-277100000,-397800000,-69300000,-21500000
93,Dividends Paid,- -,- -,-33600000,-37900000,-66600000,-74800000,-78100000,-85800000,-96700000,-122300000,-138200000,-152200000,-165800000,-211200000,-241000000,-261700000
94,Other Financing Activites,-387900000,67000000,21700000,7400000,61800000,284400000,531000000,51100000,467500000,422600000,841600000,600100000,383000000,823400000,1654300000,4311700000
95,Cash Used/Provided by Financing Activities,-387900000,-84000000,-320400000,-188600000,-273700000,-52500000,-88700000,-273200000,-158900000,-158300000,108600000,-311700000,-449900000,-173000000,51200000,1797800000
96,Effect of Forex Changes on Cash,200000,-100000,700000,3100000,100000,7900000,-6000000,-200000,3100000,-20200000,-5700000,-1600000,-1600000,-1100000,-4300000,13800000
97,Net Change In Cash,17600000,38500000,109700000,82600000,131700000,-171100000,79000000,-54500000,81600000,-23500000,403600000,-456600000,-7200000,9300000,203400000,-202100000
98,Cash at the End of Period,50100000,88600000,198300000,280900000,412600000,241500000,320500000,266000000,347600000,324100000,727700000,271100000,263900000,273200000,476600000,274500000
99,Cash at the Beginning of Period,32500000,50100000,88600000,198300000,280900000,412600000,241500000,320500000,266000000,347600000,324100000,727700000,271100000,263900000,273200000,476600000
100,Free Cash Flow,385400000,122600000,435500000,328900000,440500000,167000000,237500000,220000000,334300000,365400000,362200000,312200000,555700000,544300000,499500000,539400000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1383312/000119312507188068/0001193125-07-188068-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312508178063/0001193125-08-178063-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312509171581/0001193125-09-171581-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312510187056/0001193125-10-187056-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312511220708/0001193125-11-220708-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312512346911/0001193125-12-346911-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312513326099/0001193125-13-326099-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000119312514300856/0001193125-14-300856-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331215000051/0001383312-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331216000108/br-20160630x10xk.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331217000053/0001383312-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331218000041/0001383312-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/1383312/000138331219000042/br-20190630xform10xk.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331220000055/0001383312-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331221000047/0001383312-21-000047-index.htm
102,false,,,,,,,,,,,,,,,,
