,https://roic.ai/company/OMAB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1378239/000114036108014783/0001140361-08-014783-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036109014526/0001140361-09-014526-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036110024838/0001140361-10-024838-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036111031544/0001140361-11-031544-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036112021913/0001140361-12-021913-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036113017780/0001140361-13-017780-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465914030801/0001104659-14-030801-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465915030630/0001104659-15-030630-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465916114802/0001104659-16-114802-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465917027790/0001104659-17-027790-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837018003456/0001558370-18-003456-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837019003586/0001558370-19-003586-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837020004773/0001558370-20-004773-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1644776000,1612384000,1756704000,257420000,267734000,312838000,523634000,1152433000,1534006000,2808149000,2605196000,3005792000,2333007000,2958902000,3429873000,2958804000,5987164000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60445000,- -,49338000,19657000,- -,- -,- -
33,Cash and Short-Term Investments,1644776000,1612384000,1756704000,257420000,267734000,312838000,523634000,1152433000,1534006000,2808149000,2665641000,3005792000,2382345000,2978559000,3429873000,2958804000,5987164000
34,Net Receivables,181590000,368813000,66753000,672275000,598142000,511565000,639747000,543982000,616168000,472717000,483316000,818244000,760962000,809231000,1053524000,1376008000,1584768000
35,Inventory,- -,- -,260600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,110101000,84426000,- -,- -,18529000,17172000,- -,- -,126764000,123477000,67817000,274423000,355315000,171777000,327507000,396017000,204498000
37,Total Current Assets,1936467000,2065623000,2084057000,929695000,884405000,841575000,1163381000,1696415000,2276938000,3404343000,3216774000,4098459000,3498622000,3959567000,4810904000,4730829000,7776430000
38,PP&E,1469090000,1758064000,2293007000,1935641000,2183613000,2310848000,2118450000,2150327000,2165766000,2284314000,2370975000,2444205000,2601397000,2670262000,2857889000,2878716000,2921427000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,7164874000,7266560000,- -,5942989000,6092046000,6180277000,6348605000,6513514000,7648417000,8566656000,9267111000,10229656000,11680684000
41,Intangible Assets,4098025000,3976748000,4000390000,- -,7164874000,7266560000,- -,5942989000,6092046000,6180277000,6348605000,6513514000,7648417000,8566656000,9267111000,10229656000,11680684000
42,Investments,- -,- -,- -,6955015000,- -,- -,5769688000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,218484000,195123000,451371000,504368000,463260000,380103000,348034000,316939000,297004000,317758000,464404000
44,Other Non-Current Assets,776732000,752025000,756934000,42931000,43786000,34696000,25151000,25556000,25332000,44578000,110722000,109042000,104330000,77060000,44053000,34621000,46196000
45,Total Non-Current Assets,6343847000,6486837000,7050331000,8933587000,9392273000,9612104000,8131773000,8313995000,8734515000,9013537000,9293562000,9446864000,10702178000,11630917000,12466057000,13460751000,15112711000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8280314000,8552460000,9134388000,9863282000,10276678000,10453679000,9295154000,10010410000,11011453000,12417880000,12510336000,13545323000,14200800000,15590484000,17276961000,18191580000,22889141000
48,Accounts Payable,69717000,66922000,56031000,394706000,582238000,385545000,357592000,155172000,219082000,248002000,243867000,252831000,207190000,155904000,140806000,107507000,213207000
49,Short-Term Debt,- -,- -,- -,130863000,261881000,143330000,193555000,583068000,133009000,47076000,55433000,56122000,50852000,54373000,109171000,3040055000,2729332000
50,Tax Payable,24318000,57456000,89227000,202556000,97909000,114952000,- -,185954000,53622000,81625000,158589000,262772000,220524000,308345000,547824000,153046000,997854000
51,Deferred Revenue,17977000,10936000,2301000,3967000,1094000,223000,175765000,- -,- -,- -,- -,- -,42317000,39877000,43102000,91841000,- -
52,Other Current Liabilities,62010000,99703000,348764000,619707000,192390000,211694000,98033000,478641000,604898000,535602000,669482000,799378000,803914000,974562000,942214000,986162000,1959891000
53,Total Current Liabilities,149704000,177561000,407096000,1149243000,1037603000,740792000,824945000,1216881000,956989000,830680000,968782000,1108331000,1104273000,1224716000,1235293000,4225565000,4902430000
54,Long-Term Debt,- -,- -,- -,- -,411765000,959505000,1528895000,1505141000,2970526000,4677325000,4658349000,4637743000,4582420000,4543169000,4655298000,1665096000,5192026000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1087400000,1140416000,1108098000,859589000,341310000,351292000,203433000,189938000,201048000,218791000,197081000,184147000,202717000,133828000,36189000
57,Other Non-Current Liabilities,567845000,682122000,165550000,43863000,44249000,48384000,515503000,521140000,483111000,603334000,731630000,893478000,1087711000,1126525000,1296158000,1340844000,1520264000
58,Total Non-Current Liabilities,567845000,682122000,1252950000,1184279000,1564112000,1867478000,2385708000,2377573000,3657070000,5470597000,5591027000,5750012000,5867212000,5853841000,6154173000,3139768000,6748479000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12948000,220860000,194763000,224736000
61,Total Liabilities,717549000,859683000,1660046000,2333522000,2601715000,2608270000,3210653000,3594454000,4614059000,6301277000,6559809000,6858343000,6971485000,7078557000,7389466000,7365333000,11650909000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4320278000,4437132000,4408239000,4356361000,4390474000,4399590000,4394444000,3897168000,2698691000,1491023000,302398000,303644000,303394000,303394000,301739000,300822000,297782000
64,Retained Earnings,1425608000,1447339000,664312000,1050745000,1121733000,1226913000,- -,2083582000,3287992000,4312686000,5546458000,4846045000,5281662000,6534804000,8121937000,8824666000,9702141000
65,Other Comprehensive Income/Loss,- -,- -,353468000,333186000,351836000,405674000,397557000,396851000,363938000,231918000,-9484000,1375072000,1455025000,1479194000,1261648000,1495067000,1026252000
66,Other Total Stockholders Equity,- -,- -,2048323000,1787150000,1802084000,1805766000,1284923000,29786000,29786000,29786000,29786000,29786000,29786000,29786000,29786000,29786000,29786000
67,Total Stockholders Equity,5745886000,5884471000,7474342000,7527442000,7666127000,7837943000,6076924000,6407387000,6380407000,6065413000,5869158000,6554547000,7069867000,8347178000,9715110000,10650341000,11055961000
68,Total Liabilities And Stockholders Equity,6463435000,6744154000,9134388000,9860964000,10267842000,10446213000,9287577000,10001841000,10994466000,12366690000,12428967000,13412890000,14041352000,15425735000,17104576000,18015674000,22706870000
69,Minority Interest,1816879000,1808306000,- -,2318000,8836000,7466000,7577000,8569000,16987000,51190000,81369000,132433000,159448000,164749000,172385000,175906000,182271000
70,Total Liabilities & Equity,8280314000,8552460000,9134388000,9863282000,10276678000,10453679000,9295154000,10010410000,11011453000,12417880000,12510336000,13545323000,14200800000,15590484000,17276961000,18191580000,22889141000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1378239/000114036108014783/0001140361-08-014783-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036109014526/0001140361-09-014526-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036110024838/0001140361-10-024838-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036111031544/0001140361-11-031544-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036112021913/0001140361-12-021913-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036113017780/0001140361-13-017780-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465914030801/0001104659-14-030801-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465915030630/0001104659-15-030630-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465916114802/0001104659-16-114802-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465917027790/0001104659-17-027790-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837018003456/0001558370-18-003456-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837019003586/0001558370-19-003586-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837020004773/0001558370-20-004773-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,367299000,452237000,31192000,541803000,469524000,551975000,616080000,810198000,1199636000,1024694000,1233772000,1870187000,2127576000,2851822000,3219798000,1094358000,2857265000
74,Depreciation and Amortization,219552000,281514000,336202000,366719000,411890000,469672000,165088000,186803000,201226000,223982000,238809000,276634000,299192000,351745000,415252000,435344000,487230000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,288172000,-275701000,-161758000,-308223000,-582986000,-829973000,-995258000,-1324834000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-98160000,-113157000,42408000,-416632000,-531464000,-328632000,-648823000,-248938000,-355289000,110808000,-77198000,-340040000,-63528000,-59673000,-513250000,-518229000,4331000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,66121000,-13234000,-16417000,-69792000,-324094000,93934000,-59849000,-60949000,-94229000,-252672000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,3896000,42014000,17728000,15143000,-72352000,-88502000,158746000,-69156000,-65170000,65406000
81,Other Working Capital,- -,- -,- -,-277093000,-2929000,4402000,- -,-29331000,-95301000,34513000,-24112000,2792000,-31436000,-154924000,-216253000,-144129000,- -
82,Other Non-Cash Items,187303000,82082000,660786000,243574000,98861000,-82332000,475028000,224178000,235374000,413046000,982171000,1162351000,1388066000,1560710000,1919558000,292005000,1098019000
83,Cash Provided by Operating Activities,675994000,702676000,1070588000,735464000,448811000,610683000,607373000,1260413000,1005246000,1610772000,2069331000,2386146000,2921333000,3709346000,3716524000,1303478000,4446845000
84,CAPEX,-264759000,-424285000,-658010000,-1375586000,-216777000,-104953000,-52960000,-56895000,-79641000,-462516000,-134071000,-120390000,-221773000,-211230000,-57103000,-157992000,-1925890000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-558310000,- -,- -,-275823000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29681000,19657000,- -,- -
88,Other Investing Activites,-282882000,-424285000,- -,51294000,-380357000,-422270000,16079000,-336989000,-191239000,-199559000,-359164000,-350967000,-1321003000,-906824000,-914781000,-1166438000,-1693559000
89,Cash Used for Investing Activites,-282882000,-424285000,-658010000,-1882602000,-597134000,-527223000,-312704000,-393884000,-270880000,-371844000,-493235000,-471357000,-1542776000,-1088373000,-952227000,-1324430000,-1794892000
90,Debt Repayment,- -,- -,- -,- -,- -,-195217000,- -,-336292000,-1485538000,-2349961000,-52765000,-58875000,-51168000,-58207000,-90970000,-99917000,-3075906000
91,Common Stock Issued,- -,118663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-99644000,-53345000,- -,- -,- -,- -,-24608000,-1343080000,- -,- -,- -,- -,-244201000,-150000000,-474852000
93,Dividends Paid,- -,-430506000,-229224000,-428218000,-411537000,-398927000,-399076000,-198346000,- -,- -,- -,-1371642000,-1575083000,-1605736000,-1598681000,- -,-1979790000
94,Other Financing Activites,- -,1060000,- -,129417000,570174000,555788000,315203000,296908000,1157353000,3728256000,-1726284000,-83676000,-352884000,-276520000,-312609000,-278971000,5822817000
95,Cash Used/Provided by Financing Activities,- -,-310783000,-328868000,-352146000,158637000,-38356000,-83873000,-237730000,-352793000,35215000,-1779049000,-1514193000,-1979135000,-1940463000,-2246461000,-528888000,292269000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72207000,-54615000,-46865000,78771000,84138000
97,Net Change In Cash,393112000,-32392000,83710000,-1499284000,10314000,45104000,210796000,628799000,381573000,1274143000,-202953000,400596000,-672785000,625895000,470971000,-471069000,3028360000
98,Cash at the End of Period,1644776000,1612384000,1756704000,257420000,267734000,312838000,523634000,1152433000,1534006000,2808149000,2605196000,3005792000,2333007000,2958902000,3429873000,2958804000,5987164000
99,Cash at the Beginning of Period,1251664000,1644776000,1672994000,1756704000,257420000,267734000,312838000,523634000,1152433000,1534006000,2808149000,2605196000,3005792000,2333007000,2958902000,3429873000,2958804000
100,Free Cash Flow,411235000,278391000,412578000,-640122000,232034000,505730000,554413000,1203518000,925605000,1148256000,1935260000,2265756000,2699560000,3498116000,3659421000,1145486000,2520955000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1378239/000114036108014783/0001140361-08-014783-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036109014526/0001140361-09-014526-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036110024838/0001140361-10-024838-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036111031544/0001140361-11-031544-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036112021913/0001140361-12-021913-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000114036113017780/0001140361-13-017780-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465914030801/0001104659-14-030801-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465915030630/0001104659-15-030630-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465916114802/0001104659-16-114802-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000110465917027790/0001104659-17-027790-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837018003456/0001558370-18-003456-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837019003586/0001558370-19-003586-index.htm,https://www.sec.gov/Archives/edgar/data/1378239/000155837020004773/0001558370-20-004773-index.htm,- -,- -
102,Forex Rate,0.0941,0.0926,0.0916,0.0727,0.0765,0.08088,0.07162,0.07782,0.07668,0.06778,0.05817,0.04822,0.05087,0.05088,0.0528,0.05024,0.04877
