,https://roic.ai/company/CARR,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,1280000000,1099000000,479000000,354000000
57,Other Non-Current Liabilities,- -,1722000000,2403000000,2248000000,2057000000
58,Total Non-Current Liabilities,- -,3002000000,3502000000,13405000000,12451000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,682000000,803000000,527000000
61,Total Liabilities,- -,7468000000,7971000000,18515000000,19078000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,15132000000,15355000000,9000000,9000000
64,Retained Earnings,- -,- -,- -,1643000000,2865000000
65,Other Comprehensive Income/Loss,- -,-1215000000,-1253000000,-745000000,-989000000
66,Other Total Stockholders Equity,- -,- -,- -,5345000000,- -
67,Total Stockholders Equity,- -,13917000000,14102000000,6252000000,6767000000
68,Total Liabilities And Stockholders Equity,- -,21385000000,22073000000,24767000000,25845000000
69,Minority Interest,- -,352000000,333000000,326000000,327000000
70,Total Liabilities & Equity,- -,21737000000,22406000000,25093000000,26172000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1783180/000178318021000011/0001783180-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1783180/000178318022000010/0001783180-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,1227000000,2734000000,2116000000,1982000000,1664000000
74,Depreciation and Amortization,372000000,357000000,335000000,336000000,338000000
75,Deferred Income Tax,872000000,133000000,-122000000,97000000,-74000000
76,Stock Based Compensation,34000000,44000000,52000000,77000000,92000000
77,Change in Working Capital,228000000,1643000000,-153000000,1924000000,317000000
78,Accounts Receivable,159000000,-211000000,-129000000,49000000,-97000000
79,Inventory,-102000000,-151000000,-2000000,-240000000,-408000000
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,- -,1643000000,1490000000,3414000000,51000000
82,Other Non-Cash Items,-635000000,-2856000000,-226000000,-2724000000,-100000000
83,Cash Provided by Operating Activities,2098000000,2055000000,2002000000,1692000000,2237000000
84,CAPEX,-326000000,-263000000,-243000000,-312000000,-344000000
85,Acquisitions Net,472000000,-310000000,6000000,- -,-366000000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1032000000,- -,1417000000,11000000
88,Other Investing Activites,-201000000,-307000000,-219000000,-311000000,-337000000
89,Cash Used for Investing Activites,271000000,415000000,-213000000,1106000000,-692000000
90,Debt Repayment,- -,- -,- -,-1911000000,-704000000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-527000000
93,Dividends Paid,- -,- -,- -,-138000000,-417000000
94,Other Financing Activites,-2193000000,-2627000000,-1967000000,1368000000,86000000
95,Cash Used/Provided by Financing Activities,-2193000000,-2627000000,-1967000000,-681000000,-1562000000
96,Effect of Forex Changes on Cash,64000000,-39000000,1000000,45000000,-16000000
97,Net Change In Cash,234000000,-201000000,-182000000,2158000000,-132000000
98,Cash at the End of Period,1324000000,1129000000,952000000,3115000000,2987000000
99,Cash at the Beginning of Period,1090000000,1330000000,1134000000,957000000,3119000000
100,Free Cash Flow,1772000000,1792000000,1759000000,1380000000,1893000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783180/000178318021000011/0001783180-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1783180/000178318022000010/0001783180-22-000010-index.htm
102,false,,,,,
