,https://roic.ai/company/CTLT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596783/000159678314000008/0001596783-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000159678315000026/0001596783-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678316000114/0001596783-16-000114-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678317000148/0001596783-17-000148-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678318000101/0001596783-18-000101-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678319000183/0001596783-19-000183-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678320000155/0001596783-20-000155-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000159678321000110/0001596783-21-000110-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,139000000,106400000,74400000,151300000,131600000,288300000,410200000,345400000,953200000,896000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,18600000,- -,- -,- -,71000000
33,Cash and Short-Term Investments,- -,139000000,106400000,74400000,151300000,131600000,306900000,410200000,345400000,953200000,967000000
34,Net Receivables,- -,338300000,358000000,403700000,372400000,414800000,488800000,568300000,732800000,918500000,1243000000
35,Inventory,- -,130400000,136700000,147300000,144400000,165600000,196700000,220200000,265300000,346900000,593000000
36,Other Current Assets,- -,97000000,76800000,62100000,69400000,78200000,67400000,41600000,52300000,74400000,115000000
37,Total Current Assets,- -,704700000,677900000,687500000,737500000,790200000,1059800000,1240300000,1395800000,2293000000,2918000000
38,PP&E,- -,809700000,814500000,873000000,885200000,905800000,995900000,1270600000,1536700000,2002200000,2608000000
39,Goodwill,- -,1029900000,1023400000,1097100000,1061500000,996500000,1044100000,1397200000,2220900000,2470600000,2519000000
40,Intangible Assets,- -,417700000,372200000,357600000,368700000,294000000,273100000,544900000,930800000,888700000,817000000
41,Intangible Assets,- -,1447600000,1395600000,1454700000,1430200000,1290500000,1317200000,1942100000,3151700000,3359300000,3336000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000
43,Tax Assets,- -,135200000,132200000,26300000,64100000,82900000,53900000,32900000,38600000,49400000,66000000
44,Other Non-Current Assets,- -,41800000,36600000,48700000,28400000,21700000,27500000,45200000,61200000,72600000,146000000
45,Total Non-Current Assets,- -,2434300000,2378900000,2402700000,2407900000,2300900000,2394500000,3290800000,4788200000,5483500000,6194000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3139000000,3056800000,3090200000,3145400000,3091100000,3454300000,4531100000,6184000000,7776500000,9112000000
48,Accounts Payable,- -,134200000,150800000,148100000,128200000,143700000,163200000,192100000,255800000,321000000,385000000
49,Short-Term Debt,- -,43200000,35000000,25200000,23800000,27700000,24600000,71900000,76500000,72900000,91000000
50,Tax Payable,- -,31400000,30700000,61500000,55800000,38800000,24700000,25900000,8500000,4500000,30000000
51,Deferred Revenue,- -,25400000,36300000,47100000,39000000,46200000,84900000,100900000,155200000,191000000,305000000
52,Other Current Liabilities,- -,236500000,188200000,232600000,208000000,173600000,196300000,212000000,183200000,308300000,415000000
53,Total Current Liabilities,- -,439300000,410300000,453000000,399000000,391200000,469000000,576900000,670700000,893200000,1196000000
54,Long-Term Debt,- -,2640300000,2656600000,2685400000,1864100000,1832800000,2055100000,2649400000,2882800000,2945100000,3166000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,219900000,219100000,103200000,56300000,41400000,31700000,32500000,74400000,94000000,164000000
57,Other Non-Current Liabilities,- -,190200000,181100000,220400000,192000000,189800000,175000000,185600000,874500000,338800000,312000000
58,Total Non-Current Liabilities,- -,3050400000,3056800000,3009000000,2112400000,2064000000,2261800000,2867500000,3831700000,3377900000,3642000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000
61,Total Liabilities,- -,3489700000,3467100000,3462000000,2511400000,2455200000,2730800000,3444400000,4502400000,4271100000,4838000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,606600000,359000000
63,Common Stock,- -,700000,700000,700000,1200000,1200000,1300000,1300000,1500000,1600000,2000000
64,Retained Earnings,- -,-1382100000,-1428800000,-1379100000,-1166900000,-1036100000,-955700000,-872100000,-723400000,-535200000,25000000
65,Other Comprehensive Income/Loss,- -,7500000,-9300000,-24200000,-174000000,-305700000,-314100000,-325800000,-353900000,-386300000,-317000000
66,Other Total Stockholders Equity,- -,1023200000,1026700000,1031400000,1973700000,1976500000,1992000000,2283300000,2757400000,3818700000,4205000000
67,Total Stockholders Equity,- -,-350700000,-410700000,-371200000,634000000,635900000,723500000,1086700000,1681600000,3505400000,4274000000
68,Total Liabilities And Stockholders Equity,- -,3139000000,3056400000,3090800000,3145400000,3091100000,3454300000,4531100000,6184000000,7776500000,9112000000
69,Minority Interest,- -,- -,400000,-600000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3139000000,3056800000,3090200000,3145400000,3091100000,3454300000,4531100000,6184000000,7776500000,9112000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1596783/000159678314000008/0001596783-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000159678315000026/0001596783-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678316000114/0001596783-16-000114-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678317000148/0001596783-17-000148-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678318000101/0001596783-18-000101-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678319000183/0001596783-19-000183-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678320000155/0001596783-20-000155-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000159678321000110/0001596783-21-000110-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-54000000,-24400000,-46700000,16200000,212200000,111500000,109800000,83600000,132000000,220700000,585000000
74,Depreciation and Amortization,115500000,129700000,152200000,142900000,140800000,140600000,146500000,190100000,228600000,253700000,289000000
75,Deferred Income Tax,6500000,-18800000,5400000,-15100000,-120700000,-15300000,-1300000,35400000,-15100000,2400000,64000000
76,Stock Based Compensation,3900000,3700000,2800000,4500000,9000000,10800000,20900000,27200000,33300000,48100000,51000000
77,Change in Working Capital,-21500000,262500000,2200000,-33100000,104000000,60500000,191800000,72600000,61700000,674700000,322200000
78,Accounts Receivable,-18900000,-64900000,-23600000,-38000000,-7500000,-54100000,-54900000,-33600000,-118900000,-150900000,-186000000
79,Inventory,-2000000,1400000,-10500000,-8500000,-19200000,-35400000,-13500000,-1800000,-34000000,-76400000,-260000000
80,Accounts Payable,-3500000,7700000,17900000,-7600000,-11700000,21400000,9900000,32300000,36200000,72200000,50000000
81,Other Working Capital,2900000,265400000,267600000,234500000,338500000,399000000,590800000,663400000,725100000,1399800000,1722000000
82,Other Non-Cash Items,49300000,-264800000,21800000,62900000,-173500000,-152800000,-168200000,-34400000,-192800000,-759300000,-878200000
83,Cash Provided by Operating Activities,99700000,87900000,137700000,178300000,171800000,155300000,299500000,374500000,247700000,440300000,433000000
84,CAPEX,-87300000,-104200000,-122500000,-122400000,-141000000,-139600000,-139800000,-176500000,-218100000,-465800000,-686000000
85,Acquisitions Net,- -,-457500000,-2500000,-53700000,-130800000,- -,-169900000,-744600000,-1291000000,-358900000,140000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1800000,-2800000,-103000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4000000,23500000,2900000,900000,- -,1900000,700000,1800000,500000,- -,- -
89,Cash Used for Investing Activites,-83300000,-538200000,-122100000,-175200000,-271800000,-137700000,-309000000,-919300000,-1510400000,-827500000,-649000000
90,Debt Repayment,-24100000,-37000000,-708500000,-1741300000,-879800000,-18600000,-224300000,-22000000,-1298700000,-860800000,-67000000
91,Common Stock Issued,3900000,1100000,1200000,200000,948800000,- -,- -,277800000,445500000,1046500000,82000000
92,Common Stock Repurchased,- -,- -,- -,- -,-10300000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36200000,-22000000
94,Other Financing Activites,-5900000,388800000,658000000,1699000000,137800000,-12200000,385600000,413300000,2054600000,852200000,149000000
95,Cash Used/Provided by Financing Activities,-26100000,352900000,-49300000,-42100000,196500000,-30800000,161300000,669100000,1201400000,1001700000,142000000
96,Effect of Forex Changes on Cash,17900000,-12400000,1100000,3000000,-19600000,-6500000,4900000,-2400000,-3500000,-6700000,17000000
97,Net Change In Cash,41100000,-66100000,-32600000,-32000000,76900000,-19700000,156700000,121900000,-64800000,607800000,-57000000
98,Cash at the End of Period,205100000,139000000,106400000,74400000,151300000,131600000,288300000,410200000,345400000,953200000,896000000
99,Cash at the Beginning of Period,164000000,205100000,139000000,106400000,74400000,151300000,131600000,288300000,410200000,345400000,953000000
100,Free Cash Flow,12400000,-16300000,15200000,55900000,30800000,15700000,159700000,198000000,29600000,-25500000,-253000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596783/000159678314000008/0001596783-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000159678315000026/0001596783-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678316000114/0001596783-16-000114-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678317000148/0001596783-17-000148-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678318000101/0001596783-18-000101-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678319000183/0001596783-19-000183-index.html,https://www.sec.gov/Archives/edgar/data/1596783/000159678320000155/0001596783-20-000155-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000159678321000110/0001596783-21-000110-index.htm
102,false,,,,,,,,,,,
