,https://roic.ai/company/SNDX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,776000,1077000,354000,1452000,2375000,2232000,1439000,6178000,3508000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2285000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1220000,1220000,1573000,1517000,1517000,1517000,- -
52,Other Current Liabilities,24328000,1653000,9992000,2175000,6771000,11993000,13149000,10673000,11562000,- -
53,Total Current Liabilities,25104000,2730000,10346000,4847000,10366000,15798000,16105000,18368000,18872000,- -
54,Long-Term Debt,- -,- -,7435000,- -,- -,- -,- -,- -,17834000,- -
55,Deferred Revenue,- -,- -,- -,15440000,14220000,16759000,14650000,13133000,11617000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5694000,2482000,751000,2918000,288000,310000,136000,424000,102000,- -
58,Total Non-Current Liabilities,5694000,2482000,8186000,18358000,14508000,17069000,14786000,13557000,29553000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41289000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,897000,417000,- -
61,Total Liabilities,30798000,5212000,18532000,23205000,24874000,32867000,30891000,31925000,48425000,41289000
62,Preferred Stock,49000000,147555000,154084000,326344000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,1000,2000,2000,2000,3000,5000,- -
64,Retained Earnings,-79054000,-135707000,-159801000,-259675000,-305293000,-366111000,-439423000,-495470000,-568628000,- -
65,Other Comprehensive Income/Loss,-238000,-170000,-185000,-192000,-280000,-199000,-235000,-310000,-4000,45000
66,Other Total Stockholders Equity,50004000,170000,185000,220000,389710000,470627000,492703000,527377000,820815000,- -
67,Total Stockholders Equity,-29288000,11849000,-5716000,66698000,84139000,104319000,53047000,31600000,252188000,408368000
68,Total Liabilities And Stockholders Equity,1510000,17061000,12816000,89903000,109013000,137186000,83938000,63525000,300613000,449657000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1510000,17061000,12816000,89903000,109013000,137186000,83938000,63525000,300613000,449657000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1395937/000119312517081863/0001193125-17-081863-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459018004911/0001564590-18-004911-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459019006772/0001564590-19-006772-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459020009016/0001564590-20-009016-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459021012607/0001564590-21-012607-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459022008112/0001564590-22-008112-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-9965000,-14171000,-19828000,-24119000,-44472000,-60802000,-73961000,-56047000,-73158000,24926000
74,Depreciation and Amortization,34000,13000,15000,21000,89000,76000,78000,92000,89000,43000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,139000,1415000,2257000,3882000,4708000,5450000,6201000,6005000,9057000,13317000
77,Change in Working Capital,823000,36183000,-9716000,81062000,14984000,19500000,-50403000,-23278000,236029000,147721000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-35000,-286000,-726000,1045000,923000,-194000,-792000,4739000,-2670000,2161000
81,Other Working Capital,-24369000,11814000,2098000,83160000,98144000,117644000,67241000,43963000,279992000,427713000
82,Other Non-Cash Items,-315000,-30735000,12879000,-63274000,-10466000,-11595000,49554000,22616000,-243277000,-156876000
83,Cash Provided by Operating Activities,-9284000,-7295000,-14393000,-2428000,-35157000,-47371000,-68531000,-50612000,-71260000,29131000
84,CAPEX,-11000,-38000,-4000,-49000,-261000,-84000,-187000,- -,- -,-129000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4022000,-3393000,-102008000,-158319000,-152263000,-78844000,-104018000,-278937000,-294719000
87,Sales/Maturities of Investments,500000,- -,5286000,40506000,140297000,135275000,130429000,116799000,136407000,253975000
88,Other Investing Activites,5000,33000,-1000,-118000,-97000,45000,- -,- -,- -,- -
89,Cash Used for Investing Activites,494000,-4027000,1888000,-61669000,-18380000,-17027000,51398000,12781000,-142530000,-40873000
90,Debt Repayment,-1759000,-4423000,-2000,-9002000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,6000,- -,52148000,75348000,15497000,28210000,277715000,81206000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7468000,25312000,12406000,86269000,2054000,374000,232000,360000,26709000,37258000
95,Cash Used/Provided by Financing Activities,5709000,20889000,12410000,77267000,54202000,75722000,15729000,28570000,304424000,118464000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3081000,9567000,-95000,13170000,665000,11324000,-1404000,-9261000,90634000,106722000
98,Cash at the End of Period,537000,10104000,10009000,23179000,23844000,35168000,33985000,24724000,115358000,222080000
99,Cash at the Beginning of Period,3618000,537000,10104000,10009000,23179000,23844000,35389000,33985000,24724000,115358000
100,Free Cash Flow,-9295000,-7333000,-14397000,-2477000,-35418000,-47455000,-68718000,-50612000,-71260000,29002000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1395937/000119312517081863/0001193125-17-081863-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459018004911/0001564590-18-004911-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459019006772/0001564590-19-006772-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459020009016/0001564590-20-009016-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459021012607/0001564590-21-012607-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459022008112/0001564590-22-008112-index.htm
102,false,,,,,,,,,,
