,https://roic.ai/company/EXPI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,- -,-0.00,-0.00,-0.00,-0.00,0.00,-0.04,-0.26,-0.21,-0.20,-0.07,0.21,0.52
27,Weighted Average Shares Outstanding,- -,2806020000,2806020000,2806020000,2017083588,96136094,98818532,102163898,106389856,115379840,125171110,138572358,146862978
28,Weighted Average Shares Outstanding Diluted,- -,2806020000,2806020000,2806020000,2017083588,103471730,98818532,102163898,106389856,115379840,125171110,151550075,157345924
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1495932/000149315212001338/0001493152-12-001338-index.html,- -,https://www.sec.gov/Archives/edgar/data/1495932/000101968715001215/0001019687-15-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000101968716005463/0001019687-16-005463-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000168316817000740/0001683168-17-000740-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000168316818001030/0001683168-18-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000149593219000028/0001495932-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000155837020002569/0001558370-20-002569-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000155837021002743/0001558370-21-002743-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000155837022002041/0001558370-22-002041-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,471,- -,738,100056,353374,571814,1684608,4672034,20538057,40087372,100143000,108237000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,471,- -,738,100056,353374,571814,1684608,4672034,20538057,40087372,100143000,108237000
34,Net Receivables,- -,- -,- -,- -,107840,189026,341643,3015767,6912657,17428091,28195798,76951000,133489000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1935,- -,- -,77991,216181,233064,865267,1514227,4360579,10535850,35131000,77589000
37,Total Current Assets,- -,2406,- -,738,285887,758581,1146521,5565642,13098918,42326727,78819020,212225000,319315000
38,PP&E,- -,- -,- -,- -,44854,79393,110195,538405,1538213,2739525,6692367,8667000,18384000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,8248107,8248107,12945000,12945000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2531669,2677129,8350000,7528000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10779776,10925236,21295000,20473000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,75196,- -,- -,- -,- -,- -,- -,52827000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15756,- -,2827000
45,Total Non-Current Assets,- -,- -,- -,- -,44854,154589,110195,538405,1538213,13519301,17633359,29962000,94511000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2406,- -,738,330741,913170,1256716,6104047,14637131,55846028,96452379,242187000,413826000
48,Accounts Payable,- -,- -,15018,12200,55826,79389,89984,317420,635087,1758377,2592894,5373000,7158000
49,Short-Term Debt,- -,- -,745,- -,- -,61887,- -,35778,7565357,974659,434854,746000,311000
50,Tax Payable,- -,- -,- -,- -,- -,- -,33891,58714,99809,217820,1205372,1008000,- -
51,Deferred Revenue,- -,- -,- -,- -,38198,141508,148613,481704,923193,2502591,6987076,27781000,67673000
52,Other Current Liabilities,- -,10371,42393,80412,156013,216720,425613,2742119,1252823,18976435,31950555,62750000,111672000
53,Total Current Liabilities,- -,10371,58156,92612,250037,499504,664210,3577021,10376460,24212062,41965379,96650000,186814000
54,Long-Term Debt,- -,- -,- -,- -,61887,- -,- -,- -,- -,1654337,1529506,74000,765000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,829615,2876000,2714000
58,Total Non-Current Liabilities,- -,- -,- -,- -,61887,- -,- -,- -,- -,1654337,2359121,2950000,3479000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264469,820000,1076000
61,Total Liabilities,- -,10371,58156,92612,311924,499504,664210,3577021,10376460,25866399,44324500,99600000,190293000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,401,401,401,478,486,502,523,550,606,662,1000,1000
64,Retained Earnings,- -,-69465,-119656,-153374,-1513482,-1409639,-5991088,-32004561,-32596374,-60765266,-70292980,-39162000,30510000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1542,-9113,4205,8454,-11327,199899,247000,188000
66,Other Total Stockholders Equity,- -,61099,61099,61099,- -,1824361,6611781,34526859,36848041,90755616,122059704,180498000,- -
67,Total Stockholders Equity,- -,-7965,-58156,-91874,18817,413666,612082,2527026,4260671,29979629,51967285,141584000,222169000
68,Total Liabilities And Stockholders Equity,- -,2406,- -,738,330741,913170,1276292,6104047,14637131,55846028,96291785,241184000,412462000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-19576,- -,- -,- -,160594,1003000,1364000
70,Total Liabilities & Equity,- -,2406,- -,738,330741,913170,1256716,6104047,14637131,55846028,96452379,242187000,413826000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1495932/000149315212001338/0001493152-12-001338-index.html,- -,https://www.sec.gov/Archives/edgar/data/1495932/000101968715001215/0001019687-15-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000101968716005463/0001019687-16-005463-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000168316817000740/0001683168-17-000740-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000168316818001030/0001683168-18-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000149593219000028/0001495932-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000155837020002569/0001558370-20-002569-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000155837021002743/0001558370-21-002743-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000155837022002041/0001558370-22-002041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-32583,-50191,-33718,-1118861,103843,-4581449,-26013473,-22130965,-22430356,-9527714,31131000,81220000
74,Depreciation and Amortization,- -,- -,- -,- -,4442,14493,26304,58374,353229,893988,2383743,3989000,6248000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-75196,75196,- -,- -,- -,- -,- -,-52827000
76,Stock Based Compensation,- -,- -,- -,- -,1139915,233098,4790568,27524370,17817660,23900384,56812299,83008000,182032000
77,Change in Working Capital,- -,-26432,-50191,-33718,38962,223227,223234,1506310,733837,15392207,18738976,78721359,29679000
78,Accounts Receivable,- -,- -,- -,- -,-36391,-81186,-152617,-2692198,-3884982,-10520725,-10762804,-50193000,-56857000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,4491,23563,10595,227436,317667,608935,1412829,1364000,3173000
81,Other Working Capital,- -,-7965,-58156,-91874,35850,259077,482311,1988621,2722458,18114665,36853641,115575000,38485000
82,Other Non-Cash Items,- -,- -,67166,45919,-48432,-255023,-187667,-2051304,7353103,6554496,-13220872,-77190359,540000
83,Cash Provided by Operating Activities,- -,-59015,-33216,-21517,16026,244442,346186,1024277,4126864,24310719,55186432,119659000,246892000
84,CAPEX,- -,- -,- -,- -,-39513,-49032,-57116,-416672,-1281147,-2134462,-5140037,-6436000,-13423000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6725000,-1500000,-10502000,-5500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190000,-25000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-39513,-49032,-57116,-416672,-1281147,-8859462,-6690037,-16963000,-18923000
90,Debt Repayment,- -,- -,- -,- -,-15000,- -,-61877,-17720,-35778,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,90235,59450,1950,600000,142158,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-10000,- -,-3132,-97000,-3607,- -,-27056136,-29371000,-172015000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11548000
94,Other Financing Activites,- -,5000,32745,22255,- -,- -,- -,8418,46596,2015034,2487429,7478000,3639000
95,Cash Used/Provided by Financing Activities,- -,5000,32745,22255,65235,59450,-63059,493698,149369,2015034,-24568707,-21893000,-179924000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1542,-7571,11491,-7660,-20870,106112,47000,-59000
97,Net Change In Cash,- -,-54015,- -,- -,41748,253318,218440,1112794,2987426,17445421,24033800,80850000,47986000
98,Cash at the End of Period,- -,471,- -,738,100056,353374,571814,1684608,4672034,23040648,47074448,127924000,175910000
99,Cash at the Beginning of Period,- -,54486,471,- -,58308,100056,353374,571814,1684608,5595227,23040648,47074000,127924000
100,Free Cash Flow,- -,-59015,-33216,-21517,-23487,195410,289070,607605,2845717,22176257,50046395,113223000,233469000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1495932/000149315212001338/0001493152-12-001338-index.html,- -,https://www.sec.gov/Archives/edgar/data/1495932/000101968715001215/0001019687-15-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000101968716005463/0001019687-16-005463-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000168316817000740/0001683168-17-000740-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000168316818001030/0001683168-18-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000149593219000028/0001495932-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1495932/000155837020002569/0001558370-20-002569-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000155837021002743/0001558370-21-002743-index.htm,https://www.sec.gov/Archives/edgar/data/1495932/000155837022002041/0001558370-22-002041-index.htm
102,false,,,,,,,,,,,,,
