,https://roic.ai/company/BABB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,225849000,- -,- -,- -,- -,- -,- -,11767,10663,9507,8296,7028,5699,4308,2850,1323,- -,- -,612,378,417
14,Depreciation and Amortization,1247868,922235,847244000,716436,448215,153720,84664,69653,44812,38960,31231,28404,26389,18924,17493,17983,17145,20152,11536,1210,2057,3562,5116
15,EBITDA,-2216701,614319,163513000,1042771,1037073,805996,777521,786260,788525,674105,-2024049,447439,433748,460032,403792,556654,121857,480375,471209,539085,476762,237709,775829
16,EBITDA ratio,-0.1484,0.0453,0.0155,0.1220,0.1449,0.1412,0.1517,0.2007,0.1974,0.1784,-0.6379,0.1536,0.1435,0.1720,0.1648,0.2196,0.0550,0.2013,0.2122,0.2480,0.1553,0.1002,0.2525
17,Operating Income,-3387732,-125774,-781126,387255,699192,709492,726983,689501,691707,604625,-2070019,411514,403656,438566,385331,537998,103007,459721,459566,537716,473481,233391,541724
18,Operating Income ratio,-0.2267,-0.0093,-0.0001,0.0453,0.0977,0.1243,0.1418,0.1760,0.1731,0.1600,-0.6524,0.1412,0.1335,0.1640,0.1573,0.2123,0.0465,0.1927,0.2069,0.2474,0.1542,0.0984,0.1763
19,Total Other Income Expenses (Gains),-76837,-182142,-908798874,-60920,223207,-564078,-607359,-472115,52006,18753,4076,-1986,-4593,-4486,-4731,-3635,-1145,-821,107,159,612,378,228572
20,Income Before Tax,-3464569,-307916,-909580000,326335,- -,- -,- -,- -,743713,623378,-2065943,409528,399063,434080,380600,534363,101862,458900,459673,537875,474093,233769,770296
21,Income Before Tax Ratio,-0.2319,-0.0227,-0.0865,0.0382,- -,- -,- -,- -,0.1862,0.1650,-0.6511,0.1406,0.1320,0.1623,0.1553,0.2108,0.0460,0.1923,0.2070,0.2475,0.1544,0.0986,0.2507
22,Income Tax expense (Gain),- -,- -,180000000,- -,- -,- -,- -,- -,-500000,- -,252000,- -,5000,15000,30067,22417,-8500,9500,5500,30000,25000,299940,119174
23,Net Income,-3464569,-307916,-1089580000,326335,588858,652276,692857,716607,1243713,623378,-2317943,409528,394063,419080,350533,511946,110362,449400,454173,507875,449093,-66171,651122
24,Net Income ratio,-0.2319,-0.0227,-0.1036,0.0382,0.0823,0.1143,0.1352,0.1829,0.3113,0.1650,-0.7305,0.1406,0.1303,0.1567,0.1431,0.2020,0.0498,0.1883,0.2045,0.2337,0.1463,-0.0279,0.2119
25,EPS,-0.58,-0.04,-0.12,0.04,0.08,0.09,0.10,0.10,0.17,0.09,-0.32,0.06,0.05,0.06,0.05,0.07,0.02,0.06,0.06,0.07,0.06,-0.01,0.11
26,EPS Diluted,-0.58,-0.04,-0.12,0.04,0.08,0.09,0.10,0.10,0.17,0.09,-0.32,0.06,0.05,0.06,0.05,0.07,0.02,0.06,0.06,0.07,0.06,-0.01,0.11
27,Weighted Average Shares Outstanding,6186809,8797600,8894531,8598645,7067472,6962401,7183783,7222560,7261651,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508
28,Weighted Average Shares Outstanding Diluted,6186809,8797600,8950560,8695715,7399921,7194120,7240721,7259149,7278066,7271732,7263508,7263508,7265265,7265860,7268608,7263508,7263508,7263508,7263508,7263508,7263508,7263508,7263508
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1123596/000112359602000002/0001123596-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359603000003/0001123596-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359604000002/0001123596-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359605000008/0001123596-05-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1123596/000114036108005149/0001140361-08-005149-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036109004691/0001140361-09-004691-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036110007972/0001140361-10-007972-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036111011853/0001140361-11-011853-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774912001724/0001437749-12-001724-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774913001868/0001437749-13-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774914002837/0001437749-14-002837-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774915003221/0001437749-15-003221-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774916025934/0001437749-16-025934-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774917003067/0001437749-17-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774918003295/0001437749-18-003295-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774919003265/0001437749-19-003265-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774920003344/0001437749-20-003344-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774921004215/0001437749-21-004215-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774922004437/0001437749-22-004437-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30818,348256000,507264000,1119743,2237093,2194834,2206524,1792666,1510292,1207108,1072526,1242937,1236125,1256257,683891,709555,837382,907116,792655,1065265,1095235,1236081,1462026
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,30818,348256000,507264000,1119743,2237093,2194834,2206524,1792666,1510292,1207108,1072526,1242937,1236125,1256257,683891,709555,837382,907116,792655,1065265,1095235,1236081,1462026
34,Net Receivables,1916163,1000482000,622461000,662426,479458,334111,168199,130117,145617,117398,117555,149436,132286,102455,147311,206683,96190,61082,68977,93843,84089,80513,117392
35,Inventory,293838,238468000,119325000,101124,77462,64107,65255,46048,43946,51331,37946,34105,23625,26953,27544,25519,26824,16130,19761,3195,- -,- -,- -
36,Other Current Assets,1723476,1636085000,600304000,202918,167236,434860,339543,334553,401545,439947,317729,347388,421201,442828,663001,494777,504535,679908,779195,510257,494579,493565,684447
37,Total Current Assets,3964295,3223291000,1849354000,2086211,2961249,3027912,2779521,2303384,2101400,1815784,1545756,1773866,1813237,1828493,1521747,1436534,1464931,1664236,1660588,1672560,1673903,1810159,2263865
38,PP&E,2580141,1672137000,1071515000,780897,310085,228629,169081,100761,79879,47980,27834,32359,10371,10773,10102,5921,3476,1226,5515,481927,387821,305380,218396
39,Goodwill,2510379,2441797000,2373216000,- -,- -,- -,- -,3542772,3542772,3542772,1493771,1493771,1493771,1493771,1493771,1493771,1493771,1493771,1493771,1493771,1493771,1493771,1493771
40,Intangible Assets,1466282,5451035000,5080803000,4742070,4354223,4306438,4306438,766563,799871,849991,514754,522594,512860,504732,495825,489666,478169,464290,459637,469379,474070,485152,484109
41,Intangible Assets,3976661,7892832000,7454019000,4742070,4354223,4306438,4306438,4309335,4342643,4392763,2008525,2016365,2006631,1998503,1989596,1983437,1971940,1958061,1953408,1963150,1967841,1978923,1977880
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,500000,500000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,200000,- -,- -
44,Other Non-Current Assets,2333481,- -,- -,355480,64993,90401,52902,5282,1419,- -,- -,- -,9458,3783,3783,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,8890283,9564969000,8525534000,5878447,4729301,4625468,4528421,4415378,4923941,4940743,2284359,2296724,2274460,2261059,2251481,2237358,2223416,2207287,2206923,2693077,2555662,2284303,2196276
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12854578,12788260000,10374888000,7964658,7690550,7653380,7307942,6718762,7025341,6756527,3830115,4070590,4087697,4089552,3773228,3673892,3688347,3871523,3867511,4365637,4229565,4094462,4460141
48,Accounts Payable,939787,789935000,262989000,182426,110383,132530,93428,55961,40470,49353,36975,36949,45752,14120,22543,10845,13055,43383,43741,38224,4195,10279,2064
49,Short-Term Debt,1818087,- -,- -,522053,333888,252569,266824,192740,23051,24145,198503,26494,27752,29070,30451,31898,33413,- -,- -,48635,92139,327304,106392
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14223
51,Deferred Revenue,- -,488366000,84799000,210833,277917,37500,71579,76579,272135,161996,69583,137500,51250,70833,86667,72083,137083,89226,18155,73667,60435,65028,38116
52,Other Current Liabilities,2085561,1165537000,1376602000,945761,983525,1623248,1453973,1132509,915614,567822,268077,510228,881284,721765,640803,522065,754021,974549,950253,755640,703719,676005,951302
53,Total Current Liabilities,4843435,2443838000,1724390000,1861073,1705713,2045847,1885804,1457789,1251270,803316,573138,711171,1006038,835788,780464,636891,937572,1107158,1012149,916166,860488,1078616,1097874
54,Long-Term Debt,1255862,177057000,197938000,1426235,1067008,711131,444307,251567,228516,204371,179078,152584,124832,95762,65311,33413,- -,- -,- -,- -,359242,260094,153702
55,Deferred Revenue,309789,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80110,97798,110855
56,Deferred Tax Liabilities,350005,- -,- -,- -,- -,- -,86980,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84940,164114
57,Other Non-Current Liabilities,- -,2779534000,1848582000,39736,14583,- -,- -,45818,9508,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449409,- -,- -,- -
58,Total Non-Current Liabilities,1915656,2956591000,2046520000,1465971,1081591,711131,531287,297385,238024,204371,179078,152584,124832,95762,65311,33413,- -,- -,- -,449409,439352,442832,428671
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498044,451381,359243,260094
61,Total Liabilities,6759091,5400429000,3770910000,3327044,2787304,2756978,2417091,1755174,1489294,1007687,752216,863755,1130870,931550,845775,670304,937572,1107158,1012149,1365575,1299840,1521448,1526545
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13507669,13507669000,13507669000,13507327,13507759,13508023,13508202,13508216,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257,13508257
64,Retained Earnings,-8555915,- -,- -,-9672989,-9219964,-9236402,-9265505,-9198846,-8681467,-8493900,-11175018,-11056030,-11315683,-11114508,-11345057,-11268922,-11521735,-11508145,-11417148,-11272448,-11342785,-11699496,-11338914
65,Other Comprehensive Income/Loss,-1382406,- -,- -,-1911903,-1634162,- -,- -,- -,-526661,-554111,-575407,-592851,-133294,-139293,-143459,-147638,-150083,-152334,-154762,-155024,-155752,- -,- -
66,Other Total Stockholders Equity,2526139,- -,- -,2715179,2249613,624781,648154,654218,1235918,1288594,1320067,1347459,897547,903546,907712,911891,914336,916587,919015,919277,920005,764253,- -
67,Total Stockholders Equity,6095487,5787675000,4696145000,4637614,4903246,4896402,4890851,4963588,5536047,5748840,3077899,3206835,2956827,3158002,2927453,3003588,2750775,2764365,2855362,3000062,2929725,2573014,2933596
68,Total Liabilities And Stockholders Equity,12854578,11188104000,8467055000,7964658,7690550,7653380,7307942,6718762,7025341,6756527,3830115,4070590,4087697,4089552,3773228,3673892,3688347,3871523,3867511,4365637,4229565,4094462,4460141
69,Minority Interest,- -,1600156000,1907833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12854578,12788260000,10374888000,7964658,7690550,7653380,7307942,6718762,7025341,6756527,3830115,4070590,4087697,4089552,3773228,3673892,3688347,3871523,3867511,4365637,4229565,4094462,4460141
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1123596/000112359601500005/0001123596-01-500005-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359602000002/0001123596-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359603000003/0001123596-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359604000002/0001123596-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359605000008/0001123596-05-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1123596/000114036108005149/0001140361-08-005149-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036109004691/0001140361-09-004691-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036110007972/0001140361-10-007972-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036111011853/0001140361-11-011853-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774912001724/0001437749-12-001724-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774913001868/0001437749-13-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774914002837/0001437749-14-002837-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774915003221/0001437749-15-003221-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774916025934/0001437749-16-025934-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774917003067/0001437749-17-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774918003295/0001437749-18-003295-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774919003265/0001437749-19-003265-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774920003344/0001437749-20-003344-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774921004215/0001437749-21-004215-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774922004437/0001437749-22-004437-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3464569,-307916,-1089580000,326335,588858,652276,692857,716607,1243713,623378,-2317943,409528,394063,419080,350533,511946,110362,449400,454173,507875,449093,-66171,651122
74,Depreciation and Amortization,1247868,922235,847244000,716436,448215,153720,84664,69653,44812,38960,31231,28404,26389,18924,17493,17983,17145,20152,11536,1210,2057,3562,5116
75,Deferred Income Tax,- -,- -,180000000,- -,- -,- -,- -,- -,-500000,- -,252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,284940,79174
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,25226,10177,9948,9645,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-854206,780332140,-654489000,-124738862,1030398,-273471,-88348,-48122,4535,162338,-39850,90077,-255496,185506,-251422,58360,-272284,29719,91361,107955,-84999,-72458,-118212
78,Accounts Receivable,- -,- -,161688000,- -,- -,- -,- -,- -,- -,4055,-35214,-18822,- -,35733,-39961,- -,- -,- -,- -,-42443,26087,10981,-24863
79,Inventory,4663,55370,119143000,18201,23662,13355,-1148,19207,2102,-7385,13385,3841,10480,-3328,-591,2025,-1305,10694,-3631,15762,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26,8803,-31632,8423,-11698,2210,30328,358,-5517,-34029,6084,6008
81,Other Working Capital,-879140,779453000,124964000,225138,1255536,982065,893717,845595,850130,1012468,972618,1062695,807199,992705,741283,799643,527359,557078,648439,756394,-15347,22281,-13855
82,Other Non-Cash Items,2541082,-781114301,644028000,124859571,-452625,312457,254056,129723,-119805,-345574,2343028,-10945,289069,-128618,-70903,-88720,670880,43709,-297182,24520,17370,63044,101100
83,Cash Provided by Operating Activities,-529825,-167842,-72797000,1163480,1614846,844982,943229,867861,673255,504328,278643,527012,463670,494892,45701,499569,526103,542980,259888,641560,431521,212917,718300
84,CAPEX,-170390,-76730,-46784000,-75199,-36300,-117140,-15959,-14327,-57236,-57383,-25904,-40769,-11145,-11198,-7915,-7643,-3203,-4023,-11173,-10292,-9268,-13278,-2525
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-247059,- -,- -,- -,- -,-25972,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,120078,57657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,613811,987596,684339000,205234,409423,49897,-27060,4500,- -,-56192,-24754,-18800,139,-4798,-4420,-7643,-3203,-4023,-4455,-5775,-6020,-13278,-2525
89,Cash Used for Investing Activites,218254,910866,637555000,130035,373123,26863,14638,-9827,-57236,-57183,-25904,-40769,-8178,-11198,-7915,-7643,-3203,-4023,-11173,-5775,-9268,-13278,-2525
90,Debt Repayment,-330749,- -,-403800000,- -,- -,- -,- -,- -,- -,-23051,-24146,-25292,-26494,-27752,-29070,-30451,-31898,-33413,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,20375,23552,6077,20665,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-212000,-10781,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-135833,-277895,-717161,-1011144,-726318,-727278,-363175,-290540,-435810,-435810,-581082,-435811,-363175,-435810,-363176,-363175,-435811,-290540,-290540
94,Other Financing Activites,-27024,-425586,-1950000,-681036,-522786,-281145,-252568,-266825,-192740,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228155,- -
95,Cash Used/Provided by Financing Activities,-357773,-425586,-405750000,-681036,-870619,-549446,-946177,-1271892,-898393,-750329,-387321,-315832,-462304,-463562,-610152,-466262,-395073,-469223,-363176,-363175,-435811,-62385,-290540
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-669344,317438,159008000,612479,1117350,322399,11690,-413858,-282374,-303184,-134582,170411,-6812,20132,-572366,25664,127827,69734,-114461,272610,-13558,137254,425235
98,Cash at the End of Period,30818,348256,507264000,1119743,2237093,2194834,2206524,1792666,1510292,1207108,1072526,1242937,1236125,1256257,683891,709555,837382,907116,792655,1065265,1495669,1632923,2058158
99,Cash at the Beginning of Period,700162,30818,348256000,507264,1119743,1872435,2194834,2206524,1792666,1510292,1207108,1072526,1242937,1236125,1256257,683891,709555,837382,907116,792655,1509227,1495669,1632923
100,Free Cash Flow,-700215,-244572,-119581000,1088281,1578546,727842,927270,853534,616019,446945,252739,486243,452525,483694,37786,491926,522900,538957,248715,631268,422253,199639,715775
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1123596/000112359602000002/0001123596-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359603000003/0001123596-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359604000002/0001123596-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000112359605000008/0001123596-05-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1123596/000114036108005149/0001140361-08-005149-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036109004691/0001140361-09-004691-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036110007972/0001140361-10-007972-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000114036111011853/0001140361-11-011853-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774912001724/0001437749-12-001724-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774913001868/0001437749-13-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774914002837/0001437749-14-002837-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774915003221/0001437749-15-003221-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774916025934/0001437749-16-025934-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774917003067/0001437749-17-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774918003295/0001437749-18-003295-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774919003265/0001437749-19-003265-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774920003344/0001437749-20-003344-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774921004215/0001437749-21-004215-index.htm,https://www.sec.gov/Archives/edgar/data/1123596/000143774922004437/0001437749-22-004437-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
