,https://roic.ai/company/SSRM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,1459028,1257762,975855,897026,1281171,1146906,- -,- -,- -,- -,- -,- -,- -,17431000,33790000,27986000,36364000,27459000,43052000,41482000,36644000,36288000,46950000,48545000,89003000,98976000
11,COGS and Expenses,- -,- -,1459028,1257762,910463,897026,1281171,1146906,1540512,2344334,4987705,7016206,17367431,24149235,17283484,25396000,136088000,123912000,231372000,196961000,306974000,397964000,373624000,371798000,390780000,484512000,633450000,998309000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,2066000,6180000,1458000,723000,1670000,4132000,9219000,11111000,3495000,1939000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2275267,1095000,13916000,6608000,7882000,8274000,7619000,9078000,8132000,15235000,13831000,25591000,19916000,19097000
14,Depreciation and Amortization,- -,- -,- -,- -,65392,68925,15002,15999,14995,22848,47910,64084,121933,320920,250616,2268000,- -,286000,173000,375000,365000,309000,262000,202000,194000,460000,- -,227959000
15,EBITDA,- -,-1099688,-1970038,-2165868,-7538228,-829100,-1122149,-44996,-1534514,-1337065,-7706639,-8156703,-43535011,-6695195,-17032868,-14138000,383452000,118419000,43139000,-200915000,-87831000,-104270000,89379000,87874000,28525000,113738000,194263000,601016000
16,EBITDA ratio,- -,-2.7500,-26.9863,-30.9716,-115.2771,-12.0290,-1121.7753,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.5979,3.4159,0.8010,0.1789,-1.1501,-0.2927,-0.2778,0.1820,0.1958,0.0678,0.1874,0.2277,0.4077
17,Operating Income,- -,399886,-2481047,-2795248,-7798791,-965951,-1253167,-2242816,-1574502,-2344334,-4987705,-7336626,-17454382,-24149235,-17283484,-19954000,-23832000,22565000,9748000,-224715000,-52497000,-71063000,112605000,101332000,29895000,122338000,202713000,444375000
18,Operating Income ratio,- -,1.0000,-33.9863,-39.9716,-119.2618,-14.0145,-1252.7493,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.6667,-0.2123,0.1526,0.0404,-1.2864,-0.1749,-0.1893,0.2293,0.2258,0.0711,0.2016,0.2376,0.3014
19,Total Other Income Expenses (Gains),- -,- -,511009,-1257762,-6823942,-68926,8001,-1085911,8997,-984421,2766844,1204581,26289514,-17133119,24183237,2453000,393368000,88960000,25336000,15151000,-43318000,-42594000,-31620000,-26745000,-21805000,-36209000,-21392000,-29617000
20,Income Before Tax,- -,- -,-1970038,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6899753,-17501000,369536000,111525000,35084000,-209564000,-95815000,-113657000,80985000,74587000,8090000,86129000,181321000,414758000
21,Income Before Tax Ratio,- -,- -,-26.9863,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,Infinity,-3.2159,3.2919,0.7543,0.1455,-1.1997,-0.3193,-0.3028,0.1649,0.1662,0.0192,0.1419,0.2125,0.2813
22,Income Tax expense (Gain),- -,- -,73001,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15518488,-4308000,23297000,31397000,-19742000,15433000,30578000,10645000,16028000,3121000,8121000,30372000,40853000,-14116000
23,Net Income,- -,-1099688,-2043039,-2165868,-7603620,-898025,-1137152,-2120826,-1396558,-3036707,-1262647,-5054632,14054255,-34458791,-8618735,-13193000,346239000,80128000,54826000,-224997000,-126393000,-124302000,64957000,69316000,6379000,57315000,133494000,368076000
24,Net Income ratio,- -,-2.7500,-27.9863,-30.9716,-116.2771,-13.0290,-1136.7727,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-2.4243,3.0844,0.5420,0.2274,-1.2880,-0.4211,-0.3312,0.1323,0.1545,0.0152,0.0944,0.1565,0.2497
25,EPS,- -,-0.14,-0.18,-0.15,-0.48,-0.03,-0.05,-0.08,-0.04,-0.08,-0.02,-0.09,0.24,-0.56,-0.14,-0.19,4.44,1.00,0.68,-2.79,-1.57,-1.54,0.63,0.58,0.05,0.47,0.88,2.00
26,EPS Diluted,- -,-0.14,-0.18,-0.15,-0.48,-0.03,-0.05,-0.08,-0.04,-0.08,-0.02,-0.09,0.24,-0.56,-0.14,-0.19,4.42,0.99,0.68,-2.79,-1.57,-1.54,0.62,0.57,0.05,0.47,0.87,1.88
27,Weighted Average Shares Outstanding,- -,7857216,11663810,14073912,15934422,17964570,22217789,26375208,35739100,40409854,48311212,51683125,58652000,62148000,62694000,68845000,77972000,80324000,80744000,80754000,80754000,80770000,103267000,119593000,120137000,121769000,151144000,213426000
28,Weighted Average Shares Outstanding Diluted,- -,7857216,11663810,14073912,15934422,17964570,22217789,26375208,35739100,40409854,48311212,51683125,58652000,63339000,62694000,68845000,78356000,80660000,80761000,80754000,80754000,80770000,104584000,120681000,121354000,122661000,164437000,226833000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921638/000092163822000059/0000921638-22-000059-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2900000,10435199,2795248,1170020,2001827,2206294,3502714,11015513,12668343,38018154,19829018,196993449,81418421,72462613,26659000,232311000,94711000,366947000,415657000,184643000,211862000,327127000,459864000,419212000,503647000,860637000,1017562000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,198937,1123492,2768841,4292632,4990251,33534140,10990961,17863000,33465000,267883000,34733000,129267000,104785000,88184000,148944000,114001000,29542000,66453000,26748000,40431000
33,Cash and Short-Term Investments,- -,2900000,10435199,2795248,1170020,2001827,2206294,3502714,11214450,13791835,40786995,24121651,201983699,114952561,83453574,44522000,265776000,362594000,401680000,544924000,289428000,300046000,476071000,573865000,448754000,570100000,887385000,1057993000
34,Net Receivables,- -,500000,219004,69931,584507,137850,130017,130989,259918,261255,550973,1066399,3214229,2931405,2788825,6238000,30323000,12745000,76487000,64394000,43756000,30509000,52336000,29177000,31961000,71828000,83491000,121356000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20565000,40176000,94681000,102293000,50892000,129228000,135976000,154915000,182581000,232748000,237570000,437379000,389416000
36,Other Current Assets,- -,5700000,73002,69932,65392,69923,28004,112991,126960,180792,11707184,12562484,14085239,16400017,1113394,3872000,5779000,6656000,13311000,27993000,29406000,10203000,20918000,13974000,19656000,20164000,16267000,31549000
37,Total Current Assets,- -,9100000,10727205,2935110,1819919,2209601,2364315,3746693,11601328,14233881,53045152,37750534,219283167,134283983,87355793,75197000,342054000,476676000,593771000,688203000,491818000,476734000,704240000,799597000,733119000,899662000,1424522000,1600314000
38,PP&E,- -,1300000,5838112,15863382,11178066,16087534,18232432,24638984,35770676,51359785,119648038,149442089,181868783,312455789,423820871,609350000,613659000,544111000,540077000,400409000,439074000,348712000,663828000,658629000,701175000,769462000,3565905000,3249764000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49786000,49786000,49786000,49786000,49786000,49786000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49786000,49786000,49786000,49786000,49786000,49786000
42,Investments,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27949877,8015000,226271000,136342000,119632000,- -,- -,- -,- -,- -,- -,1000000,7782000,4918000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70782000,21591000,18132000,12041000,- -,- -,1096000,- -,7523000,63000,4612000,8501000
44,Other Non-Current Assets,- -,- -,145003,698313,129778,137850,123016,131989,107965,118210,2078127,1621127,2943379,56990387,32326212,57363000,9251000,97382000,45300000,90588000,55357000,46231000,19738000,29442000,29535000,30134000,192379000,298155000
45,Total Non-Current Assets,- -,1500000,5983114,16561695,11307844,16225384,18355448,24770973,35878641,51477995,121726166,151063216,184812161,369446176,484096960,674728000,919963000,799426000,723141000,503038000,494431000,394943000,734448000,737857000,788019000,850445000,3820464000,3611124000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10600000,16710320,19496806,13127764,18434985,20719764,28517666,47479969,65711876,174771318,188813750,404095328,503730159,571452753,749925000,1262017000,1276102000,1316912000,1191241000,986249000,871677000,1438688000,1537454000,1521138000,1750107000,5244986000,5211438000
48,Accounts Payable,- -,- -,876016,768244,1040241,275701,245033,264978,518836,559263,1185790,1713248,2637546,9734910,20566146,48265000,32132000,12648000,17288000,11014000,23552000,17697000,17083000,16740000,15896000,33579000,42600000,34844000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135805000,- -,5922000,4273000,- -,- -,- -,114280000,71025000,86168000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52206000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,700000,- -,- -,- -,- -,22003,13999,645796,647672,593893,1300707,1962919,6131578,25046015,2417000,6078000,64940000,61719000,93110000,93396000,113881000,127223000,54726000,67358000,86312000,135308000,162870000
53,Total Current Liabilities,- -,700000,876016,768244,1040241,275701,267036,278977,1164631,1206935,1779684,3013955,4600465,15866488,45612161,50682000,38210000,77588000,214812000,104124000,122870000,135851000,144306000,71466000,83254000,234171000,248933000,283882000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,110015,89992,157950,57615,37929,- -,- -,- -,104695974,114109000,118203000,125313000,- -,187130000,197134000,208085000,220054000,233180000,247551000,169769000,319645000,401458000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11811989,18803673,22945356,25500107,22474117,36798000,57392000,41331000,13551000,24736000,29050000,29026000,116887000,114576000,107909000,127815000,483449000,338788000
57,Other Non-Current Liabilities,- -,- -,-73001,- -,-1006,414550,333044,2405803,445859,804623,572932,653858,2003896,2855185,6640099,11150000,16440000,47895000,31222000,32973000,57945000,51532000,55562000,94304000,76448000,84398000,253056000,134793000
58,Total Non-Current Liabilities,- -,- -,-73001,- -,-1006,414550,443059,2495796,603809,862238,12422850,19457531,24949252,28355292,133810189,162057000,192035000,214539000,44773000,244839000,284129000,288643000,392503000,442060000,431908000,381982000,1056150000,875039000
59,Other Liabilities,- -,- -,- -,- -,- -,829100,- -,4991592,- -,- -,- -,- -,49898504,56710586,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,64980,50661,7985,- -,- -,- -,- -,341000,955000,- -,- -,- -,- -,- -,- -,- -,- -,3346000,122715000,120642000
61,Total Liabilities,- -,700000,803015,768244,1039235,690251,710095,2774773,1768440,2069173,14202534,22471486,29549717,44221781,179422350,212739000,230245000,292127000,259585000,348963000,406999000,424494000,536809000,513526000,515162000,616153000,1305083000,1158921000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538700000,- -,- -,706901000,707034000,707034000,707607000,1043555000,1047233000,1055417000,1083766000,3220795000,3140189000
64,Retained Earnings,- -,-1200000,-3211062,-5170909,-12477864,-14084709,-14750968,-16015689,-17591431,-24392993,-31322631,-37475173,-23286168,-61867369,-55686113,-68573000,277666000,271584000,326410000,96525000,-183408000,-273966000,-209009000,-139693000,-133314000,-75999000,58487000,397667000
65,Other Comprehensive Income/Loss,- -,11200000,- -,-139862,-129778,-206775,-235032,-183985,-157950,-177812,-260515,-365480,-473739,-1343852,-1988496,-17562000,-43662000,-64618000,-108731000,-143791000,-202847000,-297024000,-377737000,-493167000,-577473000,-668929000,146995000,- -
66,Other Total Stockholders Equity,- -,- -,19118366,24039333,24696171,32036218,34965665,41914569,63460910,88213509,192151930,204182917,398305517,522105841,449205423,84125000,797272000,777009000,132747000,182510000,258471000,310566000,445070000,586512000,629517000,795116000,- -,- -
67,Total Stockholders Equity,- -,9900000,15907304,18728562,12088529,17744734,19979665,25714895,45711529,63642705,160568784,166342265,374545610,458894619,391530813,536690000,1031276000,983975000,1057327000,842278000,579250000,447183000,901879000,1000885000,974147000,1133954000,3426277000,3537856000
68,Total Liabilities And Stockholders Equity,- -,10600000,16710320,19496806,13127764,18434985,20689760,28489668,47479969,65711877,174771318,188813751,404095327,503116400,570953164,749429000,1261521000,1276102000,1316912000,1191241000,986249000,871677000,1438688000,1514411000,1489309000,1750107000,4731360000,4696777000
69,Minority Interest,- -,- -,- -,-0,- -,- -,30004,27998,-0,-1,- -,-1,1,613758,499589,496000,496000,- -,- -,- -,- -,- -,- -,23043000,31829000,- -,513626000,514661000
70,Total Liabilities & Equity,- -,10600000,16710320,19496806,13127764,18434985,20719764,28517666,47479969,65711876,174771318,188813750,404095328,503730159,571452753,749925000,1262017000,1276102000,1316912000,1191241000,986249000,871677000,1438688000,1537454000,1521138000,1750107000,5244986000,5211438000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921638/000092163822000059/0000921638-22-000059-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,-1100000,-2043039,-2165868,-7603620,-898025,-1137152,-2120826,-1396558,-3036707,-1262647,-5054632,14054255,-34458791,-8618735,-13193000,346239000,80128000,54826000,-224997000,-126393000,-124302000,64957000,69316000,6379000,57315000,133494000,368076000
74,Depreciation and Amortization,- -,- -,- -,- -,65392,68925,15002,15999,14995,22848,47910,64084,121933,320920,250616,2268000,- -,286000,173000,375000,365000,309000,262000,202000,194000,460000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2806902,- -,17650000,-4950000,-25218000,15433000,30578000,10646000,16028000,3121000,8121000,30372000,40853000,-130570000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8382087,6319000,8868000,4754000,4128000,1001000,2167000,2792000,2133000,2219000,2157000,4005000,2082000,14799000
77,Change in Working Capital,-700000,-7684322,-1387188,1154221,163380,1370437,6968980,2590250,38238522,-16528889,179946122,-96265207,-76673863,-17228632,279329000,95244000,-20129000,205120000,-215131000,-28065000,219051000,168197000,-78266000,15626000,510098000,29648000,111195000,-29295000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-402629,-3584000,-16478000,19831000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22501000,-20245000,-50073000,-5811000,1555000,3376000,-19706000,16291000,-10973000,-40144000,-10872000,79103000,-20848000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303205,3985000,21447000,11728000,29045000,15787000,-1773000,6432000,5680000,-10117000,18753000,19663000,- -,-6882000
81,Other Working Capital,9851189,2166867,779678,1933900,2097280,3467716,10436696,13026946,51265468,34736579,214682702,118417495,41743632,24515000,303844000,399088000,378959000,584079000,368948000,340883000,559934000,728131000,649865000,665491000,1175589000,1205237000,1316432000,- -
82,Other Non-Cash Items,100000,9084322,2919218,452197,7115290,-1300512,-7178008,-1519338,-38286507,16995769,-180765594,98714421,59214484,46791387,-267356938,-130581000,-363738000,-279659000,186632000,255725000,-56935000,16467000,165570000,54241000,-467180000,12398000,60991000,385976000
83,Cash Provided by Operating Activities,-300000,300000,-511010,-559449,-259557,-759176,-1331178,-1033916,-1429548,-2546980,-2034209,-2541335,-3283191,-4575117,14792933,-39943000,-11110000,5679000,5410000,19472000,68833000,74109000,170684000,144725000,59769000,134198000,348615000,608986000
84,CAPEX,-300000,-1400000,-5619108,-11880304,-4029174,-2140676,-1749233,-2901763,-5083391,-7627032,-11234066,-19059008,-36879678,-89169644,-150506163,-152194000,-52912000,-65434000,-61998000,-55212000,-286904000,-37280000,-74896000,-51760000,-75236000,-135768000,-169340000,-164810000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,- -,- -,- -,17000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-334894,-803630,-2291730,-2116777,-323821,-3683561,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23057000,-3435000,-29550000,-10086000
87,Sales/Maturities of Investments,- -,- -,- -,69931,- -,- -,- -,- -,480848,- -,3592306,2649476,44964223,820352,34547247,24133000,11015000,- -,4853000,- -,39249000,438000,4969000,68641000,63445000,3308000,97098000,11396000
88,Other Investing Activites,- -,100000,- -,419588,520120,1588275,-594079,-1628867,-2847099,-63575,-13046688,0,-1630101,-65747494,-4221857,-23763000,134583000,136414000,18009000,-21373000,-51045000,-7500000,-22961000,-55238000,-88571000,5567000,282582000,34363000
89,Cash Used for Investing Activites,-300000,-1300000,-5619108,-11390785,-3509054,-552400,-2343312,-4530629,-7784535,-8494236,-22980177,-18526309,6130622,-157780345,-120180772,-151824000,92686000,70980000,31864000,-76585000,-298700000,-44342000,-43264000,-15494000,-115930000,-130328000,180790000,-129137000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1183237,- -,- -,- -,- -,-138000000,- -,-1701000,-17552000,- -,- -,-153326000,-154877000,-80441000
91,Common Stock Issued,- -,- -,8246157,3563492,2469819,2140676,3935525,7019425,16975626,10552483,50188475,1546029,184336423,11909143,- -,155578000,130707000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,1800000,7700000,- -,- -,- -,- -,- -,- -,-211933,-41721,- -,- -,- -,- -,- -,-9165000,-6631000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14464000,-148075000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43233000
94,Other Financing Activites,- -,-300000,- -,2096935,-129779,- -,-5001,-30997,-95970,-162912,-842430,- -,-9948518,- -,112781430,- -,- -,20085000,618000,256160000,5922000,1945000,6488000,4601000,20516000,233879000,-3863000,-48020000
95,Cash Used/Provided by Financing Activities,1800000,7400000,8246157,5660427,2340040,2140676,3930524,6988428,16667724,10347850,49346045,1546029,174387905,11909143,111598192,146413000,124076000,20085000,618000,118160000,5922000,244000,-11064000,4601000,20516000,80553000,-173204000,-319769000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,18994,-11920,19963,- -,- -,- -,- -,- -,- -,- -,- -,-12337000,-7069000,-2792000,-1091000,-1095000,-5007000,12000,789000,-3136000
97,Net Change In Cash,1100000,6400000,2116040,-6219876,-1429577,828101,256034,1423883,7472634,-705287,24352619,-19522617,177235336,-150446319,6210353,-45354000,205652000,96744000,37892000,48710000,-231014000,27219000,115265000,132737000,-40652000,84435000,356990000,156944000
98,Cash at the End of Period,210618000,6400000,10435199,2795248,1170020,2001827,2206294,3502714,11015513,12668343,38018154,19829018,196993449,81418421,72462613,26659000,232311000,329055000,366947000,415657000,184643000,211862000,327127000,459864000,419212000,503647000,860637000,1052865000
99,Cash at the Beginning of Period,209518000,- -,8319159,9015124,2599597,1173726,1950260,2078830,3542878,13373630,13665535,39351635,19758113,231864740,66252260,72013000,26659000,232311000,329055000,366947000,415657000,184643000,211862000,327127000,459864000,419212000,503647000,895921000
100,Free Cash Flow,-600000,-1100000,-6130117,-12439753,-4288731,-2899852,-3080411,-3935678,-6512938,-10174012,-13268275,-21600343,-40162869,-93744760,-135713229,-192137000,-64022000,-59755000,-56588000,-35740000,-218071000,36829000,95788000,92965000,-15467000,-1570000,179275000,444176000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921638/000092163822000059/0000921638-22-000059-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
