,https://roic.ai/company/ASDN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,194190,- -,- -,14199,13925,18125
45,Total Non-Current Assets,194791,210000,210000,- -,- -,386091,1211600,1121682,1043808,885199,884925,889125
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,197139,210000,210000,- -,- -,1101382,1846497,1784012,1699633,992175,947224,1003423
48,Accounts Payable,8622,10000,10000,- -,- -,121669,127264,135226,181463,93952,265604,- -
49,Short-Term Debt,242952,280000,280000,- -,- -,104808,112606,95383,97290,108886,718524,809857
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,77833,94428,75008,37678,- -,- -,- -
52,Other Current Liabilities,5781,10000,- -,- -,- -,86150,187307,54981,- -,- -,- -,376392
53,Total Current Liabilities,257355,300000,290000,- -,- -,390460,521605,360598,316431,202838,984128,1186249
54,Long-Term Debt,- -,- -,- -,- -,- -,478133,874756,711569,650142,591439,750017,1209350
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,14020,17910,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,478133,874756,725589,668052,591439,750017,1209350
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,257355,300000,290000,- -,- -,868593,1396361,1086187,984483,794277,1734145,2395599
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,156,156,166,166,166
63,Common Stock,75750,80000,80000,- -,- -,81041,83356,82939,82939,69309,73202,5724
64,Retained Earnings,-107092,-130000,-130000,- -,- -,10803,148357,271555,277467,-8011802,-10316875,-11502721
65,Other Comprehensive Income/Loss,-3200,- -,- -,- -,- -,-186079,-212010,-235006,-283177,22704,-20098,-75419
66,Other Total Stockholders Equity,-25674,- -,- -,- -,- -,327024,430433,578181,637765,8117521,9476684,10180074
67,Total Stockholders Equity,-60216,-90000,-90000,- -,- -,232789,450136,697825,715150,197898,-786921,-1392176
68,Total Liabilities And Stockholders Equity,197139,210000,200000,- -,- -,1101382,1846497,1784012,1699633,992175,947224,1003423
69,Minority Interest,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,197139,210000,210000,- -,- -,1101382,1846497,1784012,1699633,992175,947224,1003423
71,SEC Link,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1425203/000101489716000490/0001014897-16-000490-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489717000042/0001014897-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489718000020/0001014897-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489719000047/0001014897-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1425203/000101489720000030/0001014897-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1425203/000101489721000012/0001014897-21-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-79119,- -,- -,- -,- -,116625,137554,133198,15912,-7626599,-2305073,-1185846
74,Depreciation and Amortization,- -,- -,- -,- -,- -,57708,75580,101820,143145,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,37192,18458,37393,3890,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,50603,24491,11413,- -,- -,- -
77,Change in Working Capital,-259834,-44993,10000,- -,- -,614831,-211539,188440,37662,-435256,-825967,132055
78,Accounts Receivable,-2100,- -,- -,- -,- -,8596,-73810,28002,-143571,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-9705,15471,-46921,-32023,- -,- -,- -
80,Accounts Payable,8422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-255007,-300000,-290000,- -,- -,324831,113292,301732,339394,-95862,-921829,- -
82,Other Non-Cash Items,275137,44993,-10000,- -,- -,-556259,184181,-285537,-234892,6687919,2180494,440017
83,Cash Provided by Operating Activities,-63816,- -,- -,- -,- -,270097,254837,199805,-22870,-1373936,-950546,-613774
84,CAPEX,-4516,- -,- -,- -,- -,-118658,-228571,-90689,-10131,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-165000,-17810,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-15000,-18719,309616,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4516,- -,- -,- -,- -,-118658,-393571,201117,-10131,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-80854,-92365,-386976,-101550,- -,- -,- -
91,Common Stock Issued,14276,- -,- -,- -,- -,353000,- -,- -,- -,- -,48300,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-10000,-10000,-2500,- -,- -
94,Other Financing Activites,49477,- -,- -,- -,- -,24395,101157,-1860,-68091,1191439,891078,706453
95,Cash Used/Provided by Financing Activities,63753,- -,- -,- -,- -,296541,8792,-398836,-179641,1188939,939378,706453
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,22704,-42802,-55321
97,Net Change In Cash,-4579,- -,- -,- -,- -,447980,-129942,2086,-212642,-162293,-53970,37358
98,Cash at the End of Period,248,- -,- -,- -,- -,557920,427978,430064,217422,55129,1159,38517
99,Cash at the Beginning of Period,4827,- -,- -,- -,- -,109940,557920,427978,430064,217422,55129,1159
100,Free Cash Flow,-68332,- -,- -,- -,- -,151439,26266,109116,-33001,-1373936,-950546,-613774
101,SEC Link,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1425203/000101489716000490/0001014897-16-000490-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489717000042/0001014897-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489718000020/0001014897-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489719000047/0001014897-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1425203/000101489720000030/0001014897-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1425203/000101489721000012/0001014897-21-000012-index.htm
102,false,,,,,,,,,,,,
