,https://roic.ai/company/ZDPY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.5083,-Infinity,-Infinity,-Infinity,-11.4104,-0.7118,-0.0497,0.8399,-1.3173,0.3736,0.3338,0.0554
17,Operating Income,-87231,-351979,-1342609,-2756922,-59000,53899,-28487,-210000,-340000,-5479948,-1146566,-272241,697166,-1961483,715,37733,44700
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.3297,-Infinity,-Infinity,-Infinity,-11.7114,-0.8217,-0.1469,0.3298,-1.5858,0.0006,0.0310,0.0246
19,Total Other Income Expenses (Gains),1309,-1266,-47510,- -,- -,-1118000,1020000,- -,-50000,-260418,-225464,-229335,680736,-65795,-12996,-116071,-210519
20,Income Before Tax,- -,- -,- -,- -,-59000,-1064101,991513,-210000,-390000,-5740366,-1372030,-501576,1377902,-2027278,-12281,-78338,-165819
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-6.5083,Infinity,-Infinity,-Infinity,-12.2680,-0.9833,-0.2706,0.6518,-1.6390,-0.0097,-0.0645,-0.0911
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-85922,-356427,-1390119,-2756922,-59000,-1064101,991513,-210000,-390000,-5740366,-1372030,-501576,1377902,-2027278,-12281,-78338,-165819
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.5083,Infinity,-Infinity,-Infinity,-12.2680,-0.9833,-0.2706,0.6518,-1.6390,-0.0097,-0.0645,-0.0911
25,EPS,-38.41,-360.05,-1080.15,-1080.15,-24.99,-103.20,76.80,-21.00,-7.80,-0.72,-0.08,-0.03,0.07,-0.12,-0.00,-0.01,-0.01
26,EPS Diluted,-38.41,-360.05,-1080.15,-1080.15,-24.99,-103.20,76.80,-21.00,-7.80,-0.72,-0.08,-0.03,0.07,-0.12,-0.00,-0.01,-0.01
27,Weighted Average Shares Outstanding,2237,1492,2112,2227,2361,10201,12936,10000,50000,7931701,18134328,17150944,17309446,17427038,11913164,12009745,12009745
28,Weighted Average Shares Outstanding Diluted,2237,1492,2112,2227,2361,10201,12936,10000,50000,7931701,18134328,17150944,17482142,17427038,11913164,12009745,12009745
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000109690608001713/0001096906-08-001713-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000109690612000883/0001096906-12-000883-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000121390016011468/0001213900-16-011468-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390017002827/0001213900-17-002827-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390018002876/0001213900-18-002876-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390019005101/0001213900-19-005101-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390020007509/0001213900-20-007509-index.htm,https://www.sec.gov/Archives/edgar/data/1279620/000121390021018993/0001213900-21-018993-index.htm,https://www.sec.gov/Archives/edgar/data/1279620/000121390022014689/0001213900-22-014689-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,273841,288107,11877,3707,108,358,- -,- -,10000,1066377,1281464,366024,824240,354867,639781,699335,2940
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,273841,288107,11877,3707,108,358,- -,- -,10000,1066377,1281464,366024,824240,354867,639781,699335,2940
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182365,- -,8188,4988,7909
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,9655,7293,- -,2000,- -,- -,- -,- -,242462,527678,2343021,1836636,600,1100,- -,- -
37,Total Current Assets,273841,297762,19170,3707,2108,358,- -,- -,- -,1308839,1809142,2709045,2843241,355467,649069,704323,10849
38,PP&E,- -,12174,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17059,13918
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,46200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9450
41,Intangible Assets,- -,46200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9450
42,Investments,- -,- -,- -,- -,- -,480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,16213,8824,- -,- -,- -,- -,- -,8552669,7279239,6926954,7208980,7875749,7510434,- -,- -
45,Total Non-Current Assets,- -,58374,16213,8824,- -,480000,- -,- -,- -,8552669,7279239,6926954,7208980,7875749,7510434,17059,23368
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,165459
47,Total Assets,273841,356136,35383,12531,2108,480358,- -,- -,10000,9861508,9088381,9635999,10052221,8231216,8159503,721382,152940
48,Accounts Payable,24942,24114,34580,154250,- -,189938,196464,- -,- -,27835,36797,78311,8896,117985,- -,- -,11244
49,Short-Term Debt,212410,- -,- -,- -,- -,- -,- -,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4750,28750,- -,- -,3250,4750
52,Other Current Liabilities,- -,- -,- -,- -,195738,48151,- -,- -,- -,123896,211026,274253,159732,167268,172109,- -,- -
53,Total Current Liabilities,237352,24114,34580,154250,195738,238089,196464,- -,80000,151731,247823,357314,197378,285253,172109,3250,15994
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,3100000,3100000,2020000,2020000,2020000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2750,1750,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2205564
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,3100000,3100000,2020000,2022750,2021750,- -,2205564
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,160000,170000,- -,- -,- -,- -,- -,- -,2188750,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,237352,24114,34580,154250,195738,238089,196464,160000,250000,3251731,3347823,3457314,2217378,2308003,2193859,2192000,2221558
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000,2000,2000,2000,2000,2000,- -
63,Common Stock,9350,76020,76216,80549,84598,1469,1619,- -,20000,18676,17081,17210,17345,17442,11902,- -,12202
64,Retained Earnings,-298711,-655138,-2698369,-5455291,-5507202,-6571303,-5579790,-5790000,-6170000,-12319447,-13691477,-14193053,-12815151,-14842429,-14854710,- -,-15098867
65,Other Comprehensive Income/Loss,- -,-1924,1234360,2778760,- -,- -,- -,- -,- -,-99821,-219848,-334623,-534494,-27505,-34165,- -,- -
66,Other Total Stockholders Equity,325850,913064,1388596,2454263,5228974,6812103,5381707,5630000,5910000,19008369,19632802,20687151,21165143,20773705,20840617,5935737,21002563
67,Total Stockholders Equity,36489,332022,803,-141719,-193630,242269,-196464,-160000,-240000,6609777,5740558,6178685,7834843,5923213,5965644,5935737,5915898
68,Total Liabilities And Stockholders Equity,273841,356136,35383,12531,2108,480358,- -,- -,10000,9861508,9088381,9635999,10052221,8231216,8159503,8127737,8137456
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7406355,-7984516
70,Total Liabilities & Equity,273841,356136,35383,12531,2108,480358,- -,- -,10000,9861508,9088381,9635999,10052221,8231216,8159503,721382,152940
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000109690608001713/0001096906-08-001713-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000109690612000883/0001096906-12-000883-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000121390016011468/0001213900-16-011468-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390017002827/0001213900-17-002827-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390018002876/0001213900-18-002876-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390019005101/0001213900-19-005101-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390020007509/0001213900-20-007509-index.htm,https://www.sec.gov/Archives/edgar/data/1279620/000121390021018993/0001213900-21-018993-index.htm,https://www.sec.gov/Archives/edgar/data/1279620/000121390022014689/0001213900-22-014689-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-85922,-356427,-1390119,-2756922,-59000,-1064101,991513,-210000,-390000,-5740366,-1372030,-501576,1377902,-2027278,-12281,-78338,-165819
74,Depreciation and Amortization,- -,1924,6654,7389,- -,- -,- -,- -,- -,99821,150369,181899,225220,276665,361940,362833,386643
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,9000,- -,- -,4100344,79601,249125,223375,84132,31100,24200,488607
77,Change in Working Capital,-4619,237159,-289058,-135133,-43087,-44101,41267,196464,-80000,1237108,404211,790412,294132,-2575649,406746,224113,-706218
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8188,3200,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,27835,8962,41514,-69415,109089,-117984,- -,- -
81,Other Working Capital,36489,273648,-15410,-150543,-193630,-237731,-196464,- -,-80000,1157108,1561319,2351731,2645863,70214,476960,701073,-5145
82,Other Non-Cash Items,- -,-247642,349396,2582096,80751,1078038,-1042138,-236464,170000,-525386,237594,-722952,-2066706,4602114,-502591,-362768,-3213
83,Cash Provided by Operating Activities,-90541,-364986,-1323127,-302570,-21336,-30164,-358,-250000,-300000,-828479,-500255,-3092,53923,359984,284914,170040,- -
84,CAPEX,- -,-41598,-13030,- -,- -,- -,- -,- -,- -,-9303799,-282408,-912848,-499895,-829357,- -,-923,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,211020,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,1027,- -,- -,- -,- -,- -,- -,- -,- -,500,1984188,- -,- -,-109563,- -
89,Cash Used for Investing Activites,- -,-41598,-12003,- -,- -,- -,- -,- -,- -,-9092779,-282408,-912348,1484293,-829357,- -,-110486,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200387,- -,- -,-3100000,- -,- -,- -,- -
91,Common Stock Issued,300000,420000,58900,70000,- -,- -,- -,- -,- -,7874371,1000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,250000,150000,-700,-2250,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5000,850,1000000,224400,17737,30414,- -,- -,160000,3302387,- -,- -,2020000,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,305000,420850,1058900,294400,17737,30414,- -,250000,310000,10975671,997750,- -,-1080000,- -,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,214459,14266,-276230,-8170,-3599,250,- -,- -,10000,1054413,215087,-915440,458216,-469373,284914,59554,- -
98,Cash at the End of Period,273841,288107,11877,3707,108,358,- -,- -,10000,1066377,1281464,366024,824240,354867,639781,699335,- -
99,Cash at the Beginning of Period,59382,273841,288107,11877,3707,108,358,- -,- -,11964,1066377,1281464,366024,824240,354867,639781,699335
100,Free Cash Flow,-90541,-406584,-1336157,-302570,-21336,-30164,-358,-250000,-300000,-10132278,-782663,-915940,-445972,-469373,284914,169117,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000109690608001713/0001096906-08-001713-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000109690612000883/0001096906-12-000883-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1279620/000121390016011468/0001213900-16-011468-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390017002827/0001213900-17-002827-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390018002876/0001213900-18-002876-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390019005101/0001213900-19-005101-index.html,https://www.sec.gov/Archives/edgar/data/1279620/000121390020007509/0001213900-20-007509-index.htm,https://www.sec.gov/Archives/edgar/data/1279620/000121390021018993/0001213900-21-018993-index.htm,https://www.sec.gov/Archives/edgar/data/1279620/000121390022014689/0001213900-22-014689-index.htm
102,false,,,,,,,,,,,,,,,,,
