,https://roic.ai/company/LIVC,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-2.0317,0.2033,0.1420,0.0607,0.0486,-0.2225,-1.0673,-0.5269,-0.3563,-0.1192,-0.0683,- -,- -,- -,-Infinity,Infinity,-Infinity,Infinity,- -,-Infinity
25,EPS,-0.09,0.02,0.03,0.02,0.02,-0.11,-0.46,-0.17,-0.05,-0.02,-0.01,- -,- -,- -,-0.01,0.00,-0.02,0.00,0.01,-4.32
26,EPS Diluted,-0.09,0.01,0.03,0.02,0.02,-0.11,-0.46,-0.17,-0.05,-0.02,-0.01,- -,- -,- -,-0.01,0.00,-0.02,0.00,0.01,-4.32
27,Weighted Average Shares Outstanding,14446134,14691339,14973334,16687748,17786339,19070236,21937179,23941358,29980000,31976180,37860500,- -,- -,- -,37164825,34837625,34837625,34837625,34837625,34837625
28,Weighted Average Shares Outstanding Diluted,14446134,24914672,16973334,16687748,17786339,19070236,21937179,23941358,29980000,31976180,37860500,- -,- -,- -,37164825,34837625,34837625,34837625,34837625,34837625
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108630/000101968710001150/0001019687-10-001150-index.html,- -,- -,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1108630/000106299319001487/0001062993-19-001487-index.html,https://www.sec.gov/Archives/edgar/data/1108630/000106299320001594/0001062993-20-001594-index.htm,https://www.sec.gov/Archives/edgar/data/1108630/000106299321003128/0001062993-21-003128-index.htm,https://www.sec.gov/Archives/edgar/data/1108630/000106299322009121/0001062993-22-009121-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,60000,390000,1070000,1740000,2110000,7380000,1830000,410000,410000,470000,280000,- -,- -,- -,1149560,956550,388910,432850,176511,668469
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52054
33,Cash and Short-Term Investments,60000,390000,1070000,1740000,2110000,7380000,1830000,410000,410000,470000,280000,- -,- -,- -,1149560,956550,388910,432850,176511,720523
34,Net Receivables,20000,30000,10000,220000,280000,140000,120000,620000,10000,- -,430000,- -,- -,- -,5440,87940,22500,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,70000,30000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-10000,- -,240000,110000,150000,170000,70000,40000,- -,- -,- -,-10,-10,- -,- -,- -,- -
37,Total Current Assets,80000,420000,1080000,1950000,2390000,7760000,2130000,1210000,670000,540000,750000,- -,- -,- -,1154990,1044480,411410,432850,176511,720523
38,PP&E,10000,10000,30000,50000,50000,180000,1040000,230000,160000,100000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,2610000,70000,70000,70000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1790000,1770000,1500000,1540000,1650000,1650000,1940000,1180000,990000,740000,600000,- -,- -,- -,304890,206150,111950,111950,105417,6663
41,Intangible Assets,1790000,1770000,1500000,1540000,1650000,1650000,4550000,1250000,1060000,810000,670000,- -,- -,- -,304890,206150,111950,111950,105417,6663
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398308,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,210000,130000,90000,90000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,30000,10000,-10000,-180000,-130000,-100000,-90000,-90000,- -,- -,- -,- -,30000,- -,- -,-398308,- -
45,Total Non-Current Assets,1800000,1780000,1530000,1620000,1710000,1820000,5620000,1480000,1210000,910000,740000,- -,- -,- -,304890,236150,111950,111950,105417,6663
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1880000,2200000,2610000,3570000,4100000,9580000,7750000,2690000,1880000,1450000,1490000,- -,- -,- -,1459880,1280630,523360,544800,281928,727186
48,Accounts Payable,- -,540000,670000,940000,990000,- -,1000000,- -,- -,- -,- -,- -,- -,- -,436040,185550,85590,91060,116724,115020
49,Short-Term Debt,384893,52930,- -,- -,- -,- -,- -,429500,90000,110000,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,345107,-2930,- -,- -,- -,1830000,4330000,2000500,1890000,2130000,2180000,- -,- -,- -,17030,17240,17440,17650,- -,- -
53,Total Current Liabilities,730000,590000,670000,940000,990000,1830000,5330000,2430000,1980000,2240000,2300000,- -,- -,- -,453070,202790,103030,108710,116724,115020
54,Long-Term Debt,- -,250000,- -,- -,- -,- -,- -,- -,110000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,80000,420000,440000,130000,110000,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,250000,- -,- -,- -,80000,420000,440000,240000,140000,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,730000,840000,670000,940000,990000,1910000,5750000,2870000,2220000,2380000,2410000,- -,- -,- -,453070,202790,103030,108710,- -,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,10000,10000,10000,20000,20000,20000,20000,30000,- -,- -,- -,34840,34840,34840,34840,- -,- -
64,Retained Earnings,-1950000,-1700000,-1200000,-920000,-510000,-2530000,-12780000,-16790000,-18240000,-18930000,-19210000,- -,- -,- -,-17285590,-17214550,-17985410,-17969640,- -,-150615
65,Other Comprehensive Income/Loss,25539,-18281,- -,- -,- -,-70000,-320000,-230000,-210000,-270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,3065626,3065419,3131516,3539756,3606696,10265753,15335601,16823199,18090000,18250000,18260000,- -,- -,- -,18257558,18257558,18370901,18370896,673931,150615
67,Total Stockholders Equity,1151165,1357138,1941516,2629756,3106696,7675753,2255601,-176801,-340000,-930000,-920000,- -,- -,- -,1006808,1077848,420331,436096,673931,- -
68,Total Liabilities And Stockholders Equity,1881165,2197138,2611516,3569756,4096696,9585753,8005601,2693199,1880000,1450000,1490000,- -,- -,- -,1459878,1280638,523361,544806,281928,727186
69,Minority Interest,-1165,2862,-1516,244,3304,-5753,-255601,-3199,- -,- -,- -,- -,- -,- -,2,-8,-1,-6,- -,- -
70,Total Liabilities & Equity,1880000,2200000,2610000,3570000,4100000,9580000,7750000,2690000,1880000,1450000,1490000,- -,- -,- -,1459880,1280630,523360,544800,281928,727186
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108630/000101968710001150/0001019687-10-001150-index.html,- -,- -,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1108630/000106299319001487/0001062993-19-001487-index.html,https://www.sec.gov/Archives/edgar/data/1108630/000106299320001594/0001062993-20-001594-index.htm,https://www.sec.gov/Archives/edgar/data/1108630/000106299321003128/0001062993-21-003128-index.htm,https://www.sec.gov/Archives/edgar/data/1108630/000106299322009121/0001062993-22-009121-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1280000,250000,500000,350000,410000,-2020000,-9990000,-4010000,-1450000,-693400,-283280,- -,- -,- -,-419770,71040,-770850,15770,- -,-151
74,Depreciation and Amortization,4757,3057,3867,11963,15277,24135,291643,344351,150000,- -,43040,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -,- -,-11515,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2111354,1702519,- -,- -,- -,- -,- -,- -,- -,- -,113336,- -,5836,96
77,Change in Working Capital,570000,480000,580000,600000,390000,4530000,-9130000,1980000,-90000,-390000,150000,- -,- -,- -,2251920,139770,-533310,15760,-264353,545716
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,45348,-256808,590000,10000,-430000,- -,- -,- -,-113,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-74082,45368,-50000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-650000,-170000,410000,1010000,1400000,5930000,-3200000,-1220000,-1310000,-1700000,-1550000,- -,- -,- -,701920,841690,308380,324140,59787,605503
82,Other Non-Cash Items,997878,-329314,-188530,-335337,-344406,-3486108,11862743,-4227514,10000,850040,-916780,- -,- -,- -,-2569860,-574816,544696,-369286,6466,-545661
83,Cash Provided by Operating Activities,292635,403743,895337,626626,470871,-951973,-4854260,-4210644,-1410000,-233360,-1007020,- -,- -,- -,-737710,-364006,-657643,-337756,-252051,- -
84,CAPEX,- -,- -,-20643,-38209,-11795,-159934,-2169018,-654596,-180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128268,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-214558,-47354,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,261912,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2589,-40812,- -,-42269,- -,-1471905,2812368,960000,- -,534000,- -,- -,- -,236962,171000,90000,381700,-4288,950
89,Cash Used for Investing Activites,- -,2589,-61455,-252767,-101418,101978,-1659437,2791824,780000,- -,534000,- -,- -,- -,236962,171000,90000,381700,-4288,950
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,50000,119726,297100,- -,6099900,970972,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,590000,- -,5890,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-288242,-75000,-300000,- -,- -,20000,- -,- -,50000,- -,278060,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-288242,-25000,-180274,297100,- -,6119900,970972,- -,640000,- -,283950,- -,- -,- -,- -,- -,- -,- -,- -,- -
96,Effect of Forex Changes on Cash,-1538,-43820,18281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2855,337512,671889,670959,369453,5269905,-5542725,-1418820,- -,58150,-189080,- -,- -,- -,-500748,-193006,-567643,43944,-256339,-175843
98,Cash at the End of Period,55527,393039,1064928,1735887,2105340,7375245,1832520,413700,410000,468150,280920,- -,- -,- -,1149555,956549,388906,432850,176511,668
99,Cash at the Beginning of Period,52672,55527,393039,1064928,1735887,2105340,7375245,1832520,410000,410000,470000,- -,- -,- -,1650303,1149555,956549,388906,432850,176511
100,Free Cash Flow,292635,403743,874694,588417,459076,-1111907,-7023278,-4865240,-1590000,-233360,-1007020,- -,- -,- -,-737710,-364006,-657643,-337756,-380319,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108630/000101968710001150/0001019687-10-001150-index.html,- -,- -,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1108630/000106299319001487/0001062993-19-001487-index.html,https://www.sec.gov/Archives/edgar/data/1108630/000106299320001594/0001062993-20-001594-index.htm,https://www.sec.gov/Archives/edgar/data/1108630/000106299321003128/0001062993-21-003128-index.htm,https://www.sec.gov/Archives/edgar/data/1108630/000106299322009121/0001062993-22-009121-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
