,https://roic.ai/company/CAN,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,8020000,72171000
58,Total Non-Current Liabilities,- -,- -,13399000,11342000,88463000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,23237000,15943000,31111000
61,Total Liabilities,345984000,1161716000,298631000,603818000,2173567000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,1000,1000
64,Retained Earnings,404793000,53931000,-980579000,-1195673000,804496000
65,Other Comprehensive Income/Loss,28806000,32077000,41765000,17527000,-4505000
66,Other Total Stockholders Equity,423641000,154969000,1631608000,1610703000,2658698000
67,Total Stockholders Equity,857241000,240978000,692795000,432558000,3458690000
68,Total Liabilities And Stockholders Equity,1203225000,1402694000,991426000,1036376000,5632257000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1203225000,1402694000,991426000,1036376000,5632257000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,375816000,122432000,-1034510000,-215094000,- -
74,Depreciation and Amortization,9083000,13145000,45090000,44673000,- -
75,Deferred Income Tax,-10000,1062000,- -,- -,- -
76,Stock Based Compensation,95525000,18586000,270242000,2950000,- -
77,Change in Working Capital,-386569000,-166911000,450065000,220348000,- -
78,Accounts Receivable,11479000,-20228000,20815000,-4499000,- -
79,Inventory,-123927000,-325825000,369147000,-48844000,- -
80,Accounts Payable,27589000,-3198000,51810000,-61643000,- -
81,Other Working Capital,197644000,-197717000,2474000,432840000,- -
82,Other Non-Cash Items,-2646000,-1057000,-10945000,-10580000,- -
83,Cash Provided by Operating Activities,91199000,-12743000,-280058000,42297000,- -
84,CAPEX,-12656000,-24910000,-8380000,-2176000,- -
85,Acquisitions Net,-6409000,15515000,- -,- -,- -
86,Purchases of Investments,-941360000,-1405520000,-554700000,-1336577000,- -
87,Sales/Maturities of Investments,859848000,1498682000,546750000,1288540000,- -
88,Other Investing Activites,13802000,211000,- -,637000,- -
89,Cash Used for Investing Activites,-86775000,83978000,-16330000,-49576000,- -
90,Debt Repayment,- -,-964947000,-1135730000,-217000000,- -
91,Common Stock Issued,150000000,- -,1213681000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-23915000,- -
93,Dividends Paid,- -,-692051000,- -,- -,- -
94,Other Financing Activites,- -,1952198000,200000000,128975000,- -
95,Cash Used/Provided by Financing Activities,150000000,295200000,277951000,-111940000,- -
96,Effect of Forex Changes on Cash,-1296000,2275000,-1927000,-9823000,- -
97,Net Change In Cash,153128000,368710000,-20364000,-129042000,- -
98,Cash at the End of Period,176500000,545210000,524846000,395804000,- -
99,Cash at the Beginning of Period,23372000,176500000,545210000,524846000,- -
100,Free Cash Flow,78543000,-37653000,-288438000,40121000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
