,https://roic.ai/company/PBA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,1221011000,1537512000,1522468000,1528107000,1629396000,1893895000,2039431000,2430461000,2549438000,3163509000,7801847000,8494000000,10574000000,12260000000,14341000000,24544000000,25651000000,32166000000,30427000000,30211000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1255562000,1574496000,1548900000,1559119000,1676204000,1966808000,2118209000,2581125000,2806408000,3339202000,8276499000,9142000000,11262000000,12936000000,15017000000,25566000000,26664000000,33153000000,31416000000,31456000000
48,Accounts Payable,- -,- -,- -,- -,21883000,21066000,11668000,18489000,37411000,59485000,65913000,- -,99228000,166646000,301936000,359000000,444000000,373000000,475000000,465000000,519000000,717000000,434000000,652000000
49,Short-Term Debt,- -,- -,- -,- -,3300000,134000000,6493000,23279000,21106000,6422000,81904000,194063000,7981000,324603000,11652000,262000000,4000000,5000000,6000000,256000000,480000000,186000000,699000000,1088000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,58000000,- -,5000000,3000000,67000000,103000000,56000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,39000000,62000000,71000000
52,Other Current Liabilities,- -,- -,- -,- -,10703000,8642000,9007000,9966000,12622000,15905000,17511000,78613000,21694000,26553000,98322000,197000000,257000000,261000000,304000000,421000000,454000000,515000000,586000000,579000000
53,Total Current Liabilities,- -,- -,- -,- -,35886000,163708000,27168000,51734000,71139000,81812000,165328000,272676000,128903000,517802000,411910000,818000000,705000000,639000000,785000000,1142000000,1490000000,1457000000,1781000000,2390000000
54,Long-Term Debt,- -,- -,- -,- -,322959000,282111000,682529000,606134000,609075000,820066000,872662000,1077726000,1397692000,1301426000,2542742000,2013000000,2857000000,3318000000,4145000000,7300000000,7057000000,10785000000,10951000000,10874000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2185000,3099000,- -,44000000,84000000,86000000,136000000,131000000,192000000,230000000,220000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,164100000,200600000,167300000,137923000,113617000,93957000,98869000,95870000,91006000,106915000,584489000,699000000,793000000,965000000,1111000000,2376000000,2774000000,2906000000,2925000000,3011000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1951000,16853000,19716000,29889000,62236000,98120000,5481000,8647000,449257000,458827000,441000000,527000000,506000000,594000000,763000000,808000000,1043000000,514000000,598000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,487059000,484662000,866682000,763773000,752581000,976259000,1069651000,1179077000,1497345000,1859783000,3589157000,3153000000,4221000000,4873000000,5936000000,10575000000,10770000000,14926000000,14620000000,14703000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,819000000,774000000,723000000
61,Total Liabilities,- -,- -,- -,- -,522945000,648370000,893850000,815507000,823720000,1058071000,1234979000,1451753000,1626248000,2377585000,4001067000,3971000000,4926000000,5512000000,6721000000,11717000000,12260000000,16383000000,16401000000,17093000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391000000,880000000,1100000000,1509000000,2424000000,2423000000,2956000000,2946000000,2517000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1660795000,1782804000,1811734000,5324058000,5972000000,6876000000,7991000000,8808000000,13447000000,13662000000,15539000000,15644000000,15678000000
64,Retained Earnings,- -,- -,- -,- -,-183270000,233736000,-286852000,-688069000,-383325000,-419890000,-456856000,-527082000,-595533000,-834921000,-1027678000,-1189000000,-1400000000,-1670000000,-2010000000,-2075000000,-2058000000,-1883000000,-3637000000,-3920000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,73873000,-203742000,-413102000,-413102000,-569515000,7935000,-10608000,-4341000,-7111000,-15196000,-26123000,-8000000,-20000000,3000000,-11000000,-7000000,317000000,98000000,2000000,28000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,732617000,926126000,655050000,743612000,852484000,908737000,883230000,1129372000,1180160000,961617000,4270257000,5166000000,6336000000,7424000000,8296000000,13789000000,14344000000,16710000000,14955000000,14303000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1255562000,1574496000,1548900000,1559119000,1676204000,1966808000,2118209000,2581125000,2806408000,3339202000,8271324000,9137000000,11262000000,12936000000,15017000000,25506000000,26604000000,33093000000,31356000000,31396000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5175000,5000000,- -,- -,- -,60000000,60000000,60000000,60000000,60000000
70,Total Liabilities & Equity,- -,- -,- -,- -,1255562000,1574496000,1548900000,1559119000,1676204000,1966808000,2118209000,2581125000,2806408000,3339202000,8276499000,9142000000,11262000000,12936000000,15017000000,25566000000,26664000000,33153000000,31416000000,31456000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546066/000127956913000230/0001279569-13-000230-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956914000286/0001279569-14-000286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1546066/000127956916002783/0001279569-16-002783-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956917000319/0001279569-17-000319-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956918000323/0001279569-18-000323-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000162828019001709/0001628280-19-001709-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000162828020002497/0001628280-20-002497-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,19287000,19324000,52488000,40271000,59536000,63390000,60423000,70409000,88885000,142305000,161793000,162078000,186700000,165666000,224844000,351000000,383000000,406000000,466000000,891000000,1278000000,1492000000,-316000000,1242000000
74,Depreciation and Amortization,41765000,39014000,65553000,82141000,67973000,76322000,84647000,85270000,85619000,66450000,72148000,69822000,66891000,70219000,179386000,171000000,226000000,263000000,293000000,382000000,417000000,511000000,700000000,723000000
75,Deferred Income Tax,- -,- -,-50000000,-24700000,-21700000,-28500000,-33300000,-29377000,-24306000,-22520000,11127000,-3852000,- -,- -,75802000,105000000,167000000,199000000,189000000,142000000,464000000,36000000,-100000000,423000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464000,449000,- -,17028000,34000000,39000000,25000000,46000000,73000000,63000000,66000000,28000000,100000000
77,Change in Working Capital,2121000,553000,-14582000,-4820000,761000,-6188000,8638000,2241000,-4851000,-2709000,11416000,-3706000,968000,-18749000,-109881000,-75000000,-33000000,-11000000,-36000000,-18000000,-72000000,76000000,-94000000,-100000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28840000,6043000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2121000,553000,-14582000,-4820000,761000,-6188000,8638000,- -,-4851000,-2709000,11416000,- -,- -,- -,-110000000,-75000000,-33000000,-11000000,-36000000,-18000000,-72000000,76000000,-94000000,-100000000
82,Other Non-Cash Items,408000,362000,-1400000,- -,408000,-1127000,-243000,-16183000,-1487000,6014000,-36579000,-191000,113000,69950000,-27372000,65000000,18000000,-81000000,119000000,43000000,106000000,351000000,2034000000,262000000
83,Cash Provided by Operating Activities,63581000,59253000,52059000,92892000,106978000,103897000,120165000,112360000,143860000,189540000,219905000,224615000,255121000,287086000,359807000,651000000,800000000,801000000,1077000000,1513000000,2256000000,2532000000,2252000000,2650000000
84,CAPEX,-12059000,-10031000,-43063000,-11572000,-28463000,-16558000,-27875000,-79457000,-168955000,-300312000,-223976000,-143830000,-198722000,-479707000,-546820000,-880000000,-1412000000,-1811000000,-1745000000,-1839000000,-1226000000,-1645000000,-1029000000,-658000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-376000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1061000,-358174000,-222220000,7655000,-308594000,-40882000,7594000,9838000,13552000,40812000,-477786000,-187789000,-478883000,-546128000,-847000000,-1837000000,-1898000000,-2286000000,-3332000000,-1311000000,-3910000000,-1483000000,-663000000
89,Cash Used for Investing Activites,-12059000,-8970000,-401237000,-233792000,-20808000,-325152000,-68757000,-71863000,-159117000,-286760000,-183164000,-477786000,-187789000,-478883000,-546128000,-860000000,-1837000000,-1898000000,-2286000000,-3332000000,-1311000000,-3910000000,-1483000000,-1039000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-281904000,-157423000,-88201000,-61332000,-649000000,-304000000,-1261000000,-333000000,-1279000000,-1998000000,-1934000000,-2515000000,-1310000000
91,Common Stock Issued,- -,367000,86808000,242609000,7629000,34296000,32780000,38012000,79910000,54542000,22399000,142621000,86267000,- -,- -,345000000,- -,460000000,345000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-112523000,-139630000,- -,- -,- -,- -,-239408000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-437000000
93,Dividends Paid,-63674000,-59324000,-61253000,-79163000,-95786000,-100554000,-105827000,- -,- -,-175587000,-197153000,- -,-254074000,-21694000,-181148000,-221000000,-269000000,-294000000,-351000000,-781000000,-1247000000,-1323000000,-1530000000,-1521000000
94,Other Financing Activites,- -,5891000,323532000,-16990000,1682000,286520000,15402000,29674000,84149000,233140000,134915000,432743000,329368000,415027000,456813000,758000000,1612000000,2167000000,1555000000,4165000000,2119000000,4608000000,3236000000,1603000000
95,Cash Used/Provided by Financing Activities,-63674000,-53066000,349087000,146456000,-86475000,220262000,-57645000,-44837000,24429000,112095000,-39839000,293460000,4138000,65724000,214333000,233000000,1039000000,1072000000,1216000000,2105000000,-1126000000,1351000000,-809000000,-1665000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,-1000000,-8000000,16000000
97,Net Change In Cash,-12152000,-2783000,-91000,5556000,-305000,-993000,-6237000,-4340000,9172000,14875000,-3098000,40289000,71470000,-126073000,28012000,24000000,2000000,-25000000,7000000,286000000,-164000000,-28000000,-48000000,-38000000
98,Cash at the End of Period,1882000,-901000,-992000,4564000,4259000,3266000,-2971000,-7311000,1861000,16736000,13638000,53927000,125397000,-676000,27336000,51000000,53000000,28000000,35000000,321000000,157000000,129000000,81000000,43000000
99,Cash at the Beginning of Period,14034000,1882000,-901000,-992000,4564000,4259000,3266000,-2971000,-7311000,1861000,16736000,13638000,53927000,125397000,-676000,27000000,51000000,53000000,28000000,35000000,321000000,157000000,129000000,81000000
100,Free Cash Flow,51522000,49222000,8996000,81320000,78515000,87339000,92290000,32903000,-25095000,-110772000,-4071000,80785000,56399000,-192621000,-187013000,-229000000,-612000000,-1010000000,-668000000,-326000000,1030000000,887000000,1223000000,1992000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546066/000127956913000230/0001279569-13-000230-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956914000286/0001279569-14-000286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1546066/000127956916002783/0001279569-16-002783-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956917000319/0001279569-17-000319-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956918000323/0001279569-18-000323-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000162828019001709/0001628280-19-001709-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000162828020002497/0001628280-20-002497-index.html,- -,- -
102,Forex Rate,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
