,https://roic.ai/company/BOLT,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,40000,10185000,10877000,- -
61,Total Liabilities,3551000,16788000,46193000,57599000
62,Preferred Stock,28367000,77505000,105296000,- -
63,Common Stock,- -,- -,- -,- -
64,Retained Earnings,-17184000,-47671000,-108399000,-206990000
65,Other Comprehensive Income/Loss,- -,- -,- -,-321000
66,Other Total Stockholders Equity,- -,- -,- -,457430000
67,Total Stockholders Equity,-15943000,-45846000,-104947000,250119000
68,Total Liabilities And Stockholders Equity,-12392000,-29058000,-58754000,307718000
69,Minority Interest,28367000,77505000,105296000,- -
70,Total Liabilities & Equity,15975000,48447000,46542000,307718000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1641281/000119312521102253/0001193125-21-102253-index.htm,https://www.sec.gov/Archives/edgar/data/1641281/000095017022005047/0000950170-22-005047-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-11589000,-30487000,-60728000,-98591000
74,Depreciation and Amortization,302000,335000,611000,1193000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,123000,508000,1420000,8500000
77,Change in Working Capital,1139000,15899000,-13147000,153735000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,6676000
81,Other Working Capital,11345000,27244000,14097000,167832000
82,Other Non-Cash Items,153000,-12598000,24536000,-121903000
83,Cash Provided by Operating Activities,-9872000,-26343000,-47308000,-57066000
84,CAPEX,-290000,-508000,-3262000,-2338000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-33229000,-313375000
87,Sales/Maturities of Investments,- -,- -,15899000,83512000
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-290000,-508000,-20592000,-232201000
90,Debt Repayment,-39000,-40000,- -,- -
91,Common Stock Issued,20000,72000,294000,51902000
92,Common Stock Repurchased,- -,- -,- -,13638000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,19113000,48595000,39303000,245568000
95,Cash Used/Provided by Financing Activities,19094000,48627000,39597000,311108000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,8932000,21776000,-28303000,21841000
98,Cash at the End of Period,13634000,35410000,7107000,28948000
99,Cash at the Beginning of Period,4702000,13634000,35410000,7107000
100,Free Cash Flow,-10162000,-26851000,-50570000,-59404000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1641281/000119312521102253/0001193125-21-102253-index.htm,https://www.sec.gov/Archives/edgar/data/1641281/000095017022005047/0000950170-22-005047-index.htm
102,false,,,,
