,https://roic.ai/company/XNET,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),1076181,284377,1339000,496000,5893000,20277000,9209000,8227000,7733000,3447000,7683000,5802000
20,Income Before Tax,5446783,7382769,-1794000,2621000,9732000,8403000,-3256000,-25240000,-46468000,-40882000,-48739000,-12991000
21,Income Before Tax Ratio,0.2013,0.1846,-0.0219,0.0187,0.0557,0.0468,-0.0251,-0.1616,-0.2317,-0.1773,-0.2698,-0.0697
22,Income Tax expense (Gain),- -,-1088782,-1783000,2239000,-647000,-1459000,-886000,-1264000,-2252000,-89000,4676000,1149000
23,Net Income,5446783,8466178,-10000,503000,10662000,10812000,-13167000,-24111000,-37822000,-39278000,-53169000,-13840000
24,Net Income ratio,0.2013,0.2117,-0.0001,0.0036,0.0611,0.0602,-0.1016,-0.1544,-0.1886,-0.1703,-0.2943,-0.0743
25,EPS,0.21,0.33,-0.00,-0.03,-7.35,-2.70,-0.20,-0.36,-0.57,-0.59,-0.79,-0.20
26,EPS Diluted,0.21,0.33,-0.00,-0.03,-7.35,-2.70,-0.20,-0.36,-0.57,-0.59,-0.79,-0.20
27,Weighted Average Shares Outstanding,9356547,9356547,9356547,9356547,9356547,38942245,67197519,66831134,66346393,66993197,67569135,67485920
28,Weighted Average Shares Outstanding Diluted,9356547,9356547,9356547,9356547,9356547,38942245,67197519,66831134,66346393,66993197,67569135,67485920
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1510593/000110465920052375/tm206466d1_20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,18947416,21353309,53300000,81906000,93906000,404275000,361777000,199504000,233479000,122930000,162465000,137248000
32,Short-Term Investments,- -,- -,- -,6523000,40993000,29427000,70328000,181960000,138915000,196538000,102847000,117821000
33,Cash and Short-Term Investments,18947416,21353309,53300000,88429000,134899000,433702000,432105000,381464000,372394000,319468000,265312000,255069000
34,Net Receivables,12101544,18794428,37900000,55239000,39056000,38385000,19079000,23555000,51782000,24144000,37021000,35988000
35,Inventory,- -,- -,- -,- -,- -,- -,480000,374000,3879000,12667000,5537000,1726000
36,Other Current Assets,1069105,5100470,17100000,20162000,19826000,23222000,5989000,6892000,2728000,6620000,8713000,9499000
37,Total Current Assets,32118065,45248207,108300000,163830000,193781000,495309000,457653000,412285000,430783000,362899000,316583000,302282000
38,PP&E,5499392,9821064,10200000,14615000,20208000,17519000,18036000,21016000,24685000,21903000,47517000,52679000
39,Goodwill,- -,- -,- -,- -,- -,23237000,21896000,20497000,21760000,20717000,20382000,22607000
40,Intangible Assets,1001214,3121210,9100000,10667000,11958000,20097000,13433000,10746000,5511000,9991000,9426000,8857000
41,Intangible Assets,1001214,3121210,9100000,10667000,11958000,43334000,35329000,31243000,27271000,30708000,29808000,31464000
42,Investments,- -,- -,600000,1488000,2949000,5498000,11319000,40792000,42741000,33638000,26365000,26734000
43,Tax Assets,- -,639895,3100000,7912000,9430000,10862000,8593000,3272000,6072000,5690000,1118000,- -
44,Other Non-Current Assets,- -,- -,11200000,3692000,6077000,7840000,7431000,1187000,1885000,593000,3296000,2446000
45,Total Non-Current Assets,6500606,13582169,34200000,38374000,50622000,85053000,80708000,97510000,102654000,92532000,108104000,113323000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,38618671,58830376,142500000,202204000,244403000,580362000,538361000,509795000,533437000,455431000,424687000,415605000
48,Accounts Payable,857760,2591787,18400000,31834000,39820000,40204000,21736000,33376000,49819000,22629000,24213000,20644000
49,Short-Term Debt,- -,- -,20600000,- -,- -,- -,- -,- -,- -,- -,4693000,1961000
50,Tax Payable,- -,7029,- -,4634000,3779000,3110000,4075000,4185000,13362000,7076000,8164000,7042000
51,Deferred Revenue,1296812,4085947,- -,18723000,31563000,29427000,25113000,30070000,45185000,30579000,32213000,34269000
52,Other Current Liabilities,8705622,10767788,27300000,28987000,34002000,32920000,29887000,29959000,46692000,54827000,50167000,46402000
53,Total Current Liabilities,10860194,17445522,66300000,79544000,105385000,102551000,76736000,93405000,141696000,108035000,111286000,103276000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15456000,19951000
55,Deferred Revenue,35896,3880593,- -,7264000,9190000,7294000,5383000,4082000,3242000,1850000,1223000,920000
56,Deferred Tax Liabilities,- -,- -,- -,7361000,8074000,8552000,6378000,635000,- -,1366000,1179000,1085000
57,Other Non-Current Liabilities,- -,- -,8000000,3717000,2186000,4944000,5183000,5423000,5662000,- -,- -,- -
58,Total Non-Current Liabilities,35896,3880593,8000000,18342000,19450000,20790000,16944000,10140000,8904000,3216000,17858000,21956000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8825000,1988000
61,Total Liabilities,10896090,21326115,74300000,97886000,124835000,123341000,93680000,103545000,150600000,111251000,129144000,125232000
62,Preferred Stock,23281,23281,- -,36015000,40315000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13259,13259,- -,15000,15000,82000,85000,83000,83000,84000,85000,84000
64,Retained Earnings,-2158800,5664927,5500000,2011000,7037000,574000,-12593000,-36704000,-74526000,-113804000,-166973000,-181095000
65,Other Comprehensive Income/Loss,1640647,2806670,5400000,6377000,10481000,11026000,980000,-8497000,-1899000,-7616000,-8293000,3270000
66,Other Total Stockholders Equity,28204194,28537663,57400000,59540000,61636000,446209000,- -,- -,- -,- -,472059000,469895000
67,Total Stockholders Equity,27722581,37045800,68300000,103958000,119484000,457891000,446749000,408238000,384997000,345296000,296878000,292154000
68,Total Liabilities And Stockholders Equity,38618671,58371915,142600000,201844000,244319000,581232000,540429000,511783000,535597000,456547000,426022000,417386000
69,Minority Interest,- -,458461,-100000,360000,84000,-870000,-2068000,-1988000,-2160000,-1116000,-1335000,-1781000
70,Total Liabilities & Equity,38618671,58830376,142500000,202204000,244403000,580362000,538361000,509795000,533437000,455431000,424687000,415605000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1510593/000110465920052375/tm206466d1_20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,5446783,8466178,-10000,503000,10662000,10812000,-13167000,-24111000,-37822000,-39278000,-53169000,-13840000
74,Depreciation and Amortization,2797118,6636855,32056000,54572000,43426000,45241000,17795000,8388000,10049000,6826000,12658000,14178000
75,Deferred Income Tax,- -,-1095682,-1783000,-123000,-822000,-1897000,873000,-954000,-2214000,1748000,4361000,966000
76,Stock Based Compensation,234113,333469,2099000,2233000,2096000,7644000,9728000,9348000,8330000,5294000,5428000,2310000
77,Change in Working Capital,-2261142,-3364654,-9909000,7227000,29980000,65000,3652000,28520000,-4258000,-22560000,-21252000,-24421000
78,Accounts Receivable,-3652141,-6869676,-19857000,-17831000,13655000,4699000,1395000,-5168000,-20040000,13256000,-8739000,5048000
79,Inventory,- -,- -,- -,- -,- -,- -,-526000,59000,-2925000,-10178000,3435000,643000
80,Accounts Payable,20212,845005,1480000,3428000,5924000,2569000,301000,15855000,9037000,-27728000,2086000,-4938000
81,Other Working Capital,707946,2928833,4864000,8853000,12534000,-2811000,-364000,1451000,-5389000,19137000,-1348000,-8309000
82,Other Non-Cash Items,594999,404681,-4176000,-4498000,191000,-13663000,-5117000,-4221000,11699000,12362000,6325000,6896000
83,Cash Provided by Operating Activities,6811871,11380847,18277000,59914000,85533000,48202000,13764000,16970000,-14216000,-35608000,-45649000,-13911000
84,CAPEX,-3884301,-12544540,-36271000,-40001000,-43377000,-45826000,-16825000,-13877000,-9423000,-6185000,-15110000,-13613000
85,Acquisitions Net,- -,- -,- -,- -,- -,-33000000,16687000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-429000,-7475000,-247543000,-332830000,-230487000,-242267000,-247574000,-287553000,-358132000,-177075000
87,Sales/Maturities of Investments,- -,- -,- -,2000,213506000,341792000,175513000,97809000,291759000,223738000,451215000,168515000
88,Other Investing Activites,-1662200,-8264096,-32223000,-34570000,-36943000,-38738000,-11764000,-121000,-35000,-1478000,854000,1358000
89,Cash Used for Investing Activites,-3884301,-13259883,-36875000,-49490000,-78352000,-70546000,-54982000,-158335000,35208000,-69357000,79260000,-20756000
90,Debt Repayment,- -,- -,- -,-41151000,- -,- -,- -,- -,- -,- -,- -,-662000
91,Common Stock Issued,- -,- -,- -,- -,- -,95039000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-69303000,-1287000,-14319000,-358000,- -,- -,-4475000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-82291,4063338,50032000,58843000,2487000,307532000,6317000,3278000,2919000,929000,12177000,7816000
95,Cash Used/Provided by Financing Activities,-82291,4063338,50032000,17692000,2487000,333268000,5030000,-11041000,2561000,929000,12177000,2679000
96,Effect of Forex Changes on Cash,24039,221591,562000,441000,2332000,-555000,-6310000,-9867000,10422000,-6513000,-3270000,5329000
97,Net Change In Cash,2869318,2405893,31996000,28557000,12000000,310369000,-42498000,-162273000,33975000,-110549000,42518000,-26659000
98,Cash at the End of Period,18947416,21353309,53349000,81906000,93906000,404275000,361777000,199504000,233479000,122930000,165448000,138789000
99,Cash at the Beginning of Period,16078098,18947416,21353000,53349000,81906000,93906000,404275000,361777000,199504000,233479000,122930000,165448000
100,Free Cash Flow,2927570,-1163693,-17994000,19913000,42156000,2376000,-3061000,3093000,-23639000,-41793000,-60759000,-27524000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1510593/000110465920052375/tm206466d1_20f.htm,- -
102,false,,,,,,,,,,,,
