,https://roic.ai/company/KGJI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,100000,500000,3500000,1800000,300000,400000,300000,300000,200000,200000,200000,8000000,9200000,8800000,2500000,2300000,1331660,3100570,21333190,4997130,233390
32,Short-Term Investments,- -,- -,- -,- -,100000,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281895400,1562943150,1593557390
33,Cash and Short-Term Investments,- -,100000,500000,3500000,1900000,400000,500000,400000,400000,200000,200000,200000,8000000,9200000,8800000,2500000,2300000,1331660,3100570,303228590,1567940280,1593790780
34,Net Receivables,- -,100000,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,6300000,5000000,5600000,7700000,59100000,5004830,17150330,276836400,354500930,260033380
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,55400000,108100000,150000000,174400000,212396360,298303190,119435600,135042710,127034670
36,Other Current Assets,- -,-100000,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,1500000,700000,100000,200000,21200000,14851610,27695710,53484470,5635140,4885780
37,Total Current Assets,- -,100000,600000,4300000,1900000,400000,500000,400000,400000,200000,200000,200000,47600000,70300000,122600000,160400000,257000000,233584460,346249800,752985060,2063119060,1985744610
38,PP&E,- -,- -,100000,300000,200000,- -,- -,- -,- -,- -,- -,- -,14100000,13300000,12900000,11700000,10700000,9390260,7622510,7224700,7299640,5395330
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,500000,500000,500000,500000,492030,454180,413660,429920,395720
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,500000,500000,500000,500000,492030,454180,413660,429920,395720
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1493938551,957124267,700225896
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1774990,1249620,- -,24218910
44,Other Non-Current Assets,- -,200000,200000,-100000,100000,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,200000,32900000,68287570,113514740,6591559,14372463,-16166766
45,Total Non-Current Assets,- -,200000,300000,200000,300000,- -,- -,- -,- -,- -,- -,- -,14700000,14000000,13600000,12400000,44100000,78169860,123366420,1509418090,979226290,714069090
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,300000,900000,4500000,2200000,400000,500000,400000,400000,200000,200000,200000,62300000,84300000,136200000,172800000,301100000,311754320,469616220,2262403150,3042345350,2699813700
48,Accounts Payable,- -,100000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,400000,1700000,900000,1400000,3500000,2970770,30232620,20883860,- -,- -
49,Short-Term Debt,- -,100000,9537,9900,878,- -,- -,- -,- -,- -,- -,- -,8775522,6058486,6343578,6550441,49572985,45115522,55455428,263490196,1269491393,1107647553
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1539710,2730333,2013956,3247669,4118647,1756250,1830022,1518731,3824205,21081299
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275882000000,- -,1774993000000,1249622000,1100000,24218911000000
52,Other Current Liabilities,- -,400000,290463,190100,299122,- -,- -,- -,- -,- -,- -,- -,1524478,2741514,1956422,3249559,-275877872985,1756248,-1774907315788,-1240879946,24268367,-24218870192393
53,Total Current Liabilities,- -,600000,500000,300000,300000,- -,- -,- -,- -,- -,- -,- -,10700000,10500000,9200000,11200000,57200000,49842540,171372260,293116110,1294859760,1148455160
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,3672310,30808570,1685547130,1357253200,888804880
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1774993,1249622,- -,24218911
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1800000,- -,- -,- -,- -,73277,-2,10,-1
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1800000,- -,- -,29000000,3672310,32656840,1686796750,1357253210,913023790
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,600000,500000,300000,300000,- -,- -,- -,- -,- -,- -,- -,11500000,12300000,9200000,11200000,86200000,53514850,204029100,1979912860,2652112970,2061478950
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,65960,65960,66020,66110,66110
64,Retained Earnings,- -,-600000,-1800000,-1900000,-4200000,-5100000,-5100000,-5200000,-5900000,-6600000,-7000000,-7200000,16500000,34700000,60900000,93600000,121900000,163969620,185531690,278441500,304634150,354180870
65,Other Comprehensive Income/Loss,- -,- -,- -,-100000,-200000,-80521,-43666,-38902,-44938,-130777,- -,3000000,3156305,5409876,10317501,11222272,17042292,15711261,966294,-75280658,6122214,60762402
66,Other Total Stockholders Equity,- -,400000,2207774,6241022,6329908,5484581,5585526,5627596,6284412,6838741,7224393,4398317,32143610,34114563,55684780,56617644,75858533,78492633,79023177,79263425,79409913,223325365
67,Total Stockholders Equity,- -,-200000,407774,4241022,1929908,384581,485526,427596,384412,238741,224393,198317,50823356,72066027,127002281,161539916,214900825,258239474,265587121,282490287,390232387,638334747
68,Total Liabilities And Stockholders Equity,- -,400000,907774,4541022,2229908,400000,500000,400000,400000,200000,200000,200000,62323356,84366027,136202281,172739916,301100825,311754324,469616221,2262403147,3042345357,2699813697
69,Minority Interest,- -,-100000,-7774,-41022,-29908,- -,- -,- -,- -,- -,- -,- -,-23356,-66027,-2281,60084,-825,-4,-1,3,-7,3
70,Total Liabilities & Equity,- -,300000,900000,4500000,2200000,400000,500000,400000,400000,200000,200000,200000,62300000,84300000,136200000,172800000,301100000,311754320,469616220,2262403150,3042345350,2699813700
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089531/000111650205001800/0001116502-05-001800-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089531/000111650209000505/active10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000135448810001038/kgji_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420411018554/v216529_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420412017178/v306758_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420413018016/v337177_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420414019384/v372307_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420415020162/v405067_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420416090736/v435060_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420417020749/v464032_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420418014981/tv487989_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420419017761/tv517166_10k.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,- -,-1000000,-100000,-2300000,-900000,100000,-100000,-700000,-800000,-300000,6100000,8700000,18200000,26200000,32700000,28300000,47331980,21562070,92909810,26192650,49546710
74,Depreciation and Amortization,- -,- -,29429,37083,108783,18405,- -,- -,- -,- -,- -,1200000,1252361,1308373,1372842,1414213,1444796,1438957,1400526,1415067,1648938,1726916
75,Deferred Income Tax,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-272225,- -,1849910,-428101,-7683962,4764174
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415001,825480,804796,1178313,1532563,3149980,530542,44572,33014,21456
77,Change in Working Capital,600000,- -,-362496,-575305,290663,-18531,-2985,2199,-2602,- -,- -,- -,-12836509,-18743352,-50249479,-42314330,-24396296,-31596849,-88362152,-112396763,-56898572,297363842
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619212,-646843,315857,203662,180215,26053,-1196167,885824,-50154,286534
79,Inventory,- -,- -,- -,- -,- -,- -,6916,- -,- -,- -,- -,- -,-6828159,-21988671,-48845404,-41984607,-20400387,-38924060,-101320758,173787168,-7279205,205234765
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666364,- -,- -,- -,23118418,-21673364,185434,-144978
82,Other Non-Cash Items,- -,100000,598487,-315333,358093,-15098,-35910,37306,662852,740168,266902,-7326076,428753,840686,1031630,-29671,1128827,-3,490576,-55551806,10958018,12247694
83,Cash Provided by Operating Activities,-200000,100000,-734580,-953555,-1542461,-915224,61105,-60495,-39750,-59832,-33098,-26076,-2040394,2431187,-20840211,-7051475,7737665,20324065,-62528528,-74007221,-25749914,365670792
84,CAPEX,- -,- -,-82496,-189903,-97953,-1434,- -,- -,- -,- -,- -,- -,-29352,-31861,-368791,-150091,-78306,-35781155,-52843148,-20923418,-1241172,-145507
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82780,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1913618152,-551958950,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2924,- -,- -,- -,-32287748,1970,24884408,171580801,- -,- -
89,Cash Used for Investing Activites,- -,- -,-82496,-189903,-97953,-1434,- -,- -,- -,- -,- -,- -,-26428,-31861,-368791,-150091,-32366054,-35779185,-27958740,-1762877989,-553200122,-145507
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14179462,-8865033,-25213340,-6337537,-6457550,-70048342,-48139288,-302674554,-1087376642,-1540915452
91,Common Stock Issued,- -,- -,1512977,4281934,- -,- -,- -,- -,- -,- -,18750,- -,4531482,- -,20144255,- -,12522000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,100000,- -,- -,-118491,- -,-576681,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5276277,- -,- -,- -,- -
94,Other Financing Activites,100000,- -,-301013,-9575,-10974,-878,- -,- -,- -,- -,- -,- -,19393105,7387528,25263140,7298812,17281055,90571325,140572426,2159187611,1647485057,1173342473
95,Cash Used/Provided by Financing Activities,200000,- -,1211964,4153868,-10974,-577559,- -,- -,- -,- -,18750,- -,9745125,-1477505,20194055,961275,23345505,15246706,92433138,1856513057,560108415,-367572979
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3823,265595,673584,-25768,1023700,-744858,-176959,-1395223,2505553,-3078755
97,Net Change In Cash,- -,100000,394888,3010410,-1651388,-1494217,61105,-60495,-39750,-59832,-14348,-26076,7682126,1187416,-341363,-6266059,-259184,-953272,1768911,18232624,-16336068,-5126449
98,Cash at the End of Period,4997130,100000,481408,3491818,1840430,346213,407318,346823,307073,247241,232893,206817,7964120,9151536,8810173,2544114,2284930,1331658,3100569,21333193,4997125,12797948
99,Cash at the Beginning of Period,4997130,- -,86520,481408,3491818,1840430,346213,407318,346823,307073,247241,232893,281994,7964120,9151536,8810173,2544114,2284930,1331658,3100569,21333193,17924397
100,Free Cash Flow,-200000,100000,-817076,-1143458,-1640414,-916658,61105,-60495,-39750,-59832,-33098,-26076,-2069746,2399326,-21209002,-7201566,7659359,-15457090,-115371676,-94930639,-26991086,365525285
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089531/000111650205001800/0001116502-05-001800-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089531/000111650209000505/active10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000135448810001038/kgji_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420411018554/v216529_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420412017178/v306758_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420413018016/v337177_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420414019384/v372307_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420415020162/v405067_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420416090736/v435060_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420417020749/v464032_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420418014981/tv487989_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420419017761/tv517166_10k.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
