,https://roic.ai/company/FDCT,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,401234,401234,418678,448653,4841546
67,Total Stockholders Equity,-230230,-371317,-609554,-1038044,1625448
68,Total Liabilities And Stockholders Equity,863926,788717,739366,699210,2586911
69,Minority Interest,- -,- -,- -,- -,1301382
70,Total Liabilities & Equity,863926,788717,739366,699210,3888293
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1722731/000149315219005374/0001493152-19-005374-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315220005931/0001493152-20-005931-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315221005266/0001493152-21-005266-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315222007869/0001493152-22-007869-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-394556,-141088,-255690,-458490,-1736695
74,Depreciation and Amortization,8640,8640,117554,251959,274462
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,-64176,-647880,172671,144808,89913
78,Accounts Receivable,-103926,- -,676,-17937,-26138
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,5500,15500,95500,328715
81,Other Working Capital,-262560,-910440,- -,- -,- -
82,Other Non-Cash Items,202496,766851,29000,47875,-1257832
83,Cash Provided by Operating Activities,-247596,-13477,63535,-13848,-2630152
84,CAPEX,-177409,-241141,-268056,-194658,-293000
85,Acquisitions Net,- -,- -,- -,- -,1354500
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-177409,-241141,-268056,-194658,-293000
89,Cash Used for Investing Activites,-177409,-241141,-268056,-194658,1061500
90,Debt Repayment,- -,- -,- -,- -,-5201
91,Common Stock Issued,168000,- -,4950,- -,262374
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,254961,379,17391,203089,1382558
95,Cash Used/Provided by Financing Activities,422961,379,22341,203089,1639731
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-2045,-254239,-182180,-5417,71079
98,Cash at the End of Period,464303,210064,27884,22467,93546
99,Cash at the Beginning of Period,466348,464303,210064,27884,22467
100,Free Cash Flow,-425005,-254618,-204521,-208506,-2923152
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1722731/000149315219005374/0001493152-19-005374-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315220005931/0001493152-20-005931-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315221005266/0001493152-21-005266-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315222007869/0001493152-22-007869-index.htm
102,false,,,,,
