,https://roic.ai/company/CVGI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,80624000,82872000,84715000,210184000,218954000,248764000,34610000,4087000,3848000,7315000,31987000,28569000,26645000,24780000,23214000,22593000,20376000,53074000,21804000,18283000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,11024000,9011000,5901000,- -,- -,- -,- -,- -,- -,- -,23615000,24468000,23234000,25253000,28587000,20273000,15348000,14654000,25981000,24108000
44,Other Non-Current Assets,- -,- -,5815000,2007000,3176000,12179000,16374000,8631000,10341000,15688000,11615000,15915000,14509000,12915000,9400000,7408000,1975000,2246000,2583000,3480000,3228000,5384000
45,Total Non-Current Assets,- -,- -,132487000,127382000,126757000,302778000,325716000,355653000,135343000,82090000,74784000,99902000,153415000,144828000,132741000,128402000,119817000,109742000,103406000,179854000,143836000,137017000
46,Other Assets,312006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,312006000,- -,204217000,210495000,225638000,543883000,590822000,599089000,354761000,250509000,286207000,406884000,439665000,432441000,442013000,436679000,428765000,384388000,418130000,435826000,454373000,507693000
48,Accounts Payable,- -,- -,24420000,23310000,33846000,73709000,86610000,93033000,73451000,59657000,61216000,74239000,58063000,68280000,70826000,66657000,60556000,86608000,86645000,63058000,112402000,101915000
49,Short-Term Debt,- -,- -,20267000,15231000,4884000,5309000,2158000,116000,81000,- -,- -,- -,- -,- -,- -,- -,- -,3191000,9102000,10876000,11665000,27144000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2580000,1750000,316000,550000,2343000,2517000,3564000,5275000,2513000,4057000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,757000,2828000,2773000,806000,1466000,524000,1371000,- -
52,Other Current Liabilities,- -,- -,18234000,16356000,18424000,42983000,40970000,33115000,43417000,32977000,34130000,38960000,32869000,32185000,35929000,45368000,42926000,33138000,35503000,32149000,39449000,33071000
53,Total Current Liabilities,- -,- -,62921000,54897000,57154000,122001000,129738000,126264000,116949000,92634000,95346000,113199000,90932000,102565000,107512000,114853000,106255000,123743000,132716000,106607000,164887000,162130000
54,Long-Term Debt,- -,- -,106935000,112243000,49041000,185700000,159956000,159609000,164814000,162644000,164987000,250000000,250000000,250000000,250000000,235000000,233154000,163758000,154656000,153128000,168079000,222619000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,8802000,10611000,27076000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,7336000,8549000,8397000,25303000,25612000,20805000,29056000,32996000,25986000,30910000,32425000,19935000,25665000,20896000,21666000,22145000,15720000,47403000,26037000,-3709000
58,Total Non-Current Liabilities,- -,- -,114271000,120792000,57438000,219805000,196179000,207490000,193870000,195640000,190973000,280910000,282425000,269935000,275665000,255896000,254820000,185903000,170376000,200531000,194116000,218910000
59,Other Liabilities,235719000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37034000,33168000,- -
61,Total Liabilities,235719000,- -,177192000,175689000,114592000,341806000,325917000,333754000,310819000,288274000,286319000,394109000,373357000,372500000,383177000,370749000,361075000,309646000,303092000,307138000,359003000,381040000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290000,296000,296000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,138000,138000,180000,211000,214000,215000,217000,221000,280000,285000,- -,- -,- -,294000,299000,304000,318000,323000,313000,321000
64,Retained Earnings,- -,- -,-46992000,-43028000,-15454000,33957000,92007000,88818000,-118311000,-199846000,-193359000,-174754000,-124677000,-137122000,-129492000,-122431000,-113378000,-115083000,-70571000,-60307000,-97356000,- -
65,Other Comprehensive Income/Loss,- -,- -,-2924000,893000,2660000,-4605000,-1245000,-705000,-18357000,-23341000,-19673000,-27818000,-27885000,-26308000,-37288000,-39654000,-48845000,-41235000,-47471000,-45950000,-45006000,-42438000
66,Other Total Stockholders Equity,76287000,- -,76803000,76803000,123660000,172514000,173929000,177007000,180393000,185201000,212640000,215053000,218985000,223063000,225328000,227721000,229614000,230756000,232762000,234622000,237419000,168770000
67,Total Stockholders Equity,76287000,- -,27025000,34806000,111046000,202077000,264905000,265335000,43942000,-37765000,-112000,12766000,66286000,59908000,58801000,65930000,67690000,74742000,115038000,128688000,95370000,126653000
68,Total Liabilities And Stockholders Equity,312006000,- -,204217000,210495000,225638000,543883000,590822000,599089000,354761000,250509000,286207000,406875000,439643000,432408000,441978000,436679000,428765000,384388000,418130000,435826000,454373000,507693000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,22000,33000,35000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,312006000,- -,204217000,210495000,225638000,543883000,590822000,599089000,354761000,250509000,286207000,406884000,439665000,432441000,442013000,436679000,428765000,384388000,418130000,435826000,454373000,507693000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1290900/000095013405004951/0000950134-05-004951-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013406004739/0000950134-06-004739-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013707003724/0000950137-07-003724-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013708003688/0000950137-08-003688-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013709001889/0000950137-09-001889-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095012310024157/0000950123-10-024157-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095012311025646/0000950123-11-025646-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312512112407/0001193125-12-112407-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312513101176/0001193125-13-101176-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312514101909/0001193125-14-101909-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312515093795/0001193125-15-093795-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828016012603/0001628280-16-012603-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828017002449/0001628280-17-002449-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1290900/000162828019002781/0001628280-19-002781-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828020003659/0001628280-20-003659-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828021004275/0001628280-21-004275-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828022004584/0001628280-22-004584-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-866000,- -,-45480000,3964000,17449000,49411000,58050000,-3251000,-206759000,-81535000,6487000,18605000,50077000,-12445000,7630000,7060000,6785000,-1705000,44512000,15778000,-37049000,23732000
74,Depreciation and Amortization,9078000,- -,9329000,8604000,7567000,12912000,15878000,17284000,19062000,16117000,10338000,346000,14067000,20583000,18247000,17710000,16451000,15344000,15418000,15514000,18493000,18495000
75,Deferred Income Tax,- -,- -,4267000,1299000,1340000,7248000,9417000,9691000,-1069000,- -,-29000,-1004000,-30762000,-398000,3277000,8157000,-2525000,7992000,5940000,1562000,-12129000,2078000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,3784000,2831000,2782000,3621000,4710000,5278000,2741000,2853000,2607000,2503000,3137000,2843000,3460000,6254000
77,Change in Working Capital,- -,- -,8809000,19407000,13511000,77377000,16264000,-18196000,-14703000,-26684000,40292000,77706000,1535000,-10270000,16712000,-8336000,9269000,-51790000,31105000,-32643000,-3715000,62896000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,692000,28190000,-17452000,-39844000,15126000,-6934000,-27875000,166000,25501000,-13794000,-35674000,11954000,-34284000,-23569000
79,Inventory,- -,- -,-144000,1205000,-6243000,-11571000,-16603000,3809000,-533000,34462000,-9155000,-9962000,-6748000,8553000,-5370000,6761000,2993000,-25104000,4836000,9495000,-6828000,-50283000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25273000,11457000,3065000,-3642000,-4263000,23250000,1451000,-24261000,48046000,-11570000
81,Other Working Capital,- -,- -,8809000,28216000,41727000,119104000,135368000,117172000,102469000,75785000,116077000,193783000,195318000,185048000,201760000,193424000,202693000,150903000,182008000,149365000,145650000,208546000
82,Other Non-Cash Items,15856000,- -,41247000,-22832000,-5690000,-102792000,-62687000,42047000,209428000,107452000,-42307000,-91480000,-15578000,16406000,-39088000,27855000,16778000,29913000,-59120000,33692000,65312000,-143287000
83,Cash Provided by Operating Activities,24068000,- -,18172000,10442000,34177000,44156000,36922000,47575000,9743000,18181000,17563000,7794000,24049000,19154000,9519000,55299000,49365000,2257000,40992000,36746000,34372000,-29832000
84,CAPEX,-3174000,- -,-4937000,-5967000,-8907000,-15957000,-19327000,-16981000,-12110000,-5605000,-10101000,-21325000,-17323000,-12626000,-13704000,-14685000,-11429000,-13458000,-14150000,-24002000,-7142000,-17653000
85,Acquisitions Net,- -,- -,- -,- -,- -,-170851000,-9452000,-36049000,-3807000,- -,- -,-11114000,-24520000,- -,- -,- -,- -,- -,- -,-34000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3051000,- -,- -,- -,- -,-1761000,1154000,-262000,5783000,-2140000,146000,63000,-916000,-323000,1415000,179000,2526000,2682000,49000,23000,722000,87000
89,Cash Used for Investing Activites,-3051000,- -,-4937000,-5967000,-8907000,-188569000,-27625000,-53292000,-10134000,-7745000,-9955000,-32376000,-42759000,-12949000,-12289000,-14506000,-8903000,-10776000,-14101000,-57979000,-6420000,-17566000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-211096000,-13986000,- -,-170929000,- -,- -,- -,-15000000,- -,-237188000,-84875000,-44225000,-29375000,-3031000
91,Common Stock Issued,- -,- -,54000,- -,47105000,45801000,2140000,464000,- -,4000,26491000,5000,- -,38000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-115000,-299000,-41000,-635000,- -,- -,- -,- -,- -,- -,- -,- -,-1131000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-13160000,- -,-14879000,-2761000,-75532000,142746000,-29977000,-2559000,216180000,9001000,-1761000,241854000,-1178000,-975000,514000,-1008000,-714000,164340000,80171000,34112000,10113000,34042000
95,Cash Used/Provided by Financing Activities,-13160000,- -,-14825000,-2761000,-28427000,188547000,-27952000,-2394000,5043000,-5616000,24730000,70930000,-1178000,-937000,514000,-16008000,-714000,-72848000,-5835000,-10113000,-19262000,31011000
96,Effect of Forex Changes on Cash,- -,- -,82000,135000,1067000,-4889000,-2165000,-1843000,-7209000,-2606000,729000,-984000,302000,-942000,-348000,-2682000,-1782000,3451000,-2387000,-56000,2302000,842000
97,Net Change In Cash,- -,- -,-1508000,1849000,-2090000,39245000,-20820000,-9954000,-2557000,2214000,33067000,45364000,-19586000,4326000,-2604000,22103000,37966000,-77916000,18669000,-31402000,10992000,-15545000
98,Cash at the End of Period,- -,- -,1637000,3486000,1396000,40641000,19821000,9867000,7310000,9524000,42591000,87955000,68369000,72695000,70091000,92194000,130160000,52244000,70913000,39511000,50503000,34958000
99,Cash at the Beginning of Period,- -,- -,3145000,1637000,3486000,1396000,40641000,19821000,9867000,7310000,9524000,42591000,87955000,68369000,72695000,70091000,92194000,130160000,52244000,70913000,39511000,50503000
100,Free Cash Flow,20894000,- -,13235000,4475000,25270000,28199000,17595000,30594000,-2367000,12576000,7462000,-13531000,6726000,6528000,-4185000,40614000,37936000,-11201000,26842000,12744000,27230000,-47485000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1290900/000095013405004951/0000950134-05-004951-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013406004739/0000950134-06-004739-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013707003724/0000950137-07-003724-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013708003688/0000950137-08-003688-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013709001889/0000950137-09-001889-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095012310024157/0000950123-10-024157-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095012311025646/0000950123-11-025646-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312512112407/0001193125-12-112407-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312513101176/0001193125-13-101176-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312514101909/0001193125-14-101909-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312515093795/0001193125-15-093795-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828016012603/0001628280-16-012603-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828017002449/0001628280-17-002449-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1290900/000162828019002781/0001628280-19-002781-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828020003659/0001628280-20-003659-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828021004275/0001628280-21-004275-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828022004584/0001628280-22-004584-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
