,https://roic.ai/company/RENT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,2267000,2203000,5577000,8426000,12438000,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46800000,58200000
61,Total Liabilities,13578000,19802000,22356000,23797000,29107000,32575000,- -,- -,- -,- -,640200000,847400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11000,11000,11000,12000,12000,15000,- -,- -,- -,- -,- -,- -
64,Retained Earnings,2241000,1474000,-4952000,-27569000,-31823000,-33811000,- -,- -,- -,- -,-418300000,-589400000
65,Other Comprehensive Income/Loss,89000,530000,341000,31000,409000,464000,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,48887000,54358000,55125000,75508000,83562000,285280000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,51228000,56373000,50525000,47982000,52160000,251948000,- -,- -,- -,- -,-364300000,-526700000
68,Total Liabilities And Stockholders Equity,64806000,76175000,72881000,71779000,81267000,284523000,- -,- -,- -,- -,275900000,320700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,64806000,76175000,72881000,71779000,81267000,284523000,- -,- -,- -,- -,275900000,320700000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/800458/000119312510138934/0001193125-10-138934-index.html,https://www.sec.gov/Archives/edgar/data/800458/000119312511162908/0001193125-11-162908-index.html,https://www.sec.gov/Archives/edgar/data/800458/000144530512001974/0001445305-12-001974-index.htm,https://www.sec.gov/Archives/edgar/data/800458/000080045813000007/0000800458-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/800458/000080045814000009/0000800458-14-000009-index.html,https://www.sec.gov/Archives/edgar/data/800458/000080045815000015/0000800458-15-000015-index.html,undefined,undefined,undefined,undefined,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,576000,-767000,-6426000,-22617000,-4254000,-1988000,- -,- -,- -,- -,-153900000,-171100000
74,Depreciation and Amortization,2329000,3432000,4351000,4951000,5929000,7520000,- -,- -,- -,- -,83200000,80000000
75,Deferred Income Tax,-245000,-1813000,-1425000,579000,105000,1528000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,461000,1253000,5118000,21792000,2700000,-200000,- -,- -,- -,- -,6800000,8200000
77,Change in Working Capital,-12617000,-2167000,-4616000,-3284000,2521000,55015000,- -,- -,- -,- -,8100000,1000000
78,Accounts Receivable,-982000,2505000,2453000,-2422000,-4891000,-4358000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-942000,935000,-1932000,565000,1156000,1628000,- -,- -,- -,- -,6000000,-4500000
81,Other Working Capital,30627000,28460000,23844000,20560000,23081000,78096000,- -,- -,- -,- -,1500000,-7300000
82,Other Non-Cash Items,13448000,5450000,13199000,-3067000,-736000,-52064000,- -,- -,- -,- -,18200000,39100000
83,Cash Provided by Operating Activities,3952000,5388000,10201000,-1646000,6265000,9811000,- -,- -,- -,- -,-37600000,-42800000
84,CAPEX,-3703000,-3591000,-5135000,-7110000,-7662000,-10854000,- -,- -,- -,- -,-161500000,-78700000
85,Acquisitions Net,-16659000,-1930000,- -,- -,-372000,-207000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-7300000,-14911000,-4341000,-23091000,-23004000,-77200000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,9800000,18971000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,20200000,241000,-14062000,28657000,22380000,15362000,- -,- -,- -,- -,22900000,20300000
89,Cash Used for Investing Activites,-7462000,-10391000,-4567000,-1544000,-8658000,-72899000,- -,- -,- -,- -,-138600000,-58400000
90,Debt Repayment,-4000,-491000,1726000,- -,-122000,122000,- -,- -,- -,- -,-92900000,-59100000
91,Common Stock Issued,- -,- -,262000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-302000,- -,-4341000,- -,- -,-3691000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-82000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1461000,6314000,-1226000,1820000,3593000,65863000,- -,- -,- -,- -,270800000,227600000
95,Cash Used/Provided by Financing Activities,1073000,5823000,-3579000,1820000,3471000,62294000,- -,- -,- -,- -,177900000,168500000
96,Effect of Forex Changes on Cash,- -,- -,-350000,-321000,189000,-617000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2166000,1386000,1705000,-1691000,1267000,-1411000,- -,- -,- -,- -,1700000,67300000
98,Cash at the End of Period,- -,- -,5526000,3835000,5102000,3691000,- -,- -,- -,- -,41900000,109200000
99,Cash at the Beginning of Period,- -,- -,3821000,5526000,3835000,5102000,- -,- -,- -,- -,40200000,41900000
100,Free Cash Flow,249000,1797000,5066000,-8939000,-1571000,-1181000,- -,- -,- -,- -,-199100000,-121500000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/800458/000119312510138934/0001193125-10-138934-index.html,https://www.sec.gov/Archives/edgar/data/800458/000119312511162908/0001193125-11-162908-index.html,https://www.sec.gov/Archives/edgar/data/800458/000144530512001974/0001445305-12-001974-index.htm,https://www.sec.gov/Archives/edgar/data/800458/000080045813000007/0000800458-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/800458/000080045814000009/0000800458-14-000009-index.html,https://www.sec.gov/Archives/edgar/data/800458/000080045815000015/0000800458-15-000015-index.html,undefined,undefined,undefined,undefined,- -,- -
102,false,,,,,,,,,,,,
