,https://roic.ai/company/CTEK,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,167032,66534,2713925,684344,429138,190973,- -,- -,- -,- -,- -,- -,1265000,2731250,1112395,10900924,9089989,8585882,6063617,4701491
41,Intangible Assets,- -,- -,- -,167032,66534,2713925,2201361,1946155,1707990,1517017,1517017,1517017,1517017,1517017,1517017,3738656,6396906,3221538,29426130,27615195,32569365,14458100,13095974
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28013,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5282531,3120310,2146020,1836258,4959125,6060129
44,Other Non-Current Assets,- -,-1254532,- -,28595,17422,56395,41355,501230,238122,28790,43792,28013,226576,195324,85575,34413,58118,41522,87376,87778,72486,64586,34310
45,Total Non-Current Assets,- -,-1254532,- -,819590,135863,2980114,2453578,2751154,2155048,1675421,1838513,1780005,1963416,1939345,1763301,3988816,6950348,9235009,33465600,30485220,35424328,20023336,19434204
46,Other Assets,1807,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1807,5468,11895,1562447,522081,5583134,4158535,5516000,6003588,7898516,5648113,6209491,6555120,9935820,11588829,16820631,22869452,26465797,52695415,52482334,45169549,31980125,28885003
48,Accounts Payable,- -,- -,20518,567733,451308,1204905,510604,1320103,1566260,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6098548,638864,1326919,- -
49,Short-Term Debt,- -,- -,- -,88215,81106,193835,53272,647315,1174278,1312500,3835,41776,49881,617131,2089683,255546,- -,606686,- -,343750,1095871,814898,185858
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31976,- -,1484851
51,Deferred Revenue,- -,- -,- -,52690,- -,298523,298862,289314,382895,489563,349271,255802,381767,902542,868186,921771,913677,562679,1425821,1806632,898324,1265864,1663719
52,Other Current Liabilities,- -,110000,- -,- -,- -,687714,322937,1046531,486110,3898671,1801582,3311360,3789418,7138259,6613852,8864493,11761775,10231363,18838022,5932466,1098746,814830,3074926
53,Total Current Liabilities,- -,110000,20518,708638,532414,2384977,1185675,3303263,3609543,5700734,2154688,3608938,4221066,8657932,9571721,10041810,12675452,11400728,20263843,14181396,3731805,4222511,4924503
54,Long-Term Debt,- -,15000,- -,1764,- -,- -,- -,1902800,1221694,- -,- -,- -,1485750,1576750,- -,333534,1250000,750000,15438333,17867242,703125,2966125,140625
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,17537,79524,441735,79358,46558,49822,125496,199644,147861,60537,2558995,1340031,- -
58,Total Non-Current Liabilities,- -,15000,10000,1764,- -,- -,- -,1902800,1221694,- -,17537,79524,1927485,1656108,46558,383356,1375496,949644,15586194,17927779,3262120,4306156,140625
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,3913,21372,121300,130616,168003,118491,105368,125496,199644,147861,60537,692366,292429,- -
61,Total Liabilities,- -,15000,20518,710402,532414,2384977,1185675,5206063,4831237,5700734,2172225,3688462,6148551,10314040,9618279,10425166,14050948,12350372,35850037,32109175,6993925,8528667,4924503
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1234,1234,1100,13895,25037,14440,15963,16124,16237,17625,19042,19338,19451,19820,20645,23625,24453,8186,9576,9630,10359,12024,13248
64,Retained Earnings,-49986,-62525,-108565,-6463441,-9868461,-8874735,-12233519,-16136281,-16208088,-16310475,-16346175,-17915893,-20507535,-22889401,-21541585,-20204666,-18888010,-13878209,-14320560,-11547302,3343402,-15125086,-17371665
65,Other Comprehensive Income/Loss,- -,- -,- -,-346834,-38393,222210,-186152,-308957,- -,- -,-573097,-798145,-780502,-591281,-715006,-767493,-708367,-920021,-1302734,-993303,-1664982,- -,- -
66,Other Total Stockholders Equity,50559,51759,98842,7648425,9871484,11836242,15376568,16739051,- -,- -,20376118,21215729,21675155,23082642,24206496,27343999,28390428,28905469,32459096,32904134,36486845,38564520,41318917
67,Total Stockholders Equity,1807,-9532,-8623,852045,-10333,3198157,2972860,309937,1172351,2197782,3475888,2521029,406569,-378220,1970550,6395465,8818504,14115425,16845378,20373159,38175624,23451458,23960500
68,Total Liabilities And Stockholders Equity,- -,5468,11895,1562447,522081,5583134,4158535,5516000,6003588,7898516,5648113,6209491,6555120,9935820,11588829,16820631,22869452,26465797,52695415,52482334,45169549,31980125,28885003
69,Minority Interest,1807,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1807,5468,11895,1562447,522081,5583134,4158535,5516000,6003588,7898516,5648113,6209491,6555120,9935820,11588829,16820631,22869452,26465797,52695415,52482334,45169549,31980125,28885003
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011432/000114420406012139/0001144204-06-012139-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011432/000082357910000067/0000823579-10-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000082357911000086/0000823579-11-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586612000197/0001445866-12-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586613000278/0001445866-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586614000206/0001445866-14-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586615000309/0001445866-15-000309-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586616001814/0001445866-16-001814-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586617000307/0001445866-17-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586618000299/0001445866-18-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586619000298/0001445866-19-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586620000277/0001445866-20-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000109690621000585/0001096906-21-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000109690622000663/0001096906-22-000663-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4535,-12539,-46040,-2490290,-3405020,993726,-3358784,-3902762,-71807,-102387,-35700,-1569718,-2591642,-2381866,1347816,1336919,1316656,5009801,-442351,1893592,14890704,-18468488,-2246579
74,Depreciation and Amortization,1630,- -,- -,239940,155579,380356,566987,378012,762673,310240,169822,250252,125601,117357,123725,212621,638933,753321,2464165,2159568,2072296,189638,1556207
75,Deferred Income Tax,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5282531,- -,974290,309762,-3141457,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,396643,471998,363248,303979,391605,576195,310695,379548,226970,333853,754523,1423279,1510931,1403794
77,Change in Working Capital,3500,1150000,-1158623,42842,-180415,364239,301239,-1057699,777414,283364,1132551,-834364,-449910,-1032095,915264,2536198,453647,2586408,-6864088,8849746,-1802302,1720862,-3207982
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1767651,2804091,237347,-872487,-2660922,836869,-2579359,-431365,-2216529,-2032647,2457912,1818683,1238511,56000
79,Inventory,- -,- -,- -,- -,- -,-251272,- -,-246900,-39126,-15603,208037,-150675,35971,-407856,92376,-98778,-392477,371291,-68688,-28468,75252,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1841565,688055,126535
81,Other Working Capital,- -,1150000,-8623,34219,-146196,218043,519282,-538417,238997,522361,1654912,820548,370638,-661457,253807,2790005,3243652,5830060,-1034028,7815718,6013416,7734278,4526296
82,Other Non-Cash Items,1200,-1148800,1180341,979923,866712,-783154,-1518872,1345486,-447376,334956,-287760,2205048,588920,2875398,-384196,-2915923,-343198,-2876343,5942134,-8341103,-18524086,14503332,-207107
83,Cash Provided by Operating Activities,1795,-11339,-24322,-1227585,-2563144,655167,-4009430,-3236963,1020904,1222816,1450911,414466,-2023052,-29601,2578804,1480510,2445586,417626,1433713,6290616,-1630347,-3685182,-2701667
84,CAPEX,- -,- -,- -,-24177,-25499,-152358,-60042,-189322,-36484,-39945,-292816,-88240,-24669,-29841,-11841,-94165,-214478,-205121,-286189,-156487,-194073,-136281,-125632
85,Acquisitions Net,- -,- -,- -,- -,- -,-550613,- -,- -,- -,- -,- -,- -,- -,- -,- -,-995257,-1876966,- -,-13448522,- -,-5765182,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,979311,26698,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,4807,600,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26303501,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-19370,-24899,-452971,919269,-162624,-36484,-39945,-292816,-88240,-24669,-29841,-11841,-1089422,-2091444,-205121,-13734711,-156487,20344246,-136281,-125632
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-868948,-1339636,-19355,-220071,-85323,-95101,-181617,-460805,-618543,-3604238,-20953558,-20080036,- -,- -
91,Common Stock Issued,- -,- -,65750,920165,2508411,759395,2969577,- -,5875,- -,765001,161450,- -,- -,- -,- -,- -,- -,- -,- -,- -,1843391,1351827
92,Common Stock Repurchased,- -,- -,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,15000,-15000,285622,-14334,-236899,-165565,3054083,-643304,217775,- -,- -,1850000,503622,5790,-134700,1800000,60150,14066452,17138750,123482,2263000,-562500
95,Cash Used/Provided by Financing Activities,- -,15000,30750,1205787,2494077,522496,2804012,3054083,-637429,-651173,-574635,142095,1629929,418299,-89311,-316317,1339195,-558393,10462214,-3814808,-19956554,4106391,789327
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1795,3661,6428,-41168,-93966,724692,-286149,-345504,346991,531698,583460,468321,-417792,358857,2477652,74771,1693337,-345888,-1838784,2319321,-1242655,284928,-2037972
98,Cash at the End of Period,1807,5468,11895,320364,226398,951090,664941,319437,666428,1198126,1781586,2249907,1832115,2190972,4668624,4743395,6436732,6090844,4252060,6571381,5328726,5613654,3575682
99,Cash at the Beginning of Period,12,1807,5467,361532,320364,226398,951090,664941,319437,666428,1198126,1781586,2249907,1832115,2190972,4668624,4743395,6436732,6090844,4252060,6571381,5328726,5613654
100,Free Cash Flow,1795,-11339,-24322,-1251762,-2588643,502809,-4069472,-3426285,984420,1182871,1158095,326226,-2047721,-59442,2566963,1386345,2231108,212505,1147524,6134129,-1824420,-3821463,-2827299
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011432/000114420406012139/0001144204-06-012139-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011432/000082357910000067/0000823579-10-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000082357911000086/0000823579-11-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586612000197/0001445866-12-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586613000278/0001445866-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586614000206/0001445866-14-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586615000309/0001445866-15-000309-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586616001814/0001445866-16-001814-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586617000307/0001445866-17-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586618000299/0001445866-18-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586619000298/0001445866-19-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586620000277/0001445866-20-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000109690621000585/0001096906-21-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000109690622000663/0001096906-22-000663-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
