,https://roic.ai/company/ENTA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.3050,0.6041,0.5105,0.2817,0.3977,0.7717,0.3494,0.2394,0.4275,0.1790,-0.3400,-1.1288
19,Total Other Income Expenses (Gains),805000,-1989000,110000,598000,283000,1307000,1719000,2333000,4793000,8819000,6620000,1994000
20,Income Before Tax,7747000,23310000,21399000,9627000,19268000,125455000,32560000,26947000,93121000,45557000,-35019000,-107579000
21,Income Before Tax Ratio,0.3403,0.5566,0.5131,0.3003,0.4036,0.7798,0.3689,0.2621,0.4507,0.2220,-0.2859,-1.1082
22,Income Tax expense (Gain),-157000,- -,- -,- -,-15170000,46463000,10894000,9237000,21165000,-826000,1149000,-28583000
23,Net Income,7904000,23310000,21399000,9627000,34438000,78992000,21666000,17710000,71956000,46383000,-36168000,-78996000
24,Net Income ratio,0.3472,0.5566,0.5131,0.3003,0.7214,0.4910,0.2455,0.1723,0.3482,0.2260,-0.2953,-0.8138
25,EPS,0.02,1.35,1.68,-0.67,1.88,4.23,1.14,0.93,3.74,2.37,-1.81,-3.92
26,EPS Diluted,0.02,0.59,1.51,-0.67,1.80,4.09,1.13,0.91,3.48,2.21,-1.81,-3.92
27,Weighted Average Shares Outstanding,12745659,1158053,12745659,9788000,18355000,18673000,18929000,19066000,19255000,19584000,19940000,20171000
28,Weighted Average Shares Outstanding Diluted,14132237,2637008,14132237,9788000,19185000,19295000,19224000,19407000,20650000,20968000,19940000,20171000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177648/000119312513477878/0001193125-13-477878-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312514440235/0001193125-14-440235-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312515401602/0001193125-15-401602-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312516789660/0001193125-16-789660-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459017024794/0001564590-17-024794-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459018030275/0001564590-18-030275-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459019044729/0001564590-19-044729-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459020055233/0001564590-20-055233-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000095017021004895/0000950170-21-004895-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6837000,10511000,8859000,30699000,21726000,16577000,65675000,63902000,51230000,87131000,57206000
32,Short-Term Investments,- -,16492000,33251000,92621000,60065000,123479000,193507000,157994000,244828000,284006000,299518000,186796000
33,Cash and Short-Term Investments,- -,23329000,43762000,101480000,90764000,145205000,210084000,223669000,308730000,335236000,386649000,244002000
34,Net Receivables,- -,261000,2942000,1592000,4494000,15722000,12841000,10614000,67205000,51313000,23492000,60831000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1509000,604000,1641000,12717000,9714000,9231000,3536000,4454000,15299000,26696000,14188000
37,Total Current Assets,- -,25099000,47308000,104713000,107975000,170641000,232156000,237819000,380389000,401848000,436837000,319021000
38,PP&E,- -,534000,611000,1121000,1803000,5886000,8004000,8049000,8374000,10927000,15616000,10654000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,1656000,10703000,41003000,64238000,32119000,70038000,16389000,65013000,32634000,108416000
43,Tax Assets,- -,- -,- -,- -,4198000,4640000,8390000,10123000,8375000,11341000,345000,- -
44,Other Non-Current Assets,- -,463000,2587000,436000,436000,608000,608000,608000,700000,700000,700000,700000
45,Total Non-Current Assets,- -,997000,4854000,12260000,47440000,75372000,49121000,88818000,33838000,87981000,49295000,119770000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,26096000,52162000,116973000,155415000,246013000,281277000,326637000,414227000,489829000,486132000,438791000
48,Accounts Payable,- -,566000,1851000,1481000,1874000,1543000,3377000,3714000,4745000,6689000,5737000,9540000
49,Short-Term Debt,- -,- -,- -,- -,- -,69000,73000,79000,- -,- -,4261000,4203000
50,Tax Payable,- -,- -,- -,- -,- -,1199000,- -,9298000,1388000,- -,- -,- -
51,Deferred Revenue,- -,- -,17000,10000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1583000,3866000,3035000,2872000,5092000,4439000,17189000,11280000,15920000,14159000,22429000
53,Total Current Liabilities,- -,2149000,5734000,4526000,4746000,6704000,7889000,20982000,16025000,22609000,24157000,36172000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3838000,1126000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,448000,745000,1175000,1792000,1746000,788000,- -
57,Other Non-Current Liabilities,- -,155908000,2499000,1979000,2015000,2704000,2707000,2804000,2731000,2982000,1769000,2064000
58,Total Non-Current Liabilities,- -,155908000,2499000,1979000,2015000,3152000,3452000,3979000,4523000,4728000,6395000,3190000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,598000,531000,458000,293000,200000,8099000,5329000
61,Total Liabilities,- -,158057000,8233000,6505000,6761000,9856000,11341000,24961000,20548000,27337000,30552000,39362000
62,Preferred Stock,- -,- -,159282000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,53000,13000,181000,188000,187000,190000,191000,194000,197000,201000,202000
64,Retained Earnings,- -,-132004000,-115374000,-107450000,-73012000,5980000,27646000,45356000,117357000,163740000,127572000,48576000
65,Other Comprehensive Income/Loss,- -,-1000,10000,-2000,-100000,33000,19000,-112000,-398000,146000,844000,-382000
66,Other Total Stockholders Equity,- -,-9000,-2000,217739000,221578000,229957000,242081000,256241000,276526000,298409000,326963000,- -
67,Total Stockholders Equity,- -,-131961000,43929000,110468000,148654000,236157000,269936000,301676000,393679000,462492000,455580000,399429000
68,Total Liabilities And Stockholders Equity,- -,26096000,52162000,116973000,155415000,246013000,281277000,326637000,414227000,489829000,486132000,438791000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,26096000,52162000,116973000,155415000,246013000,281277000,326637000,414227000,489829000,486132000,438791000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1177648/000119312513477878/0001193125-13-477878-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312514440235/0001193125-14-440235-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312515401602/0001193125-15-401602-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312516789660/0001193125-16-789660-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459017024794/0001564590-17-024794-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459018030275/0001564590-18-030275-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459019044729/0001564590-19-044729-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459020055233/0001564590-20-055233-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000095017021004895/0000950170-21-004895-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,7904000,23310000,21399000,9627000,34438000,78992000,21666000,17710000,71956000,46383000,-36168000,-78996000
74,Depreciation and Amortization,553000,499000,172000,221000,352000,639000,1661000,2137000,2518000,3258000,3644000,3334000
75,Deferred Income Tax,- -,- -,- -,- -,-15211000,11028000,-2294000,-1654000,1858000,-3138000,10608000,345000
76,Stock Based Compensation,259000,225000,424000,1063000,2682000,5838000,9354000,13071000,15845000,19226000,19575000,20991000
77,Change in Working Capital,-18411000,43091000,18624000,58613000,3042000,60708000,60330000,-7430000,147527000,14875000,12900000,-13688000
78,Accounts Receivable,-6000,-251000,-788000,241000,-916000,-13565000,2448000,2227000,-56591000,15892000,27821000,-84000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,181000,58000,763000,115000,399000,-543000,1451000,633000,1317000,1791000,-883000,3774000
81,Other Working Capital,-20141000,22950000,41574000,100187000,103229000,163937000,224267000,216837000,364364000,379239000,2262000,- -
82,Other Non-Cash Items,-480000,-43106000,-17996000,-58871000,-5124000,-80532000,-54908000,28819000,-210484000,-9186000,-3471000,-1982000
83,Cash Provided by Operating Activities,-10175000,24019000,22623000,10653000,20179000,76673000,35809000,52653000,29220000,71418000,7088000,-69996000
84,CAPEX,-37000,-445000,-252000,-606000,-1028000,-2336000,-4738000,-2506000,-2981000,-5417000,-1445000,-750000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-603000,-33574000,-47694000,-115888000,-98405000,-196304000,-192429000,-251371000,-293103000,-549312000,-338553000,-307348000
87,Sales/Maturities of Investments,2303000,16764000,28700000,47278000,99927000,110617000,153504000,249305000,260682000,468065000,359828000,345089000
88,Other Investing Activites,- -,-427000,1206000,- -,3000,-163000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,1663000,-17682000,-18040000,-69216000,497000,-88186000,-43663000,-4572000,-35402000,-86664000,19830000,36991000
90,Debt Repayment,-7000,-2000000,- -,- -,- -,- -,-68000,-73000,-79000,-86000,- -,- -
91,Common Stock Issued,- -,- -,- -,59892000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15000,2034000,-909000,-2981000,1164000,2540000,2773000,1090000,4488000,2660000,8983000,3080000
95,Cash Used/Provided by Financing Activities,8000,34000,-909000,56911000,1164000,2540000,2705000,1017000,4409000,2574000,8983000,3080000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-8504000,6371000,3674000,-1652000,21840000,-8973000,-5149000,49098000,-1773000,-12672000,35901000,-29925000
98,Cash at the End of Period,466000,6837000,10511000,8859000,30699000,21726000,16577000,65675000,63902000,51838000,87739000,57814000
99,Cash at the Beginning of Period,8970000,466000,6837000,10511000,8859000,30699000,21726000,16577000,65675000,64510000,51838000,87739000
100,Free Cash Flow,-10212000,23574000,22371000,10047000,19151000,74337000,31071000,50147000,26239000,66001000,5643000,-70746000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177648/000119312513477878/0001193125-13-477878-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312514440235/0001193125-14-440235-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312515401602/0001193125-15-401602-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000119312516789660/0001193125-16-789660-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459017024794/0001564590-17-024794-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459018030275/0001564590-18-030275-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459019044729/0001564590-19-044729-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000156459020055233/0001564590-20-055233-index.htm,https://www.sec.gov/Archives/edgar/data/1177648/000095017021004895/0000950170-21-004895-index.htm
102,false,,,,,,,,,,,,
