,https://roic.ai/company/ATY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,703759,1404875,1897030,2431788,3414246,6978834,7945110,5369619
39,Goodwill,- -,- -,- -,- -,- -,3473510,5820380,8254054,4869841,4869841,4869841
40,Intangible Assets,- -,- -,- -,- -,- -,3350050,11403101,10792062,7741882,3197953,3044278
41,Intangible Assets,- -,- -,- -,- -,- -,6823560,17223481,19046116,12611723,8067794,7914119
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,902779,1262014,- -,81803
44,Other Non-Current Assets,72963,- -,- -,- -,125000,100000,100000,100000,100000,- -,- -
45,Total Non-Current Assets,72963,- -,- -,703759,1529875,8820590,19755269,23463141,20952571,16012904,13365541
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,154916,221017,123079,7003934,11897467,32140527,41429152,67599108,69358979,72433499,149825580
48,Accounts Payable,- -,25460,- -,- -,- -,- -,- -,24537043,- -,- -,24853497
49,Short-Term Debt,- -,- -,- -,162279,4543425,9541128,13148071,20781837,20349851,6424344,5004311
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,910165
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,66316,- -,6984,4032656,7093277,14889621,12072228,3322356,26330763,23232661,910165
53,Total Current Liabilities,66316,25460,6984,4194935,11636702,24430749,25220299,48641236,46680614,29657005,30767973
54,Long-Term Debt,- -,- -,- -,4149709,2097618,1509422,1013564,5746731,7078900,10725906,6001599
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,150000,- -,3355063,752700,3066801,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,4299709,2097618,4864485,1766264,8813532,7078900,10725906,6001599
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,361819,1123148,1673514,2067982,3608085,6148603,6892017,4206869
61,Total Liabilities,66316,25460,6984,8494644,13734320,29295234,26986563,57454768,53759514,40382911,36769572
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,223498,223498,6031992,8466458,13202580,28373296,33552755,42185794,56983111,124036377
64,Retained Earnings,-11400,-59545,-139007,-8325914,-12139794,-12927289,-19487560,-30686658,-36294063,-32603073,-22047563
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,310797,-180783,831441,-446279,415915,415049,446218
66,Other Total Stockholders Equity,- -,- -,31604,803211,1525686,2750785,4725412,7724482,9291819,7255501,10620976
67,Total Stockholders Equity,88600,195557,116095,-1490711,-1836853,2845293,14442589,10144300,15599465,32050588,113056008
68,Total Liabilities And Stockholders Equity,154916,221017,123079,7003933,11897467,32140527,41429152,67599068,69358979,72433499,149825580
69,Minority Interest,- -,- -,- -,1,- -,- -,- -,40,- -,- -,- -
70,Total Liabilities & Equity,154916,221017,123079,7003934,11897467,32140527,41429152,67599108,69358979,72433499,149825580
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-48145,-79462,-6579564,-3813880,-787495,-6560271,-11278192,-5607406,3690990,10555510
74,Depreciation and Amortization,- -,- -,- -,234305,423788,1246833,3133605,6034389,8123877,8894174,5057117
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,21069,- -,324628,722475,739519,1604612,1136757,1410467,998307,5329438
77,Change in Working Capital,- -,19406,-22348,1334103,1717316,-3022730,-1621231,-4581026,-3631596,5428003,1990738
78,Accounts Receivable,- -,- -,- -,-910850,-931081,-6944363,4746624,-2709192,-4252158,6375446,886698
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1620836
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1278700,-81803
82,Other Non-Cash Items,- -,- -,- -,47378,73806,431876,-1054525,3613592,345512,281341,-3239259
83,Cash Provided by Operating Activities,- -,-7670,-101810,-4639150,-876495,-1391997,-4497810,-5074480,640854,19292815,19693544
84,CAPEX,- -,- -,- -,-66932,-1124904,-1500981,-2313310,-4100703,-8483695,-5316521,-2327951
85,Acquisitions Net,- -,- -,- -,- -,- -,-3103469,-13069145,-2269364,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-250000,125000,-325000,-1442705,-1547877,-393007,-1259165
89,Cash Used for Investing Activites,- -,- -,- -,-66932,-1374904,-4479450,-15357455,-6370066,-8483695,-5316521,-2327951
90,Debt Repayment,- -,- -,- -,-73080,-4397120,-1107245,-13897710,-15492267,-82756533,-97769571,-8251703
91,Common Stock Issued,- -,200000,- -,5124558,2530053,4154042,13031845,4200151,7998402,10617887,63955491
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-59320,- -,962779,6942578,5843304,18292602,25908449,81993425,88406568,3106337
95,Cash Used/Provided by Financing Activities,- -,140680,- -,6014257,5075511,8890101,17426737,14616333,7235294,1254884,58810125
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3394789
97,Net Change In Cash,- -,133010,-101810,1308175,2824112,3018654,-2428528,3171787,-607547,15231178,79570507
98,Cash at the End of Period,- -,214946,113136,1428642,4252754,7271408,4842880,8014667,7407121,22638300,102208807
99,Cash at the Beginning of Period,- -,81936,214946,120467,1428642,4252754,7271408,4842880,8014668,7407122,22638300
100,Free Cash Flow,- -,-7670,-101810,-4706082,-2001399,-2892978,-6811120,-9175183,-7842841,13976294,17365593
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
