,https://roic.ai/company/CIM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,2144000,- -,85000,-79000,1294000,-1142000,-3433000,25821000,14479000,16527000,13715000,47793000,-54610000,-25470000,-13203000
81,Other Working Capital,- -,880714000,-68607000,-270333000,116618000,-1072847000,-1923371000,-10287380000,-8034485000,-6108440000,-7929087000,-15341993000,-14742335000,- -,- -
82,Other Non-Cash Items,6993000,-730242000,843268000,-25543000,-77288000,1196164000,791967000,7956625000,-2108921000,-1927285000,1779656000,7290056000,-958757000,-14578303000,-119872000
83,Cash Provided by Operating Activities,-1523000,30663000,168681000,305582000,447705000,334915000,304820000,182777000,396302000,552907000,487291000,297584000,65036000,257903000,519182000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-774350000,-109872000,- -,-398261000,- -,- -,- -,- -
86,Purchases of Investments,-531058000,-2218798000,-5324267000,-4022951000,-4174746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1788000,1161465000,1857210000,2438064000,4060634000,- -,- -,- -,2601000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-266350000,1350000,656898000,- -,- -,988806000,305099000,-5004208000,2145182000,-1270560000,-3932748000,-6026067000,1236860000,8330397000,2548237000
89,Cash Used for Investing Activites,-795620000,-1055983000,-2810159000,-1584887000,-114112000,988806000,305099000,-5778558000,2037911000,-1270560000,-4331009000,-6026067000,1236860000,8330397000,2548237000
90,Debt Repayment,- -,-48310000,-58059734000,-16200642000,-15109135000,-952252000,-914239000,-582754000,-2320840000,-1863304000,-2975171000,-2656936000,-1869612000,-98931309000,-53500573000
91,Common Stock Issued,532585000,299681000,1463009000,1313623000,22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-250000000,- -,- -,-14834000,- -,-22066000,-1828000
93,Dividends Paid,- -,-22848000,-135622000,-516812000,-584989000,-410712000,-369740000,-575276000,-381189000,-454275000,-411703000,-417593000,-446960000,-396375000,-372408000
94,Other Financing Activites,270584000,818251000,59370624000,16666030000,15559635000,454097000,130536000,6840802000,467258000,3098884000,7116447000,8801763000,1077068000,90920662000,50924041000
95,Cash Used/Provided by Financing Activities,803169000,1046774000,2638277000,1262199000,-134467000,-908867000,-1153443000,5682772000,-2484771000,781305000,3729573000,5712400000,-1239504000,-8429088000,-2950768000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,21454000,-3201000,-17106000,199126000,414854000,-543524000,86991000,-50558000,63652000,-114145000,-16083000,62392000,159212000,116651000
98,Cash at the End of Period,6026000,27480000,24279000,7173000,206299000,621153000,77629000,164620000,114062000,177714000,63569000,47486000,109878000,269090000,385741000
99,Cash at the Beginning of Period,- -,6026000,27480000,24279000,7173000,206299000,621153000,77629000,164620000,114062000,177714000,63569000,47486000,109878000,269090000
100,Free Cash Flow,-1523000,30663000,168681000,305582000,447705000,334915000,304820000,182777000,396302000,552907000,487291000,297584000,65036000,257903000,519182000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1409493/000115752309001796/0001157523-09-001796-index.html,https://www.sec.gov/Archives/edgar/data/1409493/000115752310001274/0001157523-10-001274-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752311001243/0001157523-11-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752313001320/0001157523-13-001320-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752313005918/0001157523-13-005918-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752314002466/0001157523-14-002466-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752315000791/0001157523-15-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752316004744/0001157523-16-004744-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828017001485/0001628280-17-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828018001906/0001628280-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828019001646/0001628280-19-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828020002106/0001628280-20-002106-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828021002464/0001628280-21-002464-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828022003020/0001628280-22-003020-index.htm
102,false,,,,,,,,,,,,,,,
